Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Z. Van den Bosch,Antwerp,Antwerp,"LCB, RCB",22,6000000,2026-06-30,41,4050,1,0.7,0,0.15,11.04,55.94,Belgium,Belgium,right,191,78,no,8.76,5.73,66.67,2.62,50,0.11,0.15,1.07,4.82,6.41,0.91,6,0.13,0,0,0.16,0.02,1,0.02,0.02,1,0.02,8,0.18,50,12.5,0,0.11,40,0.02,0,0.09,50,0,0.16,14.29,0.84,31.58,0.42,0.38,0,47.38,0.42,0.24,61.4,90.84,20.58,79.48,3.24,97.95,33.27,97.26,55.38,95.1,5.91,51.88,20.97,38.62,0,0.11,0,0,0,0,0.02,6.2,69.18,0.47,33.33,0.51,39.13,0.18,0.04,8.8,70.2,0,,0,,0,0,0,0,,,2.62,,,0,0,0,0,0,0
S. Lammens,Manchester United,Antwerp,GK,23,1500000,2030-06-30,41,4053,0,0,0,0,0.69,74.19,Belgium,Belgium,right,193,92,no,1.38,0.11,60,0.47,80.95,0,0,0,1.31,1.74,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,75,0.02,0.02,0,18.85,0.22,0.11,28.05,84.88,15.7,75.53,0.02,100,11.32,97.65,17.76,98.75,10.21,61.3,32.33,49,0,0,0,0,0,0,0,2.24,48.51,0.11,40,0.09,75,0.04,0,8.24,69,52,1.15,230,5.11,10,77.39,67.79,1.51,15.79,0.351,0.02,1.69,0.47,,,,0,0,0
N. Rôdes,Dender,Dender,DMF,27,500000,,40,3761,5,4.38,1,2.08,16.87,49.5,Belgium,Belgium,right,191,75,no,9.28,6.56,64.6,4.24,44.63,0.24,0.27,0.38,4.81,5.38,0.72,4,0.1,0,0,0.84,0.12,5,0.12,0.1,2,0.05,27,0.65,33.33,18.519,0.02,0.72,26.67,0.14,50,0.55,17.39,0.07,0.91,47.37,3.97,31.93,1.12,0.6,0.07,24.03,0.26,0.55,38.19,81.89,12.47,66.79,6.58,93.09,13.81,90.64,34.39,86.36,3.11,45.38,17.86,30.05,0.05,0.31,0.02,0,0.05,0,0.14,4.67,68.21,1.32,40,0.34,28.57,0.48,0.22,5.34,61.43,0,,0,,0,0,0,0,,,0.65,,,0,0,0,0,0,0
B. Mechele,Club Brugge,Club Brugge,"LCB, RCB",32,3000000,2027-06-30,40,3955,3,2.01,0,1.07,12.99,66.37,Belgium,Belgium,right,190,79,no,9.4,5.53,74.9,4.28,66.49,0.27,0.39,0.59,4.98,7.05,0.52,2,0.05,0,0,0.23,0.07,3,0.07,0.05,3,0.07,15,0.34,33.33,20,0,0.07,66.67,0.02,100,0.02,100,0,0.09,75,0.86,44.74,0.93,1.27,0.02,51.09,0.57,0.36,66.72,92.94,23.17,84.97,2.89,96.06,35.29,98.13,60.62,95.76,6.05,65.04,21.27,39.25,0.02,0.16,0,0.05,0,0,0.11,6.44,79.15,0.34,40,0.18,12.5,0.18,0.05,8.87,74.87,0,,0,,0,0,0,0,,,2.03,,,0,0,0,0,0,0
T. Arokodare,Wolverhampton Wanderers,Genk,CF,24,5500000,2027-06-30,40,3286,21,26.08,5,2.38,22.24,37.81,Nigeria,Nigeria,right,197,100,no,2.41,1.97,59.72,6.82,53.82,0.03,0.04,0.03,1.21,1.76,1.15,2,0.05,0,0,1.94,0.58,21,0.58,0.71,4,0.11,133,3.64,35.34,15.789,0.14,0.3,36.36,0.22,37.5,0.08,33.33,0,1.15,42.86,8.68,21.45,6.52,0.68,0.05,12.46,3.34,1.01,15.86,79.27,1.59,56.9,6.52,84.45,4.11,80.67,15.01,80.29,0.55,75,14.7,12.81,0.07,0.55,0,0.03,0.11,50,0.36,1.04,68.42,0.36,53.85,0.11,50,0.82,0.08,0.99,44.44,0,,0,,0,0,0,0,,,0.03,,,0.03,0.03,0,0,2,0
A. Zorgane,Union Saint-Gilloise,Charleroi,"LDMF, RDMF",25,5000000,2027-06-30,40,3896,1,1.46,7,9.13,13.65,49.41,Algeria,Algeria,right,184,77,no,8.43,6.54,62.54,1.46,55.56,0.07,0.09,0.32,4.27,5.61,0.81,5,0.12,0,0,1.94,0.02,1,0.02,0.03,0,0,30,0.69,33.33,3.333,0.16,2.59,36.61,1.16,32,1.36,40.68,0.37,1.13,57.14,3.95,32.75,0.81,0.99,0.02,56.5,0.69,0.21,76.28,85.04,31.02,77.66,8.92,95.6,25.18,89.27,63.04,90.55,10.81,63.68,19.19,37.12,0.21,1.92,0.05,0.14,0.37,31.25,0.53,14.46,74.92,5.61,52.67,1.89,48.78,2.26,0.95,15.55,86.33,0,,0,,0,0,0,0,,,0.76,,,1.04,0.14,83.33,3.12,0,0
A. Moris,Al Khaleej,Union Saint-Gilloise,GK,35,2000000,2027-06-30,40,3952,0,0,0,0,0.48,80.95,Belgium,"Belgium, Luxembourg",right,186,75,no,1.23,0.11,60,0.27,83.33,0.02,0.03,0,1.14,1.45,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,15.3,0.09,0.07,22.66,81.91,14.05,72.29,0.02,100,8.24,98.34,11.75,97.67,10.84,65.34,36.56,48.73,0,0,0,0,0,0,0,3.51,50,0.27,0,0.18,12.5,0,0,7.47,75.61,27,0.61,119,2.71,21,77.31,32.76,0.75,5.76,0.131,0.02,0.98,0.27,,,,0,0,0
L. Kuavita,Standard Liège,Standard Liège,"LCMF, RCMF",21,0,,40,2657,1,2.37,1,0.82,15.31,48.23,Belgium,"Belgium, Angola",left,175,65,no,6.23,5.39,58.49,2.71,51.25,0.03,0.04,0.2,3.05,3.27,0.64,2,0.07,0,0,1.08,0.03,1,0.03,0.08,0,0,19,0.64,10.53,5.263,0.03,1.39,19.51,1.29,18.42,0.1,33.33,0.1,1.25,56.76,4.95,39.73,1.8,0.91,0.17,15.11,0.68,0.85,23.14,71.16,8.91,62.36,3.59,89.62,5.59,65.45,19.48,78.78,2.3,36.76,16.04,18.18,0.03,0.41,0.03,0.03,0.14,25,0.1,3.12,63.04,1.8,39.62,0.34,30,0.68,0.34,3.25,60.42,0,,0,,0,0,0,0,,,0.03,,,0.03,0,0,0.2,0,0
T. Chery,NEC,Antwerp,"AMF, RAMF",37,350000,2028-06-30,40,3313,14,8.75,5,5.5,11.11,39.12,Netherlands,"Netherlands, Suriname",left,171,68,no,2.66,2.69,63.64,0.41,20,0,0,0.05,0.95,1.24,0.52,2,0.05,0,0,3.12,0.38,12,0.33,0.24,0,0,94,2.55,38.3,14.894,0.14,2.88,36.79,1.17,30.23,1.63,40,0.52,2.2,43.21,6.3,31.03,2.5,1.36,0.22,25.29,1.36,0.71,32,79.46,9.56,71.02,7.77,91.26,9.15,81.6,27.27,85.76,1.98,52.05,18.79,29.11,0.15,1.3,0.11,0.05,0.38,35.71,0.52,4.16,71.24,3.78,51.8,0.92,38.24,1.28,1.09,5.3,82.56,0,,0,,0,0,0,0,,,0.35,,,1.22,0.24,22.22,2.44,3,66.667
G. Kerk,Antwerp,Antwerp,"RAMF, LAMF, CF",29,2200000,,39,3357,7,7.95,2,2.49,27.43,35.29,Netherlands,"Netherlands, Suriname",right,183,90,no,5.9,6.33,57.63,2.73,29.41,0.08,0.11,0.05,2.17,2.89,1.61,5,0.13,0,0,3.03,0.19,7,0.19,0.21,0,0,51,1.37,41.18,13.725,0.05,1.96,24.66,0.4,26.67,1.55,24.14,0.21,4.93,39.67,14.56,28.36,3.14,2.76,0.43,15.39,2.17,0.99,21.74,69.3,5.87,62.1,5.2,85.57,5.42,65.35,18.69,75.75,1.21,37.78,16.43,25.51,0.07,0.78,0.03,0,0.13,20,0.32,2.06,55.84,2.71,56.44,0.29,45.45,1.64,0.51,3.49,73.85,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0.03,0,0
