Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Havekotte,TOP Oss,TOP Oss,GK,29,300000,,38,3658,0,0,0,0,0.44,88.89,Netherlands,Netherlands,right,187,79,no,1.18,0.1,75,0.3,91.67,0.02,0.03,0,1.08,1.2,0.02,5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0.2,0.07,25.39,81.88,14.93,70.51,0,0,9.99,98.28,11.19,99.12,14.12,68.47,38.47,50.6,0,0,0,0,0,0,0,3.74,59.21,0.15,33.33,0.27,45.45,0.07,0,10.6,77.96,61,1.5,230,5.66,8,73.48,63.09,1.55,2.09,0.051,0,1.13,0.3,,,,0,0,0
J. Vlak,ADO Den Haag,ADO Den Haag,"LDMF, LCMF, AMF",26,650000,2027-06-30,38,3601,10,6.42,2,3.4,21.37,50.76,Netherlands,Netherlands,right,191,79,no,10.02,7.67,62.54,5.87,51.49,0.3,0.37,0.15,4.92,6.07,1.42,5,0.12,0,0,2.02,0.25,8,0.2,0.16,3,0.07,68,1.7,42.65,14.706,0.05,1,35,0.65,38.46,0.35,28.57,0.05,1.42,61.4,4.02,38.51,2.27,1.17,0.05,23.54,0.57,0.45,38.31,75.28,15.37,66.83,5.2,91.83,10.75,80.93,33.09,79.46,4.25,52.35,17.94,35,0.09,0.75,0.1,0.02,0.17,42.86,0.37,7.77,67.2,2.42,46.39,0.42,23.53,1.2,0.27,7.17,78.05,0,,0,,0,0,0,0,,,0.42,,,0.07,0.07,33.33,0,2,100
K. Nsona,,Emmen,"LAMF, LWF, LW",23,400000,,38,3488,13,12,4,7.16,20.64,46.63,France,"France, Congo DR",right,190,74,no,2.89,2.81,62.39,1.5,37.93,0.03,0.04,0.03,1.11,1.51,0.41,1,0.03,0,0,6.81,0.34,9,0.23,0.31,1,0.03,69,1.78,47.83,18.841,0.1,3.77,28.08,3.38,29.01,0.39,20,0.36,7.41,65.51,15.07,46.23,3.33,5.19,0.54,18.17,2.09,0.95,25.44,74.75,4.41,68.42,8.31,90.37,7.64,66.55,21.26,83.37,0.54,52.38,17.82,15.89,0.18,1.08,0.05,0.03,0.1,50,0.46,1.52,62.71,2.94,45.61,0.15,16.67,0.9,1.11,3.33,69.77,0,,0,,0,0,0,0,,,0.15,,,0,0,0,0.03,4,100
J. Hawkins,Emmen,Emmen,"RAMF, RWF",24,225000,2026-06-30,38,3128,11,9.6,6,7.15,19.34,41.96,Germany,"Germany, United States",right,178,73,no,3.86,5.27,52.46,1.73,33.33,0,0,0.06,1.09,1.5,1.21,4,0.12,0,0,5.15,0.32,7,0.2,0.28,0,0,90,2.59,43.33,12.222,0.17,4.52,31.21,0.37,23.08,4.09,31.69,0.58,4.78,53.61,9.96,39.88,3.28,2.85,0.2,23.56,3.08,1.15,28.37,69.88,7.28,64.82,7.16,90.36,7.83,63.97,22.96,78.95,1.06,35.14,17.95,26.39,0.21,1.35,0.06,0.12,0.14,40,0.66,2.27,64.56,4.26,47.3,0.29,30,1.21,1.38,4.34,74.83,0,,0,,0,0,0,0,,,0.23,,,0.14,0.09,0,1.32,4,100
B. Ould-Chikh,Volendam,Volendam,"RW, RAMF",27,600000,2025-06-30,37,3284,4,6.83,19,22.41,22.61,50.79,Netherlands,"Netherlands, Morocco",left,170,59,no,3.12,3.48,62.2,0.22,25,0.03,0.03,0.03,0.93,1.13,0.49,3,0.08,0,0,8.47,0.11,3,0.08,0.19,0,0,70,1.92,35.71,5.714,0.52,5.32,32.47,0.3,27.27,4.99,32.97,0.93,9.89,59.83,17.79,50.08,3.81,6.96,0.71,23.84,2.17,2.14,30.64,75.13,5.45,73.37,9.59,90.29,9.98,67.86,23.27,85.51,2.27,61.45,20.06,34.76,0.61,3.45,0.22,0.03,0.22,62.5,1.1,1.97,68.06,5.67,57.97,0.41,46.67,2.17,1.73,5.32,82.99,0,,0,,0,0,0,0,,,0.38,,,3.29,0.16,33.33,5.1,1,100
X. Lambrix,TOP Oss,TOP Oss,LCB,25,325000,,37,3560,0,0.99,0,0.04,12.36,61.76,Belgium,Belgium,left,181,71,no,9.03,4.27,73.37,4.2,57.23,0.23,0.25,0.99,5.66,6.25,0.83,9,0.23,0,0,0.13,0,0,0,0.02,0,0,8,0.2,37.5,0,0,0.1,25,0.1,25,0,0,0.03,0.05,50,0.94,48.65,0.43,1.31,0.13,25.08,0.13,0.76,39.44,85,15.35,68.2,3.74,95.27,16.84,96.25,31.3,92.33,8.04,57.23,24.12,43.47,0,0.03,0,0,0,0,0,6.57,63.85,0.83,36.36,0.63,24,0.23,0.03,7.76,74.92,0,,0,,0,0,0,0,,,2.15,,,0,0,0,0,0,0
R. Hillen,NAC Breda,De Graafschap,LCB,22,500000,2026-06-30,37,3492,2,3.6,0,0.62,16.78,63.9,Netherlands,"Netherlands, Brazil",left,187,74,no,9.38,5.75,72.2,5.05,60.2,0.15,0.2,0.57,5.08,6.42,1.06,2,0.05,0,0,1.06,0.05,2,0.05,0.09,0,0,34,0.88,23.53,5.882,0,0.49,26.32,0.49,26.32,0,0,0.05,0.85,81.82,3.56,57.97,0.64,1.96,0.08,39.02,0.18,1.21,57.06,86.31,22.29,75.95,5,96.39,24.07,93.79,48.53,91.72,8.04,57.37,21.49,39.13,0.02,0.13,0.03,0.03,0.05,50,0.05,8.4,75.77,1.42,40,0.72,35.71,0.41,0.13,10.75,73.14,0,,0,,0,0,0,0,,,2.06,,,0.15,0.15,0,0,0,0
L. Daneels,Helmond Sport,Helmond Sport,"LAMF, LW, RWF",27,325000,2026-06-30,37,2961,3,5.07,5,4.57,17.69,42.44,Belgium,Belgium,right,172,74,no,5.78,6.02,59.6,1.37,31.11,0,0,0.06,2.19,2.64,1.25,4,0.12,0,0,3.22,0.09,3,0.09,0.15,0,0,52,1.58,34.62,5.769,0.15,2.86,31.91,1.79,32.2,0.97,31.25,0.21,3.19,55.24,8.02,34.85,2.55,2.16,0.33,19.45,1.73,0.79,26.72,77.13,7.2,67.09,6.69,95.91,7.51,72.47,21.16,86.21,2.71,53.93,18.17,29.24,0.14,0.88,0.12,0.03,0.06,0,0.49,2.83,62.37,3.25,49.53,0.36,16.67,1.22,0.94,5.11,76.79,0,,0,,0,0,0,0,,,0.21,,,0.61,0.3,40,0.94,0,0
I. Bronkhorst,Excelsior,Excelsior,RB,28,350000,,37,3240,3,2.4,3,6.1,20.08,53.94,Netherlands,Netherlands,right,185,79,no,7.31,5.86,62.09,4.81,67.05,0.25,0.35,0.11,3.42,4.72,1.25,9,0.25,0,0,3.47,0.08,3,0.08,0.07,1,0.03,30,0.83,33.33,10,0.08,4.14,42.95,0.11,25,3.94,42.96,0.33,2.44,56.82,6.14,43.89,1.44,2.06,0.5,28.31,3.42,1,42,79.3,15.72,72.97,7.5,95.93,12.83,79.44,34.44,85.32,3.75,61.48,20.72,35.65,0.17,1.36,0,0.03,0.03,100,0.61,6.5,73.93,4.14,49.66,0.19,57.14,0.86,1.72,9.92,81.23,0,,0,,0,0,0,0,,,1.39,,,0.03,0.03,100,0.11,0,0
J. Kilo,ADO Den Haag,ADO Den Haag,"RDMF, RCMF, DMF",23,100000,2028-06-30,37,3487,3,1.05,3,3.2,13.52,54.01,Finland,Finland,right,0,0,no,6.81,6.14,66.39,2.43,41.49,0.18,0.22,0.21,2.56,3.17,1.47,7,0.18,0,0,0.59,0.08,3,0.08,0.03,0,0,24,0.62,16.67,12.5,0.08,0.52,40,0.03,0,0.49,42.11,0,0.21,62.5,2.35,45.05,0.31,0.72,0,25.55,0.44,0.93,38.79,82.97,13.37,69.5,6.12,94.94,14.3,90.07,33.5,87.13,4.77,58.38,20.14,36.68,0.08,0.9,0,0.03,0.15,100,0.26,6.89,71.91,1.86,55.56,0.41,50,0.77,0.23,6.92,80.6,0,,0,,0,0,0,0,,,1.34,,,0.39,0,0,0.28,0,0
