Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Aleksovski,Flamurtari Vlorë,Flamurtari Vlorë,GK,30,300000,,12,1208,0,0,0,0,0.3,100,North Macedonia,North Macedonia,left,186,74,no,1.49,0,0,0.07,100,0,0,0,1.49,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,10.43,0.45,0.15,16.47,87.33,8.27,79.28,0,0,7.38,94.95,11.47,96.1,4.99,67.16,29.29,40.8,0,0,0,0,0,0,0,0.67,33.33,0.07,0,0.07,0,0,0,3.87,78.85,16,1.19,51,3.8,2,68.63,15.2,1.13,-0.8,-0.06,0,0.45,0.07,,,,0,0,0
M. Janá?ek,AF Elbasani,AF Elbasani,GK,25,250000,,12,1204,0,0,0,0,0.81,100,Czech Republic,Czech Republic,left,197,94,no,0.98,0.08,100,0.41,100,0,0,0,0.89,1.42,0,3,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,100,0,0,0,10.73,0.33,0.41,15.28,86.17,7.24,76.4,0,0,7.24,94.38,9.51,98.29,5.77,66.2,32.29,49.28,0,0,0,0,0,0,0,0.65,62.5,0.08,0,0,0,0,0,4.47,76.36,6,0.49,28,2.28,6,78.57,7.64,0.62,1.64,0.133,0,1.38,0.41,,,,0,0,0
M. Dajsinani,Egnatia Rrogozhinë,Egnatia Rrogozhinë,GK,26,275000,,12,1199,0,0,0,0.43,1.05,92.86,Albania,Albania,right,193,80,no,0.68,0,0,0.98,100,0,0,0,0.68,1.13,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,25.6,0.53,0.15,33.33,90.77,15.84,81.99,0,0,15.69,98.56,25.22,99.7,8.11,62.96,25.36,45.7,0.03,0.08,0,0,0,0,0.08,1.2,37.5,0,0,0.3,25,0.08,0,5.93,72.15,8,0.6,30,2.25,6,73.33,9.83,0.74,1.83,0.137,0,1.88,0.98,,,,0,0,0
G. Selmani,Teuta Durrës,Teuta Durrës,GK,27,225000,,12,1195,0,0,0,0,1.05,85.71,Albania,Albania,right,186,78,no,1.58,0.15,100,0.53,85.71,0,0,0,1.43,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,75,0,0,0,15.06,0.15,0.45,22.14,86.73,11.15,75.68,0,0,10.54,97.86,13.63,98.9,8.51,67.26,31.2,45.87,0,0,0,0,0,0,0,1.13,46.67,0.15,0,0.15,50,0,0,6.78,72.22,8,0.6,28,2.11,7,71.43,7.67,0.58,-0.33,-0.025,0,1.28,0.53,,,,0,0,0
A. Teqja,Dinamo City,Dinamo City,GK,30,100000,,12,1192,0,0,0,0,0.74,77.78,Albania,Albania,right,196,87,no,1.23,0,0,0.25,100,0,0,0,1.23,2.05,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.41,60,0,0,0,6.99,0.25,0.25,13.89,91.12,6.25,81.58,0,0,7.15,98.85,9.62,100,4.27,71.15,27.53,42.89,0,0,0,0,0,0,0,0.66,62.5,0,0,0,0,0,0,2.96,75,5,0.41,38,3.12,6,86.84,9.61,0.79,4.61,0.379,0,1.64,0.25,,,,0,0,0
D. Shehi,Vora,Vora,RCB,28,100000,,12,1191,0,0.2,0,0,11.86,63.06,Albania,Albania,right,191,0,no,9.67,5.52,68.49,5.21,65.22,0.6,0.85,1.13,5.29,7.47,1.51,3,0.23,0,0,0.08,0,0,0,0.02,0,0,3,0.23,33.33,0,0,0.08,0,0,0,0,0,0.08,0.08,0,0.23,0,0.45,0.3,0,16.93,0.38,0,27.36,82.04,13.15,71.84,2.04,92.59,8.99,94.96,22.59,88.29,4.69,53.23,21.68,33.83,0,0,0,0,0,0,0,3.48,54.35,0.6,37.5,0.08,0,0.3,0,5.74,59.21,0,,0,,0,0,0,0,,,1.44,,,0,0,0,0,0,0
F. Përgjoni,Teuta Durrës,Teuta Durrës,LB,28,300000,,12,1190,0,0.31,0,0.09,15.88,59.52,Albania,Albania,left,185,0,no,9.3,7.34,65.98,2.87,78.95,0.76,1.2,0.23,3.71,5.86,1.66,3,0.23,0,0,0.76,0,0,0,0.02,0,0,6,0.45,16.67,0,0,1.21,25,1.21,25,0,0,0.08,0.45,66.67,4.16,45.45,0.61,1.21,0.15,20.95,1.06,1.29,32.37,78.04,14.75,72.31,6.35,91.67,6.28,79.52,27.38,85.08,3.86,43.14,19.17,39.03,0.01,0.15,0,0,0.08,100,0.15,4.69,61.29,1.74,43.48,0.45,33.33,0.38,0.3,7.26,63.54,0,,0,,0,0,0,0,,,0.91,,,0.23,0.15,0,0,0,0
A. Tafas,Tirana,Tirana,GK,25,0,,12,1185,0,0,0,0,0.84,100,Albania,"Albania, Greece",unknown,185,0,no,1.59,0.15,100,0.61,100,0,0,0.08,1.44,2.13,0,3,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,12.08,0.23,0.38,19.52,87.16,9.49,76,0,0,9.42,97.58,13.22,99.43,6.3,61.45,31.06,50.19,0,0,0,0,0,0,0,1.9,36,0.08,0,0.38,20,0,0,4.41,82.76,20,1.52,58,4.41,3,65.52,19.38,1.47,-0.62,-0.047,0,1.75,0.61,,,,0,0,0
B. Balaj,Vllaznia Shkodër,Vllaznia Shkodër,CF,34,200000,,12,1184,7,5.33,1,0.43,21.44,45.04,Albania,Albania,right,188,78,no,3.19,1.98,61.54,9.96,51.91,0,0,0,1.98,3.22,1.82,2,0.15,0,0,0.84,0.53,3,0.23,0.41,1,0.08,21,1.6,52.38,33.333,0.08,0.08,0,0,0,0.08,0,0,0.23,0,4.33,36.84,2.28,0.38,0.15,9.35,1.67,2.05,14.44,73.16,3.34,56.82,3.57,91.49,3.65,70.83,13.91,74.86,0.46,33.33,14.02,14.47,0.03,0.61,0,0,0,0,0.08,1.29,58.82,1.06,28.57,0,0,0.53,0,0.99,61.54,0,,0,,0,0,0,0,,,0,,,0.08,0.08,0,0,5,80
A. Marku,Bylis Ballsh,Bylis Ballsh,RCB,20,0,,12,1179,1,0.26,0,0.13,14.43,60.85,Albania,Albania,unknown,0,0,no,10.08,5.04,77.27,4.58,50,0.38,0.48,0.31,5.8,7.24,0.84,0,0,0,0,0.84,0.08,1,0.08,0.02,1,0.08,3,0.23,66.67,33.333,0,0.46,16.67,0,0,0.38,0,0,0.69,88.89,2.98,61.54,0.53,0.69,0,20.15,0.23,0.99,36.64,76.67,22.06,70.59,1.76,86.96,10.69,87.14,24.81,84.92,11.37,61.07,26.25,41.08,0.01,0.15,0,0,0,0,0.08,8.24,62.96,1.15,26.67,0.46,16.67,0.46,0.08,12.06,73.42,0,,0,,0,0,0,0,,,0.99,,,0,0,0,0,0,0
