Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Abadía,Gimnasia y Tiro,Gimnasia y Tiro,GK,27,0,2025-12-31,37,3629,0,0.13,0,0,0.67,88.89,Argentina,Argentina,left,186,86,no,1.54,0,0,0.6,95.83,0,0,0,1.54,2.41,0,2,0.05,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,100,0.02,0,0,5.51,0.12,0.1,12.97,71.7,10.34,66.19,0,0,2.48,95,3.62,97.95,9.25,62.2,49.56,58.15,0,0,0,0,0,0,0,6.25,57.94,0.45,11.11,0.27,27.27,0.05,0,6.22,87.25,25,0.62,121,3,18,79.34,29.61,0.73,4.61,0.114,0,2.06,0.6,,,,0,0,0
M. Budiño,Estudiantes Caseros,Estudiantes Caseros,GK,30,175000,,36,3532,0,0,0,0,0.56,86.36,Argentina,Argentina,right,186,73,no,1.55,0.1,50,0.33,100,0,0,0,1.5,2.38,0.03,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,5.17,0.15,0.15,13.2,82.24,9.25,76.03,0,0,3.77,96.62,6.8,97,6.34,67.07,39.81,54.78,0,0,0,0.03,0,0,0,2.83,61.26,0.33,0,0.1,0,0,0,5.1,79,21,0.54,110,2.8,19,80.91,23.6,0.6,2.6,0.066,0,1.02,0.33,,,,0,0,0
N. Sumavil,Tristán Suárez,Tristán Suárez,GK,25,75000,,36,3499,0,0,0,0,0.69,81.48,Argentina,Argentina,right,186,85,yes,1.44,0.13,80,0.44,94.12,0.03,0.03,0,1.31,1.67,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,50,0,0,0,3.45,0.08,0.08,11.5,84.34,6.48,73.81,0,0,4.45,97.69,7.15,97.12,4.35,63.31,35.3,52.53,0,0,0,0,0,0,0,1.72,53.73,0.15,16.67,0.03,0,0.05,0,3.32,77.52,24,0.62,151,3.88,16,84.11,31.77,0.82,7.77,0.2,0,1.88,0.44,,,,0,0,0
G. Maffini,Estudiantes Río Cuarto,Estudiantes Río Cuarto,"RCB, LCB",32,100000,,36,3488,3,1.51,1,0.02,16.08,61.32,Argentina,Argentina,right,191,86,no,8.75,5.01,77.84,6.92,55.97,0.49,0.72,0.41,4.36,6.37,0.59,5,0.13,0,0,0.21,0.08,3,0.08,0.04,1,0.03,8,0.21,50,37.5,0.03,0.13,60,0.03,100,0.1,50,0,0.08,33.33,0.93,36.11,0.31,0.05,0.05,12.13,0.21,0.67,26.58,76.6,14.09,65.02,1.37,94.34,9.21,90.48,19.82,83.98,6.63,54.86,24.41,40.97,0,0.03,0.05,0,0,0,0.05,4.64,51.11,0.49,26.32,0.39,46.67,0.13,0.08,6.84,63.77,0,,0,,0,0,0,0,,,1.08,,,0,0,0,0,0,0
I. Pietrobono,Deportivo Maipú,Deportivo Maipú,GK,34,200000,2025-12-31,35,3430,0,0,0,0,1,89.47,Argentina,Argentina,,175,74,no,3.02,0.1,75,0.52,90,0.05,0.08,0,2.89,4.52,0,4,0.1,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,75,0.21,87.5,0,0,0,8.27,0.13,0.37,20.86,82.01,15.48,77.97,0.03,0,5.01,94.24,9,97.67,11.83,70.29,39.52,51.33,0,0,0,0,0,0,0,4.62,71.59,0.24,11.11,0.05,0,0.03,0,9,83.38,31,0.81,116,3.04,11,73.28,29.08,0.76,-1.92,-0.05,0,1.81,0.52,,,,0,0,0
F. Rago,Atlanta,Atlanta,GK,37,100000,,35,3426,0,0,0,0,1.18,84.44,Argentina,Argentina,right,185,79,no,2.1,0.21,100,0.32,83.33,0.05,0.09,0.03,1.84,3.05,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,89.47,0,0,0,10.27,0.21,0.55,19.7,81.2,11.56,72.73,0,0,7.64,95.19,11.72,97.09,7.91,58.47,36.16,51.7,0,0,0,0,0,0,0,3.1,50,0.18,0,0.16,50,0,0,5.44,76.33,26,0.68,127,3.34,19,79.53,30.7,0.81,4.7,0.123,0,1.5,0.32,,,,0,0,0
Y. Bonnin,Deportivo Madryn,Deportivo Madryn,GK,35,100000,2027-12-31,34,3364,0,0,0,0,0.75,89.29,Argentina,Argentina,right,187,83,no,1.26,0.08,100,0.4,100,0.03,0.04,0,1.15,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,66.67,0,0,0,7.73,0.13,0.35,15.89,81.14,10.54,72.84,0.03,100,4.87,97.8,6.53,99.18,9.36,68.57,42.85,54.06,0,0,0,0,0,0,0,5.67,68.4,0.24,22.22,0.16,33.33,0.05,0,6.93,87.64,28,0.75,124,3.32,11,77.42,32.04,0.86,4.04,0.108,0,2.06,0.4,,,,0,0,0
N. Previtali,Atlanta,Atlanta,"DMF, LDMF, LCMF",30,275000,,35,3352,1,1.49,0,0.45,16.16,54.32,Argentina,Argentina,right,184,80,no,10.18,5.48,70.1,3.17,46.61,0.24,0.4,0.08,6.09,10.19,0.91,8,0.21,1,0.03,0.75,0.03,1,0.03,0.04,0,0,17,0.46,41.18,5.882,0,0.13,60,0.05,50,0.08,66.67,0,1.02,47.37,4.64,43.35,0.4,0.81,0.13,19.73,0.32,1.15,38.05,78.69,15.3,61.05,3.84,94.41,14.93,92.27,31.25,85.74,6.66,45.97,21.78,38.88,0.01,0.32,0,0.03,0.03,0,0,8.11,57.95,1.34,28,0.64,37.5,0.35,0.05,7.84,71.23,0,,0,,0,0,0,0,,,0.64,,,0.03,0,0,0,0,0
A. Agüero,Deportivo Maipú,Deportivo Maipú,LCB,22,0,,34,3330,1,1.43,1,0.2,13.32,63.89,Argentina,Argentina,,0,0,no,9.78,6.16,73.25,3.86,62.94,0.51,0.8,0.54,4.76,7.44,0.95,7,0.19,0,0,0.14,0.03,1,0.03,0.04,1,0.03,9,0.24,44.44,11.111,0.03,0,0,0,0,0,0,0,0.05,50,0.84,38.71,0.41,0.27,0,15.81,0.35,0.32,29.27,83.93,14.68,71.82,1.57,96.55,10.73,97.23,23.54,90.59,5.73,56.6,24,41.37,0.01,0.11,0,0,0,0,0.03,3.59,61.65,0.35,7.69,0.24,11.11,0.11,0,6.35,67.66,0,,0,,0,0,0,0,,,1.35,,,0,0,0,0,0,0
E. Mastrolía,Temperley,Temperley,GK,34,200000,,34,3326,0,0,0,0,0.62,86.96,Argentina,"Argentina, Italy",right,190,77,no,1.46,0,0,0.38,92.86,0.03,0.04,0,1.43,2.14,0,4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,75,0,0,0,5.98,0.05,0.24,14.42,82.74,10.12,77.54,0.05,0,4.09,96.69,5.95,98.18,8.47,71.88,41.84,51.91,0,0.03,0.03,0,0,0,0.03,3.71,74.45,0.11,25,0.11,25,0.05,0,6.63,86.94,21,0.57,124,3.36,22,83.06,28.73,0.78,7.73,0.209,0,1.65,0.38,,,,0,0,0
