Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Paull,Central Coast Mariners,Central Coast Mariners,LCB,22,0,,5,506,0,0.01,0,0,11.21,53.97,Australia,Australia,left,185,0,no,9.43,4.98,64.29,3.91,54.55,0,0,1.07,6.23,7.61,0.53,0,0,0,0,0.18,0,0,0,0,0,0,1,0.18,100,0,0,0,0,0,0,0,0,0,0,0,0.53,66.67,0.18,0.53,0,37.71,0,0.18,50.16,87.59,18.85,73.58,2.67,100,24.72,96.4,44.47,92.8,5.69,46.88,21.74,44,0,0,0,0,0,0,0,3.56,35,0.36,0,0.89,20,0,0,7.47,54.76,0,,0,,0,0,0,0,,,2.31,,,0,0,0,0,0,0
B. Tapp,Central Coast Mariners,Central Coast Mariners,"RCB, RCMF",24,0,,5,506,0,0,0,0,10.32,68.97,Australia,Australia,,0,0,no,11.03,4.8,74.07,2.67,73.33,0,0,0.53,7.47,9.13,0.71,1,0.18,0,0,0.18,0,0,0,0,0,0,1,0.18,0,0,0,0.18,0,0.18,0,0,0,0,0.18,100,0.71,50,0.18,0.36,0,41.09,0.36,0.53,56.38,90.54,15.65,76.14,3.2,100,31.84,97.77,51.4,94.12,4.8,55.56,20.7,39.94,0,0.18,0,0,0,0,0,2.13,50,0.53,66.67,0.18,0,0.36,0,6.4,55.56,0,,0,,0,0,0,0,,,1.96,,,0,0,0,0,0,0
A. Redmayne,Central Coast Mariners,Central Coast Mariners,GK,36,400000,,5,506,0,0,0,0,0.89,60,Australia,Australia,right,194,83,no,0.71,0,0,0.71,75,0,0,0,0.71,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0.18,0,13.16,85.14,7.29,73.17,0,0,5.34,100,7.83,95.45,5.34,70,31.9,48.23,0,0,0,0,0,0,0,1.42,75,0,0,0,0,0,0,5.16,68.97,8,1.42,30,5.34,1,73.33,9.33,1.66,1.33,0.237,0,2.85,0.71,,,,0,0,0
S. Roux,Central Coast Mariners,Central Coast Mariners,RB,32,350000,2026-06-30,5,506,0,0,0,0.29,11.38,64.06,South Africa,"South Africa, New Zealand",right,181,71,no,9.6,5.51,83.87,1.78,50,1.07,1.3,0.53,3.91,4.78,0.53,1,0.18,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1.42,25,0,0,1.42,25,0.53,0.89,80,1.78,60,1.07,0.36,0,35.93,1.25,0.36,46.6,84.35,19.39,77.06,7.47,95.24,11.74,87.88,40.02,90.67,5.16,51.72,17.64,38.12,0.05,0.36,0,0,0.18,100,0.18,8,80,1.25,71.43,1.07,50,0.36,0.36,9.07,76.47,0,,0,,0,0,0,0,,,0.18,,,0,0,0,0,0,0
A. McCalmont,Central Coast Mariners,Central Coast Mariners,"LCMF, LDMF",25,175000,,5,506,2,1.79,0,1.04,11.92,55.22,England,"England, Northern Ireland",right,175,63,no,7.11,6.94,51.28,0.71,50,0.36,0.43,0.36,3.2,3.91,1.25,2,0.36,0,0,1.42,0.36,0,0,0.32,0,0,7,1.25,28.57,28.571,0,0.89,40,0.53,0,0.18,100,0,0.53,100,2.13,58.33,0.53,1.07,0.18,31.48,0.18,0.18,41.62,84.62,14.23,67.5,8,100,14.94,92.86,34.68,91.28,6.05,52.94,19.51,36.33,0.19,1.78,0,0,0.36,50,0.53,7.29,58.54,1.6,33.33,0.89,0,0.71,0.36,6.05,82.35,0,,0,,0,0,0,0,,,0.36,,,1.42,0.18,0,2.49,2,100
J. Oluwayemi,Wellington Phoenix,Wellington Phoenix,GK,24,200000,2026-06-30,5,505,0,0,0,0.39,0.18,100,England,"England, Nigeria",right,186,0,no,2.14,0,0,0.18,100,0,0,0,2.14,4.14,0,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,10.87,83.61,4.99,67.86,0,0,4.46,100,8.02,93.33,2.85,56.25,27.82,46.87,0.07,0.18,0,0,0,0,0.18,0.53,33.33,0.36,50,0.18,100,0.18,0,2.85,56.25,7,1.25,20,3.56,0,65,6.82,1.22,-0.18,-0.032,0,0.71,0.18,,,,0,0,0
I. Eze,Wellington Phoenix,Wellington Phoenix,CF,26,0,2026-06-30,5,505,3,2.52,0,0,27.45,28.57,Nigeria,Nigeria,unknown,180,0,no,3.74,4.1,47.83,5.35,16.67,0.53,1.03,0,1.25,2.41,2.67,1,0.18,0,0,2.67,0.53,3,0.53,0.45,0,0,13,2.32,46.15,23.077,0,0.71,25,0.36,0,0.36,50,0,2.14,66.67,13.01,24.66,3.92,1.07,0.36,9.27,2.5,1.25,10.69,70,2.67,60,2.85,81.25,2.67,60,9.45,75.47,0.71,25,15.08,23.79,0,0,0,0,0,0,0,0.53,66.67,0.18,100,0,0,0.18,0.18,0.71,75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
L. Kelly-Heald,Wellington Phoenix,Wellington Phoenix,"LB, LCB",20,0,2027-06-30,5,505,0,0.32,0,0,16.22,52.75,New Zealand,New Zealand,left,198,82,no,11.05,8.38,61.7,2.85,75,0.71,1.38,0.53,5.17,10,0.36,0,0,0,0,0.53,0,0,0,0.06,0,0,4,0.71,0,0,0,0.89,40,0.89,40,0,0,0,0.36,50,2.67,20,1.25,0.53,0.18,37.96,0,0.53,56.5,89.91,23.35,86.26,6.06,91.18,15.15,95.29,51.33,94.1,4.28,50,16.29,36.89,0,0.18,0,0.18,0,0,0,5.17,89.66,0.53,33.33,0,0,0,0.18,6.59,64.86,0,,0,,0,0,0,0,,,0.36,,,0,0,0,0,0,0
A. Rufer,Wellington Phoenix,Wellington Phoenix,"LCMF, RCMF, DMF",29,600000,2026-06-30,5,505,0,0.29,0,0.31,15.5,56.32,New Zealand,"New Zealand, Switzerland",right,184,75,no,6.95,5.52,74.19,3.39,52.63,0.89,1.72,0.18,1.96,3.79,0.89,1,0.18,0,0,0.89,0,0,0,0.05,0,0,6,1.07,16.67,0,0,0.71,100,0,0,0.36,100,0,0,0,3.56,40,1.25,1.07,0,39.56,0.36,1.25,55.07,87.38,21.03,77.12,7.49,95.24,19.07,93.46,45.98,92.64,8.38,57.45,18.04,38.31,0.05,0.89,0,0.18,0,0,0.18,11.58,73.85,3.39,52.63,1.07,50,1.6,0.53,8.73,77.55,0,,0,,0,0,0,0,,,0.18,,,0.18,0,0,0,0,0
K. Nagasawa,Wellington Phoenix,Wellington Phoenix,"RCMF, DMF, LCMF",33,250000,2026-06-30,5,505,1,0.95,1,0.49,12.83,59.72,Japan,Japan,right,172,72,no,5.88,4.63,80.77,1.25,42.86,0,0,0.18,2.14,4.14,0.36,0,0,0,0,0.53,0.18,1,0.18,0.17,0,0,5,0.89,20,20,0.18,0.53,66.67,0.53,66.67,0,0,0,0.36,0,4.81,40.74,1.25,0.36,0,28.87,0.36,1.78,42.24,81.86,14.08,62.03,10.16,98.25,9.27,88.46,37.96,85.45,3.74,47.62,15.51,32.2,0.09,1.07,0,0,0,0,0.36,6.77,63.16,2.14,58.33,0.18,0,0.89,0.36,3.92,86.36,0,,0,,0,0,0,0,,,0,,,0.71,0,0,1.43,0,0
