Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. KjÊrgaard,Salzburg,Salzburg,"LDMF, LAMF, AMF",22,13000000,2028-06-30,10,718,1,1.34,4,2.09,9.4,48,Denmark,Denmark,left,192,77,no,4.01,2.76,59.09,0.5,25,0,0,0.13,2.38,4.42,0.25,0,0,0,0,2.63,0.13,1,0.13,0.17,0,0,19,2.38,36.84,5.263,0.5,2.13,35.29,2.01,37.5,0.13,0,0.13,1.38,72.73,4.89,46.15,2.51,2.38,0.63,42.12,0.88,0.5,51.64,81.55,16.17,72.09,9.15,93.15,17.42,87.05,45.88,86.61,3.89,45.16,17.21,28.27,0.26,2.01,0,0.13,0,0,0.75,8.27,80.3,3.13,48,0.38,66.67,1.13,0.75,7.52,73.33,,1.75,0.38,33.33,3.26,0,0
L. Gourna-Douath,Salzburg,Salzburg,"RCMF, RDMF",22,9000000,2027-06-30,4,211,0,0,0,0.07,18.77,52.27,France,"France, Central African Republic",right,185,81,no,8.1,6.4,53.33,2.56,66.67,0.43,0.6,0.43,4.27,6,1.71,2,0.85,0,0,0,0,0,0,0,0,0,1,0.43,0,0,0,0,0,0,0,0,0,0,0,0,6.82,37.5,0,1.28,0,38.39,0,1.71,55.45,87.69,14.5,70.59,9.81,95.65,24.31,92.98,50.76,89.92,4.69,63.64,19.22,37.2,0.03,0.43,0,0,0,0,0,5.55,61.54,0,0,0,0,0,0,5.97,50,,0,0,0,0,0,0
M. Bidstrup,Salzburg,Salzburg,"RDMF, RCMF, DMF",24,9000000,2029-06-30,9,722,0,0.06,0,0.11,15.83,58.27,Denmark,Denmark,right,175,70,no,9.47,7.11,68.42,1.37,81.82,0.25,0.47,0,4.36,8.14,0.62,0,0,0,0,1,0,0,0,0.01,0,0,4,0.5,0,0,0,0.62,100,0,0,0.62,100,0.12,1.12,22.22,5.24,38.1,0.25,0.62,0.12,39.02,0.25,1.12,54.85,88.64,15.46,66.13,8.48,98.53,22.19,98.88,50.36,91.83,3.86,45.16,16.88,30.08,0.01,0.5,0,0.12,0.12,100,0.12,7.11,78.95,1.5,58.33,0,0,0.25,0.62,5.86,76.6,,0,0,0,0,0,0
P. Ratkov,Salzburg,Salzburg,CF,22,5000000,2028-06-30,13,919,7,4.92,2,0.13,16.75,33.92,Serbia,"Serbia, Croatia",right,193,82,no,2.45,1.66,23.53,7.74,43.04,0.1,0.16,0.1,1.96,3.28,0.78,2,0.2,0,0,1.86,0.69,5,0.49,0.48,1,0.1,26,2.55,42.31,26.923,0.2,0.39,25,0.1,0,0.29,33.33,0,1.27,53.85,5.39,25.45,3.62,0.2,0,8.81,1.76,0.59,12.34,73.02,1.86,52.63,3.43,88.57,3.62,72.97,11.46,75.21,0.49,60,15.01,7.08,0.01,0.39,0,0.1,0,0,0.2,0.98,50,0.69,57.14,0.1,0,0.59,0.2,0.78,50,,0.1,0.1,0,0,2,100
O. Kiteishvili,Sturm Graz,Sturm Graz,"AMF, CF",29,5000000,2027-06-30,10,783,5,3.85,1,1.42,18.05,45.86,Georgia,Georgia,right,173,65,no,4.71,4.25,59.46,2.3,40,0,0,0.11,2.18,3.31,0.8,1,0.11,0,0,2.3,0.57,3,0.34,0.44,0,0,27,3.1,33.33,18.519,0.11,0.8,0,0.23,0,0.57,0,0.23,2.64,39.13,8.39,49.32,2.64,1.72,0.46,36.09,2.18,2.3,46.21,82.09,15.63,74.26,9.31,95.06,10.69,84.95,43.22,84.31,2.18,68.42,14.24,26.28,0.16,1.49,0.11,0.11,0.92,25,0.57,6.9,70,3.1,62.96,1.26,27.27,2.53,0,6.32,85.45,,0.34,0.23,0,0.34,2,100
T. Horvat,Sturm Graz,Sturm Graz,"RAMF, RCMF, AMF",26,5000000,,12,1103,2,1.21,3,4.27,17.71,45.62,Slovenia,Slovenia,left,176,69,no,6.2,5.22,64.06,1.63,15,0.08,0.13,0.08,2.77,4.49,0.73,0,0,0,0,4.32,0.16,2,0.16,0.1,0,0,22,1.8,36.36,9.091,0.24,1.88,56.52,0.73,44.44,1.14,64.29,0.41,4.08,64,8.65,40.57,1.55,3.51,0.49,27.42,0.98,0.73,38.19,80.98,12.24,70.67,6.04,90.54,11.42,84.29,33.94,84.13,2.53,54.84,16.05,29.9,0.35,2.61,0.16,0,0.08,0,0.57,4.9,71.67,3.1,57.89,0.57,0,1.39,0.9,5.87,88.89,,2.94,0.08,100,4.81,0,0
Y. Vertessen,Salzburg,Salzburg,"CF, LAMF, AMF",24,5000000,2028-06-30,12,620,5,2.04,1,1.27,19.02,48.09,Belgium,Belgium,right,174,74,no,3.92,4.21,62.07,2.18,60,0,0,0.15,1.31,2.23,1.89,1,0.15,0,0,3.77,0.73,5,0.73,0.3,1,0.15,15,2.18,46.67,33.333,0.15,0.87,66.67,0.15,100,0.73,60,0,4.06,53.57,10.02,43.48,4.94,1.31,0.29,14.37,1.16,1.89,18.29,77.78,2.47,70.59,5.81,85,4.35,80,17.27,78.15,0.15,100,13.78,1.87,0.18,1.6,0.29,0,0,0,1.02,1.45,90,1.31,77.78,0,0,1.45,0.58,1.74,75,,0,0,0,0,0,0
S. Kalajdûi?,LASK,LASK,CF,28,5000000,2027-06-30,4,182,0,0.39,0,0.54,22.25,48.89,Austria,"Austria, Serbia",right,200,90,yes,1.98,1.98,50,4.45,66.67,0,0,0,0.99,1.88,0.99,0,0,0,0,2.47,0,0,0,0.19,0,0,3,1.48,66.67,0,0,0.99,50,0.99,50,0,0,0.49,0.49,100,10.88,36.36,5.93,0.49,0,15.82,0.99,4.45,20.77,69.05,5.93,58.33,3.96,75,8.41,70.59,17.8,77.78,1.98,0,17.92,33.69,0.26,2.47,0,0,0.49,100,0.99,3.96,62.5,0.49,100,0.49,100,0.99,0.49,1.48,66.67,,0,0,0,0,0,0
J. Gorenc Stankovi?,Sturm Graz,Sturm Graz,"DMF, RDMF",29,4500000,2027-06-30,11,996,0,1.45,0,0.03,18.34,53.69,Slovenia,Slovenia,right,190,78,no,11.02,6.23,66.67,6.69,45.95,0.27,0.42,0.54,6.6,10.14,1.27,3,0.27,0,0,0.54,0,0,0,0.13,0,0,10,0.9,40,0,0,0.18,50,0,0,0.18,50,0,0.36,25,2.08,43.48,0.9,0.27,0,20.06,0.18,1.27,37.32,79.42,17.08,70.9,3.52,94.87,12.56,87.05,32.53,83.33,4.61,52.94,18.94,30.97,0,0.09,0,0.09,0,0,0.09,7.77,74.42,1.17,23.08,0.27,33.33,0.09,0.09,7.41,81.71,,0,0,0,0,0,0
T. Gulliksen,Rapid Wien,Rapid Wien,"AMF, LCMF, RCMF",22,4000000,,8,403,0,0.33,1,0.24,18.98,45.88,Norway,Norway,right,177,70,no,6.48,9.16,51.22,1.79,62.5,0.67,1.25,0,1.12,2.08,2.68,2,0.45,0,0,1.34,0,0,0,0.07,0,0,5,1.12,0,0,0.22,2.01,33.33,0.22,0,1.79,37.5,0.22,1.56,42.86,7.15,37.5,1.34,2.01,0,30.6,0.45,1.12,36.4,83.44,10.27,78.26,5.36,87.5,12.28,89.09,32.16,86.81,2.68,75,16.93,41.64,0.05,0.89,0,0,0.22,0,0.67,6.03,77.78,3.57,75,0.22,0,1.12,0.67,6.92,80.65,,0.22,0,0,0.89,0,0
