Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Carlson,St. Pölten,St. Pölten,"LB, LWB",27,250000,2026-06-30,15,1447,0,0.24,1,0.41,11.44,57.07,United States,"United States, Luxembourg",left,185,80,no,6.03,3.98,59.38,2.67,72.09,0.06,0.11,0.31,3.61,6.26,0.56,1,0.06,0,0,0.81,0,0,0,0.01,0,0,5,0.31,20,0,0.06,1.93,25.81,1.93,25.81,0,0,0.06,0.44,57.14,2.99,45.83,0.68,1.49,0.12,28.61,1.55,0.87,39.43,82.33,10.7,64.53,9.45,97.37,11.32,83.52,34.15,89.25,3.61,44.83,19.39,39.27,0.03,0.44,0.06,0,0.06,0,0.19,3.48,48.21,1.74,42.86,0.12,50,0.44,0.37,5.97,63.54,0,,0,,0,0,0,0,,,1.12,,,0,0,0,0,0,0
D. Schierl,Austria Lustenau,Austria Lustenau,GK,31,400000,,15,1442,0,0,0,0,0.5,75,Austria,Austria,right,185,82,no,0.94,0,0,0.5,75,0,0,0,0.94,1.4,0,3,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0.25,0.19,29.33,85.96,16.17,75.68,0,0,12.55,99,16.91,98.89,12.36,68.69,33.77,49.16,0,0,0,0,0,0,0,4.62,67.57,0.12,50,0.12,50,0.19,0,9.8,80.89,15,0.94,53,3.31,5,71.7,17.16,1.07,2.16,0.135,0,1.56,0.5,,,,0,0,0
K. Jusic,Austria Wien II,Austria Wien II,GK,20,0,,15,1432,0,0,0,0,0.69,90.91,Austria,Austria,left,0,0,no,2.45,0.13,100,0.44,100,0,0,0.06,2.33,3.14,0,3,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,50,0,0,0,23.07,0.19,0.19,34.94,78.96,18.79,62.88,0,0,14.9,98.31,18.98,99.34,15.78,55.38,35.32,50.22,0,0,0,0,0,0,0,5.41,40.7,0.82,15.38,0.75,16.67,0.13,0,9.93,70.89,21,1.32,77,4.84,3,72.73,20.82,1.31,-0.18,-0.011,0,0.94,0.44,,,,0,0,0
J. Turi,Kapfenberger SV,Kapfenberger SV,RCB,24,250000,,15,1425,1,1.81,0,0.31,15.35,52.26,Austria,Austria,right,187,86,no,8.97,4.11,72.31,7.45,49.15,0.06,0.08,0.82,5.94,7.88,0.82,2,0.13,0,0,0.38,0.06,1,0.06,0.11,1,0.06,7,0.44,28.57,14.286,0,0.38,33.33,0.13,0,0.25,50,0,0.13,100,1.14,27.78,1.2,0.25,0,22.17,0.13,0.32,38.53,83.11,17.87,71.38,3.03,97.92,15.28,95.45,30.25,91.86,7.96,52.38,26.1,45.76,0.02,0.13,0,0,0,0,0.06,6.25,56.57,0.76,33.33,0.13,0,0.32,0.13,7.96,72.22,0,,0,,0,0,0,0,,,2.53,,,0.06,0,0,0,1,0
M. Stendera,St. Pölten,St. Pölten,"LCMF, DMF, RCMF",29,200000,,15,1410,7,4.22,4,5.46,15,61.7,Germany,Germany,right,174,73,no,7.72,6.38,68,1.79,57.14,0.45,0.77,0.26,2.94,5.09,1.4,2,0.13,0,0,2.36,0.45,4,0.26,0.27,0,0,39,2.49,41.03,17.949,0.26,1.09,23.53,0.32,20,0.77,25,0.06,1.28,75,4.91,57.14,0.38,1.15,0.13,44.11,0.19,1.02,59.17,80.26,22.85,63.97,9.19,97.92,19.91,88.78,46.98,88.86,11.11,49.43,21.09,39.67,0.35,2.62,0.06,0,0.13,100,0.38,14.11,60.18,3.77,42.37,1.21,47.37,1.47,0.19,10.85,80,0,,0,,0,0,0,0,,,0.83,,,3.13,0.89,35.71,4.91,4,75
M. Matkovic,Austria Klagenfurt,Austria Klagenfurt,"RCB, RB",22,0,,15,1397,0,0.86,1,0.57,18.55,60.42,Croatia,Croatia,right,195,80,yes,10.5,7.41,65.22,4.83,60,0.52,0.63,0.32,5.15,6.25,1.29,4,0.26,0,0,0.71,0,0,0,0.06,0,0,10,0.64,20,0,0.06,0.26,0,0,0,0.26,0,0,0.77,66.67,3.99,56.45,0.97,0.97,0,29.76,0.52,1.29,47.16,83.61,19.97,71.61,5.09,96.2,17.91,92.81,41.1,90.44,5.86,38.46,21.51,39.4,0.04,0.13,0,0,0.06,100,0.06,6.25,56.7,0.77,16.67,0.32,20,0.26,0,8.31,71.32,4,,6,,0,33.33,1.72,0.11,,,3.03,,,0,0,0,0,0,0
P. Gobara,WSPG Wels,WSPG Wels,"LCB, LB",25,225000,,15,1381,2,0.81,0,0.35,9.58,66.67,Austria,Austria,left,186,78,no,6.13,3.98,77.05,2.54,61.54,0.2,0.27,0.13,2.87,3.89,0.59,4,0.26,0,0,0.2,0.13,2,0.13,0.05,0,0,3,0.2,66.67,66.667,0,0.2,33.33,0.2,33.33,0,0,0,0,0,1.04,25,0.39,0.39,0,25.03,0.13,0.78,35.91,85.66,15.97,80,3.65,94.64,11.86,91.21,32.65,90.42,3.06,38.3,18.6,35.79,0.02,0.46,0.07,0,0,0,0,3.98,70.49,0.39,66.67,0.07,0,0.2,0,6.32,63.92,0,,0,,0,0,0,0,,,1.56,,,0.72,0,0,0.13,0,0
B. Barisic,Austria Klagenfurt,Austria Klagenfurt,CF,22,400000,2027-06-30,15,1375,7,4.62,1,0.32,19.11,34.59,Croatia,Croatia,right,188,77,yes,1.7,1.57,58.33,8.51,34.62,0,0,0.13,0.79,0.96,1.11,1,0.07,0,0,1.7,0.46,6,0.39,0.3,4,0.26,16,1.05,68.75,43.75,0.07,0.26,25,0.07,0,0.2,33.33,0,1.51,56.52,5.3,33.33,1.57,0.46,0,8.77,2.62,0.79,14.66,74.55,2.49,42.11,6.41,85.71,3.34,76.47,13.88,76.42,0.52,50,14.51,16.46,0.02,0.33,0,0.07,0.07,100,0.13,1.37,61.9,0.59,44.44,0.07,100,0.39,0.07,0.72,54.55,0,,0,,0,0,0,0,,,0.2,,,0,0,0,0,1,100
A. Liu,Austria Klagenfurt,Austria Klagenfurt,LCB,25,100000,,15,1361,2,0.89,0,0.03,20.1,70.07,Spain,"Spain, United States",right,193,0,no,11.44,7.27,72.73,9.65,74.66,0.2,0.24,0.66,5.95,7.11,1.39,1,0.07,0,0,0.4,0.13,2,0.13,0.06,2,0.13,10,0.66,50,20,0,0.2,33.33,0.2,33.33,0,0,0,0.07,0,1.32,40,0.86,0.53,0,27.24,0.33,0.53,43.12,79.45,18.98,66.9,3.5,98.11,17.06,89.92,35.25,86.3,7.67,49.14,22.22,38,0,0.07,0,0,0,0,0.07,5.62,50.59,0.73,9.09,0.2,66.67,0,0.07,9.59,62.07,0,,0,,0,0,0,0,,,2.71,,,0.07,0,0,0,0,0
M. Meisl,Admira,Admira,"LCB, LB",24,500000,2026-06-30,14,1359,2,1.1,2,0.7,13.38,56.93,Austria,Austria,left,188,80,no,7.09,4.97,70.67,5.96,47.78,0,0,0.2,3.58,4.75,0.73,2,0.13,0,0,0.86,0.13,2,0.13,0.07,0,0,7,0.46,57.14,28.571,0.13,1.06,43.75,0.86,38.46,0.13,50,0.2,0.13,100,0.66,40,0.93,0.99,0,35.76,0.86,0.07,52.45,85.23,26.56,78.55,4.11,96.77,15.76,92.02,41.26,93.74,10.13,54.9,21.29,37.78,0.05,0.33,0,0,0,0,0.2,8.41,63.78,1.72,46.15,0.79,41.67,0.46,0.46,11.13,77.98,0,,0,,0,0,0,0,,,2.05,,,0.07,0,0,0,0,0
