Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Pieklak,Lommel SK,Lommel SK,GK,19,0,,13,1257,0,0,0,0,0.79,90.91,Belgium,Belgium,,195,0,no,0.79,0,0,0.57,100,0,0,0,0.79,1.07,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,50,0,0,0,15.68,0.14,0.21,22.91,91.25,10.38,83.45,0,0,10.95,98.04,16.97,98.73,5.94,69.88,27.24,43.17,0,0,0,0,0,0,0,0.93,76.92,0,0,0.14,100,0,0,5.37,70.67,0.57,,,,0,0,0
D. Wouters,Lommel SK,Lommel SK,"LCB, RCB",28,700000,2027-06-30,13,1219,1,0.2,0,0.05,9.16,66.13,Belgium,Belgium,left,191,80,no,6.64,3.25,63.64,3.25,70.45,0.15,0.2,1.33,4.43,5.98,0.3,2,0.15,0,0,0.3,0.07,1,0.07,0.02,0,0,4,0.3,25,25,0,0.22,33.33,0.07,100,0.15,0,0,0.22,66.67,1.26,58.82,0.52,0.44,0,39.28,0.3,0.81,53.38,89.07,21.71,81.97,2.29,93.55,25.03,94.99,46.14,95.36,7.01,49.47,21.35,39.02,0,0.07,0,0,0,0,0,5.32,63.89,0.3,75,0.37,40,0.15,0.07,8.64,71.79,,0,0,0,0,0,0
L. Schoofs,Lommel SK,Lommel SK,"RCMF, CF, AMF",28,900000,2027-06-30,13,1199,6,4.19,0,1.26,19.89,52.45,Belgium,Belgium,right,186,66,no,10.36,9.46,64.29,2.93,64.1,0.3,0.4,0.23,3.98,5.34,1.28,2,0.15,0,0,1.5,0.45,5,0.38,0.31,2,0.15,15,1.13,53.33,40,0,1.28,35.29,0.08,0,1.2,37.5,0.15,0.75,60,4.65,27.42,2.7,0.68,0,27.77,1.35,0.53,39.03,79.23,9.38,66.4,9.23,90.24,11.86,74.68,35.43,83.26,2.33,41.94,16.64,35.11,0.09,1.13,0.08,0.08,0,0,0.38,4.73,65.08,1.43,57.89,0,0,1.05,0.45,6.31,59.52,,0,0,0,0,1,100
J. Renson,Patro Eisden,Patro Eisden,RCB,29,500000,,12,1180,0,0.88,0,0.01,6.64,52.87,Belgium,Belgium,right,185,74,no,6.1,1.14,60,3.81,48,0,0,0.61,5.42,6.49,0.23,0,0,0,0,0.23,0,0,0,0.07,0,0,8,0.61,25,0,0,0.08,0,0,0,0.08,0,0,0.15,50,0.38,40,0.84,0.08,0,16.32,0.15,0.31,29.67,78.41,15.41,67.33,2.06,100,10.3,90.37,19.07,89.2,10.53,59.42,28.33,44.53,0,0.15,0,0,0,0,0.08,8.16,67.29,0.84,18.18,0.46,33.33,0.15,0,9.15,74.17,,0,0,0,0,0,0
J. Devriendt,Patro Eisden,Patro Eisden,GK,26,25000,2026-06-30,12,1180,0,0,0,0,0.92,91.67,Belgium,Belgium,right,189,81,no,2.29,0.15,100,0.61,87.5,0,0,0,2.14,2.56,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,7.63,0.31,0.23,15.25,81,10.83,74.65,0,0,4.19,100,6.41,96.43,8.85,69.83,39.68,50.72,0,0,0,0,0,0,0,3.58,59.57,0.23,0,0.15,0,0,0,7.02,85.87,0.61,,,,0,0,0
B. De Kerf,Lierse Kempenzonen,Lierse Kempenzonen,RCB,21,0,,12,1179,0,0.11,1,1.47,12.21,66.25,Belgium,Belgium,right,190,0,no,9.62,6.03,81.01,1.98,61.54,0.99,1.31,0.31,3.74,4.93,0.38,1,0.08,0,0,1.07,0,0,0,0.01,0,0,3,0.23,33.33,0,0.08,0.84,36.36,0.08,100,0.76,30,0.15,0.99,61.54,3.05,40,0.76,1.37,0.23,29.39,0.23,0.31,43.36,83.8,20.31,74.44,3.59,97.87,14.66,93.23,35.95,89.38,6.56,59.3,20.58,35.93,0.11,0.38,0,0.08,0.15,50,0.08,4.96,58.46,1.45,47.37,1.15,53.33,0.61,0.23,8.47,67.57,,0,0,0,0,0,0
D. Asare,Lierse Kempenzonen,Lierse Kempenzonen,"RCMF, LCMF",21,0,2026-06-30,12,1179,0,0.87,2,0.64,15.34,52.74,Belgium,"Belgium, Ghana",right,173,0,no,8.17,5.57,64.38,3.59,46.81,0.46,0.6,0.53,4.12,5.44,1.6,2,0.15,0,0,1.22,0,0,0,0.07,0,0,17,1.3,0,0,0.15,0.61,37.5,0,0,0.61,37.5,0,1.3,76.47,3.66,50,0.76,1.07,0.08,24.66,0.08,1.07,36.95,83.88,12.67,70.48,6.79,95.51,13.13,89.53,33.59,88.86,2.82,32.43,19.09,38.52,0.05,0.61,0,0,0.08,0,0.08,6.72,72.73,0.84,27.27,0.31,0,0.31,0.23,6.03,64.56,,0.23,0.08,0,0.76,0,0
B. Adinany,Lierse Kempenzonen,Lierse Kempenzonen,CF,25,0,2026-06-30,12,1179,5,4.17,3,1.96,26.56,42.53,France,France,right,190,0,no,4.58,3.44,71.11,9.85,47.29,0.08,0.1,0.08,2.06,2.72,1.07,1,0.08,0,0,2.06,0.38,5,0.38,0.32,4,0.31,24,1.83,33.33,20.833,0.23,0.84,54.55,0.15,0,0.69,66.67,0,1.6,57.14,8.93,30.77,3.21,0.99,0.15,12.21,3.44,1.91,16.26,72.77,3.66,54.17,5.19,86.76,4.35,73.68,14.96,75.51,0.53,28.57,15.3,16.24,0.15,0.84,0.08,0,0.08,100,0.53,1.76,47.83,1.37,66.67,0.15,50,0.92,0.31,2.21,65.52,,0,0,0,0,0,0
J. Bustin,Liège,Liège,LCB,27,350000,2026-06-30,12,1174,0,1.47,2,0.11,13.57,61.02,Belgium,Belgium,,194,82,no,9.43,6.29,70.73,4.68,55.74,0.31,0.37,1.15,4.68,5.58,0.84,2,0.15,0,0,0.15,0,0,0,0.11,0,0,8,0.61,25,0,0.15,0.08,0,0.08,0,0,0,0,0.08,0,1.15,33.33,0.77,0.84,0,38.71,0.23,0.54,51.52,86.46,17.86,68.67,3.22,95.24,27.98,96.44,42.7,93.18,8.74,54.39,24.58,42.7,0.01,0.08,0,0,0.08,0,0.15,7.97,67.31,1,38.46,0.69,22.22,0.31,0,8.82,70.43,,0,0,0,0,0,0
J. Belin,Liège,Liège,GK,30,250000,,12,1174,0,0,0,0,1.07,92.86,Belgium,Belgium,left,185,80,no,1.53,0,0,0.69,88.89,0,0,0,1.53,1.83,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,100,0,0,0,14.41,0.15,0.61,28.67,89.57,12.04,78.98,0,0,14.95,97.44,19.55,99.61,9.05,68.64,29.39,48.71,0,0,0,0,0,0,0,1.84,62.5,0,0,0.15,50,0.08,0,7.13,77.42,0.69,,,,0,0,0
