Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Wanderson,Ponte Preta,Ponte Preta,RCB,31,100000,,26,2573,1,1.68,0,0.32,13.33,66.4,Brazil,Brazil,right,187,85,no,8.74,5.28,74.17,4.41,65.87,0.21,0.31,0.66,4.62,6.76,1.08,3,0.1,0,0,0.42,0.03,1,0.03,0.06,1,0.03,12,0.42,33.33,8.333,0,0.21,33.33,0,0,0.21,33.33,0.03,0.24,85.71,1.78,54.9,0.56,0.77,0.14,21.3,0.31,0.8,35.5,81.58,14.76,65.17,3.29,95.74,13.47,93.77,29.21,90.3,6.12,41.14,24.05,43.26,0.01,0.17,0,0,0.03,0,0.03,6.12,50.86,1.08,19.35,0.73,19.05,0.21,0.1,6.89,63.96,0,,0,,0,0,0,0,,,2.45,,,0.07,0,0,0,0,0
Diogo Silva,Ponte Preta,Ponte Preta,GK,39,150000,,25,2498,1,0.76,0,0,0.83,82.61,Brazil,Brazil,right,192,81,no,1.12,0.04,100,0.54,86.67,0,0,0.04,1.08,1.57,0,5,0.18,0,0,0.04,0.04,0,0,0.03,0,0,1,0.04,100,100,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0,10.74,0.22,0.22,17.58,78.07,9.98,63.18,0.04,0,7.03,97.95,9.84,97.8,7.75,53.02,38.62,57.32,0,0,0,0,0,0,0,3.89,45.37,0.32,11.11,0.22,16.67,0,0,5.19,76.39,15,0.54,81,2.92,15,81.48,20.04,0.72,5.04,0.182,0,1.19,0.54,,,,0,1,100
Emerson,Guarani,Guarani,"LB, LWB",27,100000,,24,2397,2,0.62,0,0.96,17.72,56.99,Brazil,Brazil,left,179,73,no,8.34,7.7,64.39,2.93,58.97,0.08,0.12,0.26,3.3,5.26,1.88,4,0.15,0,0,3,0.08,2,0.08,0.02,0,0,23,0.86,26.09,8.696,0,4.09,34.86,4.09,34.86,0,0,0.6,2.07,65.45,5.11,48.53,0.83,1.69,0.3,21.44,1.73,0.9,30.75,75.21,9.72,65.25,6.08,90.74,9.76,74.23,22.98,88.89,4.17,37.84,21.57,41.74,0.04,0.53,0,0,0,0,0.19,4.39,58.97,3.15,38.1,0.23,0,0,1.39,5.74,71.24,0,,0,,0,0,0,0,,,0.26,,,0.6,0.19,0,0.19,0,0
Raphael,Guarani,Guarani,RCB,26,0,,24,2376,3,1.78,0,0,14.39,59.47,Brazil,Brazil,right,185,73,no,7.27,4.73,73.6,7.01,56.76,0.45,0.72,0.45,3.33,5.29,1.25,8,0.3,0,0,0.34,0.11,3,0.11,0.07,3,0.11,15,0.57,53.33,20,0,0,0,0,0,0,0,0,0.19,20,0.91,58.33,0.76,0.76,0,25.19,0.15,0.53,35.95,87.88,11.93,72.7,2.84,96,17.16,96.25,32.73,92.94,3.22,36.47,20.43,38.15,0,0.08,0,0,0,0,0.04,4.09,64.81,0.38,10,0.27,14.29,0.11,0,5.3,62.86,0,,0,,0,0,0,0,,,1.55,,,0,0,0,0,0,0
Wallace,Londrina,Londrina,"LCB, RCB",37,100000,,23,2293,1,0.86,1,0.69,10.68,65.07,Brazil,Brazil,right,186,76,no,6.71,3.34,72.94,4.04,66.99,0.12,0.19,0.51,4.16,6.78,0.67,2,0.08,0,0,0.31,0.04,1,0.04,0.03,1,0.04,8,0.31,37.5,12.5,0.04,0.16,0,0.08,0,0.08,0,0,0.39,50,1.77,48.89,0.43,1.49,0,30.65,0.51,1.06,47.14,89.68,19.66,82.44,2.59,96.97,21.63,96.19,42.55,92.8,4.44,62.83,22.81,35.94,0.03,0.16,0.04,0.04,0,0,0.08,4.47,77.19,0.31,25,0.16,50,0.16,0,9.15,71.24,0,,0,,0,0,0,0,,,1.81,,,0,0,0,0,0,0
Alan,Caxias,Caxias,LCB,24,0,2025-12-31,23,2244,1,2.55,0,0.23,14.08,58.69,Brazil,Brazil,left,0,0,no,8.26,6.14,65.36,4.13,46.6,0.32,0.47,0.52,3.93,5.74,1.68,3,0.12,0,0,0.72,0.04,1,0.04,0.1,0,0,12,0.48,41.67,8.333,0,0.08,50,0.08,50,0,0,0,0.48,91.67,1.68,57.14,0.84,1.52,0.04,28.52,0.56,0.56,43.96,85.49,16.48,70.8,2.49,93.55,21.06,95.43,38.7,91.5,5.17,41.09,21.59,40.64,0.01,0.16,0,0,0.04,100,0.04,5.09,61.42,0.6,46.67,0.32,50,0.24,0.04,6.86,57.31,0,,0,,0,0,0,0,,,1.52,,,0,0,0,0,0,0
Thiago Coelho,Caxias,Caxias,GK,30,0,,22,2181,0,0,0,0,0.91,63.64,Brazil,Brazil,right,187,84,no,1.44,0.08,0,0.54,69.23,0.04,0.06,0,1.4,2.04,0.04,3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,75,0,0,0,11.8,0.08,0.29,18.32,81.98,8.34,62.87,0,0,9.57,98.71,12.17,97.97,6.07,51.02,34.78,52.04,0,0,0.04,0,0,0,0,1.94,31.91,0.41,10,0.25,33.33,0,0,3.76,67.03,22,0.91,96,3.96,7,77.08,21.09,0.87,-0.91,-0.038,0,1.61,0.54,,,,0,0,0
Matheus Nogueira,Brusque,Brusque,GK,39,100000,,22,2176,0,0,0,0,0.87,85.71,Brazil,Brazil,right,190,84,no,1.36,0.12,100,0.5,91.67,0,0,0,1.24,1.81,0,3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,66.67,0,0,0,4.01,0.21,0.12,11.95,81.31,7.32,70.62,0,0,4.3,99.04,6.87,99.4,5,57.02,39.56,55.76,0,0,0,0,0,0,0,2.9,51.43,0.08,0,0,0,0.04,0,3.56,80.23,19,0.79,97,4.01,9,80.41,23.11,0.96,4.11,0.17,0,2.27,0.5,,,,0,0,0
Luiz Daniel,Londrina,Londrina,GK,32,0,,22,2156,0,0,0,0,0.71,94.12,Brazil,Brazil,right,187,94,no,0.96,0,0,0.46,100,0,0,0,0.96,1.59,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0,11.06,0.21,0.21,18.7,85.71,9.56,75.55,0,0,8.64,97.1,12.9,96.76,5.8,61.15,33.81,52.18,0,0,0,0,0,0,0,2.13,52.94,0.17,50,0.21,20,0.08,0,4.55,74.31,17,0.71,75,3.13,8,77.33,15.3,0.64,-1.7,-0.071,0,1.54,0.46,,,,0,0,0
Mateus Ludke,Floresta EC,Floresta EC,"RB, RWB",24,0,,23,2146,0,1.13,1,4.55,10.99,50.38,Brazil,Brazil,right,176,72,no,6.58,5.45,59.23,2.1,52,0.34,0.38,0.42,3.02,3.43,1.55,4,0.17,0,0,2.18,0,0,0,0.05,0,0,13,0.55,30.77,0,0.04,3.86,41.3,0,0,3.86,41.3,0.42,1.05,40,2.52,38.33,1.13,0.96,0.04,18.03,1.97,0.42,25.25,70.93,9.81,61.54,3.9,93.55,7.55,73.33,17.95,82.71,3.61,43.02,22.02,32.12,0.19,1.64,0.08,0,0,0,0.67,3.48,56.63,3.73,53.93,0.46,63.64,0.55,1.68,7.42,77.97,0,,0,,0,0,0,0,,,0.04,,,0.38,0.04,100,1.97,0,0
Éverton Alemão,Brusque,Brusque,"RCB, CB",32,100000,,21,2129,1,1.33,0,0.19,8.67,67.32,Brazil,Brazil,right,185,80,no,5.75,2.79,74.24,4.06,68.75,0,0,0.3,3.68,5.32,0.63,1,0.04,0,0,0.3,0.04,1,0.04,0.06,0,0,8,0.34,12.5,12.5,0,0.13,0,0,0,0.13,0,0,0.3,71.43,0.55,53.85,0.38,0.63,0.08,19.07,0.42,0.08,31.87,83.02,13.91,71.43,1.14,88.89,14.25,92.28,26.63,89.52,5.12,51.24,23.19,39.08,0.01,0.08,0,0,0.04,100,0.04,4.65,62.73,0.3,42.86,0.17,75,0.08,0,7.36,64.37,0,,0,,0,0,0,0,,,0.68,,,0.04,0,0,0,0,0
