Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Carducci,Cavalry,Cavalry,GK,29,175000,2025-12-31,31,3104,0,0,1,0.06,0.75,69.23,Canada,Canada,right,185,87,no,1.57,0.2,57.14,0.38,84.62,0,0,0,1.45,2.04,0.03,4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0.14,60,0,0,0,15.83,0.17,0.14,22.88,87.33,9.57,73.03,0,0,12.15,97.85,17.16,97.8,5.71,55.84,28.68,52.84,0,0.03,0.03,0,0,0,0.03,1.94,37.31,0.26,11.11,0.2,14.29,0.03,0,3.68,66.93,39,1.13,111,3.22,8,64.86,29.45,0.85,-9.55,-0.277,0,1.33,0.38,,,,0,0,0
N. Ingham,Atlético Ottawa,Atlético Ottawa,GK,32,125000,2025-12-31,30,2994,0,0,0,0,0.69,82.61,Canada,Canada,right,188,86,no,1.77,0.12,25,0.24,87.5,0,0,0,1.74,2.66,0,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.18,100,0,0,0,15.45,0.18,0.18,24.86,83.19,11.72,68.21,0.03,100,10.82,96.39,17.59,97.78,7.27,47.93,27.86,47.9,0,0,0.03,0,0,0,0,1.56,26.92,0.12,50,0.06,100,0.03,0,4.33,50,30,0.9,122,3.67,11,75.41,37.92,1.14,7.92,0.238,0.03,1.2,0.24,,,,0,0,0
D. Nimick,Forge,Forge,RCB,25,0,2025-12-31,30,2956,2,4.66,3,1.86,10.78,65.82,England,England,unknown,189,79,no,7.34,4.35,75.52,2.53,63.86,0.12,0.16,0.73,3.93,5.07,0.4,2,0.06,0,0,0.49,0.06,0,0,0.14,0,0,14,0.43,28.57,14.286,0.09,0.09,33.33,0,0,0.09,33.33,0.06,0.4,84.62,2.37,53.85,0.58,0.82,0,37.08,0.27,0.73,55.32,90.09,21.53,80.48,1.58,96.15,28.68,96.92,46.43,94.43,8.8,67.82,22.83,38.6,0.06,0.18,0,0.03,0,0,0.18,6.33,70.67,0.76,32,0.55,33.33,0.27,0.03,10.08,68.58,0,,0,,0,0,0,0,,,0.73,,,0,0,0,0,4,50
T. Meilleur-Giguère,HFX Wanderers FC,HFX Wanderers FC,"RCB, CB",28,200000,,29,2935,3,2.67,0,0,8.1,62.5,Canada,Canada,right,185,84,no,7.21,2.67,70.11,3.62,61.86,0.28,0.35,0.64,5.06,6.5,0.21,1,0.03,0,0,0.25,0.09,3,0.09,0.08,2,0.06,22,0.67,31.82,13.636,0,0,0,0,0,0,0,0,0.03,100,0.49,37.5,0.92,0.06,0,23.3,0.31,0.18,36.15,87.45,13.34,75.63,1.81,94.92,18.34,95.82,31.71,92.94,4.45,48.28,22.11,43.86,0,0.03,0.03,0,0,0,0.03,3.65,61.34,0.31,10,0.21,0,0.06,0,5.73,65.24,0,,0,,0,0,0,0,,,1.38,,,0,0,0,0,0,0
A. Achinioti-Jönsson,Forge,Forge,LCB,29,200000,,30,2875,1,1.5,0,0.58,11.02,63.64,Sweden,Sweden,right,186,70,no,7.33,4.79,70.59,2.35,46.67,0.28,0.36,0.5,3.66,4.73,0.63,1,0.03,0,0,0.44,0.03,1,0.03,0.05,1,0.03,12,0.38,25,8.333,0,0.19,33.33,0.06,0,0.13,50,0,0.41,69.23,1.94,72.58,0.85,1.53,0.09,37,0.5,1.38,48.77,89.92,18.28,80.48,3.26,97.12,22.91,96.58,43.58,93.89,5.01,57.5,20.77,36.7,0.02,0.09,0.03,0,0,0,0.06,6.7,74.77,0.75,29.17,0.34,18.18,0.25,0.06,7.23,71.86,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0,0,0
J. Koleilat,Forge,Forge,GK,26,0,2025-12-31,29,2858,0,0,0,0,0.35,100,Canada,Canada,,190,0,no,1.17,0.03,100,0.19,100,0,0,0,1.13,1.46,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0,6.64,0.28,0.13,11.37,91.14,4.88,81.94,0,0,5.35,97.65,9.7,98.05,1.67,50.94,23.07,39.26,0,0,0,0,0,0,0,0.41,38.46,0.09,33.33,0.03,0,0.03,0,1.29,48.78,24,0.76,90,2.83,13,73.33,25.23,0.79,1.23,0.039,0,1.01,0.19,,,,0,0,0
R. Yesli,HFX Wanderers FC,HFX Wanderers FC,GK,26,0,,28,2840,0,0.16,0,0,0.92,62.07,Canada,Canada,right,203,86,no,1.17,0.25,50,0.35,81.82,0,0,0,1.05,1.36,0.06,4,0.13,0,0,0,0,0,0,0.01,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.16,40,0.03,0,0,9.48,0.22,0.06,16.29,83.27,8.3,70.23,0.03,100,7.13,97.33,11.28,97.47,4.98,51.59,29.05,47.39,0,0,0,0,0,0,0,1.2,28.95,0.19,0,0.16,60,0,0,3.2,55.45,36,1.14,102,3.23,8,64.71,34.12,1.08,-1.88,-0.06,0.03,1.27,0.35,,,,0,0,0
M. Aparicio,Atlético Ottawa,Atlético Ottawa,"RCMF, LCMF",30,250000,2025-12-31,30,2831,2,1.55,7,2.43,16.69,50.48,Argentina,"Argentina, Canada",right,170,66,no,9,7.92,58.23,1.75,50.91,0.41,0.63,0.25,3.97,6.03,1.81,6,0.19,0,0,1.43,0.06,2,0.06,0.05,0,0,43,1.37,27.91,4.651,0.22,0.83,42.31,0.45,50,0.35,36.36,0.03,1.02,56.25,5.18,38.04,0.86,0.95,0.16,48.23,0.51,1.11,60.94,86.65,18.41,74.27,10.01,95.87,21.11,92.77,54.43,90.54,5.69,55.87,17.65,40.35,0.08,0.57,0.06,0.03,0.22,57.14,0.38,9.54,73,1.84,56.9,0.86,37.04,1.02,0.32,8.77,73.55,0,,0,,0,0,0,0,,,0.51,,,0.19,0.16,60,0.03,0,0
C. Irving,Vancouver FC,Vancouver FC,GK,32,150000,,28,2797,0,0,0,0,0.9,82.14,Canada,Canada,right,186,84,no,2.09,0.13,50,0.55,100,0,0,0,2.03,2.51,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.16,40,0,0,0,16.38,0.32,0.13,25.26,84.97,12.74,71.97,0,0,11.74,98.08,16.22,98.41,9.04,60.85,32.56,48.28,0,0,0,0,0,0,0,2.22,60.87,0.1,0,0.1,33.33,0,0,5.79,68.33,57,1.83,147,4.73,2,61.22,51.75,1.67,-5.25,-0.169,0,1.87,0.55,,,,0,0,0
S. Salter,Atlético Ottawa,Atlético Ottawa,CF,25,0,2025-12-31,30,2791,19,15,4,1.95,15.16,43.4,Canada,Canada,unknown,188,80,no,3.84,4.06,58.73,3.06,48.42,0.19,0.29,0.13,1.26,1.91,1.35,5,0.16,0,0,2.32,0.61,19,0.61,0.48,3,0.1,85,2.74,52.94,22.353,0.13,0.19,50,0.06,100,0.13,25,0,1.19,54.05,5.9,34.43,3.61,0.94,0.23,11.9,2,1,16.7,77.41,3.45,62.62,5.39,92.81,4,76.61,15.54,80.08,0.97,40,14.21,20.15,0.06,0.45,0.06,0,0.16,80,0.32,1.42,70.45,1.19,51.35,0.23,57.14,0.87,0.1,1.55,64.58,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
