Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Bernedo,Universidad Católica,Universidad Católica,GK,24,100000,31/12/2025,28,2867,0,0,0,0,0.78,60,Chile,Chile,right,187,0,no,1.51,0.06,50,0.44,64.29,0,0,0,1.48,2.4,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,57.14,0,0,0,14.09,0.22,0.19,21.31,90.43,10.92,83.05,0,0,9.48,98.68,15.26,98.56,6.03,70.31,29.29,49.52,0,0,0,0.03,0,0,0,1.13,63.89,0.06,0,0.06,0,0,0,4.33,71.01,25,0.78,101,3.17,10,75.25,28.83,0.91,3.83,0.12,0,1.91,0.44,,,,0,0,0
R. Caroca,Huachipato,Huachipato,"LCB, RCB",36,250000,,28,2848,3,2.27,0,0,12.67,67.08,Chile,Chile,right,170,67,no,10.9,4.65,84.35,4.3,57.35,0.25,0.36,0.51,6.73,9.49,0.38,2,0.06,0,0,0.41,0.09,3,0.09,0.07,1,0.03,12,0.38,66.67,25,0,0,0,0,0,0,0,0,0.25,62.5,1.74,50.91,0.44,0.47,0.03,22.78,0.35,1.17,36.78,88.75,15.9,81.31,1.86,88.14,15.33,96.91,33.72,91.28,3.07,60.82,19.56,36.81,0,0,0,0,0,0,0,2.37,69.33,0.19,0,0.13,25,0,0,6.07,60.94,0,,0,,0,0,0,0,,,1.26,,,0,0,0,0,0,0
N. Pérez,Ñublense,Ñublense,GK,35,350000,31/12/2025,28,2844,0,0,0,0,0.79,76,Uruguay,Uruguay,right,184,84,no,1.99,0.13,50,0.54,88.24,0,0,0,1.93,2.85,0.03,4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,66.67,0,0,0,9.08,0.22,0.19,15.85,86.03,10.22,81.73,0,0,5.25,94.58,9.08,97.56,6.77,70.56,35.36,49.29,0,0,0.03,0.03,0,0,0,2.91,66.3,0.06,0,0.09,33.33,0.03,0,5,83.54,39,1.23,130,4.11,7,70,43.16,1.37,4.16,0.132,0,1.68,0.54,,,,0,0,0
T. Ahumada,Audax Italiano,Audax Italiano,GK,24,425000,31/12/2027,28,2842,0,0,0,0,0.67,95.24,Chile,Chile,right,181,74,no,1.33,0.03,0,0.35,100,0,0,0,1.33,1.86,0.03,4,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,6.75,0.19,0.25,12.7,84.79,7.06,73.99,0,0,5.26,98.8,7.41,99.57,5.26,64.46,37.11,53.36,0,0,0,0,0,0,0,1.39,54.55,0.13,0,0,0,0,0,3.96,78.4,42,1.33,145,4.59,5,71.03,43.65,1.38,1.65,0.052,0,1.49,0.35,,,,0,0,0
J. Peña,Unión La Calera,Unión La Calera,GK,25,50000,31/12/2025,28,2835,0,0,0,0,1.3,85.37,Chile,Chile,right,184,82,no,2.03,0.19,83.33,0.83,92.31,0.03,0.04,0,1.84,2.5,0,1,0.03,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0.16,80,0,0,0,11.78,0.16,0.19,19.17,82.45,10.32,71.08,0,0,8.1,97.65,11.97,98.41,7.08,56.95,32.58,48.61,0,0,0,0,0,0,0,1.87,35.59,0.1,0,0.03,0,0,0,4.95,65.38,36,1.14,111,3.52,7,67.57,33.42,1.06,-2.58,-0.082,0,2.13,0.83,,,,0,0,0
D. Sánchez,Coquimbo Unido,Coquimbo Unido,GK,38,150000,31/12/2025,27,2756,0,0,0,0,0.82,72,Chile,Chile,right,184,86,no,1.53,0.07,50,0.46,92.86,0.03,0.04,0,1.47,1.85,0.03,5,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.2,66.67,0,0,0,5.85,0.23,0.16,12.31,77.45,9.6,72.45,0,0,2.58,96.2,4.47,97.81,7.77,66.39,42.59,51.74,0,0,0,0,0,0,0.03,2.02,53.23,0.07,0,0.07,50,0,0,5.94,79.67,14,0.46,64,2.09,15,78.13,14.59,0.48,0.59,0.019,0,2.12,0.46,,,,0,0,0
O. Carabalí,O'Higgins,O'Higgins,GK,28,500000,,27,2744,0,0,0,0,1.08,90.91,Ecuador,"Ecuador, Chile",left,187,85,no,1.9,0.1,66.67,0.56,100,0,0,0,1.84,3.03,0.03,5,0.16,1,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,50,0.26,87.5,0,0,0,11.97,0.16,0.49,21.06,85.51,12.46,77.37,0,0,7.84,97.07,13.78,97.62,7.25,62.9,34.02,55.24,0,0,0,0,0,0,0,3.87,61.02,0.26,0,0.26,25,0.1,0,5.28,83.23,32,1.05,102,3.35,10,68.63,30.67,1.01,-1.33,-0.044,0,1.48,0.56,,,,0,0,0
F. Salinas,Coquimbo Unido,Coquimbo Unido,RB,25,0,31/12/2026,27,2743,5,4.5,3,2.76,21.92,50.6,Chile,Chile,right,179,71,yes,9.61,6.99,64.79,7.22,52.73,0.23,0.29,0.1,4.86,6.15,0.98,6,0.2,0,0,2.46,0.16,5,0.16,0.15,4,0.13,21,0.69,47.62,23.81,0.1,2.3,38.57,0,0,2.3,38.57,0.13,2.36,50,5.55,34.91,1.18,1.44,0.16,19.52,1.71,0.3,29.66,73.89,14.27,69.66,3.05,93.55,6.86,70.81,23.62,81.67,4,46.72,19.9,40.81,0.09,0.82,0.03,0,0.13,50,0.39,5.28,60.87,2.26,44.93,0.52,43.75,0.39,0.69,7.51,69.87,0,,0,,0,0,0,0,,,0.3,,,0,0,0,0,0,0
S. Pérez,Palestino,Palestino,GK,34,350000,31/12/2025,27,2731,0,0,0,0,0.99,76.67,Chile,Chile,right,180,76,no,1.02,0.1,66.67,0.43,92.31,0,0,0,0.96,1.65,0.03,4,0.13,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.26,75,0,0,0,10.74,0.2,0.16,18.36,80.79,12.92,73.98,0,0,5.21,97.47,8.6,98.47,9.72,65.08,37.43,50.69,0,0,0,0,0,0,0,3.33,54.46,0.1,0,0.2,16.67,0,0,7.25,78.64,27,0.89,113,3.72,8,76.11,30.82,1.02,3.82,0.126,0,1.29,0.43,,,,0,0,0
F. Campos,Unión La Calera,Unión La Calera,RCB,32,300000,,27,2659,0,0.3,1,0.37,10.76,64.47,Chile,Chile,right,179,78,no,8.73,4.77,75.18,2.74,58.02,0.41,0.55,0.78,4.74,6.41,0.58,5,0.17,0,0,0.34,0,0,0,0.01,0,0,3,0.1,0,0,0.03,0.27,62.5,0.03,0,0.24,71.43,0,0.34,50,1.49,43.18,0.2,0.64,0,25.59,0.2,0.2,42.34,87.69,18.85,78.99,2.37,92.86,17.6,96.54,35.61,92.49,6.46,62.3,21.48,37.35,0.01,0.14,0,0,0,0,0.03,4.1,66.12,0.51,33.33,0.27,37.5,0.1,0.17,7.99,71.19,0,,0,,0,0,0,0,,,1.46,,,0,0,0,0,0,0
