Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Sun Guowen,Zhejiang Professional,Zhejiang Professional,"LWB, RWB, LB",32,200000,2025-12-31,30,3046,0,1.11,2,2.36,12.59,45.77,China PR,China PR,right,182,73,no,6.23,4.76,56.52,1.42,41.67,0.06,0.08,0.15,3.49,4.47,0.53,0,0,0,0,1.86,0,0,0,0.03,0,0,15,0.44,26.67,0,0.06,1.71,39.66,0.98,36.36,0.74,44,0.21,2.33,41.77,5.17,35.43,1.24,2.63,0.41,27.39,2.48,0.56,36.9,83.43,12.91,73.91,7.65,94.98,9.4,83.96,32.24,89.55,3.07,42.31,16.98,31.68,0.07,0.77,0.06,0.03,0.12,75,0.33,4.28,77.93,2.04,55.07,0.3,40,0.77,0.62,6.91,66.67,0,,0,,0,0,0,0,,,0.12,,,0,0,0,0,0,0
Lucas Possignolo,Zhejiang Professional,Zhejiang Professional,"CB, LCB, RCB",31,1000000,,29,3032,3,3.01,0,0,11.04,63.44,Brazil,Brazil,right,188,81,no,8.34,4.69,71.52,4.42,55.03,0.09,0.11,0.65,4.9,6.29,0.83,2,0.06,0,0,0.27,0.09,3,0.09,0.09,3,0.09,19,0.56,47.37,15.789,0,0.03,0,0,0,0.03,0,0,0,0,0.45,73.33,0.62,0.36,0,28.91,0.36,0.65,41.59,93.86,10.18,83.97,1.16,97.44,26.74,98.67,38.38,96.29,3.18,65.42,20.37,36.89,0,0,0.03,0,0,0,0,1.57,77.36,0.12,50,0.12,50,0.09,0,4.24,61.54,0,,0,,0,0,0,0,,,0.62,,,0,0,0,0,1,0
Juan Antonio,Tianjin Tigers,Tianjin Tigers,"CB, RCB, LCB",29,300000,,29,3024,1,3.03,1,0.18,11.28,59.1,Spain,Spain,right,188,82,no,7.77,3.96,68.42,4.94,54.22,0.12,0.16,0.98,4.94,6.68,0.89,7,0.21,0,0,0.36,0.03,1,0.03,0.09,0,0,20,0.6,30,5,0.03,0.06,100,0.03,100,0.03,100,0,0.18,66.67,0.95,46.88,0.92,0.63,0,33.54,0.18,0.51,48.51,87.85,19.14,74.96,2.2,98.65,23.24,97.82,41.04,93.33,7.41,57.43,20.93,33.89,0.01,0.12,0.03,0,0,0,0.03,4.02,60.74,0.45,46.67,0.3,20,0.33,0.06,7.86,63.26,0,,0,,0,0,0,0,,,1.55,,,0,0,0,0,0,0
Guo Quanbo,Meizhou Hakka,Meizhou Hakka,GK,28,100000,2026-12-31,29,3011,0,0,0,0,0.54,66.67,China PR,China PR,right,183,80,no,1.2,0.18,33.33,0.24,75,0.06,0.08,0,1.08,1.5,0.06,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,5.02,0.12,0.09,9.03,80.46,5.56,72.58,0.03,100,3.23,94.44,5.56,94.62,3.47,57.76,32.11,45.47,0,0,0,0,0,0,0,0.6,45,0,0,0.03,0,0,0,2.84,63.16,67,2,162,4.84,2,58.64,62.33,1.86,-4.67,-0.14,0.03,0.87,0.24,,,,0,0,0
Zhao Bo,Zhejiang Professional,Zhejiang Professional,GK,32,225000,2026-12-31,29,3008,0,0,1,0.15,0.39,76.92,China PR,China PR,,186,75,no,1.02,0.03,100,0.24,87.5,0,0,0,0.99,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,6.55,0,0.15,11.58,81.65,6.88,71.74,0,0,4.13,97.1,6.79,98.68,4.73,58.23,32.14,48.54,0,0.03,0.03,0,0,0,0.03,0.81,33.33,0.03,0,0,0,0,0,3.44,67.83,48,1.44,152,4.55,6,68.42,47.67,1.43,-0.33,-0.01,0,1.77,0.24,,,,0,0,0
Wilson Manafá,Shanghai Shenhua,Shanghai Shenhua,RB,31,1300000,2025-12-31,30,2983,0,1.41,4,3.55,16.02,54.24,Portugal,"Portugal, Guinea-Bissau",right,177,72,no,7.3,5.91,62.24,1.72,43.86,0,0,0.27,3.62,5.43,0.87,3,0.09,0,0,3.62,0,0,0,0.04,0,0,16,0.48,12.5,0,0.12,3.59,28.57,0.15,20,3.32,28.18,0.33,3.32,74.55,6.94,52.17,1.81,3.68,0.84,31.77,1.69,0.91,45.47,80.23,14.33,72,7.36,91.39,15.69,84.23,37.56,87.31,4.44,60.54,18.67,35.53,0.11,1.12,0.12,0,0.06,100,0.6,6.37,77.73,4.01,51.88,0.54,61.11,1.3,1,9.68,78.5,0,,0,,0,0,0,0,,,0.97,,,0,0,0,0,0,0
Li Hao,Qingdao West Coast,Qingdao West Coast,GK,21,0,,29,2981,0,0,0,0,0.91,76.67,China PR,China PR,right,188,78,no,1.3,0.21,42.86,0.54,88.89,0.03,0.04,0,1.18,1.63,0.03,4,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.12,75,0,0,0,7.06,0.03,0.18,11.47,73.42,8.6,67.37,0,0,2.45,92.59,4.02,96.24,7.43,61.38,39.72,46.77,0,0,0,0,0,0,0,2.02,37.31,0.06,0,0.09,33.33,0,0,4.98,78.18,42,1.27,127,3.83,8,66.93,41.08,1.24,-0.92,-0.028,0,1.39,0.54,,,,0,0,0
Felipe,Chengdu Rongcheng,Chengdu Rongcheng,CF,33,500000,2026-12-31,30,2976,15,15.05,4,4.69,29.91,41.46,Brazil,Brazil,left,193,90,no,3.75,2.81,61.29,10.16,42.26,0.09,0.14,0.15,1.94,3.07,1.72,2,0.06,0,0,3.42,0.45,14,0.42,0.46,3,0.09,88,2.66,47.73,17.045,0.12,0.82,44.44,0.54,44.44,0.24,50,0.15,2.6,62.79,11.61,35.68,5.75,1.24,0.15,13.61,2.33,2.45,20.47,79.03,4.54,64,4.48,89.86,5.63,84.41,19.11,81.17,0.57,57.89,14.11,14.16,0.14,1.15,0.18,0.03,0.18,83.33,0.73,1.57,65.38,1.45,64.58,0.18,83.33,1.54,0.33,1.54,74.51,0,,0,,0,0,0,0,,,0,,,0.03,0.03,0,0,2,50
Hou Yongyong,Yunnan Yukun,Yunnan Yukun,"LCMF, AMF",27,300000,2025-12-31,30,2958,5,7.24,2,1.25,9.1,46.15,Norway,"Norway, China PR",right,183,74,no,3.53,3.01,57.58,2.86,35.11,0.06,0.08,0.24,1.73,2.31,0.64,0,0,0,0,1.37,0.15,5,0.15,0.22,1,0.03,45,1.37,46.67,11.111,0.06,0.76,28,0.58,36.84,0.18,0,0.12,0.7,65.22,1.95,53.13,1.98,0.7,0.03,14.09,0.73,0.55,19.26,83.25,5.72,70.21,4.81,96.2,5.48,83.89,17.31,88.75,1.19,38.46,17.15,21.74,0.04,0.46,0,0.03,0.12,50,0.24,2.04,65.67,1.28,42.86,0.4,30.77,0.7,0.21,1.95,76.56,0,,0,,0,0,0,0,,,0.12,,,0.03,0,0,0,0,0
F. Abreu,Beijing Guoan,Beijing Guoan,CF,32,1500000,2026-12-31,30,2949,28,21.12,6,4.37,16.97,42.99,Portugal,"Portugal, Angola",right,184,79,no,1.68,1.5,65.31,4.76,38.46,0,0,0.12,0.7,1.34,0.7,2,0.06,0,0,3.11,0.85,24,0.73,0.64,8,0.24,102,3.11,50.98,27.451,0.18,0.58,52.63,0.12,50,0.43,57.14,0.06,1.89,61.29,8.39,44.73,4.49,1.1,0.12,10.71,1.56,2.62,13.61,83.41,2.78,68.13,4.46,93.15,3.48,82.46,12.73,85.37,0.34,54.55,13.92,11.97,0.13,0.79,0.09,0.06,0.21,28.57,0.55,1.13,86.49,1.31,55.81,0.24,12.5,1.31,0.24,1.22,80,0,,0,,0,0,0,0,,,0.03,,,0,0,0,0.03,4,100
