Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Gonzales,Vukovar,Vukovar,"AMF, CF",26,0,,13,1239,5,3.11,0,0.49,20.41,45.91,Colombia,Colombia,,0,0,no,5.74,5.16,57.75,1.31,27.78,0.22,0.25,0,2.54,2.93,1.16,1,0.07,0,0,2.62,0.36,4,0.29,0.23,0,0,24,1.74,41.67,20.833,0,0.87,33.33,0.51,42.86,0.29,25,0.07,2.83,56.41,11.69,45.96,1.96,1.6,0.44,17.87,1.82,2.54,24.84,79.24,8.64,75.63,3.56,89.8,7.7,83.02,22.45,83.5,1.6,40.91,17.42,34.82,0.04,0.44,0.15,0,0.22,0,0.15,3.41,78.72,1.74,58.33,0.58,12.5,0.94,0.44,4.29,74.58,,0.29,0.15,50,0.36,1,100
A. Kavelj,Gorica,Gorica,"RCMF, LCMF, LDMF",20,0,,13,1169,2,1.67,1,1.28,14.09,55.74,Croatia,Croatia,right,0,0,no,7.93,5.54,63.89,3.39,63.64,0.69,0.89,0.08,3.7,4.75,1.08,1,0.08,0,0,0.77,0.15,2,0.15,0.13,0,0,11,0.85,36.36,18.182,0.08,0.85,27.27,0.31,0,0.54,42.86,0.15,0.62,37.5,2.69,40,1.46,0.54,0,14.01,0.69,0.77,23.17,70.76,10.16,60.61,3.23,95.24,5.85,76.32,19.94,76.45,2.39,38.71,17.38,28.26,0.1,0.54,0.08,0,0,0,0.31,3.54,63.04,1.23,43.75,0.31,50,0.54,0.23,4,67.31,,0,0,0,0,0,0
L. Banovec,Vukovar,Vukovar,"LAMF, RAMF, LW",24,0,,13,967,1,1.51,3,1.56,20.57,38.01,Croatia,Croatia,right,185,78,no,7.63,6.79,47.95,3.44,32.43,0.74,0.87,0.28,3.63,4.24,2.42,1,0.09,0,0,1.68,0.09,1,0.09,0.14,1,0.09,13,1.21,30.77,7.692,0.28,1.21,46.15,0.37,25,0.84,55.56,0.09,1.77,42.11,7.26,30.77,2.79,1.12,0.09,13.03,1.12,1.77,20.29,69.27,5.86,58.73,4.47,83.33,5.03,68.52,17.96,72.54,1.12,41.67,17.15,19.9,0.14,0.74,0,0.19,0.09,0,0.56,1.21,61.54,1.21,61.54,0.19,50,0.65,0.56,2.7,55.17,,0.09,0,0,0.56,0,0
F. ?ui?,Gorica,Gorica,CF,22,0,,13,1004,5,4.37,1,0.41,21.07,34.04,Croatia,"Croatia, Bosnia and Herzegovina",right,188,79,no,3.59,3.41,47.37,7.71,36.05,0.09,0.12,0.09,1.88,2.48,1.52,2,0.18,0,0,1.52,0.45,5,0.45,0.39,1,0.09,21,1.88,47.62,23.81,0.09,0.63,57.14,0.45,80,0.18,0,0,0.72,37.5,5.83,24.62,3.14,0.36,0,13.72,2.78,1.17,18.56,70.05,3.68,58.54,6.1,86.76,5.11,70.18,17.03,72.11,0.99,36.36,15.26,18.84,0.04,0.27,0,0,0.18,0,0.36,2.42,55.56,1.17,53.85,0.27,0,0.45,0.36,2.33,61.54,,0,0,0,0,0,0
I. Fioli?,Gorica,Gorica,"RW, RAMF, AMF",29,700000,2025-12-31,13,425,0,0.62,0,0.42,8.47,32.5,Croatia,Croatia,left,176,70,no,2.96,2.33,54.55,0.85,25,0.21,0.29,0,1.48,2.04,0.21,0,0,0,0,1.91,0,0,0,0.13,0,0,9,1.91,44.44,0,0,1.06,40,0,0,1.06,40,0,1.69,25,4.24,15,2.12,1.06,0.21,27.11,1.06,0.42,33.88,74.38,11.01,63.46,5.72,66.67,11.22,81.13,26.89,78.74,5.93,60.71,19.7,35.81,0.09,0.64,0,0,0.64,33.33,0.21,5.51,57.69,3.18,53.33,1.27,66.67,1.91,0.42,7.62,86.11,,1.27,0.21,0,1.91,0,0
J. Filipovi?,Gorica,Gorica,"RCB, CB",33,350000,,13,1278,0,0.57,0,0,11.41,61.11,Bosnia and Herzegovina,"Bosnia and Herzegovina, Croatia",right,191,86,no,6.13,3.8,62.96,4.15,57.63,0.42,0.56,0.42,3.31,4.35,0.56,2,0.14,0,0,0.14,0,0,0,0.04,0,0,4,0.28,50,0,0,0,0,0,0,0,0,0,0.07,0,0.7,50,0.49,0.42,0,28.45,0.14,0.85,41.41,88.1,15.07,78.97,2.04,93.1,20.77,94.58,36.27,93.4,5.14,50.68,21.01,35.51,0,0,0,0,0,0,0,3.38,47.92,0.21,0,0.14,0,0,0,5,66.2,,0,0,0,0,0,0
D. Matijaš,Gorica,Gorica,GK,26,800000,2026-06-30,13,1290,0,0,0,0,0.56,62.5,Croatia,Croatia,right,188,75,no,2.09,0,0,0.49,71.43,0,0,0,2.09,2.77,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65,0.14,0.14,19.19,84.36,9.07,68.46,0,0,9.42,98.52,13.05,96.79,6.14,57.95,31.23,44.82,0,0,0,0,0,0,0,1.67,41.67,0.28,0,0.14,0,0,0,4.4,73.02,0.49,,,,0,0,0
J. Pršir,Gorica,Gorica,"AMF, LCMF, RCMF",25,2500000,2026-08-31,13,1174,3,2.66,0,1.65,18.55,48.76,Croatia,Croatia,right,181,73,no,6.44,5.6,63.01,2.53,33.33,0.46,0.6,0.23,2.45,3.21,1.15,1,0.08,0,0,1.92,0.23,2,0.15,0.2,1,0.08,25,1.92,28,12,0,1.07,35.71,0.23,33.33,0.77,40,0.15,1.61,61.9,7.9,44.66,2.45,1.69,0.15,21.01,0.54,2.22,27.9,85.99,7.28,71.58,5.83,97.37,8.59,89.29,25.53,89.19,1.3,64.71,15.67,32.41,0.13,0.92,0,0,0.15,0,0.46,3.99,80.77,1.76,56.52,0.31,25,0.84,0.38,3.6,87.23,,0.69,0.23,33.33,2.45,1,100
A. Mauri?,Istra 1961,Istra 1961,"LDMF, LCMF",22,0,2027-06-30,13,954,2,0.76,0,0.13,11.89,53.17,Croatia,Croatia,left,187,82,no,6.79,5.47,55.17,1.23,46.15,1.04,1.3,0.28,2.74,3.43,0.85,3,0.28,0,0,0.75,0.19,2,0.19,0.07,0,0,9,0.85,22.22,22.222,0,0.47,40,0.19,50,0.19,50,0.09,0.75,50,3.49,54.05,1.04,1.04,0.19,23.96,0.28,1.79,34.25,87.88,9.81,72.12,8.77,97.85,10.75,92.98,32.17,90.03,1.6,58.82,17,18.84,0.01,0.28,0,0,0.28,0,0.19,4.81,76.47,1.32,42.86,0.28,0,0.38,0.19,4.91,75,,0.09,0.09,100,0,0,0
F. Koli?,Istra 1961,Istra 1961,GK,22,450000,2026-05-31,13,1278,0,0,0,0,0.49,85.71,Croatia,Croatia,right,190,0,no,1.27,0.21,66.67,0.28,100,0,0,0,1.13,1.42,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14,0.07,0.07,15.92,83.19,7.46,68.87,0,0,6.55,95.7,10.85,98.05,5.07,51.39,27.07,46.64,0,0,0,0,0,0,0,0.85,25,0.14,0,0.07,0,0,0,3.59,50.98,0.28,,,,0,0,0
