Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Cvetko,Rudeš,Rudeš,"LCB, RCB",19,0,,19,1823,1,0.88,0,0.19,12.89,63.22,Croatia,Croatia,left,0,0,no,9.13,5.38,74.31,4.39,58.43,0.49,0.65,1.09,4.64,6.12,0.74,1,0.05,0,0,0.35,0.05,1,0.05,0.04,1,0.05,5,0.25,20,20,0,0.39,50,0.39,50,0,0,0.1,0.15,66.67,0.89,44.44,0.39,0.99,0.05,31.45,0.35,0.15,45.57,87.54,15.9,75.16,2.86,89.66,23.2,96.38,39.84,93.06,5.33,49.07,22.33,40.18,0.01,0.05,0,0,0.05,0,0.05,4.79,64.95,0.49,40,0.15,66.67,0,0.2,6.76,67.88,0,,0,,0,0,0,0,,,2.02,,,0,0,0,0,0,0
D. Nwolokor,Opatija,Opatija,GK,29,50000,2026-06-30,19,1820,0,0,1,0,0.64,76.92,Nigeria,Nigeria,right,185,83,no,1.73,0.1,100,0.35,71.43,0,0,0,1.63,2.03,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,100,0.1,100,0,0,0,10.93,0.15,0.1,19.29,82.31,12.86,75.38,0,0,5.98,96.69,10.98,95.95,8.31,64.29,34.85,50.21,0,0,0,0.05,0,0,0,3.12,58.73,0.2,0,0.2,25,0,0,6.13,77.42,22,1.09,69,3.41,5,68.12,16.4,0.81,-5.6,-0.277,0,2.13,0.35,,,,0,0,0
D. Mulac,Kazincbarcika,Kazincbarcika,"RCB, AMF, DMF",26,400000,,19,1807,9,7.01,1,1.2,9.16,50,Croatia,Croatia,right,185,78,no,6.38,3.14,61.9,2.59,55.77,0,0,0.75,4.43,5.3,0.35,1,0.05,1,0.05,1.1,0.45,5,0.25,0.35,0,0,40,1.99,35,22.5,0.05,0.7,21.43,0.25,20,0.45,22.22,0.1,0.55,27.27,2.04,39.02,2.14,1.34,0.05,26.3,1.25,0.5,38.5,76.46,17.43,65.43,3.14,93.65,15.09,86.8,30.58,84.53,7.22,47.59,22.91,39.69,0.06,0.55,0.05,0,0.3,33.33,0.25,8.37,58.93,2.39,41.67,1.2,25,0.9,0.1,8.12,74.85,0,,0,,0,0,0,0,,,0.5,,,0,0,0,0,4,100
I. Graf,Kustošija,Kustošija,LCB,38,0,,18,1720,0,0.2,0,0,14.65,66.79,Croatia,Croatia,right,195,83,no,9,5.86,70.54,6.02,73.04,0.16,0.19,0.42,4.71,5.68,0.63,4,0.21,0,0,0.21,0,0,0,0.01,0,0,4,0.21,50,0,0,0,0,0,0,0,0,0,0.1,100,1.2,43.48,0.42,0.73,0,32.13,0.58,0.21,49.55,89.12,18.94,80.39,1.88,91.67,24.54,95.31,45.37,93.19,4.19,45,20.73,35.03,0,0,0,0,0,0,0,3.56,75,0.1,0,0,0,0.05,0,8.27,58.86,0,,0,,0,0,0,0,,,1.1,,,0,0,0,0,0,0
M. Stani?,Zrinski Osje?ko,Zrinski Osje?ko,GK,27,0,,17,1635,0,0,1,0.1,0.72,69.23,Croatia,Croatia,unknown,0,0,no,1.87,0.06,0,0.28,100,0,0,0,1.87,2.66,0.06,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.28,60,0,0,0,12.11,0.11,0.22,22.35,79.56,12.77,67.24,0,0,8.92,96.3,13.32,97.11,8.92,54.32,36.69,53.78,0.01,0.06,0,0,0,0,0.06,4.9,55.06,0.66,33.33,0.17,33.33,0.22,0,6.33,75.65,19,1.05,73,4.02,7,73.97,21.08,1.16,2.08,0.114,0,1.32,0.28,,,,0,0,0
T. Juki?,Lokomotiva Zagreb,Lokomotiva Zagreb,LCB,23,400000,,17,1621,0,1.37,1,1.14,15.21,62.77,Germany,"Germany, Croatia",right,190,83,no,8.11,5.05,69.23,4.72,60,0.28,0.43,0.39,4.33,6.7,1.05,2,0.11,0,0,0.83,0,0,0,0.08,0,0,17,0.94,29.41,0,0.06,0.17,66.67,0.17,66.67,0,0,0,0.28,100,2.11,57.89,0.78,3.5,0.44,41.36,0.56,0.78,61.35,88.42,27.76,81.4,2.89,92.31,25.82,95.91,53.02,92.46,8.16,62.59,21.8,38.84,0.06,0.39,0,0,0.22,75,0.22,9.27,75.45,1.05,47.37,0.78,57.14,0.56,0.11,13.16,81.43,0,,0,,0,0,0,0,,,1.5,,,0.11,0.11,50,0,0,0
G. Ajayi,Opatija,Opatija,"LAMF, LW, CF",31,0,,19,1585,6,7.2,2,1.82,21.75,40.21,Nigeria,Nigeria,right,176,70,no,4.66,4.03,53.52,4.03,26.76,0.06,0.07,0,2.44,3.01,1.25,3,0.17,0,0,4.94,0.34,5,0.28,0.41,0,0,54,3.07,40.74,11.111,0.11,2.73,27.08,2.27,25,0.4,42.86,0.45,5.39,53.68,10.79,41.58,4.83,3.69,0.4,21.63,2.73,1.93,30.55,71.93,7.72,54.41,6.13,92.59,9.54,75,25.95,78.56,1.99,45.71,17.95,31.05,0.1,1.31,0.11,0,0.06,100,0.34,3.8,65.67,3.18,48.21,0.23,0,1.87,0.79,5.17,78.02,0,,0,,0,0,0,0,,,0,,,0,0,0,0.06,1,100
D. Ušalj,Orijent 1919,Orijent 1919,"LB, LWB",22,0,,18,1520,0,0.16,0,1.7,21.14,54.9,Croatia,Croatia,,0,0,no,10.54,8.64,64.38,4.09,52.17,0,0,0.24,4.97,6.4,1.18,2,0.12,0,0,1.3,0,0,0,0.01,0,0,7,0.41,14.29,0,0,1.78,26.67,1.18,15,0.59,50,0.18,1.48,52,4.74,43.75,1.42,1.24,0,25.52,2.13,1.54,38.13,76.09,16.28,66.91,6.57,92.79,10.66,83.89,31.2,82.92,5.33,51.11,18.86,32.59,0.1,0.95,0,0.06,0,0,0.18,4.68,78.48,2.01,52.94,0.12,100,0.89,0.36,9.59,70.99,0,,0,,0,0,0,0,,,0.59,,,0,0,0,0.12,0,0
D. Žabec,Cibalia,Cibalia,CF,29,0,,18,1501,4,4.03,2,2.91,27.1,34.73,Croatia,Croatia,left,186,0,no,4.02,3.12,59.62,4.44,32.43,0.96,1.24,0.12,1.2,1.55,1.68,2,0.12,0,0,1.38,0.24,4,0.24,0.24,0,0,22,1.32,45.45,18.182,0.12,0.66,27.27,0.6,20,0.06,100,0.12,0.9,66.67,14.87,29.84,4.5,0.36,0,5.64,0.9,3.06,12.53,69.86,2.52,54.76,3.48,86.21,3.06,66.67,11.39,74.21,0.54,33.33,13.95,10.67,0.17,1.5,0.06,0,0.06,0,0.84,0.72,58.33,0.9,46.67,0.12,0,1.26,0.12,1.32,72.73,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Bali?,Dugopolje,Dugopolje,"DMF, RCB, CB",29,150000,,17,1415,1,0.3,1,0.55,17.3,56.62,Croatia,Croatia,right,190,0,no,11.07,6.87,64.81,3.37,66.04,0.95,1.3,0.45,5.66,7.72,1.4,6,0.38,0,0,0.64,0.06,1,0.06,0.02,0,0,9,0.57,44.44,11.111,0.06,0.45,42.86,0.13,0,0.32,60,0.13,0.32,60,3.37,49.06,0.45,0.76,0,37.02,0.19,1.27,58.45,85.64,20.54,70.9,6.61,96.15,24.87,94.88,51.07,91.53,7,45.45,21.13,39.42,0.03,0.25,0,0,0.13,0,0.19,8.27,61.54,0.95,46.67,0.32,0,0.19,0.19,8.78,67.39,0,,0,,0,0,0,0,,,2.16,,,0.19,0.06,100,0.06,0,0
