Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Znuderl,Dinamo Zagreb U19,Dinamo Zagreb U19,GK,18,0,,10,913,0,0,0,0,0.49,40,Slovenia,Slovenia,right,199,82,no,1.48,0.2,0,0.2,50,0,0,0,1.48,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49,0.1,0.1,22.67,88.7,11.04,79.46,0,0,10.05,98.04,17.05,97.69,5.62,61.4,26.65,44.64,0,0,0,0,0,0,0,0.49,40,0.1,0,0,0,0,0,4.63,72.34,9,0.89,35,3.45,4,74.29,9.3,0.92,0.3,0.03,0,0.79,0.2,,,,0,0,0
P. Žaja,Dinamo Zagreb U19,Dinamo Zagreb U19,LB,17,0,,11,859,1,0.05,0,1.04,18.13,56.65,Croatia,Croatia,unknown,0,0,no,7.44,6.71,64.06,3.56,47.06,0,0,0.1,3.14,4.89,1.15,0,0,0,0,3.04,0.1,1,0.1,0.01,1,0.1,1,0.1,100,100,0,1.99,47.37,1.99,47.37,0,0,0.21,2.41,78.26,6.18,52.54,0.31,2.83,0,33.63,1.15,1.05,47.15,81.33,19.38,68.11,7.02,97.01,15.61,88.59,39.92,87.93,5.45,44.23,18.72,33.28,0.11,0.52,0.1,0,0.1,100,0.31,8.49,60.49,2.93,50,0.52,40,0.84,0.73,10.16,78.35,0,,0,,0,0,0,0,,,0.63,,,0,0,0,0,0,0
K. Radoš,Dinamo Zagreb U19,Dinamo Zagreb U19,DMF,17,0,,10,766,0,0.08,0,0.01,14.92,55.91,Croatia,Croatia,unknown,0,0,no,8.34,5.87,64,1.76,66.67,0.35,0.54,0.59,4.23,6.51,1.17,0,0,0,0,0.47,0,0,0,0.01,0,0,3,0.35,33.33,0,0,0.12,0,0,0,0,0,0,0.59,60,5.05,34.88,0.12,1.29,0.12,32.55,0,0.59,47.82,86.98,10.1,66.28,6.93,98.31,24.91,91.51,44.3,89.92,3.41,51.72,19.38,37.08,0,0.12,0.12,0,0,0,0,7.52,68.75,0.82,14.29,0.35,33.33,0.23,0,5.64,81.25,0,,0,,0,0,0,0,,,0.35,,,0,0,0,0,0,0
V. Vlahovi?,Dinamo Zagreb U19,Dinamo Zagreb U19,"RB, RW, RWF",18,0,,10,690,5,3.83,6,2.06,18,59.42,Montenegro,Montenegro,,0,0,no,6.39,6.26,70.83,2.48,47.37,0,0,0.13,1.96,2.88,1.04,1,0.13,0,0,6.26,0.65,5,0.65,0.5,2,0.26,22,2.87,45.45,22.727,0.78,5.35,34.15,1.17,33.33,4.17,34.38,1.04,4.17,75,8.09,53.23,4.43,2.09,0.13,22.57,1.96,0.78,29.48,70.8,7.96,62.3,6.52,92,11.35,70.11,21.91,82.74,2.48,36.84,21.4,23.08,0.27,1.17,0,0,0,0,1.17,3.91,66.67,3.78,44.83,0.13,0,0.65,1.83,6,86.96,0,,0,,0,0,0,0,,,0.52,,,0.52,0.52,50,0.13,0,0
T. Bakovi?,Dinamo Zagreb U19,Dinamo Zagreb U19,"RCMF, LCMF",18,0,2028-01-10,10,687,2,0.53,5,2.14,12.97,48.48,Croatia,Croatia,right,0,0,no,4.72,4.45,64.71,2.1,50,0.39,0.61,0,1.44,2.23,1.18,1,0.13,0,0,1.97,0.26,2,0.26,0.07,1,0.13,9,1.18,33.33,22.222,0.66,1.31,30,0.39,33.33,0.92,28.57,0.39,1.57,58.33,5.76,40.91,1.83,2.49,0.39,31.05,0.26,0.79,42.31,82.35,12.05,67.39,9.83,94.67,16.11,84.55,37.6,88.5,3.41,34.62,18.43,33.07,0.28,2.1,0.13,0,0.39,66.67,0.79,6.81,71.15,2.88,59.09,0.92,28.57,1.97,0.52,6.42,71.43,0,,0,,0,0,0,0,,,0.26,,,0,0,0,0.13,0,0
D. Lagan?i?,Dinamo Zagreb U19,Dinamo Zagreb U19,"LCB, RCB",18,0,,11,683,0,1.07,2,0.36,12.78,63.92,Croatia,Croatia,,0,0,no,8.7,5.93,68.89,2.77,71.43,0.13,0.19,0.26,4.48,6.62,0.92,1,0.13,0,0,0.53,0,0,0,0.14,0,0,7,0.92,0,0,0.26,0.26,50,0.13,100,0.13,0,0,0.53,75,2.11,43.75,0.92,3.56,0,54.16,0.13,0.4,69.71,91.3,21.87,81.93,3.95,96.67,37.95,96.53,63.65,94.2,5.8,61.36,19.34,26.12,0.05,0.53,0,0,0.26,0,0.26,8.3,77.78,1.32,40,0.53,0,0.53,0.13,11.46,81.61,0,,0,,0,0,0,0,,,2.77,,,0,0,0,0,0,0
M. ?utuk,Dinamo Zagreb U19,Dinamo Zagreb U19,CF,18,0,2028-06-30,10,665,7,6,0,0.34,16.11,31.93,Croatia,Croatia,right,0,0,no,2.17,2.98,36.36,2.84,38.1,0,0,0.14,1.08,1.69,1.76,1,0.14,1,0.14,2.84,0.95,5,0.68,0.81,0,0,25,3.38,60,28,0,0.27,100,0.14,100,0.14,100,0,1.89,28.57,7.31,24.07,5.28,0.81,0,12.59,1.08,1.49,15.29,84.07,3.11,73.91,6.63,95.92,2.3,70.59,14.48,85.05,0.54,50,15.31,16.9,0.05,0.68,0,0,0,0,0,1.22,66.67,0.68,60,0,0,0.95,0.27,0.81,83.33,0,,0,,0,0,0,0,,,0.27,,,0,0,0,0,2,100
M. Zebi?,Dinamo Zagreb U19,Dinamo Zagreb U19,RCB,18,0,,8,660,0,0.05,1,0.65,10.64,61.54,Croatia,Croatia,right,0,0,no,4.91,3,77.27,1.91,64.29,0.14,0.21,0.55,2.45,3.72,0.14,1,0.14,0,0,0.55,0,0,0,0.01,0,0,2,0.27,0,0,0.14,0.14,0,0,0,0.14,0,0,1.09,50,3.68,51.85,0.27,3.82,0.55,47.86,0.41,0.68,64.77,91.37,24.55,81.67,2.59,100,34.5,98.02,57.82,95.28,6.82,60,23.98,40.38,0.09,0.55,0,0.41,0,0,0.14,9.82,70.83,1.23,55.56,0.41,0,0.82,0,10.64,88.46,0,,0,,0,0,0,0,,,2.05,,,0,0,0,0,0,0
N. Miki?,Dinamo Zagreb U19,Dinamo Zagreb U19,RB,18,0,2027-06-30,8,621,0,0.16,2,2.96,18.12,68,Croatia,Croatia,right,175,0,no,10.14,6.96,83.33,1.16,62.5,0.58,0.9,0,3.77,5.86,0.58,2,0.29,0,0,3.62,0,0,0,0.02,0,0,7,1.01,28.57,0,0.29,4.64,34.38,0,0,4.49,35.48,1.3,3.48,50,7.39,58.82,1.74,2.46,0.29,32.75,2.03,2.61,43.91,79.87,15.8,74.31,7.39,96.08,17.25,81.51,33.77,90.99,5.65,51.28,21.38,35.98,0.43,1.3,0.14,0,0,0,0.72,6.23,65.12,4.35,33.33,0.72,80,0.72,1.74,9.13,76.19,0,,0,,0,0,0,0,,,1.74,,,0.87,0.29,0,0.14,0,0
N. Radni?,Dinamo Zagreb U19,Dinamo Zagreb U19,"LCB, RCB",17,0,,7,582,0,0.55,0,0.01,8.97,65.52,Croatia,Croatia,unknown,0,0,no,7.27,3.71,75,3.09,60,0.15,0.25,0.62,4.33,6.89,0.77,0,0,0,0,0.62,0,0,0,0.09,0,0,2,0.31,50,0,0,0.15,100,0,0,0.15,100,0,0.31,100,0.77,60,0.62,3.4,0.15,54.74,0.93,0.46,70.52,95.61,20.72,88.06,2.94,100,42.53,98.55,67.27,97.01,3.09,65,22.38,37.65,0,0.15,0.31,0.15,0,0,0,7.89,86.27,0.15,100,0.15,0,0.31,0.15,8.51,87.27,0,,0,,0,0,0,0,,,2.32,,,0,0,0,0,0,0
