Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Novák,Táborsko,Táborsko,LCB,35,125000,2026-06-30,16,1550,2,0.93,0,0.07,12.48,66.98,Czech Republic,Czech Republic,right,187,72,no,9.99,5.69,69.39,4.12,71.83,0.17,0.23,0.7,5.86,7.75,0.7,3,0.17,0,0,0.41,0.12,2,0.12,0.05,1,0.06,6,0.35,66.67,33.333,0,0.41,14.29,0.23,0,0.06,0,0.12,0.12,100,0.81,57.14,1.22,1.45,0,29.79,0.52,0.7,42.27,86.81,19.63,81.66,2.03,94.29,17.25,93.27,35.94,91.76,5.92,61.76,23,39.62,0,0.12,0.17,0,0,0,0.06,4.94,68.24,0.64,45.45,0.29,40,0.35,0.06,9.81,74.56,0,,0,,0,0,0,0,,,1.28,,,0,0,0,0,0,0
M. Pastornický,Táborsko,Táborsko,GK,29,250000,,16,1550,0,0,0,0,0.99,94.12,Czech Republic,Czech Republic,right,188,83,no,1.57,0.06,0,0.75,100,0,0,0,1.57,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,100,0,0,0,15.62,0.58,0.23,26.59,87.77,15.1,80.77,0,0,10.74,97.3,18.64,96.88,7.95,66.42,31.38,48.89,0,0,0,0.06,0,0,0,2.09,47.22,0.17,33.33,0.06,0,0.06,0,6.56,73.45,14,0.81,55,3.19,6,74.55,18.41,1.07,4.41,0.256,0,2.55,0.75,,,,0,0,0
L. Havel,Táborsko,Táborsko,RCB,29,250000,2026-06-30,16,1550,2,0.56,3,0.62,15.68,64.81,Czech Republic,Czech Republic,right,187,75,no,9.29,5.11,75,7.08,60.66,0.12,0.15,0.46,5.34,7.06,0.93,2,0.12,0,0,0.23,0.12,2,0.12,0.03,1,0.06,4,0.23,75,50,0.17,0.12,50,0,0,0.12,50,0,0.06,0,1.05,44.44,0.52,0.52,0,28.45,0.81,0.93,43.26,85.1,21.83,76.33,2.44,97.62,16.43,96.11,35.94,91.28,7.2,54.84,24.47,44.21,0.04,0.23,0,0,0,0,0.12,6.68,61.74,0.81,35.71,0.7,16.67,0.23,0.06,10.05,69.94,0,,0,,0,0,0,0,,,2.03,,,0,0,0,0,0,0
M. Šindelá?,Prost?jov,Prost?jov,"RCB, LCB",34,50000,,16,1544,2,0.62,1,0.43,12.07,60.39,Czech Republic,Czech Republic,right,193,81,no,9.73,4.2,68.06,4.55,51.28,0,0,0.35,6.88,8.72,0.29,3,0.17,1,0.06,0.23,0.12,2,0.12,0.04,2,0.12,8,0.47,37.5,25,0.06,0.12,50,0,0,0.12,50,0.06,0.06,0,0.99,52.94,1.05,0.7,0,24.66,0.41,0.52,41.79,84.24,21.68,77.15,1.22,90.48,16.2,92.81,34.04,90.75,7.64,55.73,23.72,38.61,0.03,0.17,0,0,0,0,0.12,6,66.02,0.76,53.85,0.23,50,0.41,0.06,10.08,72.83,0,,0,,0,0,0,0,,,0.64,,,0,0,0,0,0,0
P. Mikulec,Prost?jov,Prost?jov,GK,26,275000,,16,1544,0,0,0,0.12,0.64,100,Czech Republic,Czech Republic,right,198,93,no,1.28,0.17,100,0.35,100,0,0,0,1.11,1.4,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0,12.18,0.29,0.23,19.47,90.12,10.08,82.66,0,0,9.09,98.08,12.59,98.15,6.88,75.42,33.59,49.44,0.01,0.06,0,0,0,0,0.06,2.8,77.08,0.06,100,0.12,50,0.06,0,5.71,85.71,23,1.34,66,3.85,2,65.15,20.93,1.22,-2.07,-0.121,0,1.4,0.35,,,,0,0,0
J. Sirotník,Viktoria Žižkov,Viktoria Žižkov,GK,23,0,2027-06-30,16,1543,0,0,0,0,0.47,87.5,Czech Republic,Czech Republic,right,190,78,yes,1.4,0.06,0,0.29,100,0,0,0,1.4,1.93,0.06,2,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.06,0,0,18.55,0.41,0.23,27.47,85.35,16.92,78.97,0,0,9.51,96.93,18.2,96.47,9.22,63.92,31.71,50.64,0,0,0,0,0,0,0,2.74,61.7,0.17,0,0.29,20,0,0,7.7,72.73,26,1.52,82,4.78,5,68.29,24.94,1.45,-1.06,-0.062,0,1.69,0.29,,,,0,0,0
A. Petrák,Viktoria Žižkov,Viktoria Žižkov,"LCB, RDMF",26,175000,,16,1539,3,1.31,0,0.07,14.68,54.58,Czech Republic,Czech Republic,right,183,72,no,9.36,6.32,64.81,4.27,50.68,0.18,0.24,0.7,5.09,6.98,0.53,1,0.06,0,0,0.88,0.18,3,0.18,0.08,0,0,16,0.94,50,18.75,0,0.23,50,0,0,0.23,50,0.06,0.35,83.33,2.34,32.5,0.88,1.11,0.18,29.71,0,0.53,44.09,84.88,18.77,73.83,4.39,96,17.37,94.95,38.19,89.59,5.73,55.1,21.38,39.4,0,0.12,0,0,0,0,0.06,6.78,67.24,1.05,61.11,0.29,0,0.53,0.06,8.71,72.48,0,,0,,0,0,0,0,,,1.58,,,0,0,0,0,0,0
D. Simerský,Baník Ostrava II,Baník Ostrava II,"CB, LCB",33,200000,2026-06-30,16,1538,1,1.04,0,0.1,14.51,62.5,Czech Republic,Czech Republic,right,191,83,no,7.67,4.51,67.53,6.44,62.73,0.06,0.08,0.23,4.56,6.22,0.82,2,0.12,0,0,0.35,0.06,1,0.06,0.06,0,0,10,0.59,40,10,0,0.18,66.67,0.06,100,0.12,50,0,0.06,0,0.88,53.33,0.99,0.12,0,21.83,0.29,0.82,34,86.75,12.35,74.41,2.17,91.89,17.09,96.23,29.96,90.82,3.86,56.06,21.33,41.1,0.01,0.12,0,0,0,0,0,3.34,63.16,0.53,44.44,0.18,66.67,0.29,0.06,5.62,69.79,0,,0,,0,0,0,0,,,1.64,,,0.12,0,0,0,0,0
A. Hrdina,Zbrojovka Brno,Zbrojovka Brno,GK,21,225000,,16,1530,0,0,0,0,0.18,66.67,Slovakia,Slovakia,right,194,78,no,1.65,0.06,0,0.12,100,0,0,0,1.65,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,0.29,0.06,25.47,86.37,13.59,76.19,0,0,10.94,97.85,17,98.27,8.47,62.5,28.78,45.71,0,0,0,0,0,0,0,2.06,51.43,0.24,50,0,0,0.06,0,6.12,73.08,13,0.76,53,3.12,7,75.47,10.83,0.64,-2.17,-0.128,0,0.94,0.12,,,,0,0,0
T. Grigar,Ústí nad Labem,Ústí nad Labem,GK,42,25000,2026-06-30,16,1527,0,0,1,0.38,1.18,75,Czech Republic,Czech Republic,right,193,97,no,1.65,0.41,71.43,0.35,100,0.06,0.08,0.06,1.3,1.77,0,2,0.12,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.06,100,0.24,50,0,0,0,17.33,0.18,0.12,24.34,82.81,16.09,75.09,0,0,7.78,97.73,13.03,98.19,11.32,65.1,34.84,49.82,0.02,0.06,0,0,0,0,0.06,2.53,48.84,0.12,50,0.12,50,0.06,0,8.25,78.57,30,1.77,91,5.36,1,67.03,26.31,1.55,-3.69,-0.217,0,1.59,0.35,,,,0,0,0
M. Skwarczek,Chrudim,Chrudim,"LCB, CB",31,175000,,16,1527,1,1.08,1,1.87,10.08,49.12,Czech Republic,Czech Republic,,182,68,no,7.31,4.18,57.75,3.89,42.42,0.12,0.15,1.12,4.77,6.23,0.94,4,0.24,0,0,0.29,0.06,1,0.06,0.06,0,0,5,0.29,20,20,0.06,0.83,21.43,0.53,22.22,0.29,20,0.18,0.12,0,0.59,40,0.35,1.53,0.12,32.71,0.35,0.47,47.15,88.38,18.09,80.78,2.71,95.65,23.34,93.69,39.37,94.16,6.95,63.56,23.08,38.6,0.11,0.71,0.18,0.06,0.12,50,0.12,7.96,74.07,1.89,34.38,0.35,16.67,0.47,0.18,10.02,80.59,0,,0,,0,0,0,0,,,1.53,,,0.41,0.06,0,1.53,0,0
M. Toml,Chrudim,Chrudim,RCB,29,200000,,16,1527,0,1.3,0,0.02,9.55,61.73,Czech Republic,Czech Republic,right,188,83,no,8.13,4.48,72.37,3.65,54.84,0.12,0.15,0.59,4.77,6.23,0.47,1,0.06,0,0,0.41,0,0,0,0.08,0,0,5,0.29,20,0,0,0.41,85.71,0,0,0.41,85.71,0.06,0,0,0.53,44.44,0.59,0.88,0,35.01,0.59,0.24,50.39,85.96,24.17,76.1,3.89,100,17.86,96.04,43.5,92.41,6.54,43.24,21.54,39.22,0,0.06,0,0.06,0.12,0,0.06,8.49,65.28,1.24,33.33,0.47,25,0.29,0.24,10.73,79.67,0,,0,,0,0,0,0,,,2.59,,,0,0,0,0,0,0
M. Melichar,P?íbram,P?íbram,GK,25,225000,,16,1523,0,0,0,0,1.24,95.24,Czech Republic,Czech Republic,right,186,0,no,2.13,0.3,100,0.47,100,0.06,0.07,0,1.77,2.08,0,1,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.3,100,0,0,0,16.01,0.18,0.53,23.87,82.43,15.13,74.22,0,0,7.33,96.77,12.29,97.12,11.58,66.84,35.88,50.16,0,0,0,0,0,0,0,4.61,56.41,0.3,20,0.24,25,0.06,0,8.51,84.03,21,1.24,73,4.31,6,71.23,24.45,1.44,3.45,0.204,0,2.01,0.47,,,,0,0,0
M. Hlinka,Hanácká,Hanácká,"LCB, CB",35,75000,,16,1523,1,2.06,0,0.04,8.51,61.11,Slovakia,Slovakia,left,182,78,no,7.03,3.55,81.67,2.42,51.22,0,0,0.47,4.14,5.63,0.41,2,0.12,0,0,0.24,0.06,1,0.06,0.12,1,0.06,9,0.53,33.33,11.111,0,0.06,100,0,0,0.06,100,0,0.12,0,1.12,31.58,0.89,0.35,0.06,29.43,0.12,0.59,44.85,89.59,17.73,80,2.95,98,20.92,96.89,38.82,94.22,5.97,59.41,21.97,40.68,0,0.12,0,0.06,0,0,0,5.61,73.68,0.3,40,0.24,25,0.3,0.06,8.86,77.33,0,,0,,0,0,0,0,,,2.48,,,0,0,0,0,0,0
P. Breda,Vlašim,Vlašim,"RB, RCB",32,125000,,16,1511,1,1.73,3,3.19,11.67,57.14,Czech Republic,Czech Republic,right,189,80,no,9.11,5.48,63.04,2.74,65.22,0.36,0.46,0.66,5.3,6.78,0.71,3,0.18,0,0,1.55,0.06,1,0.06,0.1,0,0,15,0.89,53.33,6.667,0.18,1.55,38.46,0,0,1.55,38.46,0.3,0.89,46.67,2.26,39.47,1.85,1.37,0,34.73,1.37,0.77,46.58,79.28,19.66,71.21,5.24,89.77,15.67,86.31,39.79,84.13,5.24,54.55,19.49,35.71,0.19,1.01,0.06,0.3,0.06,100,0.24,7.33,63.41,2.32,48.72,0.42,57.14,1.19,0.6,9.89,71.08,0,,0,,0,0,0,0,,,1.67,,,0,0,0,0,0,0
J. Hora,Táborsko,Táborsko,"LDMF, LCMF, RDMF",34,225000,,16,1498,0,1.64,3,2.29,8.65,51.39,Czech Republic,Czech Republic,right,176,65,no,6.13,3.66,59.02,1.02,47.06,0.06,0.08,0.36,3.91,5.16,1.14,1,0.06,0,0,1.14,0,0,0,0.1,0,0,8,0.48,12.5,0,0.18,1.98,39.39,0.6,40,1.38,39.13,0.42,0.42,71.43,2.52,50,0.66,0.66,0.06,34.25,0.66,0.84,46.98,84.4,15.44,72.37,9.25,98.05,16.46,89.05,39.95,90.68,5.23,52.87,20.76,40.52,0.14,1.26,0.12,0.12,0,0,0.12,7.63,62.99,3.3,45.45,0.66,27.27,0.9,0.78,9.31,84.52,0,,0,,0,0,0,0,,,1.38,,,1.74,0,0,3.06,1,0
T. Schanelec,Sparta Praha II,Sparta Praha II,CF,23,0,,16,1472,6,5.47,0,0.4,13.21,25.93,Czech Republic,Czech Republic,,184,0,no,2.38,1.71,57.14,3.49,26.32,0,0,0,1.41,2.01,0.98,1,0.06,0,0,1.35,0.37,6,0.37,0.33,1,0.06,37,2.26,51.35,16.216,0,0.18,33.33,0,0,0.18,33.33,0,0.98,12.5,4.71,19.48,3.12,0.24,0.06,6.05,1.77,0.55,8.32,70.59,1.71,46.43,1.53,80,3.18,65.38,7.83,74.22,0.37,0,13.62,15.34,0.02,0.24,0,0,0,0,0,1.04,52.94,0.31,40,0,0,0.24,0.06,0.98,43.75,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
J. Kate?i?ák,Táborsko,Táborsko,"AMF, CF",30,200000,,16,1471,5,2.25,6,2.43,15.11,44.13,Czech Republic,Czech Republic,right,174,71,no,3.73,3.73,52.46,1.71,28.57,0.24,0.32,0,1.53,2.03,1.22,4,0.24,0,0,2.39,0.31,4,0.24,0.14,0,0,23,1.41,39.13,21.739,0.37,2.45,42.5,0.67,27.27,1.53,48,0.55,1.53,52,6.79,39.64,1.1,2.39,0.37,26.68,2.26,2.2,36.22,81.25,10.34,66.27,11.26,95.11,10.03,81.71,30.84,86.71,3.06,56,18.86,36.99,0.15,1.04,0.06,0,0,0,0.67,4.71,63.64,2.88,53.19,0.24,75,1.04,0.98,6.61,73.15,0,,0,,0,0,0,0,,,0.55,,,0.31,0.12,50,0.37,1,100
D. Soukeník,Vlašim,Vlašim,"DMF, RDMF, RCMF",26,0,,16,1459,0,0.59,1,0.47,12.21,56.57,Czech Republic,Czech Republic,right,182,76,no,8.51,6.29,69.61,2.16,40,0.12,0.16,0.31,4.01,5.06,1.11,2,0.12,0,0,0.62,0,0,0,0.04,0,0,5,0.31,20,0,0.06,0.74,41.67,0.12,100,0.56,33.33,0.06,0.25,75,2.16,51.43,0.8,0.74,0.12,31.64,0.37,0.8,46.88,86.05,15.54,75,7.4,96.67,15.54,92.86,42.81,88.9,3.33,59.26,17.06,34.56,0.03,0.43,0,0,0.06,100,0.12,7.03,74.56,0.86,50,0.19,100,0.19,0.31,7.96,73.64,0,,0,,0,0,0,0,,,0.68,,,0,0,0,0.06,0,0
O. Bláha,Táborsko,Táborsko,"RDMF, RCMF, DMF",29,250000,,15,1453,0,0.21,2,0.94,12.76,48.54,Czech Republic,Czech Republic,right,175,71,no,7.49,6.81,59.09,1.55,52,0.31,0.41,0.43,3.16,4.16,1.55,5,0.31,0,0,0.81,0,0,0,0.01,0,0,2,0.12,0,0,0.12,0.5,87.5,0.12,100,0.37,83.33,0.12,0.43,42.86,2.54,36.59,0.19,0.68,0,31.65,0.31,0.81,44.97,88.02,14.12,74.56,9.79,98.1,15.67,93.68,38.9,91.4,5.57,64.44,19.28,35.88,0.06,0.43,0.12,0,0.25,75,0.31,7,74.34,1.49,70.83,0.43,28.57,0.56,0.31,8.36,79.26,0,,0,,0,0,0,0,,,1.61,,,0.06,0,0,0,0,0
O. Žežulka,Ústí nad Labem,Ústí nad Labem,"LCB, CF",27,0,,16,1446,1,0.82,0,0.01,14.63,58.3,Czech Republic,Czech Republic,right,184,82,no,8.22,6.04,65.98,2.37,57.89,0.06,0.09,0.56,4.17,5.71,1.06,1,0.06,0,0,1.43,0.06,1,0.06,0.05,0,0,13,0.81,23.08,7.692,0,1.56,12,1.24,10,0.25,0,0.25,1.56,68,3.8,45.9,0.93,1.49,0.19,28.13,0.68,0.37,43.82,78.98,17.74,68.77,3.67,96.61,17.8,87.41,35.35,88.56,6.97,44.64,22.29,36.8,0,0.06,0.06,0,0,0,0,6.72,62.96,1.37,31.82,0.31,60,0.31,0.19,8.4,62.96,0,,0,,0,0,0,0,,,1.8,,,0,0,0,0,0,0
