Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Kaasa,AaB,AaB,"LCMF, RCMF",28,1000000,,8,327,0,0.34,0,0.12,22.84,43.37,Norway,Norway,right,175,70,no,7.16,7.16,65.38,3.03,27.27,0.28,0.34,0,2.2,2.7,0.55,0,0,0,0,1.38,0,0,0,0.09,0,0,4,1.1,25,0,0,0.28,0,0,0,0.28,0,0,0.83,100,9.36,32.35,2.2,3.03,0.55,25.87,0.28,1.1,31.93,80.17,8.81,65.63,8.81,90.63,8.81,81.25,29.17,84.91,2.48,33.33,14.78,20.76,0.03,0.28,0,0,0.28,100,0,3.85,71.43,1.93,71.43,0.55,50,1.1,0,4.95,55.56,,0,0,0,0,0,0
C. Winther,Lyngby,Lyngby,"LCMF, RCMF, RDMF",22,900000,2027-06-30,12,913,4,1.85,0,2.07,11.24,61.4,Denmark,Denmark,right,177,67,no,6.51,3.84,69.23,1.48,40,0.2,0.25,0.49,3.65,4.57,0.39,2,0.2,0,0,1.58,0.39,4,0.39,0.18,0,0,14,1.38,42.86,28.571,0,0.79,12.5,0.2,0,0.59,16.67,0.2,0.99,80,4.34,65.91,1.68,1.97,0.1,43.18,0.1,1.08,58.75,87.25,17.35,75,11.14,96.46,19.22,91.28,54.91,89.59,3.06,64.52,16.76,35.31,0.2,1.28,0,0,0.2,50,0.39,8.28,76.19,1.68,47.06,0.1,100,0.89,0.1,6.7,88.24,,1.18,0.49,20,1.68,0,0
A. Jasson,AaB,AaB,"DMF, LCMF, LDMF",23,800000,2028-06-30,15,987,0,1.28,2,1.38,23.16,50.39,United States,United States,right,175,70,no,7.84,7.75,52.94,1.64,33.33,0.27,0.37,0.55,3.47,4.63,1,1,0.09,0,0,2.46,0,0,0,0.12,0,0,19,1.73,26.32,0,0.18,0.91,40,0.55,33.33,0.36,50,0,2.74,60,11.4,52.8,1.82,2.37,0.18,42.4,0.18,3.74,56.08,90.57,11.31,79.84,15.41,96.45,19.15,93.81,52.98,92.43,2.28,64,16.4,33.6,0.13,0.82,0.09,0,0.18,0,0.27,6.11,77.61,1.91,61.9,0.64,71.43,0.91,0.27,5.11,71.43,,0.18,0.09,0,0.46,0,0
A. Bruus,Horsens,Horsens,"RB, RWB",26,800000,2027-06-30,2,40,0,0,0,0.19,,,Denmark,Denmark,right,184,69,no,,,,,,,0,,,3.75,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.35,0,,,,,,,,,,,,,,,,,,,,,,,0,0
O. Ross,AaB,AaB,"LWF, CF, LAMF",21,750000,2027-06-30,15,967,4,2.52,2,2.19,17.78,37.7,Denmark,Denmark,right,186,78,no,3.91,3.26,65.71,2.79,26.67,0,0,0,1.77,2.34,1.49,1,0.09,0,0,3.16,0.37,3,0.28,0.23,1,0.09,20,1.86,50,20,0.19,2.33,28,1.77,26.32,0.47,40,0.47,3.07,48.48,9.21,37.37,2.98,0.93,0.09,20.66,1.12,1.4,27.08,78.35,6.98,61.33,6.33,95.59,8.84,72.63,23.36,86.06,1.49,31.25,17.11,24.58,0.2,1.3,0,0,0.28,33.33,0.37,2.7,62.07,2.79,46.67,0.37,25,1.3,0.84,3.72,72.5,,0.65,0.19,0,2.23,1,100
M. Elvius,Hvidovre,Hvidovre,"LWB, LB, RW",23,750000,2028-06-30,10,896,2,0.91,0,1.02,15.57,50.32,Denmark,Denmark,right,185,78,no,8.94,5.73,56.14,2.01,70,0.2,0.21,0.1,5.52,5.81,1.21,2,0.2,0,0,3.31,0.2,2,0.2,0.09,0,0,14,1.41,35.71,14.286,0,1.71,52.94,1.1,54.55,0.4,50,0.2,3.01,63.33,6.03,48.33,1.61,1.71,0.1,21.6,1.61,0.4,30.64,72.13,10.85,56.48,6.73,94.03,7.63,77.63,25.51,76.38,3.42,50,17.8,34.03,0.1,0.9,0.1,0.1,0,0,0.2,3.82,57.89,2.31,60.87,0.5,60,1,0.8,7.13,59.15,,0,0,0,0,0,0
T. Storm,Lyngby,Lyngby,"RCB, LCB",21,700000,2027-06-30,15,1426,0,0.39,1,0.09,10.16,62.11,Denmark,Denmark,right,182,72,no,6.69,3.79,75,2.84,57.78,0.06,0.07,0.44,3.79,4.47,0.5,1,0.06,0,0,0.25,0,0,0,0.02,0,0,4,0.25,0,0,0.06,0.25,50,0.13,50,0.13,50,0.06,0.32,40,1.77,53.57,0.76,0.38,0.06,41.4,0.32,0.69,55.35,92.36,23.29,85.37,4.17,100,22.15,98.58,52.26,95.05,2.84,46.67,18.24,44.56,0.01,0.19,0,0,0,0,0.13,6.25,76.77,0.69,45.45,0.13,0,0.25,0.13,8.14,81.4,,0,0,0,0,0,0
M. Warming,Lyngby,Lyngby,"CF, LW",25,700000,2028-06-30,5,147,1,0.68,0,0.34,18.37,36.67,Denmark,Denmark,right,187,72,no,1.84,3.67,0,3.67,66.67,0,0,0,1.84,2.43,1.22,0,0,0,0,6.73,0.61,1,0.61,0.41,0,0,3,1.84,33.33,33.333,0,3.67,83.33,2.45,75,1.22,100,0,3.06,100,8.57,50,3.67,4.9,0.61,10.41,1.84,0.61,12.24,65,3.67,16.67,2.45,75,4.29,85.71,8.57,57.14,0,0,14.48,0,0.21,1.22,0,0,0,0,0.61,0.61,100,3.06,80,0,0,0,2.45,3.06,80,,0,0,0,0,0,0
S. Hausner,Horsens,Horsens,RCB,25,700000,2028-06-30,13,1017,1,1.44,0,0.71,13.54,58.17,Denmark,Denmark,right,188,79,no,8.14,4.96,60.71,4.25,64.58,0,0,0.27,5.13,6.35,1.33,3,0.27,1,0.09,0.62,0.09,1,0.09,0.13,0,0,8,0.71,25,12.5,0,0.97,36.36,0.09,100,0.88,30,0.09,0.18,50,1.77,45,1.42,0.71,0,39.03,0.62,0.27,53.81,83.06,23.01,72.31,4.51,92.16,19.82,92.41,46.46,87.62,6.55,56.76,19.93,41.95,0.06,0.44,0,0,0,0,0.09,9.03,66.67,1.33,20,0.53,16.67,0.35,0.27,10.88,69.92,,0,0,0,0,0,0
R. Baturina,Horsens,Horsens,CF,25,700000,2027-06-30,7,347,3,2.28,0,0.04,24.38,29.79,Croatia,Croatia,left,187,90,yes,1.04,1.04,50,9.34,36.11,0,0,0.26,0.52,0.65,0.78,0,0,0,0,2.07,0.78,3,0.78,0.59,0,0,11,2.85,54.55,27.273,0,0.52,0,0.52,0,0,0,0,1.3,40,10.63,26.83,4.15,0,0,9.08,1.82,2.07,12.71,77.55,2.59,70,3.37,84.62,3.11,83.33,12.19,80.85,0,0,14.12,0,0.01,0.52,0,0,0.26,0,0.26,0.26,100,0.78,0,0.26,0,0.26,0,0.26,0,,0,0,0,0,0,0
