Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Andersen,Fremad Amager,Fremad Amager,GK,28,0,,16,1570,0,0,0,0,1.09,84.21,Denmark,Denmark,unknown,0,0,no,1.72,0.11,50,0.75,92.31,0,0,0,1.66,1.94,0.06,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.17,66.67,0,0.06,0,13.59,0.17,0.17,23.1,80.89,16.22,74.56,0,0,6.25,95.41,10.49,96.72,12.61,67.73,35.96,48.91,0,0,0,0,0,0,0,3.15,69.09,0.06,0,0.06,100,0,0,10.03,77.71,23,1.32,64,3.67,1,64.06,21.22,1.22,-1.78,-0.102,0,1.61,0.75,,,,0,0,0
A. Halsgaard,Næstved,Næstved,"LCB, RCB, CB",20,100000,2027-06-30,16,1555,3,2.36,0,0,10.53,59.34,Denmark,Denmark,right,188,0,yes,5.67,3.47,70,4.17,50,0,0,0.64,3.24,4.86,0.29,0,0,0,0,0.58,0.17,3,0.17,0.14,2,0.12,14,0.81,50,21.429,0,0.12,0,0,0,0.12,0,0.06,0.17,100,1.79,58.06,0.98,1.74,0.06,48.85,0.12,0.52,64.42,92.99,26.28,88.33,2.49,97.67,29.23,96.83,60.42,95.79,3.88,52.24,18.56,35.91,0,0,0.06,0,0,0,0,5.73,77.78,0.69,33.33,0.12,0,0.12,0,7.81,72.59,0,,0,,0,0,0,0,,,1.62,,,0,0,0,0,0,0
M. Høst,Næstved,Næstved,LB,27,0,2026-06-30,16,1555,0,0.29,1,3.97,10.01,61.27,Denmark,Denmark,left,0,0,no,6.54,4.51,67.95,1.33,73.91,0.12,0.17,0.23,3.36,5.03,0.81,2,0.12,0,0,1.56,0,0,0,0.02,0,0,4,0.23,0,0,0.06,2.66,39.13,2.2,42.11,0.41,28.57,0.41,0.87,60,2.78,45.83,0.93,2.2,0.06,47.98,1.74,0.69,59.73,83.91,24.71,75.18,8.51,96.6,15.97,88.77,51.28,90.52,5.9,47.06,18.03,35.4,0.23,1.27,0.06,0,0,0,0.17,9.38,75.31,3.82,54.55,0.23,75,1.1,0.98,12.91,78.92,0,,0,,0,0,0,0,,,0.98,,,0.58,0,0,2.37,0,0
N. Christensen,Skive,Skive,GK,23,0,2026-06-30,16,1553,0,0,0,0,0.52,77.78,Denmark,Denmark,,0,0,no,2.09,0,0,0.35,100,0,0,0,2.09,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,12.34,0.17,0.12,22.25,83.85,13.62,75.74,0,0,7.71,96.99,11.59,97.5,10.66,69.02,35.56,48.3,0,0,0,0,0,0,0,2.43,76.19,0.12,0,0.23,25,0,0,9.04,76.92,23,1.33,54,3.13,2,57.41,15.25,0.88,-7.75,-0.449,0,1.62,0.35,,,,0,0,0
O. Børner Thorup,HIK,HIK,GK,26,0,2026-06-30,16,1545,1,0.14,0,0,1.11,78.95,Denmark,Denmark,,0,0,no,3.84,0.17,33.33,0.64,90.91,0,0,0,3.79,4.39,0.06,0,0,0,0,0.12,0.06,1,0.06,0.01,0,0,2,0.12,50,50,0,0,0,0,0,0,0,0,0.06,100,0.17,100,0,0,0,30.93,0.41,0.41,46.08,79.52,24.76,63.76,0,0,18.87,97.84,31.57,98.52,14.39,38.46,29.66,50.25,0,0,0,0,0,0,0,5.94,21.57,1.05,0,1.05,11.11,0.06,0,8.68,59.06,22,1.28,90,5.24,4,75.56,25.54,1.49,3.54,0.206,0,1.86,0.64,,,,0,0,0
M. Kongstedt,Næstved,Næstved,"RCMF, AMF, DMF",30,0,,16,1529,1,1.72,1,0.51,11.48,48.72,Denmark,Denmark,right,186,0,no,6.47,4.83,62.2,2.41,39.02,0.41,0.62,0.18,3.06,4.57,1.35,0,0,0,0,0.41,0.06,1,0.06,0.1,0,0,9,0.53,22.22,11.111,0.06,0.65,18.18,0.12,50,0.53,11.11,0.12,0.06,100,2.88,36.73,1.53,0.41,0.06,35.79,0.71,0.82,48.33,86.36,12.77,70.51,10.07,96.49,14.83,93.25,45.26,89.47,2.41,46.34,16.12,30.06,0.03,0.59,0.06,0,0.12,100,0.12,5.89,73,1.06,66.67,0.12,100,0.82,0.12,5.47,67.74,0,,0,,0,0,0,0,,,0.94,,,0,0,0,0,0,0
F. Christensen,Næstved,Næstved,"CF, RWF, RAMF",30,0,,16,1525,6,6.77,0,1.01,20.71,47.86,Denmark,Denmark,left,185,77,no,3.66,2.95,52,7.08,50.83,0.12,0.18,0.24,2.01,3,1.24,1,0.06,0,0,1.83,0.35,6,0.35,0.4,2,0.12,47,2.77,38.3,12.766,0,0.65,27.27,0,0,0.59,30,0.06,0.94,62.5,8.14,45.65,3.54,1.06,0.06,24.26,2.66,2.95,29.98,82.48,5.96,65.35,10.21,95.38,7.97,84.44,28.27,84.55,1.06,61.11,15.44,24.07,0.06,0.59,0.06,0,0,0,0.06,2.01,61.76,1.53,61.54,0.06,0,1,0.18,3.25,56.36,0,,0,,0,0,0,0,,,0.06,,,0,0,0,0,0,0
D. Chernet,HIK,HIK,RCB,27,0,,16,1513,0,1.46,0,0.37,10.29,61.85,Denmark,Denmark,unknown,0,0,no,7.5,2.97,68,5.59,58.51,0.12,0.14,0.65,5.35,6.22,0.36,0,0,0,0,0.12,0,0,0,0.09,0,0,8,0.48,25,0,0,0,0,0,0,0,0,0,0,0,0.48,50,0.54,0.12,0,32.6,0.12,0.65,44.67,91.08,15.82,81.95,2.68,100,22.19,96.78,41.34,95.54,3.33,35.71,19.82,37.05,0.02,0.06,0,0,0,0,0.06,2.2,35.14,0.42,28.57,0.18,33.33,0.12,0,4.04,61.76,0,,0,,0,0,0,0,,,2.62,,,0,0,0,0,0,0
M. Lauritsen,Vendsyssel,Vendsyssel,"LCB, CB",20,0,2027-06-30,15,1470,0,0.22,0,0.01,12.37,59.41,Denmark,Denmark,left,180,70,no,7.35,4.1,70.15,5.02,57.32,0.06,0.08,0.92,4.41,6.08,0.8,2,0.12,0,0,0.12,0,0,0,0.01,0,0,3,0.18,0,0,0,0.12,100,0.12,100,0,0,0,0,0,1.41,43.48,0.73,1.22,0,42.31,0.24,0.92,60.31,90.86,21.55,79.55,3.31,96.3,30,97.96,54.55,94.61,5.63,54.35,20.22,38.78,0,0.12,0.06,0,0,0,0,6.37,72.12,0.55,44.44,0.18,66.67,0.18,0.12,9.31,71.05,0,,0,,0,0,0,0,,,2.2,,,0,0,0,0,0,0
L. Schulz,Vendsyssel,Vendsyssel,GK,22,100000,2027-06-30,15,1470,0,0,0,0,0.86,100,Finland,"Finland, Germany",right,198,84,no,1.53,0.06,100,0.67,100,0,0,0,1.47,2.03,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0.37,0,29.2,82.18,17.57,72.13,0,0,10.1,96.97,16.04,96.18,13.16,65.12,33.9,50.16,0,0,0,0,0,0,0,3.55,46.55,0.43,0,0.18,33.33,0,0,9.73,76.73,21,1.29,67,4.1,5,68.66,18.32,1.12,-2.68,-0.164,0,2.2,0.67,,,,0,0,0
