Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Koch Groth Pedersen,Vejle U18,Vejle U19,"RCB, LCMF",18,0,,13,1172,1,1.85,0,0.43,14.51,53.97,Denmark,Denmark,unknown,0,0,no,10.44,5.84,64.47,2.46,59.38,0.38,0.45,0.69,6.3,7.39,1,1,0.08,0,0,0.54,0.08,1,0.08,0.14,1,0.08,11,0.84,18.18,9.091,0,0.23,100,0.08,100,0.15,100,0,0.31,50,3.84,40,1.08,0.31,0,44.39,0.38,1.23,61.51,88.01,19.27,75.7,7.3,96.84,29.8,95.1,54.45,90.41,6.83,68.54,20.95,38.75,0.03,0.23,0,0,0,0,0.15,4.3,67.86,0.46,50,0.15,50,0.15,0.15,10.29,61.94,0,,0,,0,0,0,0,,,3.23,,,0.08,0,0,0,0,0
M. Kruse,Esbjerg U19,Esbjerg U19,"LCMF, DMF",18,0,,12,1157,3,2.35,0,1.14,14.08,46.41,Denmark,Denmark,unknown,0,0,no,5.68,4.36,64.29,1.01,53.85,0,0,0,2.88,2.89,1.01,0,0,0,0,2.26,0.23,2,0.16,0.18,0,0,14,1.09,71.43,21.429,0,0.86,72.73,0.23,66.67,0.62,75,0.16,1.79,47.83,6.92,32.58,1.56,1.09,0,20.61,1.01,0.78,28.16,81.49,7.93,64.71,5.37,92.75,9.65,86.29,24.81,84.64,2.49,53.13,18.18,38.7,0.09,0.93,0.08,0,0,0,0.23,3.11,60,1.4,77.78,0,0,0.54,0.62,4.2,59.26,0,,0,,0,0,0,0,,,0.16,,,0.08,0.08,100,0,1,100
J. Sigurðsson,Lyngby U19,Lyngby U19,CF,18,0,,12,1154,9,6.69,0,0.42,19.34,42.34,Iceland,Iceland,unknown,0,0,no,3.28,2.65,67.65,5.77,39.19,0.31,0.36,0.08,1.17,1.36,1.17,2,0.16,0,0,2.65,0.7,6,0.47,0.52,1,0.08,35,2.73,57.14,25.714,0,0.31,25,0.16,50,0.16,0,0.08,1.64,61.9,8.03,34.95,3.35,1.48,0.08,4.84,1.25,1.64,9.9,74.8,2.34,46.67,3.74,89.58,1.95,72,9.05,79.31,0.55,28.57,14.67,15.87,0.03,0.39,0,0,0,0,0.23,1.33,64.71,0.62,25,0.16,0,0.47,0.16,1.25,56.25,0,,0,,0,0,0,0,,,0,,,0.16,0.16,0,0,3,100
T. Nilsson,Lyngby U19,Lyngby U19,RCB,17,0,,12,1154,0,0.12,0,0.2,11.07,57.75,Denmark,Denmark,,0,0,no,7.56,4.76,73.77,1.87,50,0.23,0.27,0.62,3.82,4.43,0.78,1,0.08,0,0,0.47,0,0,0,0.01,0,0,1,0.08,100,0,0,0.31,50,0,0,0.31,50,0,0.23,100,3.12,45,0.55,0.47,0.16,44.38,0.23,0.47,60.21,89.64,23.24,82.55,6.94,96.63,22.15,94.37,53.5,93.59,6.4,58.54,19.72,42.65,0.02,0.23,0.08,0,0,0,0,6.4,75.61,0.55,42.86,0.62,25,0.23,0.16,10.61,70.59,0,,0,,0,0,0,0,,,4.52,,,0,0,0,0,0,0
C. Risom,Silkeborg U19,Silkeborg U19,GK,18,0,2026-06-30,12,1143,0,0,0,0,1.34,100,Denmark,Denmark,unknown,0,0,no,2.91,0.31,100,0.55,100,0,0,0,2.6,2.54,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.24,100,0,0,0,21.65,0.24,0.16,36.22,91.52,17.56,84.3,0,0,16.85,98.6,29.21,98.65,7.01,61.8,25.79,48.76,0,0,0,0,0,0,0,1.5,26.32,0.08,0,0.16,50,0,0,4.72,68.33,15,1.18,42,3.31,3,64.29,9.18,0.72,-5.82,-0.458,0,1.97,0.55,,,,0,0,0
W. Kirk,Silkeborg U19,Silkeborg U19,"RCMF, LCMF",18,0,2025-12-31,12,1143,1,0.67,1,1.9,16.06,50.49,Denmark,Denmark,unknown,0,0,no,10.71,8.66,64.55,0.71,44.44,0.55,0.54,0.08,4.57,4.46,0.94,1,0.08,0,0,1.57,0.08,1,0.08,0.05,0,0,8,0.63,12.5,12.5,0.08,2.52,21.88,0.31,25,2.13,22.22,0.55,1.5,57.89,5.2,31.82,1.02,0.94,0,40.31,0.39,0.71,49.76,83.86,16.61,71.09,9.45,96.67,12.68,82.61,42.83,91.36,4.41,46.43,16.48,39.11,0.15,0.94,0,0,0.08,100,0.47,5.75,72.6,3.15,25,0.47,50,0.79,0.55,7.87,63,0,,0,,0,0,0,0,,,1.02,,,0.39,0.08,0,1.65,0,0
M. Øxenberg,Silkeborg,Silkeborg U19,DMF,18,0,,12,1143,0,1.07,0,0.94,15.12,56.25,Denmark,Denmark,unknown,0,0,no,10.08,7.17,79.12,1.89,37.5,0.24,0.23,0.24,4.17,4.08,0.63,2,0.16,0,0,0.63,0,0,0,0.08,0,0,4,0.31,50,0,0,0.24,33.33,0,0,0.24,33.33,0.08,0.71,55.56,4.02,39.22,0.71,0.71,0,58.82,0.08,0.79,74.33,87.29,23.94,73.03,8.98,99.12,28.66,94.51,68.58,90.24,5.59,52.11,17.83,35.15,0.07,0.55,0,0.16,0.16,0,0.16,9.45,67.5,1.73,45.45,0.55,14.29,0.79,0.08,9.13,66.38,0,,0,,0,0,0,0,,,1.26,,,0,0,0,0,0,0
A. Aslani,Lyngby U19,Lyngby U19,"LCB, RCMF, DMF",18,0,2026-06-30,12,1139,0,0.71,0,0.02,16.36,60.87,North Macedonia,"North Macedonia, Denmark",unknown,0,0,no,10.27,8.45,75.7,1.98,52,0.16,0.18,0.24,3.71,4.29,1.26,1,0.08,0,0,0.47,0,0,0,0.06,0,0,4,0.32,0,0,0,0.47,33.33,0.08,0,0.32,50,0,0.47,66.67,4.42,42.86,0.47,0.4,0,34.45,0.08,0.71,48.83,86.25,17.3,77.17,6.8,95.35,19.12,92.56,44.09,90.14,4.27,51.85,17.64,33.01,0,0.08,0,0,0.08,0,0,5.06,71.88,0.4,60,0.16,50,0.16,0.16,6.87,60.92,0,,0,,0,0,0,0,,,2.53,,,0,0,0,0,0,0
S. Stüker,Silkeborg,Silkeborg U19,RB,18,0,2027-06-30,12,1133,1,0.61,0,1.01,16.68,51.43,Denmark,Denmark,,0,0,no,8.58,7.15,62.22,2.07,57.69,0,0,0.24,4.13,4.03,0.71,1,0.08,0,0,3.18,0.08,1,0.08,0.05,0,0,9,0.71,44.44,11.111,0,4.53,24.56,0.24,33.33,4.29,24.07,0.56,2.22,78.57,5.96,44,2.14,2.54,0.64,37.97,3.34,0.79,45.6,79.44,10.25,65.12,10.64,96.27,15.97,76.62,38.68,88.3,2.62,42.42,18.54,37.07,0.08,0.71,0.08,0,0,0,0.16,2.46,58.06,4.29,33.33,0.16,0,1.11,1.27,7.55,57.89,0,,0,,0,0,0,0,,,0.48,,,0,0,0,0,0,0
A. Fuglsang,AGF U19,AGF U19,"AMF, LDMF, RDMF",17,0,,12,1117,4,2.78,1,0.65,24.9,45.63,Denmark,Denmark,unknown,0,0,no,8.06,7.65,63.16,1.93,50,0.08,0.09,0.4,3.14,3.66,1.61,1,0.08,0,0,2.5,0.32,4,0.32,0.22,0,0,17,1.37,41.18,23.529,0.08,0.81,10,0.24,33.33,0.56,0,0.08,3.22,55,12.09,34,2.01,3.55,1.05,25.94,0.32,2.09,36.5,86.53,10.07,72,7.98,95.96,13.29,92.12,33.36,89.61,2.42,66.67,18.17,35.3,0.05,0.32,0,0.16,0.16,50,0.08,4.27,81.13,1.13,71.43,0.4,60,0.48,0.08,5.24,64.62,0,,0,,0,0,0,0,,,0.48,,,0,0,0,0,0,0
