Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Postema,Emmen,Emmen,CF,23,750000,2027-06-30,15,1469,10,9.5,3,1.46,8.64,41.13,Netherlands,Netherlands,right,175,67,no,1.84,2.02,45.45,2.08,26.47,0.06,0.08,0,0.86,1.18,0.67,4,0.25,0,0,2.02,0.61,10,0.61,0.58,2,0.12,40,2.45,40,25,0.18,0.55,33.33,0.18,100,0.31,0,0.18,1.23,70,3.06,54,3.55,0.61,0,11.15,1.23,0.98,14.15,72.73,3.12,56.86,3.86,92.06,3.92,71.88,13.36,75.23,0.37,16.67,16.92,16.38,0.09,0.61,0,0,0.06,0,0.55,1.78,58.62,0.86,50,0.06,0,0.8,0.18,1.47,70.83,,0,0,0,0,2,0
L. Unbehaun,Emmen,Emmen,GK,24,400000,2026-06-30,15,1469,0,0,0,0.02,0.92,86.67,Germany,Germany,right,185,82,no,2.08,0.12,50,0.61,100,0,0,0,2.02,2.77,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,50,0,0,0,23.1,0.18,0.12,35.72,81.48,17.4,63.03,0,0,17.09,99.28,21.99,99.16,13.66,53.36,34.17,52.77,0,0.06,0,0.06,0,0,0,5.82,55.79,0.37,0,0.49,0,0,0,9.62,70.06,0.61,,,,0,0,0
G. Blancquart,VVV Venlo,VVV Venlo,"RCB, LCB",21,0,2026-06-30,15,1461,3,2.51,0,0.01,15.77,62.11,France,France,,192,77,no,8.62,5.91,70.83,3.94,51.56,0.25,0.3,0.43,4.19,5.15,0.86,2,0.12,0,0,0.62,0.18,3,0.18,0.15,3,0.18,13,0.8,46.15,23.077,0,0.06,0,0,0,0.06,0,0.06,0.37,66.67,2.4,61.54,1.23,1.42,0.18,28.03,0,1.72,40.97,90.53,15.4,81.6,3.7,96.67,17.68,97.21,37.08,92.03,3.82,77.42,19.52,35.34,0,0.12,0,0,0,0,0,3.2,84.62,0,0,0.06,100,0,0,5.98,71.13,,0,0,0,0,0,0
Y. Schoonderwaldt,VVV Venlo,VVV Venlo,GK,25,125000,2026-06-30,15,1461,0,0,0,0,0.43,71.43,Netherlands,Netherlands,left,195,83,no,1.91,0,0,0.31,80,0,0,0,1.91,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68,0.06,0.06,34.87,85.34,21.13,79.01,0,0,12.94,95.71,20.57,96.71,14.29,68.97,30.88,44.86,0,0,0,0,0,0,0,3.88,68.25,0.18,0,0.37,66.67,0.06,0,11.7,77.37,0.31,,,,0,0,0
P. van de Merbel,Den Bosch,Den Bosch,GK,23,0,2026-06-30,15,1459,0,0,0,0,0.25,75,Netherlands,Netherlands,right,186,82,no,0.99,0,0,0.19,66.67,0,0,0,0.99,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,19.8,0.62,0.06,28.62,77.59,18.32,65.99,0,0,9.68,98.09,14.19,98.7,14.43,56.84,36.67,50.62,0,0,0,0,0,0,0,3.76,39.34,0.19,0,0.12,0,0,0,9.31,73.51,0.19,,,,0,0,0
M. Havekotte,TOP Oss,TOP Oss,GK,30,300000,,15,1459,0,0,0,0,0.43,71.43,Netherlands,Netherlands,right,187,79,no,0.56,0.06,0,0.31,80,0,0,0,0.56,0.68,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,16.53,0.37,0.06,25.41,87.38,16.1,80.84,0,0,8.82,98.6,12.21,99.49,13.14,76.06,37.99,50.72,0,0,0,0,0,0,0,2.34,65.79,0,0,0.19,100,0.06,0,10.98,83.15,0.31,,,,0,0,0
M. Spenkelink,RKC Waalwijk,RKC Waalwijk,GK,28,125000,,15,1452,0,0,0,0,0.68,63.64,Netherlands,Netherlands,right,196,86,no,0.87,0,0,0.43,57.14,0,0,0,0.87,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,16.98,0.06,0.19,25.29,83.58,16.18,76.63,0.06,0,8.12,98.47,12.89,97.12,12.33,69.85,32.34,45.81,0,0,0.06,0,0,0,0,1.61,53.85,0.06,0,0.12,0,0,0,10.72,71.68,0.43,,,,0,0,0
T. Didillon-Hödl,Willem II,Willem II,GK,29,500000,,15,1444,0,0,0,0.27,0.69,90.91,France,France,left,193,84,no,0.87,0,0,0.56,88.89,0,0,0,0.87,1.02,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.12,100,0,0.12,0.06,18.32,0.25,0.12,27.61,84.88,17.76,78.25,0,0,9.47,96.71,15.33,97.97,12.28,68.53,35.72,50.13,0.02,0.06,0,0.06,0,0,0,3.24,59.62,0.12,50,0,0,0.06,0,10.91,77.14,0.56,,,,0,0,0
J. Hoogma,Willem II,Willem II,LCB,27,900000,2026-06-30,15,1444,1,0.66,0,0.11,11.41,57.38,Netherlands,Netherlands,left,190,81,no,7.98,5.3,67.06,3.99,51.56,0.5,0.58,0.56,3.93,4.58,1,3,0.19,0,0,0.31,0.06,1,0.06,0.04,1,0.06,3,0.19,33.33,33.333,0,0.12,50,0.12,50,0,0,0,0.25,75,0.93,53.33,0.19,3.24,0,37.77,0.44,0.25,51.3,89.79,20.26,80,3.49,100,25.06,96.02,45.06,94.19,6.11,58.16,22.82,39.93,0.01,0.06,0,0.06,0,0,0.06,8.85,76.76,0.81,53.85,0.37,16.67,0.31,0.06,11.41,82.51,,0,0,0,0,0,0
M. Bergsen,Helmond Sport,Helmond Sport,GK,26,150000,,15,1444,0,0,0,0,0.56,88.89,Netherlands,Netherlands,right,186,76,no,1.87,0.06,100,0.31,100,0,0,0,1.81,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.24,0.44,0.12,33.72,82.99,18.89,70.96,0,0,13.52,98.62,19.7,98.42,13.96,61.61,32.17,47.22,0,0,0,0,0,0,0,3.3,43.4,0.06,0,0.06,100,0.06,0,9.35,73.33,0.31,,,,0,0,0
