Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Zambrano,Libertad,Libertad,"LCMF, RCMF",28,0,2025-12-31,35,3530,3,4.76,2,2.08,13.08,53.02,Ecuador,Ecuador,,0,0,no,5.81,4.21,67.27,2.47,49.48,0.08,0.11,0.2,2.91,4.05,0.61,5,0.13,0,0,1.02,0.08,3,0.08,0.12,0,0,52,1.33,21.15,5.769,0.05,0.41,25,0.13,20,0.28,27.27,0.08,1.05,60.98,4.79,44.68,2.58,1.22,0.15,18.03,0.64,1.2,26.97,83.65,7.47,69.28,3.59,92.2,11.4,91.5,24.37,88.28,2.19,43.02,17.7,30.17,0.05,0.66,0.05,0,0.15,0,0.13,3.39,79.7,0.92,30.56,0.38,0,0.66,0.08,3.67,67.36,0,,0,,0,0,0,0,,,0.2,,,0,0,0,0,0,0
B. Bustos,Deportivo Cuenca,Deportivo Cuenca,GK,29,150000,,35,3522,0,0,0,0,0.43,82.35,Argentina,Argentina,right,185,81,no,0.72,0.03,100,0.28,81.82,0.03,0.03,0,0.66,0.9,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,80,0,0,0,6.47,0.26,0.15,13.13,84.44,7.28,73.33,0,0,5.32,98.56,7.46,97.6,5.65,66.97,32.81,46.33,0,0,0,0,0,0,0,1.05,65.85,0.13,0,0.08,0,0,0,4.42,71.1,38,0.97,139,3.55,13,72.66,36.21,0.93,-1.79,-0.046,0,1.33,0.28,,,,0,0,0
R. Silva,Orense,Orense,GK,30,600000,2026-12-31,34,3448,0,0,1,0.14,0.84,81.25,Ecuador,Ecuador,,0,0,no,1.91,0.16,50,0.5,84.21,0.05,0.08,0,1.77,2.68,0.03,1,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0,8.74,0.13,0.18,16.89,84.39,10.94,79.47,0,0,5.56,95.31,9.45,96.96,7.36,69.15,34.86,47.92,0,0.03,0,0.03,0,0,0.03,1.57,58.33,0.08,33.33,0.13,60,0.03,0,5.51,75.83,41,1.07,154,4.02,9,73.38,48.6,1.27,7.6,0.198,0,2.01,0.5,,,,0,0,0
R. Caicedo,Emelec,Emelec,"RB, RWB",35,300000,2025-12-30,34,3372,1,2.51,3,3.95,14.97,52.41,Ecuador,Ecuador,right,181,74,no,6.83,4.11,67.53,2.83,42.45,0.29,0.42,0.24,3.76,5.39,0.77,1,0.03,1,0.03,2.54,0.03,1,0.03,0.07,0,0,25,0.67,24,4,0.08,3.52,39.39,0,0,3.52,39.39,0.32,1.52,61.4,5.69,47.42,2.03,1.09,0.03,21.03,2.22,1.49,31.65,74.11,12.06,67.48,4.59,95.93,8.62,71.83,24.42,83.5,3.87,44.14,19.77,35.62,0.11,0.83,0.03,0,0.05,100,0.43,4.59,59.3,2.83,51.89,0.11,75,0.69,1.25,6.7,73.71,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0.03,0,0
P. Ortíz,Emelec,Emelec,GK,35,600000,2026-12-31,33,3365,0,0,0,0,0.67,84,Ecuador,Ecuador,right,187,80,no,0.94,0.05,0,0.37,100,0.03,0.04,0,0.91,1.29,0.03,3,0.08,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.16,66.67,0,0,0,7.81,0.08,0.16,13.61,84.09,9.2,77.33,0,0,4.12,98.05,8.02,99,5.59,62.68,35.16,49.34,0,0,0,0,0,0,0,1.66,54.84,0.05,0,0.05,0,0,0,4.2,77.71,34,0.91,155,4.15,11,78.06,38.97,1.04,4.97,0.133,0,1.39,0.37,,,,0,0,0
J. Marrufo,Macará,Macará,LCB,29,400000,2025-12-15,34,3348,3,2.36,1,0.43,13.66,63.58,Venezuela,Venezuela,left,183,79,no,9.81,5.59,72.12,4.54,65.09,0.43,0.59,0.7,5.35,7.36,0.91,9,0.24,0,0,0.27,0.08,3,0.08,0.06,2,0.05,12,0.32,33.33,25,0.03,0.11,50,0.11,50,0,0,0,0.16,66.67,1.53,43.86,0.67,0.13,0,14.57,0.19,0.59,29.54,79.71,14.6,70.17,1.37,90.2,11.48,92.74,22.88,85.9,6.56,58.61,24.13,38.67,0.01,0.08,0,0,0,0,0.13,4.35,60.49,0.35,30.77,0.3,18.18,0.19,0.05,7.77,64.71,0,,0,,0,0,0,0,,,0.81,,,0,0,0,0,0,0
J. Mina,Aucas,Aucas,"LB, LWB",30,1000000,,34,3280,1,1.7,11,7.38,9.22,48.21,Ecuador,Ecuador,left,178,75,no,5.43,4.2,67.32,1.02,37.84,0.03,0.04,0.05,2.58,3.75,0.33,3,0.08,0,0,2,0.03,1,0.03,0.05,0,0,22,0.6,18.18,4.545,0.3,4.45,30.25,4.31,29.94,0.11,25,0.47,0.96,51.43,2.91,33.02,0.71,1.87,0.25,26.89,2.39,0.27,35.95,73.51,13.2,67.36,4.83,90.91,11.94,74.25,26.2,85.34,5.6,50.49,21.57,38.33,0.2,1.62,0.03,0.03,0.11,50,0.52,5.54,65.84,4.23,41.56,0.33,41.67,0.47,1.37,9.93,73.76,0,,0,,0,0,0,0,,,0.14,,,1.43,0.14,20,2.85,0,0
R. Biojo,Libertad,Libertad,"RCB, RB",26,250000,2025-12-31,33,3241,1,1.11,0,0.54,10.91,62.85,Ecuador,Ecuador,,0,0,no,8.36,4.14,68.46,3.3,68.91,0.39,0.55,0.61,5.14,7.32,0.75,6,0.17,0,0,0.36,0.03,1,0.03,0.03,0,0,8,0.22,37.5,12.5,0,0.19,28.57,0.03,0,0.17,33.33,0,0.33,66.67,1.72,51.61,0.58,1.8,0.08,21.77,0.5,0.64,36.71,82.45,19.47,75.32,2.14,96.1,11.64,91.89,28.99,87.16,7.55,65.44,22.07,35.8,0.02,0.14,0,0,0.03,0,0,7.66,69.93,0.72,30.77,0.42,46.67,0.25,0.06,10.72,79.02,0,,0,,0,0,0,0,,,1.22,,,0,0,0,0,0,0
E. Raggio,Deportivo Cuenca,Deportivo Cuenca,"LCB, RCB, LB",24,0,2026-12-31,33,3184,0,0.38,1,0.33,12.49,61.54,Argentina,Argentina,,0,0,yes,10.09,6.47,66.81,2.71,67.71,0.31,0.43,0.59,5.46,7.5,0.73,1,0.03,1,0.03,0.4,0,0,0,0.01,0,0,9,0.25,33.33,0,0.03,0.34,41.67,0.11,50,0.23,37.5,0.06,0.31,54.55,2.2,38.46,0.14,0.54,0.03,28.07,0.54,0.4,44.24,83.26,22.67,74.94,2.37,97.62,15.35,93.92,35.79,90.36,8.14,53.82,22.42,38.04,0.01,0.11,0.03,0.03,0.06,0,0.03,6.76,63.18,0.54,36.84,0.37,23.08,0.11,0.14,10.46,71.35,0,,0,,0,0,0,0,,,1.1,,,0.03,0,0,0,0,0
E. Segura,Aucas,Aucas,LCB,25,0,,33,3164,2,2.39,0,0.23,14.96,64.26,Ecuador,Ecuador,unknown,0,0,no,9.56,6.74,73.42,4.55,58.75,0.34,0.49,0.43,4.27,6.17,1.19,6,0.17,1,0.03,0.43,0.06,2,0.06,0.07,2,0.06,17,0.48,41.18,11.765,0,0.03,0,0.03,0,0,0,0,0.23,100,1.65,58.62,0.8,0.85,0,24.24,0.51,0.51,35.78,86.17,16.61,77.05,1.93,95.59,14.36,95.45,31.03,91.57,4.72,51.2,21.01,36.13,0.01,0.06,0.06,0.03,0,0,0,4.58,69.57,0.34,16.67,0.17,66.67,0.09,0,6.94,68.44,0,,0,,0,0,0,0,,,1.17,,,0,0,0,0,0,0
