Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Mohamed Camacho,El Geish,El Geish,LCB,32,325000,,13,1337,0,0.13,0,0.07,10.91,58.02,Egypt,Egypt,,0,0,no,5.92,2.42,66.67,5.52,56.1,0.47,0.63,0.4,3.84,5.09,0.54,1,0.07,0,0,0.27,0,0,0,0.01,0,0,3,0.2,0,0,0,0.13,50,0.07,100,0,0,0,0.34,60,1.35,40,0.4,0.13,0,14.54,0.13,0.4,28,84.86,13.19,76.02,1.01,100,11.58,94.19,23.83,89.27,4.04,60,20.67,34.64,0,0.13,0,0,0,0,0.07,2.36,54.29,0.4,16.67,0,0,0,0.07,4.44,56.06,0,,0,,0,0,0,0,,,0.94,,,0,0,0,0,0,0
Mohamed Shaaban,El Geish,El Geish,GK,31,200000,,13,1337,0,0,0,0,1.08,81.25,Egypt,Egypt,right,0,0,no,1.41,0.13,50,0.54,87.5,0,0,0,1.35,1.79,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,80,0,0,0,5.25,0.2,0.27,10.23,78.29,7.07,72.38,0,0,2.69,90,5.45,93.83,4.78,60.56,34.97,48.7,0,0,0,0,0,0,0,1.35,65,0.13,50,0.13,100,0,0,3.3,73.47,18,1.21,47,3.16,4,61.7,16.57,1.12,-1.43,-0.096,0,1.55,0.54,,,,0,0,0
Mohamed Bassam,Ceramica,Ceramica,GK,34,600000,2027-06-30,13,1333,0,0,0,0,0.47,85.71,Egypt,Egypt,right,191,0,no,2.16,0,0,0.14,100,0,0,0.07,2.16,3.78,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,100,0,0,0,11.48,0.34,0.27,19.85,83.67,10.94,72.22,0,0,7.49,97.3,13.37,98.99,6.48,52.08,29.9,50.64,0,0,0,0,0,0,0,2.57,39.47,0.27,25,0.14,0,0.07,0,3.51,75,5,0.34,39,2.63,9,87.18,10.96,0.74,5.96,0.402,0,1.22,0.14,,,,0,0,0
Amr Hossam,Wadi Degla,Wadi Degla,GK,34,200000,2026-06-30,13,1330,0,0,0,0,0.88,84.62,Egypt,Egypt,right,183,0,no,1.02,0,0,0.14,100,0,0,0.07,1.02,1.85,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,87.5,0,0,0,10.35,0.14,0.41,15.29,83.63,8.53,73.02,0,0,5.55,98.78,8.66,96.88,6.63,66.33,33.98,49.48,0,0,0,0,0,0,0,1.83,55.56,0.07,0,0,0,0.07,0,5.14,71.05,11,0.74,33,2.23,3,66.67,9.61,0.65,-1.39,-0.094,0,0.95,0.14,,,,0,0,0
Mahmoud El Zanfaly,Haras El Hodood,Haras El Hodood,GK,33,200000,2027-06-30,13,1330,0,0,0,0,1.49,86.36,Egypt,Egypt,right,190,83,no,1.56,0.07,100,1.08,87.5,0,0,0,1.49,2.02,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,100,0,0,0.07,5.68,0.27,0.34,11.71,72.83,9.95,68.03,0,0,1.62,100,3.32,95.92,8.39,63.71,42.59,49.27,0,0,0,0,0,0,0,2.71,47.5,0.14,0,0.14,0,0,0,6.02,79.78,17,1.15,66,4.47,4,74.24,16.2,1.1,-0.8,-0.054,0,2.3,1.08,,,,0,0,0
Aly Lotfi,ZED FC,ZED FC,GK,36,250000,2027-06-30,13,1329,0,0,0,0,1.02,73.33,Egypt,Egypt,right,187,79,no,1.76,0.07,100,0.74,72.73,0,0,0,1.69,2.53,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,66.67,0,0,0,9.48,0.14,0.14,15.51,87.34,7.92,79.49,0,0,6.98,96.12,9.95,99.32,5.49,66.67,30.22,46.24,0,0,0,0,0,0,0,0.88,61.54,0.07,0,0.07,0,0,0,4,76.27,12,0.81,54,3.66,3,77.78,13.49,0.91,1.49,0.101,0,1.35,0.74,,,,0,0,0
T. Mohamed,Petrojet,Petrojet,LB,25,0,,13,1329,0,0.31,1,0.97,15.37,50.66,Egypt,Egypt,unknown,0,0,no,8.74,5.21,64.94,2.03,50,0.95,1.28,0.27,4.4,5.96,0.81,1,0.07,0,0,2.84,0,0,0,0.02,0,0,13,0.88,23.08,0,0.07,3.66,22.22,3.32,22.45,0.34,20,0.61,3.39,52,7.04,43.27,0.81,2.51,0.27,16.46,1.9,0.74,29.05,60.37,12.39,59.56,2.78,80.49,10.7,58.86,17.34,76.56,8.19,43.8,26.67,41.01,0.07,0.54,0.07,0.07,0.14,50,0.34,6.57,53.61,3.79,25,0.74,27.27,0.88,0.61,9.01,66.92,0,,0,,0,0,0,0,,,0.47,,,0.47,0.07,0,0.27,0,0
H. Reyad,Petrojet,Petrojet,RCB,27,0,2028-06-30,13,1329,1,0.58,0,0.28,11.38,69.05,Egypt,Egypt,,0,0,no,10.36,2.71,82.5,7.11,65.71,0.88,1.19,1.22,7.25,9.82,0.14,1,0.07,0,0,0.07,0.07,1,0.07,0.04,1,0.07,7,0.47,14.29,14.286,0,0,0,0,0,0,0,0,0,0,0.34,40,0.41,0.07,0,6.91,0.41,0.41,21.67,68.13,14.15,59.81,1.22,88.89,4.94,86.3,13.14,75.77,8.53,56.35,26.22,37.92,0.02,0.07,0,0,0,0,0,4.81,52.11,0.47,14.29,0.41,33.33,0.07,0,7.86,62.93,0,,0,,0,0,0,0,,,0.88,,,0.54,0,0,0,0,0
Omar Salah,Petrojet,Petrojet,GK,27,100000,2027-06-30,13,1329,0,0,0,0,0.88,76.92,Egypt,Egypt,right,187,0,no,1.29,0,0,0.81,75,0,0,0,1.29,1.74,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0.07,5.01,0.14,0.14,10.97,70.99,8.74,65.12,0,0,2.03,96.67,3.66,100,7.25,57.01,45.78,55.42,0,0,0,0,0,0,0,3.32,53.06,0,0,0.07,0,0,0,5.28,74.36,14,0.95,53,3.59,5,73.58,17.12,1.16,3.12,0.211,0,1.63,0.81,,,,0,0,0
Ahmed El Aash,Ghazl El Mehalla,Ghazl El Mehalla,RCB,27,50000,,13,1326,0,0.23,0,0.04,10.11,63.76,Egypt,Egypt,right,0,0,no,7.87,3.8,80.36,4.95,57.53,0.2,0.28,0.75,4.62,6.39,0.34,2,0.14,0,0,0.14,0,0,0,0.02,0,0,6,0.41,0,0,0,0.34,40,0.07,0,0.27,50,0,0,0,0.54,37.5,0.41,0.41,0,17.71,0,0.48,32.38,77.36,18.73,66.67,1.56,95.65,10.45,93.51,19.34,87.02,12.76,63.3,27.91,40.12,0,0.2,0,0,0,0,0,5.63,59.04,1.49,22.73,0.27,50,0.34,0.14,10.25,70.86,0,,0,,0,0,0,0,,,1.15,,,0.14,0,0,0,0,0
