Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
David Raya,Arsenal,Arsenal,GK,30,35000000,2028-06-30,11,1121,0,0,0,0,0.48,83.33,Spain,Spain,right,183,80,no,0.64,0,0,0.24,100,0,0,0,0.64,1.02,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,15.9,0.48,0.08,23.04,85.71,14.61,78.57,0,0,7.87,97.96,14.29,97.75,8.75,66.06,32.47,53.91,0,0,0,0,0,0,0,5.3,60.61,0.4,20,0.16,0,0,0,6.58,82.93,5,0.4,22,1.77,7,77.27,4.31,0.35,-0.69,-0.055,0,0.96,0.24,,,,0,0,0
Gabriel Magalhaes,Arsenal,Arsenal,LCB,27,70000000,2029-06-30,11,1121,1,0.81,2,0.98,14.53,65.75,Brazil,Brazil,left,190,87,no,6.42,3.61,71.11,5.46,55.88,0.32,0.51,0.88,3.53,5.62,0.32,1,0.08,0,0,0.16,0.08,1,0.08,0.07,1,0.08,5,0.4,20,20,0.16,0.16,50,0.16,50,0,0,0,0,0,1.12,71.43,0.88,0.96,0,42.79,0.24,0.96,53.39,89.77,17.74,77.38,2.57,96.88,26.82,97.31,48.89,93.92,4.34,44.44,19.49,42.18,0.08,0.16,0,0,0,0,0.16,5.62,71.43,0.64,25,0.4,20,0.24,0.08,7.31,68.13,0,,0,,0,0,0,0,,,1.2,,,0,0,0,0,0,0
V. van Dijk,Liverpool,Liverpool,LCB,34,30000000,2027-06-30,11,1120,0,0.51,0,0,11.01,68.61,Netherlands,"Netherlands, Suriname",right,193,92,no,6.27,2.25,60.71,5.87,71.23,0.08,0.14,0.8,4.82,8.22,0.4,2,0.16,0,0,0.24,0,0,0,0.04,0,0,4,0.32,50,0,0,0.08,0,0.08,0,0,0,0,0.16,50,0.72,55.56,1.13,1.04,0.08,46.69,0.32,0.56,60.91,90.37,26.68,82.23,2.49,100,25.63,97.18,55.93,93.97,4.9,50.82,20.27,49.36,0,0.08,0.08,0,0,0,0,10.69,75.94,0.96,25,0.48,50,0.24,0,9.72,84.3,0,,0,,0,0,0,0,,,1.93,,,0,0,0,0,0,0
D. Szoboszlai,Liverpool,Liverpool,"AMF, RB, LDMF",25,0,2028-06-30,11,1120,1,1.37,1,1.22,12.62,52.23,Hungary,Hungary,right,186,74,no,6.67,5.87,57.53,1.13,50,0,0,0.48,3.29,5.62,1.04,4,0.32,0,0,1.69,0.08,1,0.08,0.11,0,0,21,1.69,33.33,4.762,0.08,2.25,32.14,0.16,50,2.01,32,0.24,0.64,62.5,3.13,41.03,1.45,2.33,0.16,39.62,0.88,0.56,51.75,87.27,15.83,78.68,9.08,98.23,16.88,90.48,46.37,91.68,3.29,60.98,18.66,44.63,0.1,0.96,0,0.16,0.08,0,0.4,6.99,82.76,2.89,44.44,0.64,12.5,1.04,0.56,8.12,77.23,0,,0,,0,0,0,0,,,1.37,,,0.8,0.32,50,1.69,0,0
B. Leno,Fulham,Fulham,GK,33,13000000,2027-06-30,11,1118,0,0,0,0,1.05,100,Germany,Germany,right,190,82,no,1.45,0.08,100,0.89,100,0,0,0,1.37,1.86,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0.32,0.24,25.6,88.99,11.35,79.43,0,0,13.6,96.45,19.64,97.95,5.96,59.46,26.8,50.49,0,0,0,0,0,0,0,0.97,25,0.08,0,0,0,0,0,4.19,69.23,16,1.29,50,4.03,2,68,16.23,1.31,0.23,0.019,0,1.53,0.89,,,,0,0,0
J. Bowen,West Ham United,West Ham United,"RW, RAMF, CF",28,50000000,2030-06-30,11,1117,3,2.17,1,1.18,15.95,42.42,England,"England, Wales",left,175,70,no,3.3,2.58,43.75,1.93,25,0.24,0.31,0,1.93,2.45,0.4,0,0,0,0,5.24,0.24,3,0.24,0.18,1,0.08,26,2.09,46.15,11.538,0.08,2.5,35.48,0.16,50,2.34,34.48,0.24,5.32,62.12,9.43,49.57,3.14,2.98,0.32,15.63,0.97,1.29,19.9,74.49,3.95,63.27,5,93.55,5.16,71.88,16.76,81.25,0.89,45.45,18.14,14.04,0.1,0.56,0,0,0.16,50,0.48,0.97,66.67,2.18,51.85,0.24,33.33,0.81,0.81,2.82,71.43,0,,0,,0,0,0,0,,,0.48,,,0.08,0.08,0,0.24,0,0
M. Kilman,West Ham United,West Ham United,"LCB, CB, RCB",28,32000000,2031-06-30,11,1117,0,0.75,0,0.14,10.56,53.44,England,"England, Ukraine",left,194,89,no,6.37,3.63,60,4.83,50,0.08,0.1,0.97,4.11,5.2,0.81,3,0.24,0,0,0.24,0,0,0,0.06,0,0,6,0.48,33.33,0,0,0.16,0,0.16,0,0,0,0,0.16,50,0.64,25,0.64,0.81,0.16,24.98,0.16,0,35.29,89.73,10.39,77.52,2.01,96,19.9,95.55,31.67,95.17,3.46,44.19,22.48,47.19,0.01,0.24,0,0,0,0,0.16,3.38,61.9,0.64,12.5,0.4,20,0.08,0.08,4.75,67.8,0,,0,,0,0,0,0,,,1.29,,,0,0,0,0,0,0
S. van den Berg,Brentford,Brentford,"LCB, RCB",23,12000000,2029-06-30,11,1116,0,1.94,0,0,10.89,53.33,Netherlands,Netherlands,right,192,87,no,5.56,1.94,54.17,6.05,54.67,0.24,0.31,0.56,4.27,5.39,0.56,0,0,0,0,0.32,0,0,0,0.16,0,0,7,0.56,57.14,0,0,0,0,0,0,0,0,0,0,0,0.32,25,1.05,0.65,0.08,22.26,0.16,0.16,32.82,90.42,11.85,79.59,2.18,100,15.32,96.84,31.13,92.49,1.69,52.38,18.49,23.39,0,0,0,0,0,0,0,2.34,68.97,0.32,0,0.24,0,0.24,0,4.19,61.54,0,,0,,0,0,0,0,,,1.94,,,0,0,0,0,0,0
C. Kelleher,Brentford,Brentford,GK,26,20000000,2026-06-30,11,1116,0,0,0,0,0.48,66.67,Republic of Ireland,Republic of Ireland,right,188,74,no,1.21,0.08,0,0.16,50,0,0,0,1.21,1.53,0,1,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.08,100,0,0,0,15.56,0.08,0.24,20.48,89.76,11.21,82.73,0,0,8.63,99.07,13.23,99.39,7.18,73.03,30.6,47.54,0,0,0,0,0,0,0,1.77,63.64,0.16,0,0.08,0,0,0,5.81,77.78,17,1.37,44,3.55,2,61.36,14.06,1.13,-2.94,-0.237,0,1.29,0.16,,,,0,0,0
N. Collins,Brentford,Brentford,"RCB, CB",24,25000000,,11,1116,0,0.32,0,0.09,12.66,53.5,Republic of Ireland,Republic of Ireland,right,195,88,no,8.23,3.15,58.97,5.56,47.83,0.16,0.2,1.05,6.21,7.83,0.81,4,0.32,0,0,0.4,0,0,0,0.03,0,0,4,0.32,75,0,0,0,0,0,0,0,0,0,0.16,100,1.13,64.29,0.65,0.24,0.08,25.4,0.08,0.97,38.06,86.23,17.1,75.47,2.58,96.88,15.24,96.83,32.82,91.65,5.24,52.31,21,40.91,0.01,0.08,0,0,0,0,0.08,3.79,65.96,0.56,42.86,0.4,40,0.32,0,7.42,63.04,0,,0,,0,0,0,0,,,1.85,,,0,0,0,0,0,0
