Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Archer,Cheltenham Town,Cheltenham Town,"LWF, LAMF, LWB",23,0,2026-01-03,16,1515,0,1.36,1,1.82,27.27,37.91,England,England,,188,0,yes,7.96,7.19,54.55,2.5,23.81,0.71,1,0.12,3.33,4.68,0.71,2,0.12,0,0,4.51,0,0,0,0.08,0,0,22,1.31,13.64,0,0.06,3.68,41.94,3.03,43.14,0.65,36.36,0.3,6,46.53,15.5,33.33,1.66,3.03,0.12,15.09,1.25,1.9,26.5,70.63,6.83,49.57,8.5,93.01,6.71,70.8,20.61,80.4,2.26,28.95,19.67,33.52,0.11,0.95,0,0,0,0,0.42,2.32,43.59,2.85,50,0.06,0,0.42,1.43,5.05,65.88,,0,0,0,0.18,0,0
L. Young,Cheltenham Town,Cheltenham Town,"RCMF, LCMF, DMF",32,125000,,16,1441,2,0.62,0,1.37,12.49,58.5,England,England,right,173,72,no,7.06,4.93,69.62,2.94,48.94,0.25,0.35,0.69,3.37,4.78,0.69,5,0.31,0,0,1.06,0.12,2,0.12,0.04,0,0,15,0.94,40,13.333,0,1,56.25,0.06,0,0.81,69.23,0.19,0.19,66.67,2,46.88,0.19,0.5,0,17.11,0.06,1.31,33.73,76.3,14.74,61.44,4.12,96.97,10.56,88.17,24.98,87,7.74,44.35,21.09,36.19,0.09,0.75,0,0,0,0,0.25,8.37,57.46,1.75,46.43,0.31,60,0.12,0.56,7.06,72.57,,1.56,0.25,50,2,0,0
I. Hutchinson,Cheltenham Town,Cheltenham Town,"LCMF, AMF",25,500000,,16,1159,5,3.9,1,0.55,18.64,40.83,England,England,right,178,70,yes,6.13,6.13,56.96,3.11,42.5,0.47,0.67,0.08,2.17,3.11,1.4,4,0.31,0,0,2.02,0.39,5,0.39,0.3,0,0,35,2.72,28.57,14.286,0.08,1.09,35.71,0.62,25,0.47,50,0.23,2.17,39.29,7.69,28.28,1.32,1.79,0.23,20.66,0.54,0.39,32.23,83.37,10.02,72.09,8.46,93.58,9.63,87.9,29.04,86.36,2.25,65.52,19.09,27.92,0.04,0.47,0,0,0.08,0,0.23,4.43,68.42,2.02,53.85,0.31,25,0.54,0.31,4.5,79.31,,0.47,0.31,50,0.39,0,0
R. Hutton,Gillingham,Gillingham,"RB, RWB",27,250000,,16,1436,0,0.36,2,2.09,15.79,49.21,England,"England, Burundi",right,174,72,no,6.71,5.83,65.59,1.38,50,0.5,0.72,0.13,2.38,3.41,0.81,1,0.06,1,0.06,4.26,0,0,0,0.02,0,0,9,0.56,33.33,0,0.13,5.95,45.26,0,0,5.95,45.26,0.94,2.88,47.83,6.58,37.14,0.81,1.63,0.13,15.73,1.32,0.56,29.02,64.36,12.16,55.67,4.07,92.31,9.71,60.65,15.42,78.05,8.15,50.77,25.93,41.55,0.13,1.38,0,0,0,0,0.56,6.77,52.78,6.64,47.17,0.81,61.54,0.88,2.69,9.53,82.24,,0.13,0,0,0.06,0,0
R. McKenzie,Gillingham,Gillingham,"RCB, CB, RCMF",27,200000,,16,1566,1,2.33,0,0.57,13.85,56.85,England,England,right,184,75,no,6.49,3.45,73.33,6.44,54.46,0.46,0.65,0.34,3.51,4.92,0.63,1,0.06,0,0,0.4,0.06,0,0,0.13,0,0,13,0.75,23.08,7.692,0,0.57,20,0.06,0,0.46,25,0,0.34,33.33,1.95,32.35,0.92,0.34,0,6.84,0.34,0.4,18.05,70.38,8.16,54.93,2.82,91.84,4.66,82.72,13.97,77.37,3.51,50.82,21.39,33.96,0.03,0.23,0,0,0,0,0.11,2.59,55.56,0.98,41.18,0.11,100,0.46,0.06,4.6,53.75,,0.06,0.06,0,0,1,100
C. Barker,Crawley Town,Crawley Town,RCB,22,50000,,16,1629,0,1.09,1,0.75,19.78,55.03,England,England,right,0,0,no,9.89,5.19,65.96,8.84,49.38,0.33,0.63,0.88,6.13,11.73,0.88,4,0.22,0,0,0.94,0,0,0,0.06,0,0,11,0.61,18.18,0,0.06,1.1,35,0.06,0,1.05,36.84,0.06,0.5,77.78,2.15,46.15,1.27,1.22,0.11,37.4,0.72,0.88,53.09,81.69,24.09,71.56,5.58,93.07,17.62,90.6,44.59,89.59,7.46,40.74,21.2,41.41,0.04,0.39,0,0,0.06,100,0.28,7.51,55.88,1.66,30,0.39,28.57,0.28,0.44,10.77,68.21,,0,0,0,0.06,0,0
J. Flint,Crawley Town,Crawley Town,LCB,25,450000,2026-06-30,16,1629,0,0.8,1,1.28,19.89,57.5,England,England,left,178,73,no,7.73,4.64,64.29,8.12,57.14,0.39,0.74,0.44,4.36,8.35,0.83,2,0.11,0,0,1.6,0,0,0,0.04,0,0,12,0.66,33.33,0,0.06,0.77,35.71,0.66,33.33,0.11,50,0.06,1.82,60.61,4.09,56.76,1.22,2.82,0.39,35.64,0.94,1.44,47.24,84.09,22.43,74.63,4.53,93.9,14.48,92.75,41.33,89.97,5.14,44.09,20.01,41.45,0.07,0.5,0.06,0.06,0.06,0,0.22,7.24,58.02,1.44,34.62,0.39,28.57,0.5,0.33,8.78,71.07,,0,0,0,0,0,0
T. Iorpenda,Notts County,Notts County,"AMF, RCMF, RWF",20,0,,16,1148,0,2.03,3,1.86,24.85,47.32,England,England,right,190,0,yes,7.68,7.45,70.53,4.31,41.82,0.39,0.61,0.08,2.04,3.18,1.72,2,0.16,0,0,2.67,0,0,0,0.16,0,0,20,1.57,45,0,0.24,1.88,16.67,1.25,25,0.63,0,0.16,3.37,46.51,11.05,37.59,2.2,2.27,0.86,21.32,0.55,2.35,29.16,81.72,8.55,70.64,7.92,96.04,6.35,76.54,25.79,89.06,1.8,30.43,15.33,27.29,0.15,0.39,0.16,0,0.31,25,0.31,3.37,65.12,1.8,34.78,0.24,33.33,0.63,0.39,2.98,76.32,,0,0,0,0,0,0
J. Bedeau,Notts County,Notts County,"LCB, LB",25,325000,2027-06-30,16,1580,0,0,0,0.95,17.09,54.67,England,"England, Grenada",left,182,78,no,7.75,5.01,63.64,7.18,52.38,0.06,0.09,0.34,4.5,7.2,0.97,5,0.28,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,1.14,40,1.14,40,0,0,0,0.28,60,1.82,46.88,0.34,0.51,0.11,38.22,0.34,0.85,53.32,80.88,26.09,70.74,4.67,97.56,12.59,92.76,44.6,89.91,7.63,33.58,18.76,37.43,0.05,0.46,0,0.06,0,0,0.23,6.95,59.02,1.65,48.28,0.4,14.29,0.46,0.46,9.97,65.71,,0,0,0,0,0,0
R. Smith,Harrogate Town,Harrogate Town,"AMF, LAMF",23,0,2027-06-30,16,1392,1,1.26,2,2,18.88,49.32,England,England,,0,0,no,6.27,5.95,66.3,3.23,30,0,0,0.06,2.33,3.15,0.58,0,0,0,0,2.91,0.06,1,0.06,0.08,0,0,12,0.78,41.67,8.333,0.13,2.2,20.59,1.62,16,0.58,33.33,0.26,3.3,64.71,7.31,46.02,2.33,3.04,0.45,17.2,1.29,0.58,29.87,73.16,8.92,57.25,6.72,95.19,6.4,65.66,25.6,81.06,2.26,31.43,14.97,26.72,0.13,0.91,0.06,0,0,0,0.45,3.56,65.45,2.07,50,0.06,0,0.97,0.45,4.14,62.5,,0,0,0,1.16,0,0
