Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Lepik,Flora,Flora,"CF, AMF",25,300000,2026-12-31,8,229,1,1.89,0,0,22.01,44.64,Estonia,Estonia,left,183,74,no,2.75,3.14,62.5,5.5,50,0.39,0.65,0,0.39,0.65,2.36,0,0,0,0,2.75,0.39,0,0,0.74,0,0,8,3.14,50,12.5,0,0.79,0,0,0,0.79,0,0.39,2.75,42.86,8.25,38.1,4.72,1.18,0,11.79,2.75,2.75,15.72,75,2.36,83.33,5.5,85.71,3.14,50,14.93,78.95,0,0,10.08,0,0,0,0,0,0,0,0.39,0.79,50,0.39,100,0,0,1.18,0,1.18,33.33,0,,0,,0,0,0,0,,,0,,,0.39,0.39,0,0,1,100
H. Anier,Paide,Paide,CF,34,300000,,13,876,7,8.62,1,1.13,13.05,33.86,Estonia,Estonia,right,183,84,no,1.23,0.72,0,1.85,50,0.1,0.17,0,1.13,1.82,1.23,2,0.21,0,0,3.9,0.72,7,0.72,0.89,2,0.21,42,4.32,40.48,16.667,0.1,1.95,21.05,1.34,30.77,0.51,0,0.1,2.98,58.62,7.19,37.14,7.09,0.41,0.41,16.03,3.08,0,20.65,70.15,4.11,55,6.99,88.24,5.65,65.45,18.18,75.71,0.62,66.67,17.01,18.39,0.12,1.03,0,0.1,0.1,0,0.51,1.85,66.67,1.54,26.67,0.1,0,0.62,0.41,2.05,70,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
K. Hussar,Flora,Flora,RB,23,275000,2025-12-31,31,2834,1,1.09,7,6.74,14.45,54.29,Estonia,Estonia,right,172,72,no,9.11,7.94,64.4,2.32,46.58,0.03,0.04,0.35,3.97,5.46,0.64,2,0.06,0,0,2.92,0.03,1,0.03,0.03,0,0,17,0.54,47.06,5.882,0.22,5.18,39.88,0.16,20,4.95,40.38,1.27,1.08,55.88,2.83,35.96,2.76,1.87,0.13,40.78,1.46,0.16,54.34,75.28,22.64,66.9,9.88,95.82,14.23,78.13,42.27,84.97,7.05,42.79,19.98,37.12,0.21,1.24,0.03,0,0,0,0.92,9.18,63.32,4.8,51.66,0.54,47.06,1.33,1.91,13.27,73.44,0,,0,,0,0,0,0,,,0.79,,,0,0,0,0,0,0
E. Tur,Levadia,Levadia,RB,28,275000,2025-12-31,27,2181,2,0.63,5,5.6,12.42,59.14,Estonia,Estonia,both,183,82,no,6.15,4.95,74.17,1.28,38.71,0,0,0.08,2.48,4.21,0.37,1,0.04,0,0,4.04,0.08,2,0.08,0.03,1,0.04,17,0.7,41.18,11.765,0.21,6.56,35.85,0,0,6.56,35.85,1.11,1.77,79.07,4.5,55.05,2.06,1.44,0.54,35.16,2.89,0.37,47,79.19,11.1,68.03,12.75,94.17,16.13,75.19,36.23,91.23,4.42,42.06,19.57,32.22,0.23,1.4,0.08,0,0,0,0.62,4.25,65.05,5.86,46.48,0.29,28.57,0.99,2.31,8.83,79.91,0,,0,,0,0,0,0,,,1.2,,,0,0,0,0,0,0
M. Lilander,Paide,Paide,"RB, RCB",28,250000,2025-12-31,32,2411,1,1.74,1,2.14,10.64,57.89,Estonia,Estonia,both,177,79,no,6.2,4.93,65.91,1.16,64.52,0.04,0.06,0.34,2.91,4.79,0.37,1,0.04,0,0,1.23,0.04,1,0.04,0.07,0,0,28,1.05,21.43,3.571,0.04,1.01,37.04,0.15,25,0.86,39.13,0.19,1.08,58.62,3.36,42.22,0.49,0.67,0.11,38.6,1.53,0.52,50.28,85.75,21.31,77.58,5.94,95.6,18.59,92.97,41.55,91.55,7.73,60.87,22.52,38.1,0.08,0.71,0.04,0,0,0,0.3,9.29,75.5,1.87,56,0.75,50,0.6,0.37,12.13,78.77,0,,0,,0,0,0,0,,,2.28,,,1.16,0.34,33.33,1.08,0,0
P. Marin,Nõmme Kalju,Nõmme Kalju,"LCMF, LWF",30,200000,2026-12-31,18,762,1,1.25,0,0.62,17.83,46.36,Estonia,Estonia,right,176,71,no,6.14,5.55,65.96,3.07,38.46,0.35,0.53,0,2.13,3.2,1.3,2,0.24,0,0,3.19,0.12,1,0.12,0.15,0,0,14,1.65,28.57,7.143,0,3.07,30.77,2.72,26.09,0.35,66.67,0.59,2.83,58.33,6.73,40.35,3.31,2.72,0.35,17.13,1.3,0.71,27.4,68.53,9.69,59.76,5.31,86.67,7.32,61.29,21.73,76.09,2.6,50,17.71,26.32,0.07,0.71,0,0,0.24,50,0.12,3.54,70,3.31,42.86,0.71,33.33,1.3,1.18,6.14,67.31,0,,0,,0,0,0,0,,,0,,,0.24,0,0,1.42,0,0
S. Reinkort,Paide,Paide,CF,27,200000,2025-11-30,20,1195,2,3.76,2,1.6,27.26,34.25,Estonia,Estonia,right,0,0,no,3.46,3.09,68.29,5.05,44.78,0,0,0.08,1.36,2.26,0.9,2,0.15,1,0.08,1.96,0.15,2,0.15,0.28,1,0.08,26,1.96,42.31,7.692,0.15,0.68,11.11,0.38,20,0.15,0,0,2.26,46.67,14.16,24.47,5.35,1.05,0.08,11.75,1.51,1.28,19.21,74.51,2.18,58.62,6.33,79.76,4.97,77.27,17.62,77.35,0.9,66.67,13.31,9.31,0.12,1.05,0.08,0,0.08,0,0.53,1.05,71.43,0.9,50,0.08,0,0.9,0.08,1.51,50,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
G. Ogungbe,Tartu Tammeka,Tartu Tammeka,"RCB, CB",32,200000,,30,2737,1,2.98,0,0.06,10.65,60.19,Nigeria,Nigeria,right,191,0,no,10.29,3.29,63,4.8,58.9,0.1,0.11,1.58,8.12,9.34,0.59,10,0.33,1,0.03,0.39,0.03,1,0.03,0.1,0,0,19,0.62,42.11,5.263,0,0.03,100,0,0,0.03,100,0,0.13,75,0.82,40,1.18,0.3,0.03,14.21,0.13,0.33,26.34,85.14,9.67,75.17,1.18,97.22,13.15,92,23.12,88.76,3.19,58.76,19.54,30.05,0,0.07,0,0,0,0,0,1.09,69.7,0.16,80,0.07,50,0.23,0.03,4.47,44.85,0,,0,,0,0,0,0,,,0.89,,,0,0,0,0,0,0
L. Gilmore,Paide,Paide,"LDMF, RDMF, DMF",29,175000,,27,1889,3,3.78,1,0.25,18.87,52.78,Nigeria,Nigeria,right,178,66,no,10.1,7.62,54.37,2.19,52.17,0.33,0.55,0.33,5.62,9.22,2.38,7,0.33,1,0.05,1.67,0.14,3,0.14,0.18,1,0.05,27,1.29,18.52,11.111,0.05,0.67,21.43,0.24,20,0.33,28.57,0,1.95,63.41,6.67,50.71,1.24,0.81,0.14,38.31,0.1,1.57,54.6,87.87,15.15,73.58,10.43,97.26,22.3,93.59,47.98,92.75,5.96,56,19.35,34.54,0.01,0.43,0,0.14,0.05,100,0.14,8.67,67.58,2.19,45.65,0.76,31.25,0.91,0.1,7.38,77.42,0,,0,,0,0,0,0,,,1.52,,,0,0,0,0,0,0
H. Ojamaa,Paide,Paide,"AMF, LW, CF",34,175000,2026-12-31,30,2607,4,4.77,5,5.59,18.37,46.62,Estonia,Estonia,right,176,77,no,4.63,4.49,61.54,1.31,36.84,0.24,0.4,0.07,1.62,2.68,1.48,11,0.38,0,0,3.76,0.14,3,0.1,0.16,1,0.03,32,1.1,34.38,12.5,0.17,3.21,33.33,2.42,35.71,0.76,27.27,0.55,3.45,61,10.6,43,3.62,2.76,0.28,25.96,1.83,1.48,35.45,72.83,11.81,62.87,5.25,90.13,12.29,74.72,28.45,79.85,4,55.17,18.25,32.98,0.19,1.52,0.07,0,0.31,66.67,0.66,5.7,61.21,4.87,56.03,0.9,65.38,2.66,0.93,8.46,83.27,0,,0,,0,0,0,0,,,0.07,,,0.07,0,0,0.55,1,100
