Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Bech,Midtjylland,Midtjylland,LCB,26,2500000,,26,2488,2,1.66,1,1.36,9.41,65.38,Denmark,Denmark,left,189,77,no,6.08,3.47,70.83,2.86,64.56,0,0,0.94,3.62,5.36,0.51,4,0.14,0,0,0.61,0.07,2,0.07,0.06,1,0.04,9,0.33,55.56,22.222,0.04,0.36,70,0.25,57.14,0.11,100,0.14,0.18,80,0.94,53.85,0.94,0.72,0,39.61,0.4,0.72,52.16,91.33,20.87,86.48,2.89,97.5,23.22,95.95,46.88,94.14,4.92,66.18,20.33,37.54,0.05,0.33,0.14,0,0.04,100,0.04,6.44,79.21,0.65,50,0.22,33.33,0.29,0.22,8.86,75.51,0,,0,,0,0,0,0,,,1.37,,,0,0,0,0,0,0
E. Ólafsson,Midtjylland,Midtjylland,GK,25,650000,30/06/2029,23,2162,0,0,0,0,0.46,90.91,Iceland,Iceland,right,201,85,no,1.46,0.08,100,0.29,85.71,0,0,0,1.37,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0.33,0.08,22.65,86.58,12.28,76.61,0,0,9.91,98.32,16.23,96.41,6.41,61.69,30.81,47.19,0,0,0.04,0.04,0,0,0,1.21,51.72,0.08,50,0.08,100,0.04,0,5.7,66.42,21,0.87,99,4.12,10,78.79,26.95,1.12,5.95,0.248,0,2.08,0.29,,,,0,0,0
Franculino Djú,Midtjylland,Midtjylland,CF,21,0,30/06/2029,27,2073,19,11.81,2,3.28,17.11,36.04,Guinea-Bissau,"Guinea-Bissau, Portugal",left,182,77,no,3.86,3.39,67.95,1.69,25.64,0.04,0.07,0.09,1.52,2.36,0.74,5,0.22,0,0,3,0.82,18,0.78,0.51,1,0.04,64,2.78,54.69,29.688,0.09,0.87,25,0.26,16.67,0.56,23.08,0.17,2.95,39.71,9.16,26.54,4.99,1.26,0.04,13.33,1.17,0.74,17.93,75.79,2.74,60.32,4.78,90.91,5.43,73.6,16.19,79.09,0.87,65,15.36,18.78,0.14,1.04,0.13,0,0.22,40,0.48,0.87,55,1.48,41.18,0.26,16.67,1.22,0.22,1.74,82.5,0,,0,,0,0,0,0,,,0,,,0.04,0,0,0.13,1,100
Lee Han-Beom,Midtjylland,Midtjylland,"RCB, CB",23,1000000,30/06/2027,22,1985,0,0.75,1,0.7,13.47,56.57,Korea Republic,Korea Republic,right,190,84,no,6.3,4.31,62.11,5.58,60.16,0.09,0.14,0.36,3.54,5.57,1,3,0.14,0,0,0.23,0,0,0,0.03,0,0,7,0.32,42.86,0,0.05,0.14,33.33,0,0,0.14,33.33,0,0.09,50,1.22,48.15,1.27,0.86,0,41.44,0.63,0.41,55.59,88.99,20.95,80.52,3.54,93.59,26.07,95.83,49.6,92.69,5.89,58.46,20.39,35.49,0.03,0.14,0,0,0,0,0.09,6.08,71.64,0.73,31.25,0.36,25,0.5,0.05,7.93,64.57,0,,0,,0,0,0,0,,,2.49,,,0,0,0,0,0,0
P. Bravo,Midtjylland,Midtjylland,"RCMF, RDMF, LCMF",20,850000,30/06/2029,22,1678,0,0.47,0,0.05,16.25,54.79,Colombia,Colombia,right,190,84,no,9.01,6.76,65.87,2.84,58.49,0.59,0.85,0.48,3.97,5.69,1.29,4,0.21,1,0.05,0.59,0,0,0,0.03,0,0,9,0.48,44.44,0,0,0.21,50,0.05,0,0.16,66.67,0,0.59,45.45,4.08,39.47,0.27,1.39,0.11,27.84,0.32,0.38,40.23,91.73,9.06,80.47,6.17,95.65,18.5,96.52,38.08,93.24,1.93,66.67,17.54,22.83,0,0.16,0.11,0,0,0,0,4.24,82.28,0.59,72.73,0.21,25,0.38,0.11,3.16,66.1,0,,0,,0,0,0,0,,,0.64,,,0,0,0,0,0,0
D. Castillo,Midtjylland,Midtjylland,"LCMF, RCMF, CF",21,0,30/06/2029,25,1644,5,3.83,6,2.2,15.71,49.83,Ecuador,Ecuador,right,189,78,no,6.68,4.6,58.33,2.19,52.5,0.49,0.71,0.44,3.5,5.07,1.37,4,0.22,0,0,1.64,0.27,5,0.27,0.21,1,0.05,24,1.31,33.33,20.833,0.33,0.66,50,0.05,0,0.6,54.55,0,1.37,56,7.12,48.46,1.64,1.09,0.27,23.76,1.42,2.19,32.08,90.61,6.19,77.88,9.31,98.24,10.35,92.06,30.22,92.75,1.26,60.87,15.84,14.81,0.12,0.88,0.11,0.11,0.11,100,0.55,2.52,89.13,0.93,52.94,0.11,100,0.49,0.27,2.74,70,0,,0,,0,0,0,0,,,0.93,,,0,0,0,0,0,0
V. Bak Jensen,Midtjylland,Midtjylland,"LB, LWB",22,750000,30/06/2030,20,1575,1,1.12,1,0.76,12.23,55.14,Denmark,Denmark,left,180,71,no,8.8,6.11,67.29,1.43,48,0.11,0.17,0.11,4.57,6.63,0.86,1,0.06,0,0,1.49,0.06,1,0.06,0.06,1,0.06,12,0.69,25,8.333,0.06,1.83,34.38,1.83,34.38,0,0,0.11,1.2,57.14,2.86,38,1.03,1.77,0.29,26.34,1.83,0.29,36,79.68,15.03,71.86,5.94,97.12,9.37,83.54,30.23,86.01,4.06,53.52,19.13,32.03,0.04,0.57,0,0.06,0,0,0.29,5.31,73.12,1.94,41.18,0.4,28.57,0.63,0.57,8.17,73.43,0,,0,,0,0,0,0,,,0.86,,,0.11,0.06,0,0.06,0,0
D. Osorio,Midtjylland,Midtjylland,"RW, RWB, RAMF",21,0,30/06/2028,22,1532,5,2.94,5,1.83,17.98,48.69,Chile,Chile,left,184,67,no,5.82,5.46,56.99,0.82,57.14,0.12,0.17,0,2.58,3.68,1.29,1,0.06,0,0,4.11,0.29,5,0.29,0.17,0,0,47,2.76,40.43,10.638,0.29,1.12,31.58,0.23,75,0.88,20,0,4.35,59.46,9.81,45.51,1.88,2.76,0.53,20.21,1.23,1.53,28.02,81.97,7.34,72,5.7,90.72,10.69,84.62,25.08,85.01,1.88,71.88,19.28,34.46,0.11,1.06,0.06,0.18,0.23,25,0.65,3.7,80.95,2.7,54.35,0.41,28.57,1.47,0.35,4.52,80.52,0,,0,,0,0,0,0,,,0.65,,,0.82,0.41,42.86,1.17,0,0
A. ?im?ir,Midtjylland,Midtjylland,"LW, AMF, RW",23,1500000,30/06/2028,24,1435,5,3.06,11,4.82,23.52,39.73,Denmark,"Denmark, Türkiye",right,177,71,no,3.14,2.95,59.57,0.94,20,0.06,0.09,0,1.32,1.87,0.31,0,0,0,0,6.52,0.31,5,0.31,0.19,0,0,36,2.26,41.67,13.889,0.69,2.76,50,2.32,48.65,0.44,57.14,0.69,8.47,46.67,18.25,38.49,4.39,4.33,0.56,32.3,1.57,2.45,41.64,82.83,11.04,74.43,9.78,95.51,13.48,84.19,34.12,87.68,4.77,67.11,18.32,38.42,0.3,2.51,0.25,0.25,0.5,50,1.13,5.02,70,5.58,69.66,1.51,41.67,3.26,1.51,7.34,84.62,0,,0,,0,0,0,0,,,0.31,,,2.07,0.25,25,2.13,0,0
K. Mbabu,Midtjylland,Midtjylland,"RB, RWB",30,4000000,30/06/2026,21,1421,0,0.53,1,3.02,17.73,46.43,Switzerland,"Switzerland, Congo DR",right,184,83,no,7.92,5.95,56.38,1.9,50,0.32,0.47,0.06,4.24,6.32,1.27,2,0.13,0,0,4.12,0,0,0,0.03,0,0,5,0.32,80,0,0.06,5.07,40,0.13,0,4.94,41.03,0.7,3.42,53.7,7.79,36.59,1.2,2.72,0.32,35.78,2.6,1.08,46.24,78.63,13.49,68.08,8.74,97.83,16.59,77.86,37.18,87.22,4.43,45.71,19.42,34.21,0.19,1.46,0.06,0.06,0,0,0.57,4.88,68.83,4.69,48.65,0.25,25,0.51,2.03,9.5,72.67,0,,0,,0,0,0,0,,,0.57,,,0.06,0,0,0.06,0,0
P. Billing,Midtjylland,Midtjylland,"LCMF, LDMF",29,22000000,30/06/2027,14,1178,2,1.83,1,0.67,16.88,56.56,Denmark,"Denmark, Nigeria",left,193,83,no,8.94,6.42,67.86,3.44,57.78,0.38,0.58,0.23,4.2,6.4,1.53,5,0.38,0,0,1.07,0.15,2,0.15,0.14,0,0,17,1.3,29.41,11.765,0.08,0.76,40,0.46,66.67,0.23,0,0,0.46,66.67,4.28,41.07,1.68,0.53,0.08,31.02,0.69,0.76,44.77,87.37,12.3,77.64,8.63,96.46,16.04,92.38,40.87,90.09,3.29,60.47,16.73,36.6,0.05,0.53,0,0,0.15,50,0.46,5.27,81.16,1.22,62.5,0.38,40,0.76,0.38,6.42,69.05,0,,0,,0,0,0,0,,,0.69,,,0.23,0.23,33.33,0,0,0
M. Erli?,Midtjylland,Midtjylland,"RCB, CB, LCB",27,3000000,30/06/2029,14,1159,2,1.05,1,0.11,12.89,63.25,Croatia,Croatia,right,192,78,no,7.84,5.44,64.29,5.05,66.15,0.31,0.45,0.54,4.04,5.89,0.78,3,0.23,0,0,0.31,0.16,2,0.16,0.08,2,0.16,6,0.47,50,33.333,0.08,0,0,0,0,0,0,0,0.08,0,0.54,42.86,1.16,0.7,0.08,36.96,0.16,0.54,50.94,91.31,16.15,80.77,2.87,97.3,28.73,97.03,46.2,93.95,4.74,65.57,21.48,41.12,0.01,0.08,0,0.08,0.08,100,0.08,5.28,75,0.47,16.67,0.23,66.67,0.23,0,7.3,84.04,0,,0,,0,0,0,0,,,2.1,,,0,0,0,0,0,0
V. Byskov,Midtjylland,Midtjylland,"CF, RCMF, RW",20,450000,30/06/2030,25,1024,4,1.64,2,1.84,14.5,47.27,Denmark,Denmark,right,0,0,no,5.98,4.92,50,1.05,33.33,0.7,1.12,0.18,2.81,4.49,0.79,1,0.09,0,0,2.99,0.35,4,0.35,0.14,0,0,31,2.72,35.48,12.903,0.18,2.29,23.08,0.97,18.18,1.32,26.67,0.35,2.11,66.67,6.59,54.67,1.85,1.49,0.18,38.41,1.67,1.67,48.25,84.15,12.3,72.86,9.84,95.54,17.67,85.07,41.31,89.36,4.83,65.45,18.51,29.48,0.16,1.49,0.35,0,0.26,33.33,0.44,7.73,77.27,4.13,55.32,0.88,40,1.93,0.62,8.26,81.91,0,,0,,0,0,0,0,,,0.35,,,1.41,0.62,42.86,3.34,0,0
Júnior Brumado,Midtjylland,Midtjylland,CF,26,800000,31/12/2026,18,990,6,4.43,2,0.57,30.55,35.42,Brazil,Brazil,right,190,88,no,3.82,3.91,44.19,5.36,37.29,0.18,0.27,0.09,1.91,2.83,1.91,6,0.55,0,0,2.82,0.55,5,0.45,0.4,2,0.18,28,2.55,42.86,21.429,0.18,1,36.36,0.64,28.57,0.27,33.33,0.18,2.73,50,16.36,33.33,4.27,2.09,0.27,11,1.09,1.91,19.09,63.81,5.36,38.98,4.27,85.11,5.09,76.79,17.73,65.64,0.36,50,14.2,6.22,0.05,0.36,0,0,0.36,0,0.18,2,59.09,1.82,30,0.36,0,0.55,0.36,2.18,45.83,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100
O. Diao,Midtjylland,Midtjylland,RCB,21,0,30/06/2029,13,971,1,0.47,1,0.23,14.74,50.31,Senegal,Senegal,right,187,79,no,7.14,5.1,61.82,3.61,48.72,0.28,0.46,0.19,3.71,6.12,1.3,1,0.09,0,0,1.11,0.09,1,0.09,0.04,1,0.09,7,0.65,28.57,14.286,0.09,0.83,66.67,0.09,100,0.56,50,0.09,0.56,66.67,2.41,38.46,1.3,1.11,0.28,37.45,0.28,0.65,51.44,88.83,17.15,78.38,6.77,98.63,21.5,94.4,46.16,92.97,4.45,50,19.22,34.65,0.02,0.19,0,0,0,0,0.09,6.58,76.06,0.83,66.67,0.19,50,0.28,0.46,8.53,70.65,0,,0,,0,0,0,0,,,2.97,,,0,0,0,0,0,0
