Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Huuhtanen,Inter Turku,Inter Turku,GK,22,200000,2026-12-31,32,3124,0,0,1,0.58,0.89,93.55,Finland,Finland,right,184,79,no,1.81,0,0,0.75,96.15,0,0,0,1.81,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.09,66.67,0,0,0,24.63,0.14,0.17,34.51,87.48,17.66,77.81,0,0,14.92,98.46,23.71,99.15,10.69,62.53,28.95,48.74,0.02,0.09,0,0,0,0,0.09,3.72,48.84,0.2,14.29,0.52,44.44,0.03,0,7.61,76.14,0.75,,,,0,0,0
M. Rale,Ilves,Ilves,"LCB, LB",24,500000,,32,3104,4,2.94,1,1.11,12.79,62.13,Finland,Finland,left,183,82,no,9.13,5.91,71.08,3.54,58.2,0.06,0.08,0.43,4.87,6.76,0.35,2,0.06,0,0,1.42,0.12,4,0.12,0.09,2,0.06,18,0.52,33.33,22.222,0.03,1.71,45.76,1.62,46.43,0.06,50,0.12,0.64,72.73,1.8,45.16,1.1,2,0.2,44.13,0.61,0.23,59.03,86.98,23.98,81.02,8.21,93.99,20.59,92.39,52.83,91.88,4.55,45.22,19.24,39.45,0.03,0.38,0.03,0,0.06,0,0.2,8.32,77,2.09,52.78,0.58,20,0.61,0.78,11.77,76.85,,0.03,0,0,0,0,0
J. Veteli,Ilves,Ilves,"LCMF, RCMF",30,300000,2025-12-31,32,2784,7,5.01,3,3.76,15.52,52.92,Finland,Finland,right,180,71,no,6.56,4.69,67.59,2.04,46.03,0.36,0.5,0.32,3.04,4.23,0.81,3,0.1,1,0.03,1.58,0.23,6,0.19,0.16,2,0.06,36,1.16,47.22,19.444,0.1,0.84,26.92,0.45,28.57,0.39,25,0.1,1.23,63.16,6.63,43.9,2.68,1.75,0.16,41.96,0.78,1.97,53.83,87.03,15,77.37,10.09,94.55,18.75,91.38,50.82,89.63,2.2,48.53,16.33,36.29,0.12,0.97,0.13,0.03,0.23,14.29,0.55,6.21,78.65,3.52,59.63,0.58,16.67,2.17,0.26,6.27,80.93,,0.13,0.13,75,0,1,100
J. Latonen,Gnistan,Gnistan,"CF, LW, AMF",27,200000,,32,2179,6,7.78,1,1.73,17.88,45.5,Finland,Finland,right,173,63,no,5.41,4.5,68.81,4.05,36.73,0.21,0.26,0.25,2.11,2.63,0.91,3,0.12,0,0,2.15,0.25,4,0.17,0.32,1,0.04,51,2.11,35.29,11.765,0.04,1.45,20,0.74,27.78,0.62,0,0.12,1.82,59.09,7.1,37.79,3.35,1.2,0.29,15.53,1.73,1.61,22.92,78.74,5.82,70.21,6.03,94.52,5.99,75.17,20.28,84.32,1.2,55.17,17.23,20.12,0.07,0.7,0.04,0.04,0.08,50,0.33,2.31,62.5,1.16,50,0.12,66.67,1.03,0.37,2.81,69.12,,0.21,0.17,25,0.33,2,100
K. Paananen,SJK,SJK,"AMF, CF, RCMF",22,0,2026-12-31,32,2776,18,12.54,2,3.01,16.18,40.48,Finland,Finland,left,0,0,no,4.15,3.96,55.74,1.52,38.3,0.1,0.12,0.29,1.85,2.32,1.07,3,0.1,0,0,2.72,0.58,17,0.55,0.41,2,0.06,72,2.33,45.83,25,0.06,1.52,31.91,0.81,24,0.68,42.86,0.29,1.85,56.14,8.79,35.79,3.27,1.3,0.13,20.07,0.88,1.52,25.71,75.41,7.13,61.82,5.9,90.11,7.65,78.39,22.14,80.38,2.07,53.13,19.03,38.56,0.1,0.97,0.26,0.03,0.29,44.44,0.26,4.15,59.38,2.01,46.77,0.55,23.53,0.62,0.55,3.86,78.99,,0.1,0.03,100,1.91,1,100
M. Söderbäck,Ilves,Ilves,"RWB, AMF, CF",21,0,2026-12-31,32,2625,8,8.07,4,6.5,20.5,47.16,Finland,Finland,,0,0,no,6.72,6.27,63.93,1.23,50,0,0,0.14,2.71,3.74,0.58,0,0,0,0,3.39,0.27,8,0.27,0.28,0,0,49,1.68,40.82,16.327,0.14,2.71,30.38,1.03,26.67,1.58,32.61,0.31,3.94,46.09,11.42,38.74,4.53,3.19,0.86,25.78,1.37,2.26,30.93,78.05,7.3,64.79,7.89,96.52,9.81,78.67,26.57,85.42,1.68,38.78,17.55,22.77,0.22,1.78,0.03,0.07,0.14,50,0.58,2.74,67.5,3.57,61.54,0.38,27.27,2.02,0.72,4.22,75.61,,0.55,0.03,0,3.33,0,0
O. Ruoppi,KuPS,KuPS,"AMF, RW, CF",19,0,2026-12-31,32,2520,8,4.05,7,5.7,18.29,46.88,Finland,Finland,right,180,0,no,7.5,8.04,61.78,1.57,25,0.04,0.05,0.18,2.5,3.28,1.07,2,0.07,0,0,2.79,0.29,8,0.29,0.14,1,0.04,40,1.43,50,20,0.25,2.54,42.25,1.04,48.28,1.32,37.84,0.29,1.57,56.82,6.89,34.72,4.25,1.71,0.25,28.04,1.39,0.54,36.68,80.92,8.36,69.23,8.75,93.47,12.18,81.82,32.86,84.89,1.39,53.85,16.83,26.17,0.2,1.54,0.04,0.07,0.14,75,0.93,3.86,75,3.36,59.57,0.18,80,1.61,1.07,5.25,82.31,,0,0,0,0.25,0,0
J. Niska,Inter Turku,Inter Turku,LB,23,150000,2025-12-31,31,2602,5,2.93,0,1.07,16.36,48.41,Finland,Finland,left,179,75,no,6.81,5.5,65.41,1.9,38.18,0.07,0.09,0.1,3.15,4.21,0.42,1,0.03,0,0,2.35,0.17,5,0.17,0.1,0,0,38,1.31,18.42,13.158,0,1.76,35.29,1.69,34.69,0.03,0,0.28,2.56,56.76,7.37,38.97,1.31,2.63,0.38,31.1,1.56,0.97,41.2,84.72,12.56,73.55,10.83,96.49,10.83,86.9,37.6,88.68,2.01,51.72,17.45,26.45,0.04,0.31,0.03,0.03,0.07,50,0.17,4.67,76.3,1.9,41.82,0.14,25,0.48,0.52,6.99,66.83,,0,0,0,0,0,0
R. Riski,Ilves,Ilves,CF,34,150000,2025-12-31,31,1898,13,12.81,4,3.11,7.49,32.28,Finland,Finland,right,180,74,no,1.66,1.71,63.89,0.85,22.22,0,0,0.05,0.57,0.81,0.62,3,0.14,0,0,1.99,0.62,9,0.43,0.61,2,0.09,51,2.42,47.06,25.49,0.19,1.04,40.91,0.62,30.77,0.43,55.56,0.14,0.9,47.37,3.32,27.14,4.98,0.52,0.05,10.95,1.61,0.38,12.66,73.78,1.99,59.52,3.75,84.81,3.46,80.82,10.95,77.49,0.66,64.29,14.16,15.13,0.15,0.71,0.14,0,0,0,0.52,0.81,76.47,1.33,67.86,0.05,100,1.04,0.43,1.38,72.41,,0,0,0,0,5,80
M. Arsalo,SJK,SJK,"LCMF, LDMF",23,100000,2026-12-31,31,2592,2,1.36,3,6.08,11.25,49.07,Finland,Finland,right,185,79,no,6.74,4.9,60.28,0.76,68.18,0.21,0.25,0.21,3.58,4.38,0.63,3,0.1,0,0,1.46,0.07,2,0.07,0.05,0,0,32,1.11,21.88,6.25,0.1,1.46,52.38,0.73,52.38,0.69,55,0.28,0.9,46.15,4.13,31.09,0.31,0.87,0.1,40.07,0.07,0.56,52.01,82.38,20.07,68.86,7.05,95.07,18.37,90.55,44.03,88.01,6.63,51.83,21.17,44.73,0.21,1.53,0.07,0.07,0.14,25,0.35,10.1,67.35,2.67,50.65,0.87,36,0.66,0.8,11.11,75.63,,1.35,0.21,50,3.47,0,0
V. Gasc,SJK,SJK,"DMF, RDMF, RCMF",25,300000,2025-12-31,31,2552,2,3.5,2,2.43,13.93,49.62,Argentina,Argentina,right,172,67,no,9.52,6.67,66.14,1.9,38.89,0.11,0.13,0.6,5.01,6.3,1.23,5,0.18,0,0,0.95,0.07,2,0.07,0.12,1,0.04,23,0.81,39.13,8.696,0.07,0.81,30.43,0.35,30,0.42,33.33,0.14,0.85,41.67,3.53,33,1.62,1.23,0.14,32.94,0.42,0.81,45.32,87,14,77.08,8.22,96.14,14.85,90.74,41.9,90.66,2.61,45.95,16.94,31.14,0.09,0.74,0.11,0.07,0.04,100,0.18,5.33,82.12,1.23,54.29,0.18,60,0.63,0.21,6.67,65.08,,0.21,0.04,0,0.42,0,0
K. Simojoki,HJK,HJK,LB,19,0,2026-12-31,31,2562,0,0.82,2,2.25,19.04,53.14,Finland,Finland,right,0,0,no,8.96,7.62,73.73,2.85,43.21,0.14,0.2,0.18,3.2,4.63,0.42,2,0.07,0,0,1.44,0,0,0,0.03,0,0,9,0.32,11.11,0,0.07,1.33,34.21,1.19,35.29,0.11,0,0.25,1.37,66.67,5.9,35.71,2.11,2.07,0.25,42.82,1.86,0.6,55.93,86.81,17.53,77.96,11.73,94.61,15.42,90.43,50.37,91.07,4.32,51.22,16.91,30.18,0.08,0.77,0,0.04,0.14,25,0.32,6.18,80.11,1.62,63.04,0.46,30.77,0.91,0.42,7.41,60.66,,0,0,0,0,0,0
P. Pennanen,KuPS,KuPS,"LW, LAMF, LCMF",35,200000,2025-12-31,31,1969,7,5.05,0,2.39,11.38,49.8,Finland,Finland,right,181,77,no,5.03,3.7,64.2,0.82,50,0.09,0.12,0.18,2.56,3.34,0.78,3,0.14,1,0.05,2.7,0.32,7,0.32,0.23,0,0,52,2.38,44.23,13.462,0,1.92,42.86,1.19,50,0.69,33.33,0.23,1.6,48.57,5.53,40.5,3.38,1.55,0.27,36.52,1.01,1.14,44.61,88.42,10.92,77.82,12.02,95.82,13.94,91.8,40.5,92.21,2.33,58.82,16.48,29.72,0.11,1.01,0.09,0.05,0.09,50,0.46,4.53,81.82,2.88,65.08,0.46,40,1.78,0.69,4.89,83.18,,0.23,0,0,2.15,0,0
M. Stjopin,Ilves,Ilves,"AMF, RW, RWF",22,50000,2025-12-31,30,1850,4,3.43,3,3.37,16.78,49.86,Finland,"Finland, Estonia",left,178,69,no,5.4,5.16,64.15,0.73,20,0.05,0.07,0.05,2.04,2.83,0.83,4,0.19,0,0,3.45,0.19,4,0.19,0.17,0,0,36,1.75,33.33,11.111,0.15,1.17,29.17,0.1,50,1.02,23.81,0.1,4.23,59.77,9.78,44.78,3.89,4.52,0.54,28.9,1.02,0.73,37.51,86.51,7.25,71.81,10.8,97.3,12.21,87.25,35.22,89.64,1.12,47.83,15.81,16.74,0.16,1.7,0.1,0.1,0.05,0,0.49,2.63,75.93,3.16,60,0.1,0,2.43,0.34,4.04,78.31,,0.54,0.05,0,2.43,0,0
A. Popovitch,Ilves,Ilves,"RCMF, LCMF, DMF",29,0,2026-12-31,30,2669,1,2,2,2.16,12.07,53.63,Finland,"Finland, Russia",right,185,76,no,7.45,5.43,65.22,1.69,52,0.07,0.09,0.34,3.84,5.33,0.88,5,0.17,0,0,1.08,0.03,1,0.03,0.07,1,0.03,32,1.08,28.13,3.125,0.07,0.84,40,0.1,100,0.67,35,0.17,0.88,50,4.11,39.34,1.08,1.05,0.1,41.98,0.13,1.18,54.59,90.24,14.74,82.61,8.6,97.65,22.19,94.53,51.56,92.74,2.23,51.52,17.16,32.54,0.07,0.67,0.1,0.13,0.07,0,0.24,7.22,86.45,2.02,65,0.2,0,1.05,0.34,6.27,82.26,,0.1,0.03,0,0.2,0,0
T. Väyrynen,Gnistan,Gnistan,CF,32,200000,2025-12-31,30,2312,5,8.76,5,2.61,31.73,37.06,Finland,Finland,both,191,85,no,4.2,3.5,55.56,8.64,40.99,0.08,0.09,0.12,2.18,2.66,1.71,3,0.12,0,0,2.88,0.19,3,0.12,0.34,1,0.04,43,1.67,39.53,11.628,0.19,1.95,26,0.74,31.58,1.17,23.33,0.35,2.72,61.43,13.94,33.8,3.19,1.05,0.08,11.09,1.52,1.71,21.1,63.84,5.37,47.1,4.4,88.5,6.07,67.95,18.02,69.33,1.21,38.71,17.3,20.16,0.1,0.62,0.04,0,0.12,33.33,0.47,1.91,53.06,2.14,38.18,0.23,33.33,0.82,0.47,2.45,49.21,,0,0,0,0.04,4,50
E. Bashkirov,Gnistan,Gnistan,"LCMF, RCMF, DMF",34,200000,,30,2675,3,2.28,0,1.69,13.63,50.86,Russia,Russia,both,175,71,no,8.68,5.85,64.37,3.16,43.62,0.67,0.81,0.24,4.24,5.11,0.91,2,0.07,1,0.03,0.64,0.1,3,0.1,0.08,2,0.07,28,0.94,25,10.714,0,0.81,33.33,0.3,22.22,0.5,40,0.1,0.2,66.67,2.12,31.75,1.58,0.24,0,24.29,0.54,0.64,37.45,81.94,11.07,68.09,7.13,95.28,12.18,86.46,34.18,85.43,2.52,48,17.8,32.61,0.06,0.67,0.13,0,0.07,0,0.27,4.58,69.12,1.82,50,0.27,25,0.74,0.24,5.21,61.29,,0,0,0,0.03,0,0
J. Streng,SJK,SJK,CF,24,200000,2025-12-31,30,1947,9,10.6,5,3.46,16.5,40.06,Finland,Finland,right,188,86,no,3.05,2.59,50,5.04,47.71,0.23,0.29,0.09,1.53,1.9,1.39,1,0.05,0,0,2.87,0.42,9,0.42,0.49,3,0.14,65,3,46.15,13.846,0.23,1.2,53.85,0.55,33.33,0.6,69.23,0.18,1.29,64.29,6.01,32.31,4.3,1.16,0.14,8.88,1.94,0.74,12.34,71.91,2.22,52.08,3.79,84.15,3.7,72.5,10.82,74.36,0.42,55.56,16.44,12.58,0.16,0.83,0,0.05,0.05,0,0.46,1.02,59.09,1.29,50,0.05,0,0.65,0.51,1.48,62.5,,0,0,0,0,0,0
A. Ring,HJK,HJK,"AMF, CF",34,1000000,,30,2702,14,10.65,5,4.88,12.49,45.33,Finland,Finland,right,178,72,no,5.46,5.03,53.64,1.53,47.83,0.17,0.24,0.13,2.6,3.67,1.13,4,0.13,0,0,2,0.47,11,0.37,0.35,1,0.03,66,2.2,40.91,21.212,0.17,1,33.33,0.43,30.77,0.57,35.29,0.07,1.3,46.15,4.3,33.33,3.2,0.8,0.03,34.41,1.4,0.7,43.5,81.47,13.69,72.02,7.39,93.24,13.92,85.17,38.24,85.63,4.33,55.38,17.74,38.57,0.16,1.43,0.13,0,0.33,50,0.6,6.93,67.79,3.63,54.13,0.83,32,1.87,0.33,7.06,75.94,,0.87,0.27,12.5,1.23,3,100
