Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Smith,Cannes,Cannes,"RCB, CB",26,0,,29,2823,2,1.85,0,0.81,20.37,60.88,France,France,right,187,78,no,10.2,8.42,69.7,5.87,56.52,0.22,0.36,0.35,4.11,6.63,1.5,5,0.16,0,0,0.73,0.06,2,0.06,0.06,2,0.06,15,0.48,33.33,13.333,0,0.26,75,0.03,100,0.22,71.43,0,0.48,80,3.67,51.3,0.61,1.31,0.1,30.61,0.29,0.89,50.15,90.15,18.36,81.08,3.35,97.14,24.55,96.1,45.37,93.25,4.56,60.14,21.35,37.11,0.03,0.13,0.03,0.06,0.03,0,0,5.42,74.12,0.57,38.89,0.38,25,0.16,0.1,8.83,73.29,,0.03,0,0,0,0,0
A. Petit,Fleury 91 FC,Fleury 91 FC,GK,33,0,,27,2612,0,0,0,0.52,0.45,69.23,France,France,right,190,88,no,0.96,0.07,0,0.28,100,0,0,0,0.96,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,15.61,0.1,0.14,22.95,86.04,13.06,77.04,0,0,9.51,98.19,15.57,97.35,7.34,61.97,32.09,47.88,0.02,0.03,0.03,0,0,0,0.03,3.1,54.44,0.21,50,0.28,50,0.14,0,5.51,75.63,0.28,,,,0,0,0
J. Aymes,Cannes,Cannes,GK,37,150000,,28,2580,0,0,0,0,0.84,87.5,France,France,right,189,85,no,1.81,0.1,33.33,0.52,93.33,0,0,0,1.78,2.91,0,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,100,0,0,0,14.44,0.38,0.21,23.41,88.67,12.7,82.69,0,0,10.47,96.33,16.81,97.51,6.56,66.49,28.69,38.31,0,0,0,0,0.03,0,0,0.49,50,0.07,0,0,0,0,0,4.67,58.96,0.52,,,,0,0,0
H. Abderrahmane,Cannes,Cannes,"LCB, LB",30,0,,27,2517,0,0.98,2,0.99,15.7,57.86,France,"France, Mauritania",left,186,82,no,8.8,6.58,67.39,5.4,57.62,0.21,0.35,0.25,4.15,6.72,0.82,6,0.21,0,0,0.82,0,0,0,0.04,0,0,10,0.36,30,0,0.07,0.97,33.33,0.89,32,0.07,50,0.07,0.54,73.33,1.82,47.06,0.39,2.11,0.18,38.37,0.46,0.36,55.74,84.99,24.85,77.12,2.86,95,23.6,92.73,47.91,91.34,6.94,47.42,22.18,39.34,0.04,0.25,0.04,0.04,0.04,0,0.11,7.76,62.67,1.29,33.33,0.43,25,0.14,0.32,11.87,73.8,,0.18,0,0,0,0,0
F. Colombo,Fleury 91 FC,Fleury 91 FC,LCB,27,0,,26,2514,1,2.45,1,0.44,9.77,66.3,France,France,left,196,0,no,6.37,3.79,80.19,3.83,59.81,0,0,0.36,3.33,4.58,0.47,2,0.07,0,0,0.29,0.04,1,0.04,0.09,1,0.04,17,0.61,17.65,5.882,0.04,0,0,0,0,0,0,0,0.18,80,1.18,45.45,0.72,1.65,0.07,34.76,0.36,0.18,49.65,89.98,18.04,77.18,2.79,96.15,25.92,98.07,44.57,94.54,5.08,50,22.91,37.16,0.02,0.11,0,0.11,0.04,100,0.11,7.02,67.86,0.39,36.36,0.29,37.5,0.21,0,7.52,77.14,,0,0,0,0,0,0
A. Gameiro,Fréjus St-Raphaël,Fréjus St-Raphaël,RB,26,200000,,27,2369,0,0.57,1,2.61,17.78,57.05,France,"France, Portugal",right,174,67,no,8.51,6.91,71.43,2.2,51.72,0.38,0.51,0.15,3.19,4.29,0.65,4,0.15,0,0,2.85,0,0,0,0.02,0,0,9,0.34,22.22,0,0.04,3.84,27.72,0.04,100,3.8,27,0.46,3.15,54.22,6.72,49.15,1.18,1.56,0.61,20.82,2.93,1.52,29.63,71.79,9.95,69.08,4.75,91.2,8.89,65.38,24.12,80.94,1.86,42.86,18.02,30.08,0.1,0.72,0,0.04,0,0,0.46,2.81,64.86,3.08,35.8,0.04,0,0.34,1.03,6.38,61.31,,0,0,0,0,0,0
C. Milon,St Malo US,St Malo US,GK,30,0,,24,2338,0,0,0,0,0.65,58.82,France,France,,0,0,no,1.58,0.08,0,0.38,60,0.08,0.11,0.04,1.5,2.14,0.12,3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,13.55,0.23,0.12,19.56,87.8,11.01,80.77,0,0,7.51,96.41,12.24,98.74,7.31,69.47,29.92,45.82,0,0,0,0,0,0,0,1.5,58.97,0.15,0,0.12,0,0,0,5.5,76.92,0.38,,,,0,0,0
J. Idir,,Andrézieux,GK,32,0,,24,2330,0,0,0,0,1.04,92.59,France,"France, Algeria",right,193,81,no,1.93,0.08,100,0.89,95.65,0,0,0,1.85,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,7.92,0.19,0.15,17.54,85.9,10.97,80.28,0,0,6.1,97.47,8.92,96.1,8.61,75.34,36.55,47.84,0,0,0,0,0,0,0,2.59,68.66,0.12,33.33,0.04,0,0.04,0,6.95,84.44,0.89,,,,0,0,0
T. Cillard,St Malo US,St Malo US,RCB,29,0,,24,2329,2,1.51,0,0.98,13.99,62.15,France,France,right,186,81,no,9.2,5.29,67.15,4.98,65.12,0.85,1.25,0.27,4.79,7.07,0.77,6,0.23,0,0,1.08,0.08,2,0.08,0.06,2,0.08,16,0.62,31.25,12.5,0,1.16,36.67,0,0,1.08,35.71,0.12,0.93,50,2.13,43.64,0.97,1,0.08,24.77,0.62,0.89,39.34,78,20.64,70.79,3.86,93,10.9,85.11,29.29,87.34,9,53.22,21.5,36.09,0.04,0.23,0,0,0,0,0.15,7.11,63.04,1.51,35.9,0.62,37.5,0.35,0.39,10.55,72.89,,0.04,0,0,0,0,0
A. N'Diaye,Cannes,Cannes,"LCMF, LDMF",29,0,,29,2322,0,0.88,4,1.88,22.36,47.66,Spain,"Spain, Mauritania",right,0,0,no,7.98,6.59,70.59,1.94,38,0.04,0.06,0.12,3.29,5.27,1.09,7,0.27,0,0,2.71,0,0,0,0.03,0,0,14,0.54,14.29,0,0.16,1.05,48.15,0.43,45.45,0.62,50,0.19,3.49,58.89,11.63,36.33,1.09,2.91,0.58,24.53,1.01,1.16,38.1,86.47,10.74,81.23,7.98,94.66,11.32,86.64,35.78,88.41,1.28,63.64,16.3,25.39,0.07,0.7,0.04,0.04,0.19,40,0.43,4.96,80.47,1.9,51.02,0.19,60,0.66,0.54,5.19,79.85,,0,0,0,0,0,0
