Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Mouton,Saint-Étienne II,Saint-Étienne II,"DMF, LCMF, RCMF",20,0,,8,744,1,1.07,1,1.03,16.81,53.96,France,France,unknown,0,0,no,11.37,8.59,73.24,2.54,33.33,0.48,0.82,0.24,4.6,7.81,1.57,1,0.12,0,0,1.57,0.12,1,0.12,0.13,0,0,11,1.33,45.45,9.091,0.12,0.36,33.33,0,0,0.24,50,0.12,0.73,83.33,3.39,32.14,0.24,0.6,0,42.1,0.48,0.6,61.57,85.46,22.02,75.27,10.65,95.45,21.65,93.3,53.59,89.16,7.74,62.5,19.49,38.86,0.13,1.45,0,0,0.36,66.67,0.36,11.61,69.79,0.97,75,0.73,66.67,0.6,0,11.01,75.82,0,,0,,0,0,0,0,,,0.73,,,0.97,0.36,0,2.54,1,0
S. Sefil,FC Chalon,FC Chalon,"RCB, LCB",31,0,,7,686,1,0.49,0,0.07,11.81,61.11,Martinique,"Martinique, France",right,194,92,no,6.69,4.2,75,5.25,57.5,0.26,0.35,0.39,3.28,4.34,0.26,0,0,0,0,0.26,0.13,2,0.26,0.06,0,0,3,0.39,66.67,66.667,0,0,0,0,0,0,0,0,0.13,0,1.05,25,0.92,0.66,0,21.65,0.13,0.13,31.88,79.42,12.99,62.63,3.02,95.65,12.2,90.32,26.76,87.25,5.12,38.46,21.85,39.88,0.01,0.26,0,0,0,0,0,4.72,38.89,0.52,25,0.26,0,0.13,0,6.3,64.58,0,,0,,0,0,0,0,,,2.49,,,0,0,0,0,0,0
P. Popp,FC Chalon,FC Chalon,GK,25,0,,7,686,0,0,0,0,0.66,100,France,France,right,191,81,no,1.05,0,0,0.52,100,0,0,0,1.05,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0,27.42,0.39,0.26,40.28,86.97,15.87,68.6,0.13,100,23.62,98.89,31.49,98.33,8.53,47.69,29.07,49.71,0,0,0,0,0,0,0,3.28,36,0.26,0,0.39,33.33,0,0,6.43,53.06,6,0.79,29,3.8,2,79.31,7.94,1.04,1.94,0.255,0,1.44,0.52,,,,0,0,0
A. Dodote,Saint-Étienne II,Saint-Étienne II,RCB,18,0,,7,664,0,0.02,0,0,9.22,57.35,France,France,unknown,0,0,no,7.05,4.34,62.5,0.95,57.14,0,0,0.81,4.34,7.33,0.41,1,0.14,0,0,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0.54,25,2.85,57.14,0.27,1.49,0.14,44.86,0.41,0.81,61.4,92.05,23.18,84.8,4.47,96.97,27.65,97.55,56.93,95.48,4.47,48.48,20,40.79,0,0,0,0,0,0,0,5.02,67.57,0.27,50,0.14,0,0.14,0,8.67,75,0,,0,,0,0,0,0,,,3.25,,,0,0,0,0,0,0
B. Robinho,FC Chalon,FC Chalon,RB,20,0,,7,653,0,0.06,2,0.65,15.57,58.41,France,France,unknown,0,0,no,9.79,5.51,80,1.65,66.67,0.14,0.18,0.14,5.24,6.87,0.41,0,0,0,0,2.48,0,0,0,0.01,0,0,1,0.14,100,0,0.28,1.79,23.08,0,0,1.79,23.08,0.14,3.17,56.52,7.17,48.08,0.83,2.76,0.41,14.2,1.65,1.52,27.43,74.87,10.61,66.23,3.72,96.3,9.37,76.47,23.71,79.65,2.34,64.71,20.68,31.17,0.09,0.69,0,0,0.55,25,0.55,3.17,65.22,1.79,30.77,0.69,20,0.69,0.28,5.65,53.66,0,,0,,0,0,0,0,,,1.38,,,0,0,0,0,0,0
I. Petchy,FC Chalon,FC Chalon,LB,24,0,,7,647,0,0.08,0,0.17,14.88,57.01,France,"France, Saint Martin",right,174,0,no,7.79,7.23,65.38,0.97,57.14,0.14,0.18,0.14,2.92,3.84,0.83,1,0.14,0,0,1.39,0,0,0,0.01,0,0,2,0.28,50,0,0,1.67,41.67,1.67,41.67,0,0,0.42,0.97,57.14,4.87,57.14,0,1.11,0.14,21.7,1.39,1.81,30.19,77.42,12.66,68.13,4.45,96.88,9.32,83.58,24.62,84.75,4.17,43.33,20.38,36.24,0.02,0.56,0.14,0,0,0,0.14,4.03,62.07,1.95,50,0.14,0,0.28,0.7,7.37,62.26,0,,0,,0,0,0,0,,,0.14,,,0,0,0,0,0,0
K. Chams,FC Chalon,FC Chalon,"LW, LAMF, LWF",24,0,,7,622,1,1,3,1.24,18.52,43.75,France,France,unknown,0,0,no,6.95,5.06,60,1.16,37.5,0.14,0.19,0,3.76,5,0.72,0,0,0,0,4.49,0.14,1,0.14,0.14,0,0,12,1.74,33.33,8.333,0.43,5.21,25,4.92,26.47,0.29,0,1.01,5.64,46.15,11.14,40.26,4.49,4.05,0.29,15.92,3.18,1.01,20.55,61.27,5.64,76.92,3.47,91.67,6.95,43.75,14.76,73.53,0.58,75,18.5,14.79,0.18,1.01,0,0,0.14,0,0.43,1.3,77.78,4.49,38.71,0.14,0,1.3,2.03,4.49,74.19,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
M. Makhloufi,Saint-Étienne II,Saint-Étienne II,"LB, LCB, RB",20,0,2026-06-30,6,586,3,1.54,1,0.71,12.44,60.49,France,France,unknown,0,0,no,9.06,5.84,84.21,1.84,50,0,0,0.15,4.15,7.23,0.15,0,0,0,0,1.84,0.46,3,0.46,0.24,0,0,8,1.23,50,37.5,0.15,2.92,21.05,2.61,23.53,0.31,0,0.61,1.23,50,3.99,38.46,1.54,3.38,0,50.53,2.76,0.15,64.81,79.62,24.11,70.7,12.29,97.5,19.97,78.46,52.37,87.98,9.83,50,20.72,42.8,0.11,1.69,0.31,0,0,0,0.77,11.06,63.89,3.69,37.5,2.15,50,0.92,0.77,13.36,79.31,0,,0,,0,0,0,0,,,2,,,1.54,0.46,0,2.76,1,0
K. Pedro,Saint-Étienne II,Saint-Étienne II,"LCB, RCB, RB",19,0,,6,584,0,0.13,1,0.22,19.88,62.02,France,France,right,183,76,no,10.94,8.48,74.55,3.08,50,0,0,0.46,4.62,7.83,0.77,1,0.15,0,0,1.54,0,0,0,0.02,0,0,1,0.15,0,0,0.15,0.31,50,0,0,0.31,50,0,2.31,60,5.86,52.63,0.62,1.39,0,42.07,0.31,0.92,55.33,88.58,19.11,81.45,4.78,96.77,24.66,95,52.4,91.47,2.62,35.29,19.31,37.58,0.03,0.15,0,0,0,0,0.15,4.32,64.29,0.31,0,0,0,0,0.15,7.71,54,0,,0,,0,0,0,0,,,2.62,,,0,0,0,0,0,0
I. Cheikh,Saint-Étienne II,Saint-Étienne II,"LWF, RWF, CF",19,0,,8,560,2,2.02,1,0.65,20.57,44.53,France,France,unknown,0,0,no,8.04,4.18,65.38,2.73,29.41,0.48,0.8,0.16,4.82,7.96,1.77,1,0.16,0,0,2.57,0.32,2,0.32,0.33,0,0,16,2.57,37.5,12.5,0.16,0.64,25,0.48,33.33,0.16,0,0.16,2.73,52.94,11.09,37.68,3.38,2.41,0.48,13.98,1.77,1.77,19.93,75,5.79,58.33,5.63,88.57,4.82,76.67,17.84,78.38,1.45,55.56,14.23,17.46,0.11,1.13,0,0,0.16,0,0.32,2.73,64.71,1.29,75,0,0,0.96,0.16,3.21,70,0,,0,,0,0,0,0,,,0.16,,,0,0,0,0,0,0
