Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Andri?,Torpedo Kutaisi,Torpedo Kutaisi,"CF, AMF",30,1000000,2026-06-30,13,1061,5,3.82,2,0.86,20.1,43.88,Serbia,Serbia,right,189,84,yes,4.07,4.33,60.78,5.17,45.9,0.08,0.11,0,1.36,1.8,1.19,1,0.08,0,0,1.27,0.42,5,0.42,0.32,1,0.08,22,1.87,40.91,22.727,0.17,0.42,40,0,0,0.42,40,0,0.42,80,7.97,35.11,2.8,0.42,0,19.34,1.19,1.87,27.4,83.59,4.07,75,8.99,90.57,8.65,84.31,25.36,83.95,1.61,89.47,17.18,37.48,0.07,0.85,0,0.08,0,0,0.42,2.8,84.85,1.02,66.67,0,0,0.59,0.08,3.65,72.09,,0.08,0,0,0,0,0
M. Sakho,,Torpedo Kutaisi,LCB,35,800000,,6,551,0,0.23,0,0.01,10.29,61.9,France,"France, Senegal",left,187,83,no,6.86,3.43,66.67,3.27,70,0.16,0.24,0.49,4.41,6.59,0,0,0,0,0,0.16,0,0,0,0.04,0,0,1,0.16,0,0,0,0.16,100,0.16,100,0,0,0,0,0,2.12,30.77,0.33,0.65,0,34.79,0.82,0.65,53.25,92.33,23.68,86.9,3.43,95.24,21.4,97.71,49.49,93.73,3.59,72.73,19.07,35.35,0,0.16,0,0,0,0,0,4.57,85.71,0.49,100,0.16,100,0.33,0.16,8,79.59,,0,0,0,0,0,0
Warley,Torpedo Kutaisi,Torpedo Kutaisi,"RB, LB",26,800000,2027-06-30,19,1780,1,0.23,2,0.66,12.94,53.91,Brazil,Brazil,right,172,64,no,8.04,5.92,66.67,1.01,45,0.1,0.13,0.05,3.99,5.21,0.91,6,0.3,0,0,0.91,0.05,1,0.05,0.01,0,0,3,0.15,33.33,33.333,0.1,1.82,25,0.15,0,1.67,27.27,0.3,0.66,53.85,4.9,43.3,0.81,1.57,0.86,30.34,1.97,1.87,42.12,82.47,17.9,77.12,7.79,96.75,10.42,81.55,35.39,90.14,5.01,47.47,19.27,34.85,0.03,0.4,0,0,0.05,100,0.2,6.57,74.62,2.28,51.11,0.25,60,0.76,0.56,9.2,74.18,,0,0,0,0,0,0
S. Altunashvili,Iberia 1999,Iberia 1999,"RCMF, LCMF, LDMF",28,800000,,8,740,0,0.26,1,0.94,14.35,49.15,Georgia,Georgia,right,169,68,no,7.18,4.74,64.1,1.82,33.33,0,0,0.36,4.14,5.6,2.07,2,0.24,0,0,1.58,0,0,0,0.03,0,0,8,0.97,25,0,0.12,0.85,42.86,0.24,100,0.61,20,0.12,1.58,46.15,5.35,43.18,1.82,1.22,0.12,31.01,0.73,1.58,40.74,82.39,14.96,72.36,7.3,91.67,11.07,86.81,37.22,86.6,2.68,36.36,16.31,27.73,0.11,0.73,0,0.36,0.61,40,0.24,7.42,80.33,2.19,55.56,0.61,20,1.22,0.36,6.93,70.18,,0,0,0,0,0,0
S. Khvadagiani,Maccabi Netanya,Dinamo Tbilisi,"RCB, LCB",22,700000,,14,1380,0,1.75,1,0.56,9.91,62.5,Georgia,Georgia,right,186,80,no,7.17,4.11,80.95,2.48,60.53,0.26,0.34,0.52,3.59,4.7,0.65,1,0.07,1,0.07,0.85,0,0,0,0.11,0,0,16,1.04,18.75,0,0.07,0.65,40,0,0,0.65,40,0.13,0.65,50,1.5,34.78,1.17,1.63,0.07,32.93,0.52,0.13,45.91,89.35,18.52,83.45,3.78,91.38,17.61,94.07,41.28,92.89,3.98,60.66,20.21,37.99,0.04,0.46,0,0,0.13,50,0.13,5.09,70.51,1.11,35.29,0.72,27.27,0.46,0.2,7.63,76.07,,0.07,0.07,0,0,0,0
S. Kvirkvelia,Torpedo Kutaisi,Torpedo Kutaisi,"RCB, CB",33,700000,,23,2102,2,1.29,1,0.7,11.9,67.27,Georgia,Georgia,right,196,87,no,7.24,5.01,70.09,4.41,70.87,0.09,0.11,0.77,3.64,4.81,0.21,0,0,0,0,0.26,0.09,2,0.09,0.06,2,0.09,14,0.6,35.71,14.286,0.04,0,0,0,0,0,0,0,0.09,50,1.11,46.15,0.73,0.56,0.04,33.91,0.39,0.47,47.65,87.78,19.22,77.06,3,95.71,22.18,96.14,41.27,92.53,6.38,57.05,22.15,36.66,0.03,0.17,0,0,0.04,0,0.13,4.67,65.14,0.34,12.5,0.3,0,0.21,0,8.78,71.22,,0,0,0,0,0,0
V. Mamuchashvili,Torpedo Kutaisi,Torpedo Kutaisi,"RDMF, RCMF, CF",28,600000,,13,1280,1,1.23,1,3.78,13.29,54.5,Georgia,Georgia,right,176,70,no,8.02,5.7,75.31,1.27,38.89,0.07,0.09,0.42,3.66,4.66,0.7,2,0.14,0,0,2.32,0.07,1,0.07,0.09,0,0,22,1.55,27.27,4.545,0.07,2.32,54.55,0.14,0,2.18,58.06,0.35,1.41,45,4.99,35.21,1.62,0.91,0.14,39.87,0.91,0.98,49.99,85.51,15.47,73.64,8.72,95.97,18.98,90.37,41.55,91.71,6.19,54.55,20.85,37.75,0.27,1.97,0.14,0.07,0,0,0.49,9.77,71.94,1.83,50,0.56,50,0.35,1.27,8.93,76.38,,1.69,0.42,50,3.66,0,0
A. Zohouri,Iberia 1999,Iberia 1999,RB,24,550000,,12,1078,1,1.19,0,0.55,12.61,54.3,Côte d'Ivoire,Côte d'Ivoire,right,176,70,no,6.35,5.26,63.49,1.5,66.67,0.33,0.52,0.08,2.67,4.17,1.34,6,0.5,0,0,1.67,0.08,1,0.08,0.1,0,0,9,0.75,11.11,11.111,0,2.59,25.81,0,0,2.59,25.81,0.5,1.75,52.38,4.34,36.54,1.17,1.09,0.08,33.81,1.67,0.75,44.33,83.24,14.44,79.19,9.02,95.37,13.36,82.5,39.41,89.83,2.5,36.67,18.81,43.81,0.05,0.42,0,0,0.17,0,0.33,5.93,74.65,2.59,38.71,0.58,42.86,0.42,0.75,7.6,70.33,,0,0,0,0,0,0
Christian Rivera,Torpedo Kutaisi,Torpedo Kutaisi,"LDMF, RCMF, RDMF",28,500000,,4,133,0,0,0,0.23,7.44,27.27,Spain,Spain,right,191,88,no,7.44,2.71,25,2.03,33.33,0.68,1.03,0,6.09,9.31,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,3.38,0,35.86,0,0,46.02,88.24,10.83,75,8.8,100,20.98,90.32,41.95,91.94,4.06,50,18.93,32.07,0.15,1.35,0,0,0,0,0.68,10.83,68.75,0.68,100,0.68,100,0.68,0,4.74,85.71,,0,0,0,0,0,0
I. Gelashvili,Panserraikos,Iberia 1999,RCB,24,450000,2027-06-30,18,1769,2,1.71,0,0,7.73,62.5,Czech Republic,"Czech Republic, Georgia",right,191,87,no,6.36,3.1,63.93,3.26,62.5,0.05,0.07,1.22,4.32,5.74,0.61,2,0.1,0,0,0.15,0.1,2,0.1,0.09,1,0.05,10,0.51,30,20,0,0,0,0,0,0,0,0,0,0,0.31,33.33,0.71,0.51,0.05,39.12,0.36,0.1,50.21,89.67,19.89,78.77,2.24,100,24.32,97.28,44.16,94.82,6.05,52.1,22.33,40.58,0,0.05,0,0.05,0.05,0,0,5.65,64.86,0.36,14.29,0.31,50,0.05,0,9.21,72.93,,0,0,0,0,0,0
