Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Hoffmann,Eintracht Braunschweig,Eintracht Braunschweig,GK,26,1000000,2027-06-30,12,1232,0,0,0,0,1.02,92.86,Germany,Germany,right,192,87,no,1.31,0,0,0.51,85.71,0,0,0,1.31,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,100,0,0,0,16,0.07,0.51,22.5,84.09,13.37,73.77,0,0,8.4,99.13,11.98,98.17,10.52,68.06,35.38,49.09,0,0,0,0,0,0,0,4.82,68.18,0.15,0,0.22,66.67,0.15,0,7.89,85.19,24,1.75,62,4.53,1,61.29,20.81,1.52,-3.19,-0.233,0,1.61,0.51,,,,0,0,0
M. Großer,Arminia Bielefeld,Arminia Bielefeld,"LCB, DMF, RCB",24,275000,2027-06-30,12,1229,2,1.33,0,0.06,15.16,64.73,Germany,Germany,right,189,81,no,8.13,5.13,70,6.37,62.07,0.37,0.52,0.59,4.17,5.96,0.88,1,0.07,0,0,0.29,0.15,2,0.15,0.1,1,0.07,11,0.81,36.36,18.182,0,0,0,0,0,0,0,0,0,0,0.81,63.64,1.54,0.22,0.15,31.2,0.07,1.17,44.38,88.94,15.01,81.46,3,97.56,21.31,94.85,42.62,90.72,1.76,45.83,17.9,29.26,0,0.15,0,0,0.07,0,0,3.08,59.52,0.44,0,0,0,0.22,0,4.76,49.23,0,,0,,0,0,0,0,,,1.54,,,0,0,0,0,0,0
M. Corboz,Arminia Bielefeld,Arminia Bielefeld,"LCMF, DMF, LDMF",31,350000,2027-06-30,12,1229,1,2.46,2,1.59,11.64,42.77,United States,"United States, France",right,180,76,no,4.69,3.81,48.08,2.12,27.59,0.07,0.1,0.66,2.78,3.97,0.95,2,0.15,0,0,1.54,0.07,1,0.07,0.18,1,0.07,17,1.24,29.41,5.882,0.15,1.32,38.89,0.95,46.15,0.37,20,0.44,1.1,60,3.81,42.31,2.34,0.59,0.15,19.77,0.51,0.51,28.63,76.73,11.06,68.21,4.25,94.83,6.44,78.41,24.53,81.49,2.86,51.28,15.35,29.64,0.12,0.73,0,0.07,0,0,0.37,4.76,75.38,1.68,56.52,0.15,0,0.66,0.51,6.08,71.08,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Seimen,Paderborn,Paderborn,GK,19,0,2029-06-30,12,1225,0,0,0,0,0.73,80,Germany,"Germany, Romania",left,190,89,yes,1.1,0.07,100,0.59,75,0,0,0,1.03,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0.29,0.15,27.48,87.97,14.69,80.5,0,0,11.98,96.32,17.71,98.76,9.77,68.42,31.02,47.57,0,0,0,0,0,0,0,1.98,55.56,0.22,0,0.15,50,0,0,7.64,77.88,10,0.73,46,3.38,5,78.26,13.03,0.96,3.03,0.223,0,1.47,0.59,,,,0,0,0
L. Karius,Schalke 04,Schalke 04,GK,32,1000000,2027-06-30,12,1224,0,0,0,0,0.74,80,Germany,Germany,right,189,87,no,2.21,0.07,100,0.44,66.67,0,0,0,2.13,2.75,0,2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,11.18,0.07,0.29,18.16,79.76,12.57,73.68,0,0,5,97.06,7.65,98.08,10.37,67.38,37.53,48.72,0,0,0,0,0,0,0,3.68,62,0.07,0,0.37,40,0,0,7.87,81.31,7,0.51,32,2.35,6,78.13,12.63,0.93,5.63,0.414,0,1.1,0.44,,,,0,0,0
J. Schenk,Preußen Münster,Preußen Münster,GK,22,300000,2027-06-30,12,1220,0,0,0,0,1.11,80,Germany,Germany,right,191,85,no,3.1,0.07,100,0.74,80,0,0,0,3.02,4.49,0,2,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,66.67,0,0,0,31.35,0.07,0.3,45.44,89.94,24.79,82.14,0.07,100,18.66,99.6,32.31,98.63,13.13,68.54,26.76,45.41,0,0,0,0,0,0,0,2.58,45.71,0,0,0.3,50,0,0,10.7,76.55,21,1.55,57,4.2,0,63.16,20.37,1.5,-0.63,-0.046,0,1.99,0.74,,,,0,0,0
F. Kastenmeier,Fortuna Düsseldorf,Fortuna Düsseldorf,GK,28,1500000,2026-06-30,12,1217,0,0,0,0,0.59,87.5,Germany,Germany,right,192,84,no,1.48,0.07,100,0.44,83.33,0,0,0,1.41,1.74,0,1,0.07,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.07,100,0,0,0,19.67,0.07,0,31.8,85.35,17.53,74.68,0,0,13.76,98.39,19.38,98.85,12.42,64.29,35.06,50.89,0,0,0,0,0,0,0,5.25,56.34,0.3,0,0.52,28.57,0,0,9.47,81.25,20,1.48,67,4.95,2,70.15,19.1,1.41,-0.9,-0.067,0,1.18,0.44,,,,0,0,0
N. Noll,Hannover 96,Hannover 96,GK,22,500000,,12,1215,0,0,1,0.24,1.11,80,Germany,"Germany, Spain",right,190,75,yes,1.26,0.07,0,0.67,88.89,0,0,0,1.26,2.02,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,32.81,0.44,0.37,41.48,85.54,22.59,75.74,0.07,100,17.63,97.48,29.11,98.22,12.3,56.02,29.2,51.45,0.02,0.07,0,0,0,0,0.07,4.89,34.85,0.74,10,0.52,14.29,0,0,8.89,72.5,18,1.33,46,3.41,3,60.87,16.28,1.21,-1.72,-0.127,0.07,1.48,0.67,,,,0,0,0
D. Reimann,Magdeburg,Magdeburg,GK,28,800000,,12,1213,0,0,0,0,0.3,75,Germany,"Germany, Poland",right,186,84,no,0.82,0,0,0.3,75,0,0,0,0.82,1.22,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,33.61,0.89,0,43.85,91.2,18.18,80.41,0,0,24.41,98.78,35.61,99.58,8.16,55.45,26.92,48.36,0,0,0,0,0,0,0,2.45,33.33,0.45,16.67,0.15,0,0.07,0,7.12,68.75,22,1.63,64,4.75,2,65.63,21.32,1.58,-0.68,-0.05,0,0.59,0.3,,,,0,0,0
B. Y?lmaz,Nürnberg,Nürnberg,LB,20,0,,12,1211,0,0.27,1,1.69,16.72,57.33,Germany,"Germany, Türkiye",left,180,75,yes,5.72,4.98,62.69,0.97,38.46,0.37,0.49,0.07,2.23,2.94,0.67,2,0.15,0,0,3.64,0,0,0,0.02,0,0,5,0.37,40,0,0.07,3.2,30.23,3.2,30.23,0,0,0.22,3.64,67.35,9.51,59.38,1.49,4.01,0.74,29.95,1.26,2.16,40.5,79.08,15.9,69.16,6.76,94.51,10.18,83.94,33.96,87.53,3.57,37.5,18.43,35.36,0.13,1.26,0,0,0.15,50,0.59,4.24,68.42,3.12,61.9,0.3,50,1.26,0.97,8.62,68.1,0,,0,,0,0,0,0,,,0.82,,,0.15,0,0,0,0,0
