Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Pérez,Larissa,Larissa,"LCMF, CF, LDMF",26,500000,,10,905,2,0.58,0,0.18,14.82,45.64,Argentina,Argentina,right,170,65,no,5.67,5.67,56.14,1.39,35.71,0.2,0.25,0.1,2.29,2.92,1.29,4,0.4,0,0,1.29,0.2,2,0.2,0.06,0,0,6,0.6,50,33.333,0,0.6,50,0,0,0.5,60,0,0.6,66.67,5.97,43.33,0.5,1.19,0.3,19.79,0.6,1.19,28.94,85.57,7.86,72.15,5.77,96.55,10.14,92.16,25.76,88.03,2.69,70.37,17.69,39.08,0.02,0.5,0,0,0.4,75,0.1,3.78,81.58,1.29,53.85,0.5,60,0.7,0.2,4.77,68.75,,0.2,0.1,100,0.1,0,0
Jorge Aguirre,Panetolikos FC,Panetolikos FC,CF,25,300000,2027-06-30,10,561,2,3.54,0,0.02,19.57,25.41,Spain,Spain,right,183,78,yes,1.28,0.96,33.33,6.58,26.83,0,0,0,0.96,1.08,1.12,2,0.32,0,0,1.6,0.32,1,0.16,0.57,0,0,14,2.25,28.57,14.286,0,0.48,33.33,0.32,50,0.16,0,0.16,1.44,55.56,8.18,23.53,2.89,0.16,0,5.78,1.6,1.44,8.82,76.36,1.76,54.55,3.05,94.74,2.25,64.29,8.34,78.85,0,0,12.97,0,0,0.32,0.16,0,0.16,0,0.16,1.12,57.14,0.64,50,0.16,0,0.48,0.32,0.64,25,,0,0,0,0,2,50
N. Melissas,Larissa,Larissa,GK,32,300000,,10,985,0,0,0,0,0.27,100,Germany,"Germany, Greece",right,193,86,no,0.64,0,0,0.27,100,0,0,0,0.64,0.84,0,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0.09,13.71,75.33,9.78,69.16,0,0,3.56,92.31,6.58,95.83,7.13,56.41,34.19,42.64,0,0,0,0,0,0,0,1.46,43.75,0,0,0.09,0,0,0,5.66,64.52,0.27,,,,0,0,0
S. Chakla,Larissa,Larissa,"RCB, LCB",32,550000,,10,985,1,0.58,0,0,12.79,65,Morocco,"Morocco, Spain",right,188,77,no,8.22,4.93,70.37,4.66,60.78,0.27,0.36,0.91,4.48,5.86,1.28,2,0.18,0,0,0.18,0.09,1,0.09,0.05,1,0.09,4,0.37,25,25,0,0.09,0,0,0,0.09,0,0,0.09,100,0.82,77.78,0.91,0.91,0,22.57,0.18,0.82,34.45,88.86,16.81,81.52,1.64,100,14.25,97.44,29.15,92.48,5.21,70.18,22.62,40.38,0,0,0,0,0,0,0,4.93,62.96,0.55,16.67,0.18,0,0.27,0,7.31,90,,0,0,0,0,0,0
L. Tupta,Larissa,Larissa,"CF, LW, LAMF",27,800000,,10,730,0,1.1,0,0.28,13.19,46.73,Slovakia,Slovakia,right,182,75,no,2.34,2.59,42.86,1.6,46.15,0,0,0,1.23,1.55,1.23,1,0.12,0,0,2.22,0,0,0,0.14,0,0,18,2.22,5.56,0,0,0.86,42.86,0.37,66.67,0.49,25,0,2.47,70,6.16,56,2.96,2.59,0.25,15.41,2.22,1.23,18.86,88.89,3.33,74.07,5.79,100,5.92,85.42,16.64,93.33,1.36,63.64,17.3,32.62,0.03,0.49,0,0,0,0,0.25,2.1,70.59,1.73,71.43,0.12,0,0.99,0.37,1.97,87.5,,0,0,0,0,0,0
L. Cháves,Panetolikos FC,Panetolikos FC,GK,30,1200000,2027-12-31,10,1009,0,0,1,0,1.69,78.95,Argentina,Argentina,right,178,75,yes,1.87,0.09,100,0.8,77.78,0,0,0,1.78,2.13,0.09,1,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.09,100,0.62,71.43,0,0,0,16.59,0.27,0.45,27.12,78.62,15.25,63.74,0,0,11.33,97.64,16.77,96.28,10.35,50,34.5,51.56,0,0,0,0,0,0,0.09,4.55,31.37,0.45,0,0.36,50,0,0,6.69,76,0.8,,,,0,0,0
K. Michalak,Panetolikos FC,Panetolikos FC,"LW, LAMF, RAMF",28,1000000,2026-06-30,10,910,2,1.4,1,1.55,8.8,46.07,Poland,Poland,right,176,61,no,3.07,2.67,48.15,0.69,14.29,0,0,0.2,1.78,2.09,0.49,1,0.1,0,0,3.07,0.2,2,0.2,0.14,1,0.1,10,0.99,50,20,0.1,1.88,47.37,1.38,50,0.49,40,0.3,2.47,64,4.15,52.38,2.67,1.78,0.4,12.76,2.18,0.59,15.03,72.37,3.56,47.22,3.96,90,4.65,82.98,11.77,78.99,1.38,50,18.46,29.81,0.15,1.29,0,0,0.1,100,0.89,0.99,60,1.58,56.25,0,0,0.59,0.99,1.88,78.95,,0.2,0,0,0.3,0,0
Diego Esteban,Panetolikos FC,Panetolikos FC,"AMF, RCMF",25,250000,,10,888,1,0.34,1,0.75,12.97,42.97,Spain,Spain,left,183,68,no,5.88,6.39,53.97,1.22,33.33,0.2,0.24,0,2.23,2.63,1.52,2,0.2,0,0,0.71,0.1,1,0.1,0.03,0,0,4,0.41,25,25,0.1,1.32,15.38,0.2,0,1.11,18.18,0.3,0.81,37.5,3.85,34.21,0.71,0.71,0,16.82,0.91,0.71,23.72,77.78,6.08,56.67,6.39,98.41,6.79,76.12,20.68,85.29,1.72,35.29,17.67,26.76,0.08,0.71,0,0,0.41,25,0.3,2.64,65.38,1.52,20,0.3,0,0.1,0.3,2.84,60.71,,0.61,0,0,0.91,0,0
Taison,PAOK,PAOK,"LAMF, LW, AMF",37,500000,,10,657,1,0.77,3,1.09,10.82,48.1,Brazil,Brazil,right,172,67,no,3.7,2.6,57.89,1.78,23.08,0,0,0,2.19,3.93,0.82,1,0.14,0,0,1.51,0.14,1,0.14,0.1,0,0,9,1.23,22.22,11.111,0.41,1.37,60,1.23,66.67,0.14,0,0.27,0.96,42.86,5.62,48.78,3.29,5.89,2.33,36.58,1.51,0.68,46.71,88.56,10.96,81.25,14.66,97.2,11.78,84.88,42.33,92.56,3.01,45.45,17.37,27.23,0.15,1.64,0.27,0,0,0,0.82,4.38,75,3.84,71.43,0.41,33.33,3.42,0.55,4.79,88.57,,0.27,0.14,0,0,0,0
M. Ozdoev,PAOK,PAOK,"RDMF, RCMF, LDMF",33,2000000,,10,741,4,1.04,2,1.26,10.57,49.43,Russia,Russia,right,184,77,no,6.92,4.86,62.5,2.19,55.56,0.24,0.45,0.24,3.64,6.77,1.34,1,0.12,0,0,0.97,0.49,4,0.49,0.13,0,0,11,1.34,45.45,36.364,0.24,0.85,28.57,0,0,0.85,28.57,0.12,0.36,33.33,1.94,31.25,2.79,0.85,0.12,32.19,0,0.36,44.7,86.68,11.42,75.53,7.17,96.61,17.25,89.44,41.3,90.88,2.55,38.1,17.52,19.05,0.15,0.97,0,0,0,0,0.49,5.83,77.08,1.21,70,0,0,0.85,0.24,4.86,65,,0.12,0.12,0,0,0,0
S. Meïté,PAOK,PAOK,"LDMF, LCMF, RDMF",31,3500000,2026-06-30,10,964,0,0.11,0,0.02,14.28,56.86,France,"France, Côte d'Ivoire",right,187,80,no,5.51,3.83,56.1,2.33,52,0.09,0.17,0.09,3.27,5.97,1.21,1,0.09,0,0,0.93,0,0,0,0.01,0,0,3,0.28,0,0,0,0,0,0,0,0,0,0,1.12,83.33,5.88,57.14,0.47,0.84,0.19,36.5,0.28,1.31,51.91,89.75,12.51,79.85,9.52,95.1,20.82,92.38,48.73,90.8,3.17,73.53,17.01,34.19,0,0.09,0,0.09,0.09,0,0.19,7.66,81.71,0.65,28.57,0.19,50,0.28,0,4.76,76.47,,0,0,0,0,0,0
G. Giakoumakis,PAOK,PAOK,CF,30,8000000,2028-06-30,10,679,2,3.97,0,0.91,19.62,37.84,Greece,Greece,right,185,84,yes,3.71,2.65,55,5.43,43.9,0.53,1.04,0.13,1.72,3.39,1.46,2,0.27,0,0,1.86,0.27,2,0.27,0.53,0,0,21,2.78,38.1,9.524,0,0.66,40,0.13,0,0.53,50,0,1.19,44.44,7.82,32.2,4.24,0.4,0,10.87,1.19,1.99,14.05,74.53,2.92,59.09,3.98,93.33,3.31,72,13.12,76.77,0.4,33.33,14.28,7.44,0.12,0.93,0,0,0,0,0.4,1.33,60,0.53,100,0,0,1.19,0.27,1.06,75,,0,0,0,0,0,0
K. Tzolakis,Olympiacos Piraeus,Olympiacos Piraeus,GK,23,0,2027-06-30,10,999,0,0,0,0,1.08,83.33,Greece,Greece,right,193,85,no,1.89,0.18,50,0.36,100,0,0,0,1.8,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,75,0,0,0,10,0.36,0.36,15.77,77.14,10.36,67.83,0,0,5.05,98.21,9.55,97.17,6.13,47.06,35.53,51.24,0,0,0,0,0,0,0,2.97,48.48,0.27,0,0.45,0,0,0,4.32,72.92,0.36,,,,0,0,0
A. El Kaabi,Olympiacos Piraeus,Olympiacos Piraeus,CF,32,5000000,2026-06-30,10,914,8,8.7,1,0.69,14.47,35.37,Morocco,Morocco,left,182,76,no,1.58,1.38,57.14,7.39,37.33,0,0,0,0.79,1.5,0.98,2,0.2,0,0,2.07,0.79,4,0.39,0.86,1,0.1,34,3.35,52.94,23.529,0.1,0.39,25,0.3,33.33,0.1,0,0.1,0.49,40,2.86,31.03,3.94,0.59,0,13,1.38,0.3,15.95,75.93,3.05,58.06,4.92,84,3.45,77.14,15.36,76.92,0.2,100,13.38,2.88,0.07,0.59,0,0.1,0,0,0.39,1.18,75,0.79,25,0,0,0.49,0.1,1.08,72.73,,0,0,0,0,4,100
David Simón,Kifissia,Kifissia,RB,36,100000,,10,1007,0,0.44,1,0.92,13.76,58.44,Spain,Spain,right,179,68,no,8.31,7.06,68.35,2.23,60,0.27,0.41,0.09,3.22,4.91,1.07,2,0.18,0,0,1.7,0,0,0,0.04,0,0,5,0.45,60,0,0.09,2.14,37.5,0,0,2.14,37.5,0.18,0.71,87.5,2.68,50,0.8,0.71,0,12.96,1.16,0.54,23.06,74.03,10.72,68.33,3.04,100,6.17,72.46,15.55,86.78,5.36,51.67,23.67,39.86,0.08,0.27,0,0,0,0,0.09,4.92,61.82,2.06,43.48,0.45,40,0.36,0.8,6.52,73.97,,0.09,0,0,0,0,0
Chiquinho,Olympiacos Piraeus,Olympiacos Piraeus,AMF,30,0,2027-06-30,10,804,4,2.12,1,1.88,12.54,41.07,Portugal,Portugal,right,175,68,no,2.8,2.35,52.38,2.35,38.1,0,0,0,1.57,3.18,0.67,0,0,0,0,1.68,0.45,4,0.45,0.24,1,0.11,16,1.79,37.5,25,0.11,2.13,26.32,0.67,33.33,1.34,25,0.34,1.12,40,5.82,38.46,6.72,1.01,0.11,22.39,1.12,0.9,30.45,77.21,7.72,68.12,6.83,91.8,8.62,74.03,26.08,83.69,2.35,47.62,16.33,26.62,0.21,1.57,0,0,0,0,0.56,3.58,65.63,2.13,42.11,0,0,1.68,0.45,3.13,78.57,,0.9,0.22,0,1.68,0,0
