Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Sifneos,Kavala,Kavala,CF,29,0,2026-06-30,11,1073,2,1.88,0,0.25,27.76,37.16,Netherlands,"Netherlands, Greece",right,192,83,no,3.02,2.77,45.45,10.48,40.8,0.25,0.31,0.25,1.51,1.87,2.18,2,0.17,0,0,0.75,0.17,1,0.08,0.16,0,0,11,0.92,36.36,18.182,0,0.42,20,0.17,0,0.25,33.33,0.08,0.59,57.14,9.81,29.91,1.26,0.17,0,8.3,2.35,3.1,15.27,73.08,2.18,53.85,4.95,89.83,4.78,59.65,14.43,76.16,0.42,20,14.08,16.88,0.02,0.34,0,0,0,0,0.08,1.17,14.29,0.59,14.29,0.08,0,0.25,0,1.26,53.33,0,,0,,0,0,0,0,,,0,,,0.08,0.08,0,0,1,100
M. Aliatidis,Kavala,Kavala,LCB,30,125000,,11,1073,0,0,0,0.02,11.24,70.15,Greece,Greece,left,185,0,no,7.97,4.19,86,3.02,63.89,0.59,0.73,0.34,3.77,4.67,0.75,2,0.17,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,2.01,58.33,0,0.75,0,19.96,0.17,1.34,31.87,76.32,16.02,64.4,2.1,76,11.66,93.53,22.06,84.03,9.81,58.97,27.2,42.45,0,0.08,0,0,0,0,0,5.2,54.84,0.42,20,0.08,0,0.17,0,8.97,65.42,0,,0,,0,0,0,0,,,1.34,,,0,0,0,0,0,0
G. Maidanos,Ilioupoli,Ilioupoli,LB,27,200000,,11,1069,0,0.02,1,1.08,14.23,56.21,Greece,Greece,left,170,0,no,8.17,4.8,84.21,1.85,22.73,0.25,0.34,0.08,3.87,5.15,0.25,0,0,0,0,2.19,0,0,0,0,0,0,1,0.08,0,0,0.08,2.86,32.35,2.86,32.35,0,0,0.17,2.27,55.56,6.15,46.58,0.67,3.28,0.51,22.31,2.19,1.6,32.92,72.38,15.49,69.02,4.8,91.23,7.24,68.6,26.1,79.68,4.04,54.17,18.05,28.29,0.09,0.76,0,0.08,0,0,0.08,4.55,59.26,2.61,41.94,0,0,0.42,0.76,6.74,67.5,0,,0,,0,0,0,0,,,0.25,,,0,0,0,0,0,0
A. Karagiozis,Panargiakos Argos,Panargiakos Argos,GK,28,125000,,11,1068,0,0,0,0,1.1,84.62,Greece,Greece,right,195,85,no,1.77,0.17,100,0.59,85.71,0,0,0,1.6,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,11.97,0.51,0.34,18.62,76.02,12.3,65.75,0,0,5.9,95.71,9.02,98.13,9.61,55.26,35.86,47.92,0,0,0,0,0,0,0,3.12,45.95,0.34,25,0.08,0,0,0,6.24,68.92,24,2.02,52,4.38,2,53.85,23.52,1.98,-0.48,-0.04,0,1.52,0.59,,,,0,0,0
F. Pantekidis,Kampaniakos Chalastra,Kampaniakos Chalastra,LCB,28,250000,,11,1063,0,0.6,0,0.08,9.65,67.54,Greece,Greece,left,186,0,no,7.03,4.4,86.54,3.73,50,0.08,0.13,0.68,3.13,4.81,0.68,1,0.08,0,0,0.42,0,0,0,0.05,0,0,4,0.34,50,0,0,0.25,66.67,0.25,66.67,0,0,0,0.08,100,0.59,42.86,0.17,1.19,0,31.92,0.25,0.25,43.18,84.12,20.07,73,2.29,92.59,15.75,96.24,33.02,93.33,9.91,53.85,23.34,38.62,0.01,0.08,0,0,0.08,0,0.08,6.18,72.6,1.35,50,0.17,0,0.34,0.17,10.24,66.12,0,,0,,0,0,0,0,,,1.61,,,0.17,0.17,0,0,0,0
M. Bousis,Anagennisi Karditsas,Anagennisi Karditsas,"LCB, LB",26,125000,,11,1041,2,0.8,0,0.45,11.41,62.12,Greece,Greece,left,180,0,no,7.09,4.41,72.55,3.89,53.33,0.43,0.6,0.17,3.46,4.76,0.52,2,0.17,0,0,1.3,0.17,2,0.17,0.07,0,0,6,0.52,66.67,33.333,0,1.12,46.15,1.12,46.15,0,0,0,0.69,62.5,1.99,56.52,0.86,1.04,0.17,29.65,0.35,0.69,42.97,78.27,21.87,68.77,3.8,95.45,12.88,87.25,33.29,88.31,8.56,43.43,22.71,39.07,0.04,0.17,0,0,0,0,0.17,8.47,60.2,1.73,40,0.52,0,0.35,0.52,11.41,77.27,0,,0,,0,0,0,0,,,1.21,,,0,0,0,0.09,0,0
P. Doumanis,Kampaniakos Chalastra,Kampaniakos Chalastra,"RB, RWB, RW",25,0,,11,1038,1,0.45,0,0.77,13.09,49.01,Greece,Greece,both,174,0,no,7.2,4.77,61.82,1.56,44.44,0,0,0.09,4.25,6.5,0.52,2,0.17,0,0,2.6,0.09,1,0.09,0.04,0,0,9,0.78,22.22,11.111,0,4.34,30,0,0,4.34,30,0.78,2.08,54.17,5.9,41.18,1.56,1.39,0.17,25.58,2.6,0.95,36.16,71.22,12.14,63.57,6.94,95,9.8,62.83,27.66,82.13,4.25,42.86,19.06,35.46,0.07,0.35,0,0,0,0,0.26,4.6,66.04,4.16,41.67,0.26,66.67,0.69,1.21,8.5,70.41,0,,0,,0,0,0,0,,,0.35,,,0,0,0,0,0,0
R. Bregu,Kavala,Kavala,"RDMF, RCMF, DMF",24,0,2026-06-30,11,1022,1,0.19,0,0.58,13.74,58.97,Albania,Albania,,0,0,no,9.25,6.78,63.64,2.11,50,0.35,0.44,0.26,4.58,5.69,1.23,2,0.18,0,0,0.88,0.09,1,0.09,0.02,0,0,6,0.53,33.33,16.667,0,1.23,28.57,0.35,25,0.88,30,0,0.53,66.67,3.08,57.14,0,0.09,0,22.19,0.62,1.76,36.46,77.05,12.06,59.12,5.46,93.55,14.27,85.8,29.24,85.84,5.99,44.12,20.79,37.33,0.05,1.06,0,0.09,0,0,0,5.99,57.35,1.5,29.41,0.62,14.29,0.09,0.44,6.25,63.38,0,,0,,0,0,0,0,,,0.44,,,2.11,0.09,100,1.59,0,0
D. Grozdani?,Asteras Tripolis II,Asteras Tripolis II,LCB,22,0,2026-06-30,10,977,0,0.09,0,0,11.33,64.23,Croatia,Croatia,right,193,85,no,7.55,4.88,69.81,3.5,60.53,0.28,0.36,0.37,3.87,5.06,1.29,2,0.18,1,0.09,0.09,0,0,0,0.01,0,0,1,0.09,100,0,0,0,0,0,0,0,0,0,0,0,0.64,28.57,0.18,0.37,0,18.24,0.09,0.28,29.48,86.25,10.87,71.19,1.93,95.24,14.55,96.2,26.25,91.58,3.22,42.86,20.88,37.08,0,0,0,0,0,0,0,2.12,60.87,0.18,50,0.09,100,0.18,0,4.79,46.15,0,,0,,0,0,0,0,,,1.47,,,0,0,0,0,0,0
V. Chatziemmanouil,Asteras Tripolis II,Asteras Tripolis II,GK,26,200000,2026-06-30,10,977,0,0,0,0,0.46,60,Greece,Greece,left,188,81,no,1.2,0,0,0.37,75,0,0,0,1.2,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0.55,0.09,16.31,76.84,9.67,63.81,0,0,5.62,98.36,8.38,94.51,7.92,58.14,38.43,53.04,0,0,0,0,0,0,0,2.67,34.48,0.46,20,0.37,25,0.09,0,5.99,67.69,9,0.83,32,2.95,3,71.88,10.98,1.01,1.98,0.182,0,1.2,0.37,,,,0,0,0
