Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Lekai,Kozármisleny,Kozármisleny,GK,30,0,2027-06-30,14,1327,0,0,0,0,0.75,72.73,Hungary,Hungary,right,188,0,no,2.24,0.2,33.33,0.47,85.71,0,0,0,2.17,2.86,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48,0.47,0.07,35.13,82.05,19.8,71.92,0,0,14.04,95.65,21.77,97.2,13.29,57.65,32.67,48.65,0,0,0,0,0,0,0,4.75,52.86,0.27,25,0.07,0,0.14,0,9.43,69.06,20,1.36,80,5.43,3,75,22.24,1.51,2.24,0.152,0,2.03,0.47,,,,0,0,0
D. Horvath,Kozármisleny,Kozármisleny,"LCB, RCB",24,0,2026-06-30,14,1327,1,1.62,0,0.45,13.9,57.07,Hungary,Hungary,,0,0,no,10.31,4.88,59.72,6.17,59.34,0.81,1.07,1.22,6.58,8.66,1.56,3,0.2,0,0,0.68,0.07,1,0.07,0.11,0,0,7,0.47,71.43,14.286,0,0.47,42.86,0.14,50,0.34,40,0.07,0.14,50,0.75,18.18,0.81,0.2,0,27.74,0.95,0.41,45.1,85.26,17.29,72.55,3.32,95.92,22.18,93.58,38.12,90.93,6.51,55.21,23.27,41.27,0.03,0.41,0,0,0.07,100,0.07,5.09,57.33,1.49,40.91,0.81,41.67,0.41,0.2,8.48,71.2,0,,0,,0,0,0,0,,,2.24,,,0,0,0,0,0,0
K. Sz?cs,Karcagi SE,Karcagi SE,"DMF, LCMF, RDMF",28,75000,,14,1304,0,0.1,0,0.29,14.7,51.64,Hungary,Hungary,right,176,77,no,10.08,8.56,54.84,2.55,43.24,0.55,0.68,0.69,4.83,5.93,2.07,4,0.28,0,0,0.28,0,0,0,0.01,0,0,3,0.21,66.67,0,0,0,0,0,0,0,0,0,0.35,40,1.45,52.38,0,0.14,0,13.8,0.14,0.9,28.71,75.24,13.18,60.73,4.07,96.61,8.01,83.62,23.26,84.57,5.45,35.44,19.95,35.98,0.02,0.14,0,0,0,0,0.07,6.14,49.44,0.83,33.33,0.41,0,0.14,0,6.76,68.37,0,,0,,0,0,0,0,,,0.35,,,0,0,0,0.21,0,0
M. Kovalovszki,Karcagi SE,Karcagi SE,"RB, RAMF",25,0,,14,1296,2,1.51,0,1.2,14.31,55.83,Hungary,Hungary,right,188,0,no,8.33,6.6,58.95,3.47,70,0.14,0.17,0.14,4.31,5.28,1.18,1,0.07,0,0,1.88,0.14,2,0.14,0.1,1,0.07,14,0.97,42.86,14.286,0,2.43,34.29,0.14,100,2.29,30.3,0.56,0.83,75,2.22,34.38,1.6,1.18,0.14,20.35,1.74,0.28,32.29,70.11,16.25,59.4,4.31,93.55,8.75,75.4,24.1,79.83,5.76,44.58,21.57,34.42,0.08,0.9,0,0,0,0,0.28,5,61.11,2.78,42.5,0.28,50,0.63,0.9,10.63,66.01,0,,0,,0,0,0,0,,,0.9,,,0.42,0.14,0,0,0,0
J. Varga,Duna Aszfalt Tiszakécskei,Duna Aszfalt Tiszakécskei,"RCB, DMF, RDMF",37,50000,,13,1254,0,0.47,1,0.35,11.2,57.05,Hungary,Hungary,right,175,75,no,8.76,4.74,75.76,2.73,47.37,0.36,0.54,0.86,4.81,7.26,0.5,2,0.14,0,0,0.29,0,0,0,0.03,0,0,7,0.5,14.29,0,0.07,0.29,50,0.22,33.33,0.07,100,0,0.14,0,1.72,37.5,0.79,0.5,0,23.97,0.22,0.5,40.84,84.89,18.8,80.15,3.59,94,14.14,88.83,35.38,89.25,5.17,56.94,18.49,30.69,0.03,0.14,0.07,0,0.07,100,0.07,6.17,70.93,0.57,25,0.29,25,0.29,0.07,8.18,75.44,0,,0,,0,0,0,0,,,1.08,,,0.07,0,0,0,0,0
A. Girsik,Karcagi SE,Karcagi SE,"LAMF, LW, RCMF",24,50000,,14,1252,2,4.6,6,3.83,29.26,47.67,Romania,Romania,right,172,63,no,6.11,5.82,60.49,1.58,36.36,0,0,0.07,2.59,3.22,1.08,1,0.07,0,0,5.32,0.14,0,0,0.33,0,0,30,2.16,26.67,6.667,0.43,2.59,36.11,0.79,27.27,1.73,37.5,0.5,7.12,53.54,18.55,46.51,2.44,2.44,0.36,14.45,1.29,4.74,21.78,80.86,5.82,75.31,3.74,94.23,7.69,80.37,18.04,88.05,1.37,63.16,21.04,32.5,0.28,2.3,0,0,0.07,0,0.36,2.59,83.33,2.23,61.29,0.07,100,1.01,0.79,3.95,87.27,0,,0,,0,0,0,0,,,0,,,2.23,0.07,100,2.73,2,100
C. Spandler,Fehérvár,Fehérvár,LCB,29,450000,2026-06-30,13,1246,0,0.34,0,0.14,12.5,63.01,Hungary,Hungary,left,183,76,no,8.81,6.14,71.76,3.54,59.18,0.22,0.28,0.58,4.19,5.42,0.94,3,0.22,0,0,0.51,0,0,0,0.02,0,0,8,0.58,0,0,0,0.94,46.15,0.94,46.15,0,0,0,0.29,25,1.01,28.57,0.29,1.44,0.07,39.51,1.3,0.51,59.23,83.05,27.3,73.02,3.25,95.56,25.43,92.61,45.51,92.86,12.93,51.4,24.85,41.73,0.01,0.14,0.07,0,0,0,0,9.61,60.15,1.73,25,0.29,25,0.22,0.29,13.72,71.58,0,,0,,0,0,0,0,,,1.59,,,0.07,0,0,0,0,0
M. Engedi,Karcagi SE,Karcagi SE,GK,19,0,2027-06-30,13,1240,0,0,0,0,0.36,100,Hungary,Hungary,right,188,89,no,1.38,0,0,0.22,100,0,0,0,1.38,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,13.65,0.07,0.15,22.65,81.09,11.32,64.74,0,0,10.6,97.95,14.73,96.55,7.91,52.29,32.92,51.03,0,0,0,0,0,0,0,2.18,33.33,0.44,0,0.44,16.67,0,0,5.73,62.03,16,1.16,50,3.63,5,68,15.78,1.15,-0.22,-0.016,0,1.23,0.22,,,,0,0,0
Á. Umathum,Puskás FC U19,Csákvári TK,LCB,19,0,,13,1235,0,0.59,0,0,12.32,59.17,Hungary,Hungary,right,190,79,no,8.09,5.25,68.06,3.43,53.19,0.29,0.38,0.73,4.23,5.51,1.31,3,0.22,0,0,0.29,0,0,0,0.04,0,0,4,0.29,50,0,0,0,0,0,0,0,0,0,0.15,100,1.02,57.14,0.44,0.51,0,22.74,0,0.8,38.4,86.72,16.54,77.97,1.75,100,17.49,95.83,32.87,90.24,5.54,65.79,21.85,37.5,0,0,0,0,0,0,0,3.79,69.23,0.29,25,0.07,0,0,0,7.51,63.11,0,,0,,0,0,0,0,,,1.38,,,0,0,0,0,0,0
B. Lehoczki,Csákvári TK,Csákvári TK,GK,18,0,,13,1235,0,0,0,0,0.87,100,Hungary,Hungary,right,0,0,yes,1.31,0,0,0.66,100,0,0,0,1.31,1.71,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,9.62,0.22,0.29,20.7,77.46,14.06,68.39,0,0,5.47,98.67,8.38,100,12.17,62.87,37.2,48.59,0,0,0,0,0,0,0,2.4,48.48,0.07,100,0.07,0,0.07,0,8.53,76.92,12,0.87,66,4.81,5,81.82,20.48,1.49,8.48,0.618,0,1.6,0.66,,,,0,0,0
