Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Steingrimsson,KA,KA,"LAMF, LW, AMF",35,150000,,27,2544,14,9.69,5,8.17,20.13,50.62,Iceland,Iceland,,0,0,no,4.88,4.39,64.52,0.71,40,0.11,0.13,0.11,1.95,2.46,0.92,5,0.18,0,0,5.17,0.5,10,0.35,0.34,0,0,94,3.33,34.04,14.894,0.18,3.01,34.12,2.55,33.33,0.32,33.33,0.35,4.1,69.83,12.91,49.59,3.04,3.01,0.32,23.84,1.95,2.41,34.71,79.31,10.44,74.92,6.9,93.85,11.07,79.55,27.38,86.43,4.32,65.57,20.23,39.74,0.29,2.12,0.11,0,0.18,80,0.57,4.92,71.22,4.46,57.14,0.81,47.83,1.95,1.03,6.9,83.59,,2.44,0.67,42.11,4.25,4,100
O. Örvarsson,Stjarnan,Stjarnan,LB,22,0,,27,2472,0,1.26,0,0.79,15.55,53.4,Iceland,Iceland,,0,0,no,11.18,8.3,60.09,2.11,50,0.29,0.4,0.4,5.9,8.01,0.87,3,0.11,0,0,1.2,0,0,0,0.05,0,0,13,0.47,15.38,0,0,1.64,40,1.49,43.9,0.07,0,0.11,0.69,68.42,2.99,46.34,0.84,2,0.33,29.42,1.35,0.66,41.94,80.47,14.45,65.24,8.45,95.26,12.05,88.82,35.86,88.22,4.48,32.52,19.33,36.65,0.03,0.29,0,0.04,0.07,0,0.18,4.99,66.42,1.86,47.06,0.29,0,0.36,0.66,7.72,55.19,,0,0,0,0.22,0,0
Á. Ólafsson,Stjarnan,Stjarnan,GK,34,75000,,27,2662,0,0,0,0,1.01,83.33,Iceland,Iceland,right,184,80,no,1.66,0.1,33.33,0.68,90,0,0,0,1.62,2.22,0.07,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.14,100,0,0.03,0,21.57,0.3,0.27,32.39,84.13,19.98,76.82,0,0,11.29,96.11,21.33,97.62,10.82,59.38,31.54,48.32,0,0,0,0,0,0,0,4.8,40.85,0.57,5.88,0.44,46.15,0.07,0,8.01,77.64,0.68,,,,0,0,0
A. Einarsson,Breidablik,Breidablik,GK,31,150000,,27,2653,0,0,0,0,0.68,95,Iceland,Iceland,right,0,0,no,1.36,0.03,100,0.58,94.12,0,0,0,1.32,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,20.66,0.37,0.14,32.84,85.64,20.9,78.25,0.03,100,11.19,98.79,22.66,97.6,10.18,59,30.96,48.97,0,0,0,0,0,0,0,4,50,0.41,25,0.41,8.33,0.1,0,7.29,75.81,0.58,,,,0,0,0
D. Montiel,Vestri,Vestri,LW,30,175000,,27,2126,5,3.34,3,2.86,17.4,38.93,Sweden,"Sweden, Uruguay",right,180,80,no,4.91,4.74,63.39,1.23,27.59,0.04,0.05,0.08,1.86,2.08,0.97,2,0.08,0,0,2.16,0.21,3,0.13,0.14,0,0,28,1.19,35.71,17.857,0.13,1.48,34.29,1.1,26.92,0.38,55.56,0.13,2.96,38.57,9.23,28.44,0.76,1.27,0.08,26.63,1.74,1.02,36.49,76.8,9.36,54.3,12.49,92.88,8,78.31,32,82.54,3.01,36.62,17.82,35.55,0.12,1.31,0.04,0,0.13,66.67,0.51,4.11,49.48,3.34,51.9,0.97,34.78,1.4,0.47,5.46,67.44,,1.82,0.21,0,2.88,2,100
G. Smit,Vestri,Vestri,GK,29,75000,,27,2643,0,0,0,0,0.89,76.92,Netherlands,Netherlands,,195,85,no,1.5,0.14,25,0.37,90.91,0.03,0.04,0,1.43,1.59,0.03,3,0.1,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0.31,77.78,0,0,0,20.53,0.17,0.14,31.74,77.47,21.04,67.8,0,0,9.67,96.48,15.26,96.65,16.41,59.96,36.31,49.61,0,0,0,0.03,0,0,0,3.64,38.32,0.41,8.33,0.24,28.57,0.03,0,12.4,71.98,0.37,,,,0,0,0
J. Andrésson,Afturelding,Afturelding,GK,24,125000,,27,2613,0,0,0,0,1.03,83.33,Iceland,Iceland,left,194,82,no,1.83,0.21,66.67,0.52,93.33,0.1,0.13,0,1.58,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,12.43,0.1,0.28,23.28,85.8,13.5,77.55,0,0,8.51,97.98,13.12,97.38,10.06,71.23,32.82,47.78,0,0,0,0,0,0,0,1.45,47.62,0.03,0,0.03,0,0,0,7.96,74.89,0.52,,,,0,0,0
A. Sævarsson,Afturelding,Afturelding,LB,28,100000,,27,2664,2,2.69,2,2.61,10.57,57.19,Iceland,Iceland,left,0,0,no,8.48,4.49,66.17,2.57,59.21,0.07,0.08,0.24,5.44,6.77,0.51,2,0.07,0,0,1.99,0.07,1,0.03,0.09,0,0,16,0.54,31.25,12.5,0.07,2.47,53.42,2.43,52.78,0.03,100,0.14,0.71,71.43,2.2,41.54,1.08,1.96,0.2,38.55,2.23,0.2,53.24,84.07,17.8,76.09,7.36,96.79,21.59,87.01,44.66,89.64,6.22,55.43,19.94,37.39,0.09,1.05,0.07,0,0.03,0,0.3,6.28,73.12,2.36,62.86,0.27,12.5,0.54,1.22,12.5,74.05,,0.03,0.03,0,0.17,1,100
J. Jónsson,Valur,Valur,"RAMF, RWF, RW",26,375000,2027-11-16,27,2505,6,4.68,3,4.61,19.94,45.41,Iceland,"Iceland, Belgium",both,171,0,no,5.43,4.6,53.91,1.04,24.14,0.29,0.38,0.11,2.66,3.47,0.43,1,0.04,0,0,5.53,0.22,6,0.22,0.17,0,0,59,2.12,33.9,10.169,0.11,2.77,28.57,0.14,25,2.55,28.17,0.43,6.86,56.02,12.72,46.05,4.24,4.46,0.57,27.13,3.05,1.26,36.07,75.8,7.87,61.19,11.57,95.03,10.1,71.89,30.43,83.23,2.91,43.21,17.4,36.27,0.17,1.37,0.07,0.04,0.29,62.5,0.79,3.38,61.7,4.02,55.36,0.9,28,1.8,0.79,5.86,68.71,,0.04,0,0,0.79,0,0
K. Halldórsson,FH,FH,"LAMF, LW",22,125000,2026-12-31,27,2512,6,6.56,10,8.19,15.98,46.41,Iceland,Iceland,right,165,65,no,4.08,2.79,56.41,0.79,31.82,0.04,0.04,0.07,2.47,2.9,0.47,3,0.11,0,0,7.27,0.21,6,0.21,0.24,0,0,68,2.44,41.18,8.824,0.36,6.91,32.64,6.31,30.68,0.57,50,1.61,7.74,51.85,10.82,46.36,2.54,3.15,0.5,15.23,2.11,0.75,23.14,58.2,6.23,52.87,4.19,95.73,8.99,49.8,14.04,74.23,2.58,33.33,23.08,34.25,0.29,2.01,0.04,0.04,0,0,1.11,2.76,58.44,6.16,45.35,0.21,33.33,0.82,2.44,5.84,75.46,,2.11,0.54,53.33,2.94,2,0
Á. Einarsson,ÍA,ÍA,GK,23,75000,,27,2638,0,0,0,0,1.33,66.67,Iceland,Iceland,,0,0,no,2.35,0.2,50,0.75,81.82,0.07,0.08,0,2.18,2.56,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,50,0,0,0,15.22,0.38,0.2,25.79,85.32,14.67,76.05,0,0,10.13,97.98,16.34,98.12,9.31,63.37,31.18,46.03,0,0,0,0,0,0,0,2.42,38.03,0.2,0,0.17,20,0,0,6.55,75,0.75,,,,0,0,0
A. Bjarnason,Stjarnan,Stjarnan,CF,35,125000,,27,1712,12,12.2,2,1.06,16.03,33.44,Iceland,Iceland,right,193,87,no,2.26,1.79,41.18,4.26,39.51,0,0,0.05,1.52,2.16,0.37,2,0.11,0,0,2.21,0.63,9,0.47,0.64,3,0.16,50,2.63,44,24,0.11,0.26,0,0.16,0,0.11,0,0.05,2,47.37,7.36,27.86,2.84,0.42,0.05,9.36,1.68,1.37,12.2,67.24,3.73,57.75,2.73,90.38,3.47,59.09,10.93,68.75,1,68.42,15.67,12.36,0.06,0.32,0.11,0,0.32,33.33,0.16,1.47,60.71,1,42.11,0.37,42.86,0.53,0,1.63,61.29,,0.11,0.11,50,0,3,100
B. Adalsteinsson,KA,KA,"RDMF, AMF, LCMF",26,125000,2026-12-31,26,2062,2,2.66,3,0.98,14.58,48.5,Iceland,Iceland,,0,0,no,4.67,3.8,59.77,4.15,43.16,0.17,0.22,0.13,2.23,2.79,0.96,5,0.22,0,0,1.61,0.09,2,0.09,0.12,0,0,28,1.22,25,7.143,0.13,1.31,16.67,0.65,26.67,0.65,6.67,0.22,1.48,70.59,4.63,49.06,2.36,1.35,0.48,17.2,0.92,1.18,24.7,72.61,8.42,62.18,4.45,90.2,7.07,74.07,20.82,79.04,2.62,48.33,17.97,26.98,0.04,0.61,0.13,0,0.09,50,0.26,3.62,54.22,1.44,54.55,0.35,25,0.96,0.31,3.97,65.93,,0.13,0.09,0,0.09,0,0
A. Sigurgeirsson,KA,KA,"CF, RW",28,125000,,26,1696,5,6.41,7,2.4,14.54,35.4,Iceland,Iceland,right,0,0,no,3.66,3.93,55.41,3.98,30.67,0.16,0.2,0.16,1.33,1.63,1.38,2,0.11,0,0,2.12,0.27,5,0.27,0.34,1,0.05,38,2.02,52.63,13.158,0.37,2.28,25.58,0.42,25,1.8,26.47,0.37,1.06,45,4.09,27.27,3.71,1.01,0.32,10.72,2.07,0.69,13.64,65.37,2.49,48.94,3.82,84.72,3.82,51.39,10.72,74.75,0.8,53.33,18.4,9.75,0.13,0.64,0,0,0.05,0,0.42,0.9,52.94,1.91,30.56,0.05,0,0.48,0.53,1.75,75.76,,0,0,0,0,0,0
S. Hjaltested,ÍBV,ÍBV,CF,25,50000,2025-12-31,26,1484,6,4,1,0.64,22.74,33.07,Iceland,Iceland,right,181,0,no,3.76,2.85,55.32,4.91,35.8,0.61,0.67,0.12,1.58,1.75,0.91,4,0.24,0,0,2.24,0.36,5,0.3,0.24,0,0,26,1.58,46.15,23.077,0.06,1.88,32.26,0.61,20,1.27,38.1,0.24,1.64,44.44,8.98,26.35,2.73,0.67,0.12,13.22,2.3,1.27,18.98,62.94,6.19,47.06,3.15,88.46,5.82,64.58,15.28,70.63,2.12,31.43,18.96,28.64,0.04,0.24,0.06,0,0.24,75,0.36,3.15,46.15,2.3,36.84,0.55,33.33,0.91,0.36,2.91,72.92,,0.06,0,0,0,1,100
