Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Antman,Hapoel Haifa,Hapoel Haifa,GK,33,150000,2026-06-30,11,1112,0,0,0,0,0.57,71.43,Israel,"Israel, Romania",right,185,80,no,1.7,0.08,100,0.24,33.33,0,0,0,1.62,2.06,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.24,100,0,0,0,10.93,0.08,0.16,18.94,84.19,9.63,73.11,0,0,8.58,95.28,13.35,95.76,5.58,56.52,30.19,45.18,0,0,0,0,0,0,0,1.05,46.15,0.16,0,0.16,0,0.08,0,4.69,60.34,18,1.46,52,4.21,2,65.38,13.67,1.11,-4.33,-0.35,0,0.97,0.24,,,,0,0,0
Daniel,Ironi Kiryat Shmona,Ironi Kiryat Shmona,GK,30,150000,,11,1111,0,0,0,0,0.24,100,Brazil,"Brazil, Israel",right,191,80,no,0.73,0,0,0.08,100,0,0,0,0.73,1.29,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0.32,0.08,21.95,84.13,10.77,70.68,0,0,10.53,96.92,14.26,98.3,7.7,57.89,30.16,45.81,0,0,0,0.08,0,0,0,1.46,44.44,0.24,0,0.08,0,0,0,5.18,64.06,16,1.3,40,3.24,3,60,14,1.13,-2,-0.162,0,1.05,0.08,,,,0,0,0
N. Ljubisavljevi?,Ironi Kiryat Shmona,Ironi Kiryat Shmona,RCB,29,500000,,11,1111,0,0.59,0,0.08,14.66,68.51,Serbia,Serbia,right,190,80,no,7.86,5.43,68.66,4.86,70,0,0,0.57,4.13,7.32,1.46,4,0.32,0,0,0.08,0,0,0,0.05,0,0,4,0.32,0,0,0,0.08,100,0,0,0,0,0,0,0,1.38,70.59,0.24,0.81,0.08,31.51,0.32,1.46,46.66,86.28,19.77,76.64,3,94.59,20.41,95.24,40.67,92.43,5.91,43.84,20.97,38.84,0.01,0.16,0,0,0,0,0,5.51,58.82,0.73,11.11,0.16,50,0.08,0.08,7.61,75.53,0,,0,,0,0,0,0,,,2.43,,,0,0,0,0,0,0
S. Ben David,Ironi Kiryat Shmona,Ironi Kiryat Shmona,LCB,28,175000,,11,1101,0,0.51,1,0.12,10.05,65.04,Israel,Israel,left,183,80,no,7.28,4.66,59.65,2.04,72,0.16,0.29,0.49,4.33,7.68,0.98,3,0.25,0,0,0.82,0,0,0,0.04,0,0,8,0.65,25,0,0.08,1.31,31.25,1.31,31.25,0,0,0.16,0.33,75,1.72,52.38,0.41,1.14,0.25,25.83,0.57,1.06,40.22,83.13,14.39,69.32,2.94,100,19.78,91.32,31.47,93.77,7.52,46.74,23.81,40.68,0.01,0.08,0,0.08,0,0,0,6.13,60,1.55,31.58,0.33,50,0.08,0.49,7.77,70.53,0,,0,,0,0,0,0,,,2.37,,,0.08,0.08,0,0,0,0
G. Diba,Hapoel Haifa,Hapoel Haifa,RCB,27,250000,,11,1096,1,0.73,0,0,10.1,65.04,Israel,Israel,right,0,0,no,7.14,4.27,86.54,4.02,53.06,0,0,0.82,3.45,4.39,0.57,2,0.16,0,0,0.25,0.08,1,0.08,0.06,1,0.08,4,0.33,75,25,0,0,0,0,0,0,0,0,0,0,0.49,50,0.41,0.49,0,27.26,0.08,0.33,38.92,91.98,12.24,83.89,1.72,90.48,20.86,97.64,36.54,95.06,2.38,44.83,19.96,32.85,0,0,0,0.08,0,0,0,3.28,82.5,0,0,0,0,0,0,5.42,63.64,0,,0,,0,0,0,0,,,1.31,,,0,0,0,0,0,0
I. Rotman,Hapoel Petah Tikva,Hapoel Petah Tikva,LCB,23,125000,,11,1091,1,1.03,0,0,10.16,66.96,Israel,Israel,,0,0,no,5.9,4.17,65.22,4.45,77.55,0,0,0.82,3.18,4.61,0.91,3,0.25,0,0,0.18,0.08,1,0.09,0.09,1,0.09,7,0.64,28.57,14.286,0,0.18,0,0.18,0,0,0,0,0,0,0.64,28.57,0.91,0.64,0,36.83,0.27,0.54,52.35,90.29,20.5,80.09,2.54,96.43,24.86,97.08,45.73,95.04,6.44,59.15,21.2,38.46,0,0,0,0,0.09,0,0,8.07,78.65,0.54,16.67,0.64,28.57,0.09,0,9.53,77.14,0,,0,,0,0,0,0,,,2,,,0.09,0.09,0,0,0,0
O. Katz,Hapoel Petah Tikva,Hapoel Petah Tikva,GK,27,150000,,11,1091,0,0,0,0,0.36,75,Israel,Israel,right,196,83,no,1.81,0,0,0.27,66.67,0,0,0,1.81,2.63,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,16.78,0.54,0.09,24.5,89.63,12.43,80.29,0,0,8.62,98.95,17.42,97.92,7.08,69.23,25.22,41.95,0,0,0.09,0,0,0,0,1.36,40,0.18,0,0.18,0,0,0,4.9,72.22,18,1.63,46,4.17,2,60.87,13.71,1.24,-4.29,-0.389,0,0.64,0.27,,,,0,0,0
Rogério,Ironi Tiberias,Ironi Tiberias,GK,26,325000,,11,1085,0,0,0,0,0.75,66.67,Portugal,Portugal,right,185,82,no,1.33,0.17,50,0.5,83.33,0.08,0.11,0,1.16,1.58,0.17,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0.17,17.17,68.6,12.53,59.6,0,0,4.31,94.23,6.39,96.1,10.78,52.31,41.21,51.55,0,0,0,0,0,0,0,3.82,45.65,0.17,0,0.08,0,0,0,7.13,67.44,25,2.07,64,5.31,2,60.94,23.85,1.98,-1.15,-0.095,0,1.41,0.5,,,,0,0,0
N. Zamir,Hapoel Jerusalem,Hapoel Jerusalem,GK,24,200000,2026-06-30,11,1082,0,0,0,0,0.5,83.33,Israel,Israel,,0,0,no,1.91,0.08,100,0.25,66.67,0,0,0,1.83,2.18,0,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,100,0,0,0,18.3,0,0.25,26.62,81.25,15.97,69.27,0,0,9.4,99.12,17.63,97.64,8.98,49.07,32.45,52.76,0,0,0,0,0,0,0,4.16,52,0.75,0,0.42,20,0,0,6.49,73.08,17,1.41,60,4.99,3,71.67,20.91,1.74,3.91,0.325,0,1.58,0.25,,,,0,0,0
J. East,Hapoel Haifa,Hapoel Haifa,CF,30,400000,,11,1077,6,3.96,1,2.06,13.04,35.9,Jamaica,Jamaica,left,180,77,no,2.76,1.67,75,2.09,32,0,0,0.08,1.5,1.91,0.5,1,0.08,0,0,1,0.5,6,0.5,0.33,2,0.17,15,1.25,60,40,0.08,0.5,0,0.25,0,0.25,0,0,0.58,42.86,6.69,30,3.18,0.5,0.08,8.11,1.09,1.17,12.45,73.15,4.18,60,2.51,90,3.01,75,11.03,77.27,1,58.33,17.69,22.23,0.17,1.59,0,0,0.17,0,0.42,1.09,69.23,1.59,42.11,0.33,25,1.75,0,2.34,78.57,0,,0,,0,0,0,0,,,0.08,,,0,0,0,0.08,0,0
