Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Ghedjemis,Frosinone,Frosinone,"RAMF, RWF, RW",23,0,2026-06-30,12,1013,4,2.69,2,2.32,16.61,52.41,France,"France, Algeria",left,183,75,no,2.04,1.78,65,1.07,16.67,0,0,0,0.89,1.28,0.53,0,0,0,0,6.75,0.36,4,0.36,0.24,0,0,30,2.67,30,13.333,0.18,2.75,32.26,0.18,50,2.49,32.14,0.27,6.93,70.51,12.88,53.79,4,3.82,0.89,19.01,1.78,1.07,24.79,82.08,4.62,75,6.49,91.78,8.35,78.72,21.68,88.52,0.44,60,18.01,16.31,0.21,1.69,0.27,0,0.18,100,0.98,1.24,78.57,3.29,64.86,0.09,100,2.04,0.8,3.73,83.33,,0,0,0,0,0,0
G. Bracaglia,Frosinone,Frosinone,LB,22,0,,12,1032,2,1.92,1,1.1,15.52,56.74,Italy,Italy,left,190,78,no,8.55,6.19,60.56,4.19,47.92,0.35,0.5,0.52,4.45,6.4,1.05,4,0.35,0,0,1.48,0.17,2,0.17,0.17,1,0.09,15,1.31,40,13.333,0.09,0.96,36.36,0.87,30,0,0,0,0.78,77.78,2.62,63.33,1.48,0.87,0.09,18.05,0.7,1.22,28.52,77.68,13.78,67.72,2.97,88.24,6.63,85.53,23.02,83.71,4.62,56.6,22.27,43.41,0.1,0.35,0.09,0.09,0.17,0,0.17,4.45,66.67,0.87,70,0.26,0,0.61,0.26,6.63,67.11,,0,0,0,0,0,0
D. Tonoli,Modena,Modena,RCB,23,225000,2026-06-30,12,1094,2,1.35,0,0.16,16.86,61.46,Italy,Italy,right,0,0,no,8.47,6.58,67.5,3.95,64.58,0.25,0.38,0.82,3.78,5.77,1.65,4,0.33,0,0,1.15,0.16,2,0.16,0.11,2,0.16,13,1.07,30.77,15.385,0,1.56,10.53,0,0,1.56,10.53,0.25,1.15,57.14,3.29,45,1.32,1.23,0.33,26.16,0.74,0.99,39.24,81.76,17.19,74.16,4.77,100,12.83,85.9,33.48,89.68,4.44,44.44,20.05,37.7,0.01,0.16,0,0,0.08,0,0.08,7.16,70.11,1.4,17.65,0.33,25,0.16,0.08,8.06,75.51,,0,0,0,0,0,0
A. Sersanti,Modena,Modena,"RCMF, LCMF",23,750000,2026-06-30,12,581,1,1.2,0,0.88,24.63,60.38,Italy,Italy,right,182,74,yes,6.82,7.44,60.42,8.21,69.81,0,0,0.15,2.32,3.57,2.17,2,0.31,0,0,1.39,0.15,1,0.15,0.19,1,0.15,10,1.55,50,10,0,1.39,22.22,0.15,0,1.24,25,0.15,1.08,28.57,4.8,51.61,4.8,0.93,0.15,15.03,0.31,2.94,22.62,71.23,6.35,63.41,3.87,88,8.06,76.92,19.83,75.78,1.39,55.56,16.77,10.59,0.14,0.77,0,0,0,0,0.62,3.56,69.57,1.86,58.33,0.15,0,1.39,0.31,4.18,70.37,,0,0,0,0,0,0
M. Zilli,Frosinone,Frosinone,CF,23,400000,,12,433,2,1.96,1,0.06,33.26,40.63,Italy,Italy,left,180,74,yes,4.57,4.78,60.87,6.65,43.75,0.21,0.3,0,1.45,2.08,2.49,2,0.42,0,0,1.45,0.42,2,0.42,0.41,1,0.21,8,1.66,25,25,0.21,0.83,25,0.83,25,0,0,0.21,2.08,40,15.38,33.78,3.33,1.25,0,7.27,0.83,3.33,11.43,67.27,3.12,66.67,2.49,75,2.91,85.71,9.98,72.92,0.62,33.33,17.25,9,0.01,0.42,0,0.21,0,0,0.21,0.83,50,0.62,33.33,0,0,0,0.21,1.45,57.14,,0,0,0,0,0,0
I. Koutsoupias,Frosinone,Frosinone,"AMF, DMF, LDMF",24,1300000,2027-06-30,12,1075,4,2.37,2,1.67,17.58,45.71,Greece,Greece,right,182,76,no,5.69,4.69,62.5,3.01,25,0.17,0.24,0.17,2.6,3.68,1.09,1,0.08,0,0,1.93,0.33,4,0.33,0.2,1,0.08,19,1.59,57.89,21.053,0.17,0.75,11.11,0.17,0,0.59,14.29,0.08,1.51,55.56,7.62,42.86,2.26,0.67,0.08,17.83,0.75,2.18,25.28,86.42,8.29,79.8,5.11,91.8,6.11,90.41,23.19,89.53,1.42,70.59,14.7,28.12,0.14,0.59,0,0,0.08,100,0.33,3.85,76.09,0.67,62.5,0.25,33.33,0.67,0.17,3.18,73.68,,0,0,0,0,0,0
L. Chichizola,Modena,Modena,GK,35,400000,,12,1188,0,0,0,0,0.61,100,Argentina,"Argentina, Italy",right,185,80,no,0.91,0.08,100,0.38,100,0,0,0.08,0.83,1.27,0,1,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.08,100,0,0,0,22.35,0.23,0.23,29.17,81.56,18.18,71.67,0.08,100,10.68,97.87,15.08,97.99,14.09,63.98,36.94,51.52,0,0,0,0,0,0,0,6.44,64.71,0.76,30,0.68,22.22,0.38,0,10.53,78.42,0.38,,,,0,0,0
F. Zampano,Modena,Modena,"LWB, RWB, RB",32,900000,,12,1138,1,0.69,1,1.9,17.95,49.78,Italy,Italy,right,177,74,no,6.33,6.33,66.25,1.5,42.11,0.08,0.12,0.08,2.06,3.07,0.95,2,0.16,0,0,3.95,0.08,1,0.08,0.05,0,0,10,0.79,30,10,0.08,5.46,33.33,2.77,37.14,2.69,29.41,0.24,3.56,53.33,8.22,39.42,2.37,1.66,0.4,23.01,1.34,1.42,33.45,77.78,7.91,70,8.22,98.08,11.39,69.44,25.62,88.58,2.61,60.61,20.08,32.83,0.15,1.11,0,0,0,0,0.47,3.08,66.67,4.59,39.66,0.08,0,0.63,1.58,5.62,80.28,,0,0,0,0,0,0
F. Di Mariano,Modena,Modena,"CF, DMF",29,1200000,2026-06-30,12,711,0,0.93,2,2.13,14.68,45.69,Italy,Italy,right,177,68,no,2.15,3.04,45.83,1.77,21.43,0.38,0.59,0,0.38,0.59,1.52,4,0.51,0,0,2.91,0,0,0,0.12,0,0,16,2.03,25,0,0.25,1.77,57.14,0.89,42.86,0.89,71.43,0.13,1.9,66.67,8.1,50,1.77,2.41,0.51,20.38,0.76,3.04,24.43,80.31,6.33,68,5.44,90.7,8.35,83.33,20.51,86.42,2.15,41.18,17.57,22.14,0.27,2.15,0,0,0.51,25,0.63,2.91,78.26,3.29,61.54,0.63,20,1.14,1.01,3.92,74.19,,1.52,0.38,0,4.56,0,0
E. Gliozzi,Modena,Modena,CF,30,1000000,,12,878,7,9.77,0,0.39,16.2,39.87,Italy,Italy,right,186,73,no,1.54,1.23,50,7.48,42.47,0.21,0.31,0,0.72,1.07,1.33,0,0,0,0,1.64,0.72,1,0.1,1,0,0,33,3.38,42.42,21.212,0,0.31,33.33,0.1,100,0.21,0,0.1,0.31,33.33,3.49,32.35,4.41,0.41,0.1,10.87,2.15,1.33,12.51,74.59,2.56,68,2.36,86.96,5.23,74.51,11.99,76.07,0.21,50,14.53,8.82,0.04,0.51,0,0,0,0,0.21,1.13,81.82,0.72,42.86,0,0,0.72,0.1,1.33,76.92,,0,0,0,0,7,85.714
G. Calò,Frosinone,Frosinone,"LDMF, DMF, RDMF",28,800000,,12,1115,4,2.94,2,1.44,9.44,52.99,Italy,Italy,right,180,74,yes,5.17,3.63,46.67,1.45,33.33,0.16,0.23,0.48,3.31,4.75,0.81,3,0.24,0,0,1.29,0.32,2,0.16,0.24,0,0,21,1.7,38.1,19.048,0.16,1.37,11.76,0.65,12.5,0.65,0,0.4,0.65,75,3.15,69.23,0.81,0.73,0.24,32.53,0.08,2.18,45.12,80.68,21.23,70.34,5.81,97.22,11.7,85.52,34.14,91.96,9.77,49.59,21.47,37.17,0.12,1.7,0,0.08,0,0,0.24,10.41,60.47,2.42,30,0.89,45.45,0.65,0.4,9.77,76.03,,3.07,0.16,0,4.36,2,100
L. Zanimacchia,Modena,Modena,"LWB, RWB, LB",27,1500000,2027-06-30,12,852,1,1.42,0,1.02,18.06,50.29,Italy,Italy,right,178,72,yes,4.65,4.75,57.78,1.37,38.46,0.32,0.47,0,1.58,2.37,0.85,1,0.11,0,0,7.18,0.11,1,0.11,0.15,0,0,14,1.48,28.57,7.143,0,6.87,38.46,1.8,29.41,5.07,41.67,1.06,6.23,66.1,10.14,55.21,2.01,2.11,0.21,22.29,1.48,0.95,34.44,80.06,7.82,75.68,7.39,92.86,13.31,76.19,25.25,91.63,2.43,73.91,20.12,30.79,0.11,1.27,0,0,0,0,0.32,2.75,80.77,5.28,44,0.21,50,0.32,2.43,6.87,95.38,,0.11,0,0,0.85,0,0
Pedro Mendes,Modena,Modena,CF,26,1800000,2027-06-30,12,372,2,2.05,0,0.2,24.92,43.69,Portugal,Portugal,right,187,84,no,2.42,1.69,71.43,9.92,48.78,0,0,0,1.21,2.17,0.48,0,0,0,0,2.18,0.48,2,0.48,0.5,2,0.48,17,4.11,41.18,11.765,0,0.24,0,0.24,0,0,0,0,1.69,28.57,6.77,32.14,4.35,0.97,0.24,10.65,3.15,1.21,16.94,67.14,3.15,61.54,6.29,73.08,3.87,56.25,16.21,70.15,0.48,0,13.67,3.38,0.05,1.21,0,0,0,0,0,0.73,33.33,0.48,50,0,0,0.97,0,1.69,42.86,,0.24,0.24,100,0,0,0
S. Santoro,Modena,Modena,"LCMF, RCMF, DMF",26,1000000,,12,1103,1,1.29,1,0.87,14.28,57.71,Italy,Italy,right,181,68,no,7.34,5.87,61.11,2.61,46.88,0.08,0.12,0.33,3.67,5.58,1.14,2,0.16,0,0,1.88,0.08,1,0.08,0.11,0,0,18,1.47,16.67,5.556,0.08,1.31,43.75,0.49,66.67,0.82,30,0.08,1.63,60,4.49,56.36,1.06,1.88,0.41,25.46,0.98,1.8,39.17,84.38,13.71,73.21,7.18,94.32,12.73,94.23,35.09,88.84,2.77,47.06,18.25,34.92,0.07,0.57,0,0,0.33,25,0.24,6.94,71.76,2.61,62.5,0.49,33.33,1.39,0.49,6.61,74.07,,0.08,0,0,0,0,0
A. Debenedetti,Virtus Entella,Virtus Entella,CF,22,0,,12,676,1,2.32,0,0.28,23.03,32.37,Italy,Italy,right,185,92,yes,3.33,3.46,50,5.86,31.82,0.13,0.18,0.13,1.46,2.01,2.26,1,0.13,0,0,1.33,0.13,1,0.13,0.31,1,0.13,11,1.46,54.55,9.091,0,0.53,25,0,0,0.53,25,0,0.67,60,10.65,27.5,2.26,0.4,0,7.99,1.33,1.6,14.25,77.57,3.06,47.83,3.99,90,3.59,77.78,13.45,81.19,0.27,0,14.13,7,0.04,0.4,0,0,0,0,0.27,1.46,81.82,0.67,60,0,0,0.13,0.13,0.8,66.67,,0,0,0,0,0,0
S. Di Mario,Virtus Entella,Virtus Entella,"LWB, LB",21,0,2029-06-30,12,1144,0,1.3,0,0.89,18.72,53.78,Italy,Italy,left,184,76,no,9.52,7.95,62.38,1.97,40,0.71,0.96,0.08,3.85,5.23,1.1,4,0.31,0,0,2.36,0,0,0,0.1,0,0,17,1.34,17.65,0,0,2.67,17.65,2.67,17.65,0,0,0.63,3.15,52.5,7.32,49.46,1.73,1.18,0.24,15.42,0.79,1.81,23.84,71.62,7.79,58.59,4.25,96.3,7.4,74.47,18.17,85.28,3.07,35.9,21,37.27,0.07,0.71,0,0,0,0,0.24,1.89,54.17,1.97,40,0,0,0.55,0.71,4.48,54.39,,0,0,0,0.08,0,0
M. Dalla Vecchia,Virtus Entella,Virtus Entella,"LCMF, AMF",20,0,,12,593,0,0.56,1,0.99,17,39.29,Italy,Italy,,190,85,yes,5.31,6.37,47.62,2.43,37.5,0,0,0,2.28,3.15,2.88,1,0.15,0,0,1.37,0,0,0,0.09,0,0,7,1.06,28.57,0,0.15,1.06,14.29,0.61,25,0.46,0,0,1.82,50,5.62,27.03,2.58,1.97,0.3,14.57,2.12,0.91,20.03,76.52,5.62,78.38,5.77,94.74,5.31,65.71,17.76,82.91,1.21,37.5,18.13,18.5,0.15,0.76,0,0,0,0,0.61,1.06,71.43,1.97,53.85,0,0,1.21,0.15,2.88,68.42,,0,0,0,0,0,0
T. Fumagalli,Virtus Entella,Virtus Entella,"CF, LWF",25,250000,2027-06-30,12,748,1,2.49,4,3.65,11.07,47.83,Italy,Italy,right,184,81,yes,4.93,3.01,64,1.44,33.33,0.36,0.48,0,2.65,3.53,0.6,1,0.12,0,0,2.17,0.12,1,0.12,0.3,0,0,29,3.49,13.79,3.448,0.48,1.93,31.25,1.08,22.22,0.84,42.86,0.48,2.05,52.94,6.26,44.23,3.25,0.96,0.48,19.61,1.8,1.44,24.67,70.24,8.42,58.57,3.97,90.91,9.02,76,20.21,76.19,2.53,52.38,21.84,30.06,0.44,1.8,0,0,0,0,0.48,3.37,50,2.77,39.13,0.24,0,0.72,0.72,4.45,70.27,,1.32,0.24,0,3.49,0,0
A. Franzoni,Virtus Entella,Virtus Entella,"RCMF, LCMF",28,275000,,12,1108,2,3.59,0,0.68,12.43,46.41,Italy,Italy,right,188,79,no,4.47,3.74,54.35,2.11,53.85,0.16,0.22,0.08,2.27,3.08,0.81,3,0.24,0,0,1.3,0.16,1,0.08,0.29,0,0,25,2.03,24,8,0,1.14,35.71,0.24,33.33,0.89,36.36,0.08,0.97,25,5.85,37.5,2.36,0.65,0.16,17.71,1.3,1.54,25.59,74.29,9.99,65.04,5.44,89.55,6.09,77.33,22.09,78.31,2.52,51.61,16.11,31.28,0.06,0.65,0,0,0.32,50,0.16,3.33,73.17,1.79,54.55,0.32,50,0.57,0.41,4.95,70.49,,0,0,0,0.89,1,100
I. Marconi,Virtus Entella,Virtus Entella,LCB,36,250000,2026-06-30,12,1114,1,0.99,0,0.05,12.93,61.25,Italy,Italy,left,184,79,no,8.81,6.14,65.79,4.28,54.72,0.24,0.32,0.57,4.52,5.96,1.29,4,0.32,0,0,0.73,0.08,1,0.08,0.08,1,0.08,6,0.48,50,16.667,0,0.48,66.67,0.48,66.67,0,0,0.08,0.08,100,0.81,60,0.89,0.32,0.08,26.18,0.65,0.57,38.7,85.39,18.1,79.02,2.75,97.06,15.11,90.91,31.1,91.95,7.11,57.95,22.15,34.91,0,0.16,0.08,0,0.08,100,0,4.85,65,1.05,61.54,0.24,100,0.32,0.32,8.16,69.31,,0,0,0,0,0,0
L. Parodi,Virtus Entella,Virtus Entella,RCB,30,300000,,12,1046,0,0.09,0,0.32,11.79,55.47,Italy,Italy,right,169,70,no,6.2,4.3,68,3.53,58.54,0.17,0.24,0.26,3.1,4.3,1.03,2,0.17,0,0,0.95,0,0,0,0.01,0,0,6,0.52,0,0,0,1.38,43.75,0,0,1.38,43.75,0.17,0.86,40,2.24,30.77,0.6,1.63,0.43,28.39,1.38,0.95,38.12,84.42,19.27,78.57,3.79,97.73,10.5,90.98,32.35,89.1,4.39,62.75,19.03,33.98,0.03,0.52,0,0,0,0,0.34,6.88,75,1.72,65,0,0,0.34,0.6,10.5,79.51,,0,0,0,0,0,0
M. Coda,Sampdoria,Sampdoria,CF,37,1000000,2026-06-30,12,876,4,4.59,1,1.16,16.64,27.16,Italy,Italy,right,184,76,no,2.77,1.95,63.16,4.83,36.17,0.1,0.15,0.1,1.44,2.1,0.41,0,0,0,0,1.95,0.41,3,0.31,0.47,0,0,35,3.6,31.43,11.429,0.1,0.92,33.33,0.31,33.33,0.62,33.33,0.1,1.23,41.67,7.71,17.33,4.73,0.51,0,11.82,2.77,0.31,17.57,68.42,3.49,52.94,4.73,95.65,5.86,66.67,15.31,72.48,1.44,50,16.44,26.58,0.12,0.72,0.1,0,0,0,0.41,1.85,55.56,1.13,45.45,0,0,1.13,0.1,1.44,71.43,,0,0,0,0,1,100
L. Henderson,Sampdoria,Sampdoria,"RCMF, AMF, DMF",29,1400000,,12,869,1,0.67,0,1.46,15.43,40.94,Scotland,Scotland,right,183,78,no,7.46,6.63,46.88,2.17,47.62,0.72,1.01,0.1,3.62,5.07,3.31,5,0.52,0,0,2.07,0.1,1,0.1,0.07,0,0,18,1.86,27.78,5.556,0,2.59,36,1.04,30,1.55,40,0.1,0.83,75,3,41.38,1.24,0.21,0,24.23,1.04,0.72,37.08,74.3,13.46,60,5.8,94.64,13.46,78.46,30.14,81.79,4.35,45.24,20.15,34.36,0.15,1.76,0,0,0,0,0.41,6.32,59.02,2.8,40.74,0.62,83.33,0.52,0.93,6.32,75.41,,1.55,0.52,20,3.73,0,0
M. Çuni,Sampdoria,Sampdoria,CF,24,900000,2028-06-30,12,761,1,3.12,1,0.11,30.99,40.84,Germany,"Germany, Albania",right,188,78,yes,5.56,4.61,66.67,11.47,43.3,0.24,0.34,0.24,2.25,3.26,1.77,1,0.12,0,0,3.31,0.12,1,0.12,0.37,1,0.12,25,2.96,28,4,0.12,1.77,20,0.71,16.67,1.06,22.22,0,3.9,54.55,11.94,32.67,4.97,1.06,0.12,9.82,2.01,2.25,13.96,64.41,2.84,70.83,3.19,100,4.02,50,12.06,70.59,0.24,100,16.1,8.34,0.01,0.47,0,0,0,0,0.12,1.06,66.67,1.3,36.36,0,0,0.71,0.12,0.95,50,,0,0,0,0,0,0
E. Motta,Reggiana,Reggiana,GK,20,0,2026-06-30,12,1160,0,0,0,0,0.31,100,Italy,Italy,right,0,0,no,1.16,0.08,100,0.23,100,0,0,0,1.09,1.35,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85,0.23,0,13.97,77.22,8.07,65.38,0.08,100,5.35,94.2,7.68,91.92,6.28,59.26,31.93,45.67,0,0,0,0,0,0,0,1.01,69.23,0,0,0,0,0,0,5.12,60.61,0.23,,,,0,0,0
A. Papetti,Reggiana,Reggiana,"CB, RCB",23,2500000,2027-06-30,12,1110,0,0,0,0.03,15.57,57.81,Italy,Italy,right,189,84,no,9.16,6.81,71.43,4.05,48,0.08,0.1,0.57,4.22,5.23,0.89,3,0.24,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.16,0,0,0.49,16.67,2.84,42.86,0.16,0.81,0.08,27.41,0.41,1.3,39.57,86.48,14.68,72.38,2.76,97.06,18.24,94.67,34.54,92.25,4.86,48.33,20.75,40.94,0,0.08,0,0,0.16,0,0,5.03,69.35,0.57,28.57,0.41,20,0.16,0,5.84,56.94,,0,0,0,0,0,0
E. Tavsan,Reggiana,Reggiana,"CF, RW, RWF",24,1000000,2028-06-30,12,711,3,1.2,1,1.53,17.59,33.81,Netherlands,"Netherlands, Türkiye",left,183,74,yes,2.78,3.42,51.85,2.28,16.67,0,0,0,1.01,1.29,1.65,1,0.13,0,0,3.16,0.38,3,0.38,0.15,0,0,11,1.39,54.55,27.273,0.13,1.9,40,0.38,66.67,1.52,33.33,0.51,3.42,48.15,10.38,32.93,2.41,2.28,0.63,15.82,1.01,1.52,22.28,88.64,4.81,84.21,7.72,95.08,6.58,82.69,20.13,93.08,0.25,100,15.86,4.02,0.19,1.39,0.13,0.13,0.13,0,0.25,0.89,71.43,1.9,46.67,0.13,0,0.63,0.89,2.91,78.26,,0.63,0,0,1.77,0,0
M. Marras,Reggiana,Reggiana,"RWB, LWB, RB",32,400000,2026-06-30,12,989,1,0.51,2,2.07,17.65,56.19,Italy,Italy,left,168,63,no,11.19,8.46,62.37,1.37,20,1,1.25,0.18,4.91,6.11,1,4,0.36,0,0,4,0.09,1,0.09,0.05,0,0,13,1.18,30.77,7.692,0.18,3.19,48.57,1.27,57.14,1.73,47.37,0.46,3.37,56.76,6.73,55.41,1.27,2,0.36,26.66,1.37,2.28,36.49,78.05,9.74,64.49,7.1,92.31,13.56,83.22,29.3,86.34,4,40.91,19.33,29.92,0.19,1.09,0,0.18,0.36,50,0.64,3.46,47.37,4.55,60,0.82,33.33,1.27,1.37,7.19,73.42,,0.18,0,0,0,0,0
M. Portanova,Reggiana,Reggiana,"LW, CF, RCMF",25,500000,,12,1096,3,2.45,1,0.42,24.06,36.18,Italy,Italy,right,183,77,no,6.82,5.67,60.87,3.94,31.25,0.33,0.41,0.33,3.04,3.8,1.89,2,0.16,0,0,1.72,0.25,3,0.25,0.2,0,0,18,1.48,33.33,16.667,0.08,0.82,40,0.08,100,0.74,33.33,0,2.38,37.93,11.41,27.34,2.14,1.97,0.33,12.48,0.82,1.89,18.72,76.32,6.16,69.33,3.53,79.07,4.76,74.14,16.59,82.18,1.31,25,15.28,20.92,0.03,0.33,0.08,0,0,0,0.16,2.3,57.14,1.31,62.5,0.08,0,0.9,0.33,2.46,66.67,,0.25,0.25,33.33,0,0,0
