Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. ??gowski,Eyüpspor,Salernitana,RCMF,22,3000000,2026-06-30,1,53,0,0,0,0,8.49,20,Poland,Poland,right,181,81,no,5.09,1.7,100,1.7,0,0,0,3.4,3.4,5.45,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,6.79,0,0,11.89,71.43,3.4,50,3.4,100,0,0,10.19,83.33,1.7,0,16.07,34.55,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
L. Garritano,Cosenza,Cosenza,"LCMF, LW, DMF",31,1200000,2026-06-30,12,975,2,2.26,3,1.68,11.35,56.91,Italy,Italy,right,172,67,no,6.46,4.71,66.67,0.83,33.33,0.18,0.25,0.37,3.14,4.23,1.2,1,0.09,1,0.09,2.77,0.18,1,0.09,0.21,0,0,21,1.94,42.86,9.524,0.28,2.49,44.44,0.92,40,1.48,50,0.46,1.02,72.73,4.71,56.86,1.11,1.2,0.18,27.14,0.83,1.85,39.69,79.07,14.86,70.81,4.62,94,14.4,85.26,31.48,85.92,5.91,56.25,20.05,37.43,0.16,1.48,0.09,0,0.09,100,0.37,7.29,68.35,3.97,55.81,0.46,40,1.11,1.02,8.77,78.95,0,,0,,0,0,0,0,,,0.37,,,1.85,0.28,33.33,2.03,1,100
Y. Kallon,Casertana,Casertana,"RWF, RW",24,1000000,,13,931,1,0.64,3,0.4,18.56,36.46,Sierra Leone,Sierra Leone,left,175,70,no,4.16,3.87,60,1.45,33.33,0.39,0.6,0.1,1.45,2.24,1.26,3,0.29,0,0,2.61,0.1,1,0.1,0.06,0,0,12,1.16,25,8.333,0.29,2.13,31.82,0.1,100,1.93,25,0.58,3.58,43.24,10.73,28.83,1.74,2.71,0.68,16.05,2.13,1.55,21.27,74.55,5.51,70.18,5.7,89.83,6.09,63.49,18.17,80.85,0.97,50,16.31,15.7,0.04,0.77,0.19,0,0.1,100,0.29,1.45,53.33,2.61,48.15,0.39,75,1.16,0.48,2.42,72,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0,0,0
A. Florenzi,Cosenza,Cosenza,"CF, LWF, AMF",23,1000000,2026-06-30,14,1148,3,2.27,1,1.65,13.8,48.86,Italy,Italy,right,168,75,no,3.68,2.82,58.33,1.96,24,0.31,0.43,0.16,1.72,2.35,0.63,1,0.08,0,0,3.68,0.24,3,0.24,0.18,0,0,28,2.2,46.43,10.714,0.08,2.2,46.43,0.94,58.33,1.18,40,0.39,2.9,56.76,6.82,48.28,2.43,2.2,0.39,20.54,2.04,1.8,27.2,76.37,7.13,70.33,6.98,89.89,7.84,72,23.28,81.14,1.72,50,16.08,27,0.13,1.49,0,0.16,0,0,0.47,2.43,67.74,3.45,59.09,0.24,33.33,1.41,1.02,4.39,76.79,0,,0,,0,0,0,0,,,0.16,,,0.71,0,0,1.25,0,0
José Machin,Vis Pesaro,Vis Pesaro,"AMF, LW, LWF",29,1000000,2026-06-30,3,141,0,0,0,0.07,20.43,40.63,Spain,"Spain, Equatorial Guinea",right,184,74,no,5.74,7.66,58.33,2.55,25,0.64,0.86,0,0.64,0.86,1.91,1,0.64,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,2.55,25,0.64,100,1.91,0,0,1.91,33.33,6.38,20,0.64,0.64,0,24.89,1.28,0.64,31.91,74,11.49,72.22,6.38,90,6.38,80,28.09,77.27,1.28,100,15.58,14.66,0.05,1.28,0.64,0,0,0,1.28,3.83,66.67,3.83,66.67,0,0,1.28,0.64,5.11,75,0,,0,,0,0,0,0,,,0,,,1.91,0,0,0,0,0
D. Diaw,Cittadella,Cittadella,"CF, AMF",33,900000,,8,306,1,0.69,0,0.11,28.53,20.62,Italy,"Italy, Senegal",right,191,78,no,4.12,4.12,50,7.65,23.08,0.29,0.48,0,1.76,2.86,2.94,1,0.29,0,0,1.18,0.29,1,0.29,0.2,0,0,5,1.47,60,20,0,0.29,100,0,0,0.29,100,0,0.88,0,12.06,4.88,2.06,1.18,0.29,3.53,1.18,0.88,7.94,66.67,2.35,37.5,2.06,71.43,1.76,83.33,7.35,68,0.29,0,13.15,2.89,0.03,0.59,0,0,0,0,0.59,0,0,1.18,50,0.29,0,0.59,0.29,1.18,50,0,,0,,0,0,0,0,,,0.29,,,0,0,0,0,0,0
D. ?rnigoj,Triestina,Triestina,"RCMF, RAMF, RWB",30,900000,2026-06-30,9,587,0,0.26,0,0.25,16.1,56.19,Slovenia,Slovenia,right,188,84,no,7.05,4.75,70.97,2.45,37.5,0.31,0.44,0.15,3.37,4.82,0.77,1,0.15,0,0,2.45,0,0,0,0.04,0,0,9,1.38,22.22,0,0,2.3,26.67,0.46,33.33,1.69,27.27,0.46,1.99,69.23,7.05,50,2.45,2.76,0.77,23.61,1.38,1.38,34.96,78.51,11.04,72.22,6.29,90.24,9.81,79.69,30.36,83.33,2.45,62.5,18.04,29.38,0.04,0.46,0,0,0.15,100,0.46,4.91,71.88,3.22,61.9,0.31,50,1.38,0.77,7.21,72.34,0,,0,,0,0,0,0,,,0.31,,,0,0,0,0.15,0,0
T. Milanese,Ascoli,Ascoli,"RDMF, LDMF",23,900000,2026-06-30,13,974,4,1.6,0,0.38,10.53,50,Italy,Italy,right,173,61,yes,5.45,4.07,68.18,0.65,14.29,0,0,0.09,2.68,5.47,0.18,1,0.09,0,0,1.66,0.37,4,0.37,0.15,0,0,18,1.66,33.33,22.222,0,0.37,50,0,0,0.37,50,0.09,1.39,60,4.53,42.86,1.48,1.48,0.18,33.63,0.46,0.83,40.56,87.7,10.16,83.64,9.7,94.29,11.27,88.52,38.53,89.69,1.76,52.63,15.76,19.58,0.04,0.37,0.09,0,0.09,100,0,4.44,79.17,0.92,70,0.09,100,0.37,0.09,5.36,70.69,0,,0,,0,0,0,0,,,1.48,,,0.28,0,0,0.37,0,0
R. Turicchia,Juventus Next Gen,Juventus Next Gen,"LCB, RCB",22,850000,2027-06-30,12,1081,1,0.79,0,0.09,9.32,42.86,Italy,Italy,left,178,68,no,5.66,4.08,57.14,1.58,42.11,0.08,0.12,0.33,3.25,4.53,0.58,1,0.08,0,0,1.17,0.08,1,0.08,0.07,0,0,9,0.75,44.44,11.111,0,1.33,31.25,0.5,33.33,0.83,30,0.33,1.25,33.33,2.66,25,0.75,0.33,0,23.89,0.42,0.25,34.72,81.77,15.15,71.43,2.83,97.06,11.91,89.51,28.47,88.89,5,55,19.41,35.59,0.01,0.33,0.08,0,0,0,0.08,4,68.75,1.17,35.71,0.08,0,0.08,0.42,6.41,70.13,0,,0,,0,0,0,0,,,0.83,,,0,0,0,0,0,0
C. Dalle Mura,Cosenza,Cosenza,"LCB, RCB",23,850000,2027-06-30,5,318,0,0,0,0.02,7.08,60,Italy,Italy,left,185,70,no,3.11,1.42,60,2.83,70,0.28,0.4,0,1.98,2.8,0.28,1,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,24.62,1.7,0,38.77,91.24,12.74,82.22,2.55,100,20.38,100,35.38,93.6,3.4,66.67,21.74,29.05,0,0.28,0,0,0,0,0,4.25,86.67,0,0,0,0,0,0,5.66,70,0,,0,,0,0,0,0,,,1.7,,,0,0,0,0,0,0
