Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Trapani,Fiorentina,Fiorentina U20,RB,19,0,,12,1180,1,0.21,1,0.91,12.13,50.94,Italy,Italy,right,0,0,no,6.33,5.64,55.41,1.45,42.11,0.15,0.22,0.38,3.05,4.46,0.69,0,0,0,0,0.76,0.08,1,0.08,0.02,0,0,3,0.23,33.33,33.333,0.08,0.76,40,0,0,0.69,33.33,0.15,0.61,37.5,3.13,56.1,0.31,1.22,0.15,26.92,1.98,1.53,36.92,86.16,12.81,81.55,6.41,94.05,12.28,91.3,32.42,89.18,3.74,69.39,18.29,31.21,0.07,0.23,0.08,0.08,0.15,100,0.08,3.89,84.31,0.99,61.54,0.23,66.67,0.46,0.15,7.55,69.7,0,,0,,0,0,0,0,,,0.99,,,0,0,0,0,0,0
M. Obleac,Frosinone U20,Frosinone U20,RCB,19,0,,12,1175,0,0.25,1,0,14.4,71.81,Romania,"Romania, Italy",right,0,0,no,11.18,7.66,78,4.14,66.67,0.38,0.42,0.69,4.83,5.35,0.77,1,0.08,0,0,0.38,0,0,0,0.02,0,0,3,0.23,33.33,0,0.08,0.08,0,0,0,0.08,0,0,0.38,80,1.69,63.64,0.31,0.69,0,22.67,0.46,0.54,37.07,85.12,15.7,72.68,2.37,90.32,16.31,96.24,31.94,90.17,5.06,54.55,21.37,34.92,0,0,0,0,0,0,0,4.44,65.52,0.23,33.33,0.38,20,0.08,0,6.89,61.11,0,,0,,0,0,0,0,,,1.23,,,0,0,0,0,0,0
G. Astaldi,Parma U20,Parma U20,GK,19,0,,12,1173,0,0,0,0,0.08,100,Italy,Italy,right,191,0,no,1.07,0,0,0.08,100,0,0,0,1.07,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0.23,0,22.25,80.69,12.05,68.79,0.08,100,8.82,93.91,12.05,97.45,10.2,60.9,30.81,44.44,0,0,0,0,0,0,0,1.3,64.71,0,0,0,0,0,0,7.98,63.46,12,0.92,37,2.84,4,67.57,10.64,0.82,-1.36,-0.104,0,0.61,0.08,,,,0,0,0
N. Grandu,Cagliari U20,Cagliari U20,"LB, RWB",19,0,,12,1171,1,0.58,0,0.97,20.6,53.73,Italy,Italy,,0,0,no,8.61,7.84,64.71,1.38,22.22,0.31,0.38,0,3.23,3.96,1.38,2,0.15,0,0,3.38,0.08,1,0.08,0.04,0,0,11,0.85,18.18,9.091,0,2.38,45.16,0.92,50,1.38,44.44,0.15,3.46,62.22,9.53,50,0.54,1.69,0.31,19.52,1.69,2.15,28.98,75.6,10.15,65.91,6.07,94.94,7.22,78.72,24.36,80.76,2.46,50,18.79,35.32,0.07,0.54,0,0,0,0,0.38,3.61,61.7,1.69,68.18,0.08,100,0.15,1.08,6.69,68.97,0,,0,,0,0,0,0,,,0.61,,,0.08,0,0,0,0,0
G. Bosi,Lazio U20,Lazio U20,GK,18,0,,12,1167,0,0,0,0,0.54,100,Italy,Italy,,0,0,no,2.31,0,0,0.54,100,0,0,0,2.31,2.93,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,0.31,0.08,17.35,80.89,8.95,65.52,0,0,7.1,97.83,10.72,97.84,6.63,53.49,31.92,48.52,0,0,0,0,0,0,0,2.01,34.62,0.15,0,0.15,50,0.08,0,4.47,72.41,15,1.16,48,3.7,4,68.75,11.5,0.89,-3.5,-0.27,0,2.62,0.54,,,,0,0,0
Ricardo Bordon,Lazio U20,Lazio U20,"RCB, CB",19,0,,12,1167,0,0.2,0,0.23,12.11,59.24,Brazil,Brazil,unknown,0,0,no,6.4,3.47,55.56,5.48,66.2,0.46,0.59,0.77,4.01,5.08,1.47,3,0.23,0,0,0.46,0,0,0,0.02,0,0,3,0.23,33.33,0,0,0.23,33.33,0.08,0,0.15,50,0,0.54,57.14,1.31,64.71,0.77,0.62,0,23.29,0.15,0.46,39.33,82.75,15.5,62.19,1.54,100,19.97,96.14,31.62,90.73,7.48,50.52,23.76,39.14,0.02,0.23,0,0,0,0,0,5.09,40.91,0.54,0,0.39,0,0.08,0.08,5.94,62.34,0,,0,,0,0,0,0,,,1.23,,,0,0,0,0,0,0
S. Albè,Monza U20,Monza U20,"LCB, CB",19,0,,12,1166,0,0.55,1,0,12.89,56.29,Italy,Italy,,189,0,no,8.26,6.17,70,1.78,34.78,0,0,0.54,3.94,4.51,0.77,3,0.23,0,0,0.39,0,0,0,0.04,0,0,3,0.23,0,0,0.08,0.46,33.33,0.31,50,0.15,0,0.08,0.62,37.5,2.39,35.48,0.54,1.54,0.08,27.17,0.93,0.85,39.06,82.41,19.14,72.58,2.24,96.55,12.89,94.01,32.73,88.68,5.94,51.95,21.08,38.97,0,0,0,0,0.08,0,0.08,7.02,69.23,0.85,27.27,0.69,22.22,0.31,0,9.49,73.17,0,,0,,0,0,0,0,,,1.16,,,0,0,0,0,0,0
P. Penev,Lecce U20,Lecce U20,GK,17,0,,12,1164,0,0,0,0,0.93,91.67,Bulgaria,Bulgaria,unknown,0,0,no,1.47,0.23,66.67,0.54,100,0,0,0,1.31,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08,0.08,0.15,27.68,82.4,16.47,72.3,0,0,10.13,97.71,14.69,98.42,12.91,64.67,35.71,49.36,0,0,0,0,0,0,0,3.94,52.94,0.31,0,0,0,0,0,9.59,73.39,17,1.31,49,3.79,3,65.31,16.76,1.3,-0.24,-0.019,0,1.62,0.54,,,,0,0,0
F. Pacia,Lecce U20,Lecce U20,"RCB, LCB",19,0,,12,1164,2,0.92,0,0.53,14.85,59.9,Italy,Italy,,0,0,no,9.43,6.42,68.67,3.94,47.06,0.31,0.44,0.93,4.72,6.68,1.7,3,0.23,0,0,0.46,0.15,2,0.15,0.07,1,0.08,8,0.62,37.5,25,0,0.15,0,0,0,0.15,0,0,0.15,100,1.39,55.56,1.08,0.85,0,21.8,0.31,0.93,34.64,82.81,17.78,72.61,3.17,100,10.98,93.66,28.07,89.81,6.42,54.22,22.43,35.78,0.04,0.23,0,0,0.08,100,0.08,6.88,73.03,0.93,66.67,0.46,100,0.62,0,9.12,73.73,0,,0,,0,0,0,0,,,2.86,,,0,0,0,0,0,0
M. Pellini,Torino U20,Torino U20,"CB, RCB",18,0,,12,1164,0,0.44,0,0,14.23,63.04,Italy,Italy,,0,0,yes,10.36,7.27,74.47,3.32,58.14,0.39,0.5,0.46,4.56,5.9,0.77,1,0.08,0,0,0.23,0,0,0,0.03,0,0,6,0.46,0,0,0,0.31,25,0,0,0.31,25,0,0.39,40,1.39,33.33,0.39,0.31,0,29.23,0.15,0.31,47.01,88.16,17.78,75.65,2.4,96.77,22.89,97.3,41.83,92.42,4.87,55.56,20.87,35.65,0,0,0,0,0,0,0,4.64,65,0.39,40,0.23,0,0.08,0.08,8.35,71.3,0,,0,,0,0,0,0,,,1.78,,,0,0,0,0,0,0
