Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Song Bum-Keun,Jeonbuk Motors,Jeonbuk Motors,GK,28,1000000,2026-01-31,37,3768,0,0,0,0.39,0.43,83.33,Korea Republic,Korea Republic,right,196,93,no,0.96,0,0,0.26,100,0,0,0,0.96,1.23,0.02,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0.05,0,12.68,0.26,0.05,17.94,88.02,8.6,77.78,0,0,8.67,97.8,11.42,98.95,6.47,69,32.45,49.64,0.01,0.02,0,0.02,0,0,0,2.03,68.24,0.14,33.33,0.1,25,0.05,0,5.3,77.93,31,0.74,152,3.63,15,79.61,35.69,0.85,4.69,0.112,0,1.5,0.26,,,,0,0,0
Reis,Gwangju,Gwangju,CF,32,700000,,36,3653,9,6.29,2,2.4,19.86,42.18,Brazil,Brazil,right,175,75,no,4.9,3.89,67.09,4.04,29.27,0.05,0.07,0.17,2.24,2.96,0.67,2,0.05,0,0,2.86,0.22,8,0.2,0.15,2,0.05,63,1.55,52.38,14.286,0.05,1.28,36.54,0.71,34.48,0.54,40.91,0.2,2.49,60.4,9.26,39.63,3.08,1.65,0.3,16.68,1.65,1.65,25.25,79.41,5.12,68.27,7.39,89,7.59,78.9,23.01,83.4,1.01,39.02,15.77,24.62,0.06,0.74,0.02,0,0.12,60,0.27,2.37,71.88,1.55,58.73,0.1,75,0.96,0.44,2.66,66.67,0,,0,,0,0,0,0,,,0.12,,,0.27,0.1,25,0.22,1,100
Kim Jin-Su,Seoul,Seoul,LB,33,600000,2026-12-31,36,3634,2,1.69,7,4.54,11.62,58.85,Korea Republic,Korea Republic,left,177,68,no,6.96,4.38,70.06,2.11,44.71,0.15,0.2,0.22,3.74,5.14,0.77,5,0.12,0,0,2.28,0.05,2,0.05,0.04,0,0,34,0.84,29.41,5.882,0.17,3.44,43.88,3.12,42.06,0.32,61.54,0.4,0.89,55.56,2.75,52.25,0.64,1.02,0.12,33.16,1.83,1.02,44.75,80.08,17.44,69.89,7.78,96.82,13.87,83.39,35.27,89.04,6.27,48.22,20.85,39.68,0.11,1.24,0,0,0.05,50,0.5,7.26,66.55,3.86,53.85,0.72,37.93,0.82,1.41,10.15,78.54,0,,0,,0,0,0,0,,,0.92,,,0.87,0.15,66.67,1.68,0,0
Min-Kwang Jeon,Pohang Steelers,Pohang Steelers,"RCB, CB, LCB",32,375000,,36,3546,0,1.35,0,0.02,15.81,61.65,Korea Republic,Korea Republic,right,186,73,no,7.16,4.71,69.57,6.7,63.74,0.15,0.21,0.46,3.73,4.99,0.92,4,0.1,0,0,0.1,0,0,0,0.03,0,0,7,0.18,14.29,0,0,0.08,33.33,0.03,0,0.05,50,0,0.13,40,1.2,38.3,0.33,0.13,0,30.26,0.38,0.77,40.72,91.58,11.59,80.13,1.94,94.74,23.04,98.34,37.83,94.32,2.81,56.36,19.28,31.4,0,0.03,0.03,0,0,0,0,1.64,62.5,0.08,0,0.03,0,0.05,0.05,4.17,54.6,0,,0,,0,0,0,0,,,1.02,,,0,0,0,0,0,0
Park Jin-Seob,Jeonbuk Motors,Jeonbuk Motors,"DMF, LCB, RCB",30,750000,2027-12-31,35,3510,3,2.16,3,0.67,14.79,61.18,Korea Republic,Korea Republic,right,184,80,no,10.15,6.15,73.33,4.46,59.77,0.31,0.39,0.77,5.33,6.8,1.18,9,0.23,0,0,0.46,0.08,3,0.08,0.06,0,0,18,0.46,38.89,16.667,0.08,0.38,60,0.1,50,0.28,63.64,0.08,0.08,66.67,1.49,46.55,0.46,0.95,0.03,37.26,0.31,0.72,52.18,89.04,17.41,76.88,5.31,95.17,22.41,97.25,46.85,92.67,4.95,56.99,19.06,32.92,0.02,0.13,0.1,0,0,0,0.05,6.13,75.73,0.87,47.06,0.33,30.77,0.28,0.18,7.62,69.7,0,,0,,0,0,0,0,,,1.23,,,0.03,0,0,0,0,0
Anderson Oliveira,Seoul,Seoul,"LW, LAMF, RW",27,450000,,36,3430,6,6.94,8,6,23.14,42.29,Brazil,Brazil,right,169,64,no,4.3,3.86,62.59,0.81,25.81,0,0,0,1.89,2.45,0.84,4,0.1,0,0,4.62,0.16,6,0.16,0.18,0,0,72,1.89,33.33,8.333,0.21,1.94,44.59,1.26,43.75,0.6,39.13,0.1,5.88,50,15.64,38.42,1.92,3.57,0.71,23.3,1.57,1.71,33.87,77.15,9.39,69.83,5.98,88.16,11.2,80.56,29.76,80.51,2.26,60.47,16.74,30.21,0.16,1.42,0.1,0,0.29,63.64,0.68,3.91,75.84,3.52,54.48,0.73,50,1.55,0.79,5.88,71.88,0,,0,,0,0,0,0,,,0.1,,,0.34,0.03,0,0.34,1,0
Kim Tae-Hwan,Jeonbuk Motors,Jeonbuk Motors,RB,36,650000,2025-12-31,35,3416,0,0.13,2,2.51,9.59,44.23,Korea Republic,Korea Republic,right,177,72,no,4.9,4.14,59.24,0.58,18.18,0.08,0.1,0.21,2.37,3.01,0.92,8,0.21,0,0,1.63,0,0,0,0,0,0,2,0.05,0,0,0.05,2.92,40.54,0,0,2.92,40.54,0.61,1.13,39.53,3.19,33.06,0.4,1.77,0.47,28.69,1.74,0.32,38.36,80.15,13.86,68.06,6.17,95.73,10.96,83.41,29.67,89.79,5.93,50.22,19.03,36.73,0.07,0.53,0.03,0.03,0.05,0,0.42,5.37,62.25,3.32,50,0.42,25,0.55,1.19,8.01,72.04,0,,0,,0,0,0,0,,,0.55,,,0,0,0,0.03,0,0
Bong-Soo Kim,Daejeon Citizen,Daejeon Citizen,"RCMF, RDMF, LCMF",25,700000,,34,3411,0,1.24,2,1.49,13.43,55.8,Korea Republic,Korea Republic,right,182,78,no,9.37,6.02,72.37,1.85,47.14,0.24,0.29,0.45,4.78,5.88,0.58,0,0,0,0,0.71,0,0,0,0.03,0,0,12,0.32,33.33,0,0.05,0.79,36.67,0.18,42.86,0.55,33.33,0.03,0.47,61.11,3.67,38.85,0.4,1.32,0.13,35.15,0.26,0.87,49.66,88.31,16.23,81.46,6.89,93.49,17.39,92.56,46.12,91.08,2.77,56.19,16.19,31.1,0.04,0.55,0.05,0,0.05,50,0.29,7.15,83.76,1.42,48.15,0.45,35.29,0.47,0.32,7.39,78.21,0,,0,,0,0,0,0,,,0.61,,,0,0,0,0,0,0
Hwang Jae-Won,Daegu,Daegu,"RB, RWB",23,0,2026-12-31,34,3373,0,0.43,2,3.94,13.39,50.6,Korea Republic,Korea Republic,right,180,73,no,7.39,6.08,64.91,2.03,42.11,0.29,0.4,0.16,3.15,4.25,0.69,3,0.08,0,0,2.13,0,0,0,0.01,0,0,10,0.27,30,0,0.05,3.1,45.69,0.05,50,3.02,46.02,0.35,1.23,50,3.76,34.04,0.51,1.23,0.13,31.83,1.12,0.59,45.07,84.07,12.06,72.12,9.55,95.81,14.57,82.97,37.2,90.39,4.91,59.24,18.62,35.47,0.11,1.04,0.05,0.13,0.08,33.33,0.35,5.23,77.55,2.99,46.43,0.21,37.5,0.56,1.2,7.9,75.34,0,,0,,0,0,0,0,,,0.91,,,0.16,0,0,0.4,0,0
Kim Da-Sol,Anyang,Anyang,GK,36,175000,2026-12-31,33,3361,0,0,0,0,0.75,67.86,Korea Republic,Korea Republic,right,188,80,no,1.07,0.08,33.33,0.35,76.92,0.03,0.03,0,1.02,1.23,0.03,2,0.05,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.21,75,0,0,0,9.43,0.21,0.21,15.18,79.19,9.69,71.82,0,0,4.95,94.05,7.82,96.23,7.31,61.54,36.59,49.75,0,0,0,0,0,0,0,1.98,50,0.08,33.33,0.08,0,0.03,0,5.81,70.97,40,1.07,147,3.94,5,72.79,41.61,1.11,1.61,0.043,0,1.85,0.35,,,,0,0,0
