Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Druži?ins,Grobi?a,Grobi?a,"CB, RCB",22,0,,36,3503,1,2.77,0,0.45,15.42,61.33,Latvia,Latvia,,0,0,no,9.89,5.93,73.59,6.53,51.57,0.13,0.16,0.92,5.4,6.54,1.34,3,0.08,1,0.03,0.28,0.03,1,0.03,0.07,0,0,15,0.39,46.67,6.667,0,0.15,16.67,0,0,0.15,16.67,0,0.15,50,0.87,61.76,0.82,0.26,0.05,20.17,0.15,0.64,33.19,80.73,14.9,67.41,1.31,88.24,14.72,95.11,26.9,88.92,6.17,46.25,23.78,43.49,0.01,0.05,0,0.03,0.03,0,0,4.01,46.79,0.57,18.18,0.26,60,0.08,0.03,6.42,54.4,0,,0,,0,0,0,0,,,0.77,,,0,0,0,0,0,0
A. Dvo?ák,FS Jelgava,FS Jelgava,GK,21,0,,36,3473,0,0.34,1,0.19,1.35,90.38,Czech Republic,Czech Republic,left,189,78,no,1.92,0.23,55.56,0.88,97.06,0.03,0.03,0,1.76,2.12,0,1,0.03,0,0,0.08,0,0,0,0.01,0,0,1,0.03,100,0,0.03,0.03,0,0.03,0,0,0,0,0.05,100,0.16,100,0.03,0,0,13.92,0.36,0.34,22.88,81.2,12.15,68.23,0,0,10.21,96.95,13.84,97.57,8.94,56.81,33.42,47.91,0,0.05,0,0,0,0,0.05,2.44,42.55,0.21,25,0.16,33.33,0.05,0,5.88,66.96,46,1.19,173,4.48,5,73.41,49.48,1.28,3.48,0.09,0,2.64,0.88,,,,0,0,0
A. Yuzvak,FS Jelgava,FS Jelgava,"LB, LCB",24,0,,36,3394,2,2.16,3,3.94,12.7,53.65,Czech Republic,Czech Republic,,0,0,no,7.74,4.99,64.89,2.68,38.61,0.29,0.35,0.4,4.22,5.03,0.66,4,0.11,0,0,2.09,0.05,2,0.05,0.06,0,0,19,0.5,36.84,10.526,0.08,2.09,37.97,1.51,40.35,0.58,31.82,0.16,1.62,68.85,3.77,50.7,1.06,1.41,0.48,24.26,1.3,0.77,36.49,79.22,13.76,67.24,6.28,93.67,10.42,84.22,29.83,87.11,4.61,45.98,19.2,32.6,0.1,0.85,0,0,0,0,0.37,3.92,62.84,1.83,49.28,0.24,33.33,0.29,0.8,7.29,62.91,0,,0,,0,0,0,0,,,1.11,,,0.32,0.05,50,0.93,0,0
V. Sorokins,FK Liep?ja,FK Liep?ja,RB,28,225000,,36,3391,1,0.6,2,2.65,13.85,59.39,Latvia,Latvia,both,180,79,no,8.97,7.27,64.23,2.18,60.98,0.21,0.29,0.24,4.09,5.59,0.74,3,0.08,0,0,1.91,0.03,1,0.03,0.02,0,0,22,0.58,36.36,4.545,0.05,2.81,24.53,0.05,0,2.76,25,0.29,1.51,64.91,3.42,51.94,0.93,1.91,0.29,35.75,2.34,0.66,46.61,79.5,16.3,73.13,8.2,93.85,15.9,80.3,39.49,85.48,4.46,58.93,19.27,32.8,0.07,0.82,0.05,0,0.05,50,0.27,5.23,75.13,2.97,42.86,0.24,44.44,0.8,0.77,9.93,71.93,0,,0,,0,0,0,0,,,0.82,,,0.11,0,0,0.61,0,0
D. Petkovi?,FK Liep?ja,FK Liep?ja,GK,32,250000,,34,3300,0,0,0,0,0.65,83.33,Montenegro,Montenegro,right,196,86,no,1.42,0.03,0,0.52,89.47,0,0,0.03,1.42,1.99,0.03,4,0.11,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.05,100,0,0,0,11.13,0.19,0.05,17.43,87.17,7.64,76.79,0,0,9,95.76,12.22,96.88,5.21,64.4,29.52,44.37,0,0,0,0,0,0,0,1.09,47.5,0.03,0,0.11,50,0,0,4.01,68.71,52,1.42,157,4.28,9,66.88,49.67,1.35,-2.33,-0.064,0,1.53,0.52,,,,0,0,0
K. Zviedris,Riga FC,Riga FC,GK,28,150000,,34,3274,0,0,0,0,0.44,93.75,Latvia,Latvia,right,188,78,no,0.99,0,0,0.3,100,0,0,0,0.99,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,7.31,0.16,0.14,11.82,91.16,5.75,83.25,0,0,5.55,98.51,9.4,98.54,2.42,62.5,26.96,39.09,0,0,0,0,0,0,0,0.49,61.11,0,0,0.05,100,0,0,1.84,65.67,24,0.66,92,2.53,20,73.91,26.49,0.73,2.49,0.068,0,1.43,0.3,,,,0,0,0
K. Vilnis,FK Metta,FK Metta,RCB,22,75000,,34,3149,0,0.15,0,0.19,11.17,53.71,Latvia,Latvia,right,188,78,no,7.8,5.17,65.19,3.26,40.35,0.17,0.18,0.63,4.26,4.51,0.83,6,0.17,1,0.03,0.4,0,0,0,0,0,0,4,0.11,25,0,0,0.34,50,0.06,50,0.29,50,0.03,0.31,63.64,1.34,51.06,0.26,1.6,0.17,28.52,0.71,0.37,41.16,79.65,20.52,66.43,2.29,95,15.81,93.67,29.55,90.62,11.26,51.78,25.51,40.26,0.01,0.09,0,0,0.03,0,0.03,9.15,58.13,1.8,41.27,0.86,40,0.66,0.17,10.63,68.55,0,,0,,0,0,0,0,,,1,,,0,0,0,0,0,0
K. Penkevics,FS Jelgava,FS Jelgava,"RCMF, RDMF, LCB",22,75000,,33,3131,2,1.36,3,2.95,14.23,50.91,Latvia,Latvia,right,0,0,no,7.96,5.55,59.59,2.96,47.57,0.4,0.49,0.46,4.25,5.14,1.55,14,0.4,0,0,1.18,0.06,2,0.06,0.04,1,0.03,35,1.01,14.29,5.714,0.09,1.41,30.61,0.4,50,0.98,23.53,0.11,1.29,44.44,3.82,42.11,0.72,1.32,0.26,27.05,0.49,1.44,40.88,79.47,15.84,67.88,3.97,94.93,16.67,88.45,33.78,86.38,5.81,50.5,21.68,39.2,0.08,0.6,0.06,0.03,0.11,25,0.32,7.62,68.3,2.33,45.68,0.57,40,0.66,0.43,8.39,69.18,0,,0,,0,0,0,0,,,0.95,,,0.49,0.03,0,0.69,0,0
S. Pani?,RFS,RFS,"RCMF, DMF, LCMF",33,400000,2026-12-15,34,3123,9,7.22,4,1.81,16.8,58.49,Serbia,Serbia,both,193,85,no,8.93,6.57,56.14,6.02,70.33,0.17,0.29,0.32,5.07,8.39,1.73,8,0.23,0,0,1.01,0.26,5,0.14,0.21,2,0.06,40,1.15,45,22.5,0.12,0.35,50,0.14,40,0.17,66.67,0.06,0.35,66.67,2.39,46.99,1.38,0.92,0,58.36,0.35,1.12,75.88,92.56,23.95,85.68,9.83,95.31,31.7,97.18,70.35,94.67,5.19,66.67,18.25,34.39,0.05,0.61,0.14,0.09,0.14,60,0.2,12.51,87.1,1.87,67.69,0.89,51.61,1.18,0.17,11.59,85.57,0,,0,,0,0,0,0,,,0.69,,,0.17,0.14,60,0,4,100
K. ?udars,SK Super Nova Salaspils,SK Super Nova Salaspils,"DMF, LCMF, RCMF",26,75000,,35,3102,4,3.47,0,1.18,14.48,49.9,Latvia,Latvia,right,186,80,no,7.63,6.12,56.87,2.93,43.56,0.41,0.46,0.49,3.74,4.28,1.42,8,0.23,0,0,0.84,0.12,3,0.09,0.1,1,0.03,45,1.31,26.67,8.889,0,0.52,27.78,0.26,33.33,0.23,12.5,0.09,0.78,37.04,3.37,48.28,1.33,0.84,0.12,22.05,0.7,0.96,34.5,79.06,11.26,63.4,5.16,92.7,12.88,87.84,30.2,84.25,3.77,44.62,18.7,36.8,0.03,0.52,0.03,0.03,0.12,50,0.2,5.57,64.06,1.36,46.81,0.41,35.71,0.7,0.17,5.51,67.89,0,,0,,0,0,0,0,,,0.12,,,0.03,0,0,0,1,100
J. Beks,BFC Daugavpils,BFC Daugavpils,GK,23,125000,,32,3100,0,0,0,0,1.36,76.6,Latvia,Latvia,right,188,80,yes,1.83,0.12,75,0.81,82.14,0,0,0,1.74,2.21,0.06,1,0.03,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0.29,100,0,0,0,10.8,0.17,0.26,18.46,85.69,9.38,74.3,0.03,100,8.54,97.96,11.41,97.96,7.03,65.7,33.87,48.82,0,0,0.03,0,0,0,0,2.35,60.49,0.03,100,0.03,0,0.06,0,5.17,75.84,43,1.25,127,3.69,8,66.14,40,1.16,-3,-0.087,0.03,2.24,0.81,,,,0,0,0
A. Ankrah,Riga FC,Riga FC,"DMF, RDMF",23,400000,,33,3074,3,3.25,0,1.36,20.14,56.69,Ghana,Ghana,right,187,78,no,11.13,8.11,67.15,3.98,54.41,0.06,0.1,0.06,5.62,10,1.93,7,0.2,0,0,1.11,0.09,3,0.09,0.1,0,0,44,1.29,18.18,6.818,0,0.15,40,0,0,0.15,40,0.06,1.14,66.67,5.97,49.02,0.7,1.02,0.18,37.59,0.23,1.23,56.42,89.72,16.1,79.27,8.93,96.07,24.59,95.36,53.61,91.48,2.69,56.52,18.65,32.8,0.04,0.44,0,0.09,0.09,66.67,0.2,8.75,81.94,1.46,52,0.59,55,0.82,0.06,8.61,82.31,0,,0,,0,0,0,0,,,0.73,,,0,0,0,0,0,0
D. Holoubek,FS Jelgava,FS Jelgava,"LCMF, LDMF",23,0,,33,3060,5,3.98,0,1.01,19.29,50,Czech Republic,Czech Republic,right,0,0,no,7,5.91,61.69,1.82,45.16,0.15,0.18,0.21,3.21,3.82,1.03,5,0.15,0,0,2.53,0.15,4,0.12,0.12,0,0,57,1.68,17.54,8.772,0,0.59,30,0.44,26.67,0.15,40,0.09,3.5,53.78,9.53,42.9,0.59,1.65,0.32,25.97,0.47,2.26,41,86.23,11.18,75.26,7.76,94.32,14.88,90.71,38.32,88.49,2.09,60.56,17.45,35.6,0.03,0.53,0,0,0.21,85.71,0.26,5.26,78.77,1.97,52.24,0.38,53.85,0.76,0.21,5.79,76.14,0,,0,,0,0,0,0,,,0.47,,,0.35,0.15,0,0.97,1,100
A. Korobenko,FK Liep?ja,FK Liep?ja,"LCMF, RDMF, RCMF",28,225000,,34,3056,1,0.89,1,1.74,12.49,50.24,Ukraine,Ukraine,right,184,76,no,7.63,5.77,59.69,1.68,43.86,0.47,0.65,0.21,3.71,5.15,1.47,7,0.21,0,0,0.5,0.03,1,0.03,0.03,0,0,18,0.53,22.22,5.556,0.03,0.56,31.58,0.35,33.33,0.21,28.57,0.12,0.29,60,3.15,35.51,0.53,0.68,0.15,30.48,0.21,0.68,45.38,85.27,13.19,73.44,7.72,92.75,18.38,90.71,40.52,88.59,4.33,60.54,18.51,33.72,0.05,0.59,0,0,0.06,50,0.18,6.48,76.36,1.5,47.06,0.44,26.67,0.62,0.18,6.98,71.73,0,,0,,0,0,0,0,,,0.5,,,0.06,0,0,0.15,0,0
N. Dusalijevs,FK Tukums 2000/Telms,FK Tukums 2000/Telms,"RW, RAMF",24,125000,,34,3000,5,7.05,10,7.14,19.47,41.6,Latvia,Latvia,right,184,80,no,6.12,4.98,57.83,3.12,36.54,0.09,0.11,0.06,3.15,3.93,1.29,5,0.15,1,0.03,4.23,0.15,5,0.15,0.21,0,0,69,2.07,31.88,7.246,0.3,2.67,42.7,0.66,45.45,1.98,42.42,0.33,4.62,50.65,9.18,36.6,3.06,2.85,0.33,18.6,2.43,0.72,26.67,67.94,8.58,59.09,4.59,84.31,9.24,70.78,21.84,72.8,2.25,52,18.51,35.69,0.21,1.47,0.06,0.03,0.12,75,0.78,3.15,58.1,3.39,44.25,0.42,64.29,1.02,1.05,5.76,69.79,0,,0,,0,0,0,0,,,0.12,,,0.9,0.03,100,1.35,0,0
I. Minkevi?s,FK Metta,FK Metta,LCB,26,150000,,34,2989,0,0.79,1,0.15,15.24,64.62,Latvia,Latvia,right,191,73,no,12.41,6.8,71.24,4.79,63.52,0.15,0.16,0.9,7.41,7.78,1.26,6,0.18,0,0,0.36,0,0,0,0.02,0,0,12,0.36,25,0,0.03,0.27,44.44,0.24,50,0.03,0,0.03,0.21,71.43,1.72,54.39,0.54,1.6,0.06,30.95,0.63,0.99,48.78,79.94,22.46,67.29,2.77,90.22,19.75,92.53,38.72,88.18,9.82,48.16,22.98,38.23,0,0.18,0,0,0,0,0.06,8.4,58.78,0.93,41.94,0.33,27.27,0.3,0.12,12.01,65.16,0,,0,,0,0,0,0,,,1.23,,,0.03,0,0,0,0,0
B. Samoilovs,FK Tukums 2000/Telms,FK Tukums 2000/Telms,"AMF, RCMF, LCMF",25,150000,,35,2981,2,2.23,6,5.95,14.25,45.55,Latvia,Latvia,left,0,0,no,4.77,3.71,61.79,2.81,34.41,0.3,0.37,0.15,2.17,2.65,0.94,8,0.24,0,0,2.05,0.06,2,0.06,0.07,1,0.03,31,0.94,48.39,6.452,0.18,1.69,33.93,0.63,33.33,1.06,34.29,0.15,1.27,57.14,5.4,39.11,0.66,1.27,0.15,23.46,1.9,1.27,37.86,70.73,13.16,53.44,6.34,89.05,12.83,79.53,30.25,76.95,5.95,49.24,20.07,31.93,0.18,1.66,0.12,0,0.63,47.62,0.51,7.03,59.66,3.96,45.04,1.54,33.33,1.57,0.57,7.79,70.54,0,,0,,0,0,0,0,,,0.21,,,0.88,0.03,0,1.87,0,0
O. Ullman,FS Jelgava,FS Jelgava,"RB, RWB",25,225000,,32,2950,1,0.57,5,2.92,19.07,55.68,Czech Republic,Czech Republic,right,181,73,yes,11.65,9.34,62.75,2.29,50.67,0.4,0.49,0.27,5.4,6.62,1.59,5,0.15,1,0.03,2.93,0.03,1,0.03,0.02,0,0,23,0.7,26.09,4.348,0.15,3.97,37.69,0.06,0,3.84,37.3,0.37,1.8,66.1,5.03,51.52,0.85,2.5,0.67,34.11,1.92,1.01,49.61,75.34,22.48,68.52,6.41,90.48,13.64,78.3,39.72,83.64,6.19,45.32,19.14,33.61,0.09,0.95,0.03,0.06,0.12,50,0.46,8.69,66.32,4.33,45.77,0.55,22.22,0.76,1.49,13.42,74.32,0,,0,,0,0,0,0,,,0.85,,,0.27,0.03,0,1.01,0,0
R. Reingolcs,FK Tukums 2000/Telms,FK Tukums 2000/Telms,"RCB, LB, RB",23,125000,,31,2903,1,1.79,0,0.49,17.92,47.75,Latvia,Latvia,right,0,0,no,9.61,7.63,53.66,4.43,53.85,0.56,0.7,1.12,4.96,6.2,2.08,12,0.37,0,0,0.84,0.03,1,0.03,0.06,0,0,10,0.31,50,10,0,0.68,54.55,0.31,60,0.34,45.45,0.09,0.65,47.62,3.26,34.29,0.56,2.36,0.16,22.45,0.81,0.71,35.59,80.49,16.87,72.98,3.13,94.06,12.68,88.75,28.83,86.77,6.14,53.03,21.66,36.51,0.02,0.22,0.06,0,0,0,0.03,5.67,63.39,1.15,48.65,0.37,50,0.19,0.37,8.62,68.35,0,,0,,0,0,0,0,,,0.59,,,0,0,0,0,0,0
R. Jurkovskis,Riga FC,Riga FC,"LB, RB",28,400000,,34,2902,2,1.45,3,6.25,11.97,49.22,Latvia,Latvia,right,187,73,no,6.11,4.71,58.55,1.61,53.85,0.28,0.49,0.28,3.07,5.39,0.47,0,0,0,0,3.63,0.06,2,0.06,0.04,0,0,32,0.99,21.88,6.25,0.09,5.12,43.64,2.42,44.87,2.64,42.35,0.74,2.57,44.58,4.87,38.85,1.92,2.57,0.71,37.4,1.46,0.37,50.09,82.91,18.55,79.93,7.01,96.46,17.77,83.25,40.66,91.3,4.47,50.69,19.7,34.35,0.19,1.27,0,0.03,0.03,100,0.62,5.89,79.47,4.53,51.37,0.09,66.67,0.84,2.26,10.79,78.45,0,,0,,0,0,0,0,,,0.37,,,0.03,0,0,0,0,0
D. Melniks,FK Auda,FK Auda,"RCB, DMF",23,175000,2026-06-30,30,2895,3,2.15,0,0.37,13.43,60.88,Latvia,Latvia,right,190,79,no,7.9,4.23,71.32,5.04,54.94,0.28,0.43,0.81,4.6,7.09,0.87,9,0.28,0,0,0.59,0.09,3,0.09,0.07,1,0.03,19,0.59,47.37,15.789,0,0.16,60,0,0,0.16,60,0,0.34,63.64,2.3,55.41,0.75,1.52,0.09,34.17,0.75,1.18,49.83,88.15,19.43,76.32,3.33,96.26,23.01,97.3,43.68,93.31,6,51.3,21.34,38.69,0.01,0.31,0,0,0,0,0.03,6.81,64.84,1.09,40,0.53,35.29,0.4,0.09,8.8,71.38,0,,0,,0,0,0,0,,,1.4,,,0,0,0,0,0,0
