Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Jurado,Juárez,Juárez,GK,28,1000000,,21,2132,0,0,0,0,0.27,100,Mexico,Mexico,right,188,83,no,0.75,0.04,100,0.18,100,0,0,0,0.71,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,11.1,0.27,0.09,18.62,89.55,8.76,80.3,0,0,8.4,97.89,13.84,98.72,4.78,62.96,26.21,44.16,0,0,0,0,0,0,0,1.15,30.77,0.18,0,0,0,0,0,3.1,74.29,34,1.5,87,3.85,2,60.92,25.05,1.11,-8.95,-0.396,0,0.71,0.18,,,,0,0,0
D. García,Juárez,Juárez,RB,22,0,,21,2014,1,0.53,0,1.6,12.91,56,Mexico,Mexico,right,170,65,no,8.4,6.9,63.27,1.88,62.5,0.09,0.12,0.28,3.94,5.12,0.89,4,0.18,0,0,0.99,0.04,1,0.05,0.03,0,0,16,0.75,12.5,6.25,0,1.08,52.17,0.05,100,1.03,50,0.09,0.66,42.86,2.96,41.27,0.23,0.7,0.05,24.65,0.28,0.28,36.85,84.33,11.31,68.88,5.12,97.25,16.01,90.32,30.66,90.66,5.12,53.21,21.12,37.65,0.08,0.56,0,0,0.05,100,0.23,5.4,79.13,1.6,47.06,0.23,20,0.23,0.52,6.57,69.29,0,,0,,0,0,0,0,,,0.47,,,0.28,0.05,0,0.23,0,0
C. Moreno,Pachuca,Pachuca,GK,27,2500000,2026-06-30,19,1933,0,0,0,0,0.84,83.33,Mexico,Mexico,right,190,88,no,2.37,0.14,66.67,0.56,91.67,0.05,0.07,0,2.23,3.19,0,4,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,13.74,0.56,0.05,24.3,81.8,16.2,75.57,0,0,7.87,95.27,14.11,94.06,10.2,64.84,32.38,42.66,0,0,0,0,0,0,0,1.72,45.95,0.14,0,0.09,50,0,0,7.68,66.06,24,1.12,82,3.82,4,70.73,20.85,0.97,-3.15,-0.147,0,1.44,0.56,,,,0,0,0
A. Rodríguez,Club Tijuana,Club Tijuana,GK,33,1500000,,19,1921,0,0,0,0,0.56,100,Mexico,Mexico,right,186,80,no,1.26,0.14,100,0.28,100,0,0,0,1.12,1.47,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,20.05,0.42,0.09,27.22,91.57,11.67,81.93,0.05,100,14.85,98.74,19.07,99.02,8.15,74.14,28.33,44.88,0,0,0,0,0,0,0,1.5,50,0.05,0,0.19,25,0,0,5.72,78.69,24,1.12,84,3.94,8,71.43,23.18,1.09,-0.82,-0.038,0.05,0.94,0.28,,,,0,0,0
A. Mayorga,Juárez,Juárez,"LB, LCB",28,1000000,2025-12-31,19,1883,0,0.26,4,1.46,14.71,54.11,Mexico,Mexico,left,178,71,no,7.96,6.5,62.02,1.66,51.52,0.35,0.47,0.25,3.58,4.77,0.96,7,0.33,1,0.05,2.67,0,0,0,0.01,0,0,4,0.2,25,0,0.2,3.07,47.54,3.02,46.67,0,0,0.3,1.81,61.11,5.34,48.11,0.25,3.12,0.25,35.68,0.91,1.41,47.62,82.01,23.78,79.24,3.78,90.67,14.51,84.03,39,89.41,5.9,48.72,20.39,43.86,0.07,0.81,0,0,0.05,100,0.5,8.62,73.1,3.38,52.24,0.25,20,0.45,1.36,10.73,79.34,0,,0,,0,0,0,0,,,0.71,,,0,0,0,0,0,0
N. Guzmán,Tigres UANL,Tigres UANL,GK,39,600000,,18,1849,0,0,0,0,0.88,88.89,Argentina,Argentina,right,191,93,no,1.27,0.15,66.67,0.39,100,0,0,0,1.17,1.71,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,100,0,0,0,12.9,0.29,0.19,22.39,85.65,12.31,74.7,0,0,9.35,100,15.48,97.48,6.91,59.15,29.75,49.46,0,0,0,0,0,0,0,2.43,32,0.34,0,0.19,0,0,0,4.48,71.74,19,0.92,69,3.36,8,72.46,18.5,0.9,-0.5,-0.024,0,1.22,0.39,,,,0,0,0
Nathan Silva,Pumas UNAM,Pumas UNAM,RCB,28,5000000,2027-06-30,18,1841,0,1.4,0,0.03,9.39,58.33,Brazil,Brazil,right,182,84,no,6.26,4.06,73.49,2.59,39.62,0.05,0.07,0.34,3.23,4.51,0.83,4,0.2,0,0,0.15,0,0,0,0.07,0,0,7,0.34,14.29,0,0,0.1,0,0,0,0.1,0,0,0.1,100,0.98,45,0.24,1.03,0,33.98,0.39,0.29,48.54,90.84,21.27,85.29,2.1,95.35,21.71,96.62,43.61,95.4,4.84,51.52,21.74,42.45,0,0.1,0,0,0.05,0,0,8.02,78.66,0.39,12.5,0.29,16.67,0.05,0,9.58,81.63,0,,0,,0,0,0,0,,,1.37,,,0,0,0,0,1,0
J. Porozo,Club Tijuana,Club Tijuana,RCB,25,3300000,2027-06-30,18,1830,2,1.4,0,0,8.26,64.88,Ecuador,Ecuador,right,192,84,yes,6.1,3.34,63.24,2.85,67.24,0.15,0.19,0.54,3.84,4.9,0.74,6,0.3,0,0,0.2,0.1,2,0.1,0.07,2,0.1,8,0.39,25,25,0,0.1,0,0,0,0.1,0,0,0.15,66.67,1.13,65.22,0.49,0.3,0.05,25.08,0.34,0.69,35.66,89.1,12.44,78.66,3.69,96,16.33,95.78,32.46,93.79,3.1,42.86,20.63,38.15,0,0,0,0.05,0.05,0,0,2.8,64.91,0.25,0,0.2,0,0,0,4.72,60.42,0,,0,,0,0,0,0,,,3.3,,,0,0,0,0,0,0
R. Rangel,Guadalajara,Guadalajara,GK,25,2000000,2028-06-30,18,1820,0,0,0,0,0.45,88.89,Mexico,Mexico,right,191,88,no,1.98,0.05,100,0.25,80,0,0,0,1.93,2.64,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,10.88,0.1,0.2,16.91,90.94,9.45,85.86,0.05,100,7.02,97.18,12.56,98.82,4.35,68.18,30.13,48.73,0,0,0,0,0,0,0,0.94,36.84,0.05,0,0,0,0,0,3.41,78.26,22,1.09,72,3.56,5,69.44,18.98,0.94,-3.02,-0.149,0,1.04,0.25,,,,0,0,0
F. Almada,Mazatlán,Mazatlán,"RCB, CB",27,2500000,2025-12-31,17,1783,3,1.3,0,0.26,9.39,55.91,Argentina,Argentina,right,182,82,no,8.08,3.48,72.46,3.38,46.27,0.2,0.26,0.91,5.35,6.9,0.56,2,0.1,0,0,0.5,0.15,3,0.15,0.07,3,0.15,9,0.45,55.56,33.333,0,0.2,0,0.05,0,0.15,0,0,0.35,71.43,1.41,46.43,0.45,0.81,0.05,27.96,0,0.35,38.87,87.79,14.03,73.74,2.02,97.5,19.64,96.14,33.97,92.87,4.74,54.26,22.72,43.23,0.01,0.15,0,0,0.05,0,0.05,3.99,62.03,0.35,42.86,0.1,0,0.05,0,6.81,72.59,0,,0,,0,0,0,0,,,1.41,,,0,0,0,0,0,0
