Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Dunne,Coleraine,Coleraine,"LCB, RCB",32,300000,,10,804,1,0.29,0,0.18,12.43,59.46,England,"England, Republic of Ireland",left,188,87,no,5.26,2.69,62.5,3.47,54.84,0.11,0.22,0.11,3.47,6.84,0.22,1,0.11,0,0,0.56,0.11,1,0.11,0.03,1,0.11,4,0.45,50,25,0,0.11,100,0.11,100,0,0,0,0.34,66.67,2.46,59.09,0.45,1.23,0,33.69,0.11,1.34,51.94,87.93,24.63,80.91,2.46,95.45,21.94,95.41,42.2,95.23,9.63,55.81,24.79,45.17,0.02,0.11,0,0,0,0,0,7.28,55.38,1.01,55.56,0.34,66.67,0.56,0.11,11.08,81.82,0,,0,,0,0,0,0,,,1.79,,,0,0,0,0,0,0
J. Cooper,Coleraine,Coleraine,"AMF, CF, RCMF",29,300000,,15,1416,10,4.08,0,2.27,24.28,47.12,Northern Ireland,Northern Ireland,left,180,0,no,4.77,4.58,55.56,1.08,23.53,0.25,0.54,0,1.97,4.15,2.35,2,0.13,0,0,6.8,0.64,10,0.64,0.26,1,0.06,48,3.05,52.08,20.833,0,2.54,37.5,0.89,35.71,1.65,38.46,0.51,7.06,58.56,15.19,46.86,3.05,2.22,0.38,17.35,1.72,2.54,24.34,78.85,7.44,76.92,5.02,89.87,8.33,79.39,19.96,85.35,1.91,66.67,19.32,30.93,0.14,1.21,0.06,0.06,0.32,40,0.51,2.8,81.82,3.18,62,0.64,50,1.14,0.89,4.77,92,0,,0,,0,0,0,0,,,0,,,0.06,0,0,1.59,0,0
R. Ferguson,Larne,Larne,GK,27,300000,31/05/2026,12,1157,0,0,0,0,0.54,85.71,Scotland,Scotland,right,184,86,no,0.93,0,0,0.39,100,0,0,0,0.93,1.4,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0.08,100,0,0,0,19.21,0.39,0,28.55,92.1,11.59,81.88,0,0,15.71,99.01,21.7,98.57,6.85,71.59,29.81,50.33,0,0,0,0,0,0,0,1.79,69.57,0,0,0.08,0,0,0,5.52,78.87,5,0.39,31,2.41,8,83.87,6.87,0.53,1.87,0.145,0,1.79,0.39,,,,0,0,0
L. Millar,Larne,Larne,"LW, RAMF, RCMF",30,275000,,4,165,0,0.34,0,0,21.27,51.28,Northern Ireland,Northern Ireland,left,178,70,no,7.64,7.64,64.29,7.09,46.15,0.55,0.97,0.55,2.18,3.87,1.09,0,0,0,0,3.27,0,0,0,0.19,0,0,2,1.09,100,0,0,3.27,0,2.73,0,0.55,0,0,3.27,66.67,5.45,40,3.27,1.64,0,24.55,1.64,0.55,38.73,73.24,8.73,43.75,10.91,95,12,77.27,33.27,83.61,2.18,25,18.04,43.23,0,0,0,0,0,0,0,3.82,57.14,2.73,40,0,0,0.55,0,2.73,60,0,,0,,0,0,0,0,,,0.55,,,0,0,0,0,0,0
R. Hale,Cliftonville,Cliftonville,"AMF, LW",28,275000,,12,1037,1,0.51,3,1.82,17.53,46.53,Northern Ireland,"Northern Ireland, Republic of Ireland",right,175,72,no,6.68,6.25,68.06,2.34,40.74,0.43,0.66,0,2,3.01,1.13,2,0.17,1,0.09,3.3,0.09,1,0.09,0.04,0,0,13,1.13,46.15,7.692,0.26,3.47,45,2.17,48,1.22,35.71,0.69,2.17,52,6.77,38.46,0.78,0.52,0.09,25.34,1.3,1.13,39.05,74.89,15.1,63.79,7.03,95.06,12.67,79.45,29.16,84.23,6.68,48.05,21.87,38.91,0.16,1.74,0.09,0,0.09,100,0.43,8.59,55.56,5.12,45.76,1.39,37.5,1.65,1.48,9.2,76.42,0,,0,,0,0,0,0,,,0.17,,,1.56,0.09,100,3.65,0,0
J. Thomson,Glentoran,Glentoran,"AMF, RW",28,275000,,5,304,0,0.86,1,0.51,8.59,55.17,Scotland,Scotland,right,178,68,no,3.85,2.07,71.43,1.48,80,0.3,0.49,0,2.07,3.44,0.59,1,0.3,0,0,1.18,0,0,0,0.26,0,0,6,1.78,16.67,0,0.3,1.18,25,0.59,50,0.59,0,0.89,0.89,66.67,2.96,50,2.37,1.48,0.3,26.94,1.78,0.89,36.41,75.61,12.43,50,8.88,90,10.07,85.29,30.79,81.73,4.44,46.67,19.72,36.49,0.15,0.3,0,0.3,0,0,0,4.44,46.67,2.37,37.5,0,0,0.3,0.3,3.85,61.54,0,,0,,0,0,0,0,,,0.89,,,0.89,0.3,0,1.18,0,0
A. Donnelly,Larne,Larne,LCB,25,250000,31/05/2028,4,307,0,0.07,0,0,12.31,64.29,Northern Ireland,Northern Ireland,left,180,72,no,5.57,4.69,81.25,3.81,46.15,0,0,0,1.76,2.77,0.29,1,0.29,0,0,0.88,0,0,0,0.02,0,0,2,0.59,50,0,0,0.59,0,0.29,0,0,0,0,0.59,100,1.47,60,0,2.64,0,38.7,0,0.59,53.36,91.76,19.93,88.24,4.98,100,23.16,94.94,45.15,94.81,7.62,80.77,21.23,40.43,0,0,0,0,0,0,0,6.16,80.95,1.47,20,0,0,0,0,9.97,85.29,0,,0,,0,0,0,0,,,3.22,,,0.29,0,0,0,0,0
K. Millar,Linfield,Linfield,"RW, RWB, RWF",33,250000,31/05/2026,11,785,0,0.41,3,4.6,13.3,43.97,Northern Ireland,Northern Ireland,right,175,67,no,5.16,3.55,41.94,2.75,29.17,0,0,0,3.67,5.3,0.46,0,0,0,0,3.9,0,0,0,0.05,0,0,5,0.57,20,0,0.34,6.31,30.91,1.15,30,5.16,31.11,1.83,2.29,75,5.73,50,2.06,0.69,0.11,26.14,1.38,0.46,44.14,68.57,14.56,55.12,8.03,92.86,14.45,74.6,32.68,82.11,5.27,30.43,21.51,28.06,0.53,2.52,0.23,0.11,0.11,100,0.57,7.22,52.38,5.04,36.36,0.34,33.33,0.46,2.18,8.71,76.32,0,,0,,0,0,0,0,,,0.8,,,2.29,0.11,0,4.47,0,0
M. Clarke,Ballymena United,Ballymena United,"LB, LCB, LWB",31,250000,31/05/2026,15,1456,3,1.88,1,0.71,15.45,47.6,Northern Ireland,Northern Ireland,left,181,0,no,8.72,6.55,57.55,4.27,47.83,0.31,0.4,0.25,4.64,6.03,1.48,4,0.25,0,0,1.42,0.19,3,0.19,0.12,2,0.12,13,0.8,46.15,23.077,0.06,1.85,33.33,1.85,33.33,0,0,0.49,0.68,63.64,1.98,43.75,1.79,0.62,0.06,15.39,0.43,0.25,26.95,66.06,14.9,57.68,2.6,83.33,5.63,80.22,17.99,78.35,7.11,43.48,22.97,38.18,0.04,0.37,0,0,0,0,0.12,6.74,50.46,1.92,51.61,0.25,25,0.49,0.68,8.28,64.18,0,,0,,0,0,0,0,,,0.37,,,0,0,0,0.06,0,0
R. Cooney,Glentoran,Glentoran,"RB, RWB",25,250000,31/05/2027,12,972,3,1.15,0,1.43,11.67,46.03,England,England,right,179,77,no,6.39,3.61,53.85,3.7,40,0.19,0.32,0.28,4.26,7.46,0.46,2,0.19,0,0,2.22,0.28,3,0.28,0.11,0,0,9,0.83,66.67,33.333,0,2.96,37.5,0.19,50,2.69,34.48,0.37,0.83,55.56,2.96,40.63,1.11,1.11,0.19,27.5,2.78,0.56,40.09,73.21,15.93,56.98,6.94,97.33,11.94,79.07,29.91,84.83,7.22,39.74,22.96,32.47,0.13,0.83,0,0.09,0.28,33.33,0.56,9.17,56.57,3.52,39.47,1.02,18.18,0.74,1.39,11.67,73.02,0,,0,,0,0,0,0,,,1.76,,,1.48,0.28,66.67,0.93,0,0
