Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Falchener,Viking,Viking,"LCB, RCB",22,0,,28,2744,5,4.04,0,0.06,14.69,62.72,Norway,Norway,right,0,0,no,8.2,3.8,70.69,7.05,63.26,0.16,0.22,0.79,5.35,7.04,0.98,3,0.1,0,0,0.39,0.16,5,0.16,0.13,4,0.13,22,0.72,40.91,22.727,0,0,0,0,0,0,0,0,0.1,100,1.08,54.55,1.28,0.33,0,34.27,0.03,0.43,51.82,89.68,16.6,75.89,2.79,96.47,28.21,96.86,47.36,93.56,4.46,48.53,21.28,41.23,0,0.03,0.03,0.03,0.03,0,0.07,7.41,78.32,0.36,9.09,0.13,0,0.2,0,7.97,73.25,,0,0,0,0,0,0
M. Dyngeland,Brann,Brann,GK,30,900000,,28,2778,0,0,0,0,0.68,90.48,Norway,Norway,right,184,81,no,1.81,0.1,66.67,0.32,100,0,0,0,1.75,2.95,0,1,0.03,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,66.67,0.16,80,0,0.03,0,21.22,0.42,0.1,31.68,85.17,16.49,72.5,0.03,100,13.9,99.07,20.25,98.72,11.44,61.19,32.72,51.33,0,0,0.03,0,0,0,0,4.24,41.98,0.32,10,0.52,6.25,0.03,0,7.71,81.51,0.32,,,,0,0,0
F. Sjøvold,Bodø / Glimt,Bodø / Glimt,RB,22,0,2028-12-31,28,2622,3,1.74,3,2.8,12.29,53.91,Norway,Norway,right,168,62,no,6.9,5.59,68.1,0.96,25,0.14,0.21,0.24,2.95,4.56,0.48,1,0.03,0,0,1.99,0.1,3,0.1,0.06,0,0,23,0.79,30.43,13.043,0.1,2.13,37.1,0.03,0,2.06,38.33,0.17,1.54,62.22,4.5,42.75,1.89,3.12,0.51,45.96,1.27,0.62,58.32,88.46,17.51,82.35,9.65,96.8,21.66,92.55,52.28,92.71,3.98,58.62,18.91,36.6,0.1,0.82,0.1,0.03,0.03,0,0.34,6.14,83.8,3.16,71.74,0.38,36.36,1.54,0.76,8.86,78.29,,0,0,0,0,0,0
Duarte Moreira,Bryne,Bryne,CF,24,0,2026-12-31,28,2375,7,5.06,6,2.71,17.24,40,Portugal,Portugal,right,183,69,no,4.17,4.32,63.16,2.92,28.57,0.19,0.21,0.04,1.25,1.36,0.99,1,0.04,0,0,1.67,0.27,7,0.27,0.19,0,0,47,1.78,38.3,14.894,0.23,1.21,25,0.15,0,1.06,28.57,0.3,1.74,39.13,7.47,31.47,2.96,0.95,0.27,15.46,2.01,1.33,20.84,66.73,5.53,53.42,4.89,83.72,5.34,61.7,18.57,71.22,1.06,35.71,15.62,19.05,0.1,0.72,0,0.08,0.23,0,0.45,2.35,41.94,1.63,44.19,0.27,0,0.8,0.3,3.07,56.79,,0,0,0,0,0,0
N. Haikin,Bodø / Glimt,Bodø / Glimt,GK,30,1500000,2026-07-31,28,2757,0,0,0,0,0.52,87.5,Israel,"Israel, Russia",right,188,74,no,1.21,0.07,50,0.42,92.31,0,0,0,1.18,1.82,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0.03,16.97,0.23,0.07,24.19,86.91,10.81,74.62,0,0,12.5,97.65,16.78,97.28,7.41,63.44,29.89,43.37,0,0,0,0,0,0,0,2.35,51.39,0.2,0,0.29,0,0,0,5.19,73.58,0.42,,,,0,0,0
S. Kilen,Kristiansund,Kristiansund,"LW, LWF",20,0,2028-12-31,28,2118,5,6.04,1,1.22,20.82,36.33,Norway,Norway,,0,0,no,4.29,4.84,51.75,3.36,29.11,0.04,0.05,0.13,1.74,1.87,1.19,3,0.13,0,0,3.19,0.21,5,0.21,0.26,0,0,35,1.49,48.57,14.286,0.04,2.17,23.53,2.12,24,0.04,0,0.42,4.12,47.42,10.24,31.95,2.89,2.42,0.25,17.85,2.42,1.06,23.07,71.82,5.99,58.87,6.29,87.84,6.42,70.2,19.25,79.03,1.74,48.78,17.35,22.8,0.05,0.72,0.04,0,0,0,0.3,1.57,51.35,2.76,46.15,0.25,33.33,1.02,0.59,3.91,65.22,,0.08,0.04,0,0.08,1,0
G. Valsvik,Strømsgodset,Strømsgodset,"LCB, CB",32,550000,2026-12-31,28,2745,2,2.71,1,0.35,15.38,63.54,Norway,Norway,left,196,91,no,9.41,3.97,67.77,6.59,65.67,0.13,0.14,1.15,6.59,7.19,0.66,3,0.1,0,0,0.43,0.07,2,0.07,0.09,1,0.03,19,0.62,36.84,10.526,0.03,0.13,75,0.13,75,0,0,0,0.1,100,1.84,57.14,1.08,0.98,0,38.49,0.33,0.79,54.2,86.45,21.97,75.82,2.52,97.4,25.57,94.87,44.92,91.97,9.15,59.5,23.15,40.49,0.01,0.13,0,0.03,0,0,0.13,8.49,74.52,0.66,40,0.33,10,0.43,0.07,11.93,70.6,,0,0,0,0,0,0
D. Ulvestad,Kristiansund,Kristiansund,"LCB, CB",36,100000,,28,2746,1,1.23,0,0.42,8.23,64.14,Norway,Norway,right,189,84,no,8.69,2.36,73.61,3.9,58.82,0.16,0.18,1.05,6.78,7.3,0.2,1,0.03,0,0,0.26,0.03,1,0.03,0.04,1,0.03,13,0.43,46.15,7.692,0,0.03,100,0.03,100,0,0,0,0,0,0.33,70,0.56,0.66,0,34.12,0.1,0.39,48.38,89.7,15.11,74.4,1.93,94.92,26.51,97.65,43.43,93.89,4.92,52.67,19.92,39.47,0.01,0.03,0,0,0.03,100,0,6.78,70.53,0.66,30,0.43,15.38,0.16,0.03,5.74,64.57,,0,0,0,0,0,0
H. Stengel,Strømsgodset,Strømsgodset,"DMF, RDMF",30,750000,2027-12-31,28,2695,3,1.26,1,5.14,7.15,45.79,Norway,Norway,right,180,74,no,5.24,3.47,56.73,0.83,36,0.07,0.07,0.2,3.21,3.48,0.3,0,0,0,0,0.94,0.1,3,0.1,0.04,1,0.03,21,0.7,47.62,14.286,0.03,0.97,37.93,0.03,0,0.9,37.04,0.13,0.3,55.56,1.64,32.65,0.73,0.57,0.03,22.81,0.33,0.17,33.16,86.3,10.85,76.31,5.78,96.53,12.29,89.4,27.78,91.71,4.47,62.69,19.58,36.17,0.17,1.24,0.03,0,0.07,100,0.1,5.31,79.25,1.87,37.5,0.5,46.67,0.6,0.37,4.88,74.66,,1.67,0.3,44.44,3.54,0,0
M. Woledzi,Fredrikstad,Fredrikstad,"LCB, RCB",24,1700000,2026-12-31,28,2650,0,0.86,0,0.46,16.34,57.17,Ghana,Ghana,right,187,79,no,9.58,6.35,72.73,2.95,65.52,0,0,0.78,4.96,5.93,0.78,3,0.1,0,0,0.75,0,0,0,0.03,0,0,19,0.65,26.32,0,0,0.27,37.5,0.03,100,0.24,28.57,0,1.26,37.84,4.55,33.58,0.17,1.09,0.03,32.84,0.27,0.61,47.24,89.14,18.61,82.48,4.65,92.7,17.76,95.03,43.78,92.32,3.19,50,18.55,32.74,0.02,0.17,0.03,0.03,0,0,0,6.45,80.53,0.41,41.67,0.17,0,0.07,0.1,8.12,69.87,,0,0,0,0,0,0
U. Fredriksen,Fredrikstad,Fredrikstad,CB,26,450000,2025-12-31,28,2767,2,1.9,0,0.17,12.65,62.21,Norway,Norway,right,189,89,no,9.14,4.72,70.34,4.65,62.24,0.13,0.16,0.88,5.69,6.84,0.49,2,0.07,0,0,0.36,0.07,2,0.07,0.06,1,0.03,18,0.59,38.89,11.111,0,0.2,33.33,0.03,0,0.16,40,0.07,0.07,100,0.94,51.72,0.68,0.75,0,32.3,0.29,0.29,47.03,88.38,17.6,77.45,3.42,96.19,22.44,96.23,41.28,93.7,5.56,50.88,22.07,41.82,0.01,0.13,0,0,0,0,0.03,5.85,70,0.65,50,0.26,37.5,0.23,0.07,7.68,70.76,,0,0,0,0,0,0
J. Hjertø-Dahl,Tromsø,Tromsø,"LCMF, RCMF",20,0,,28,2355,4,4.01,4,1.22,21.4,41.96,Norway,Norway,right,193,80,no,8.45,6.92,58.56,1.91,40,0.5,0.57,0.23,3.9,4.49,1.34,3,0.11,0,0,2.14,0.15,4,0.15,0.15,1,0.04,41,1.57,43.9,9.756,0.15,0.61,25,0.46,25,0.08,50,0.08,2.6,50,10.47,33.94,2.98,1.64,0.27,23.73,0.92,1.15,31.61,80.53,7.8,61.27,8.22,95.81,8.25,83.33,29.66,83.25,1.41,43.24,15.04,29.19,0.05,0.76,0.19,0,0.04,0,0.38,2.83,75.68,1.68,63.64,0.08,0,1.49,0.15,3.44,61.11,,0.15,0.15,0,0,0,0
R. Yttergård Jenssen,Tromsø,Tromsø,DMF,37,150000,2025-12-31,28,2767,1,2.18,7,5.26,9.27,50.53,Norway,Norway,left,173,71,no,5.14,3.58,60.91,0.85,46.15,0.2,0.23,0.29,2.76,3.22,0.59,2,0.07,0,0,1.24,0.03,1,0.03,0.07,0,0,16,0.52,31.25,6.25,0.23,1.14,62.86,0.91,60.71,0.2,66.67,0.23,0.52,43.75,3.22,42.42,1.72,0.59,0.13,38.51,0.33,1.11,50.64,87.93,12.49,74.74,11.64,97.21,15.87,90.98,46.61,90.93,2.89,49.44,15.38,28.22,0.17,1.43,0.13,0.03,0.16,80,0.68,5.37,77.58,2.83,62.07,0.81,64,1.66,0.68,5.92,76.92,,0.49,0,0,1.33,0,0
