Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Bergslid,Lysekloster,Lysekloster,GK,23,0,2026-12-31,26,2537,0,0,0,0.27,1.28,72.22,Norway,Norway,unknown,0,0,no,1.6,0.04,0,0.74,90.48,0.04,0.04,0.04,1.56,1.93,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.35,40,0.04,0,0,17.74,0.18,0.25,28.49,84.06,12.7,66.76,0.04,100,14.3,98.01,18.77,98.11,9.72,56.93,30.16,46.83,0.01,0.04,0.04,0.04,0,0,0.04,3.3,45.16,0.18,20,0.14,50,0.11,0,6.35,67.6,35,1.24,125,4.43,10,72,33.88,1.2,-1.12,-0.04,0,2.06,0.74,,,,0,0,0
A. Smedplass,Arendal,Arendal,GK,24,0,2025-12-31,26,2533,0,0,0,0,0.36,90,Norway,Norway,right,0,0,no,1.35,0,0,0.36,90,0,0,0,1.35,1.85,0,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0.14,0.11,20.04,80.5,10.06,66.43,0,0,9.24,94.62,10.77,98.02,9.24,60.38,34.59,48.28,0,0,0,0,0,0,0,2.1,49.15,0.07,0,0.11,0,0,0,6.15,68.21,36,1.28,104,3.7,3,65.38,30.67,1.09,-5.33,-0.189,0,1.21,0.36,,,,0,0,0
F. Jacobsen,Alta,Alta,"LCMF, RCMF",27,0,2025-12-31,26,2527,8,4.37,4,1.63,14.92,52.74,Norway,Norway,right,179,70,no,9.19,6.59,65.41,2.42,48.53,0.53,0.73,0.57,4.35,5.9,0.64,3,0.11,0,0,1.42,0.28,8,0.28,0.16,1,0.04,42,1.5,38.1,19.048,0.14,0.61,35.29,0.25,42.86,0.28,37.5,0.14,0.93,61.54,3.78,42.45,1.99,1.18,0.04,29.38,0.61,0.64,44.8,79.33,15.81,60.14,6.87,96.37,17.59,90.89,35.33,85.79,8.87,56.63,21.96,38.21,0.06,0.43,0,0,0.21,33.33,0.18,9.44,64.91,2.03,33.33,0.57,12.5,0.71,0.14,8.05,73.01,0,,0,,0,0,0,0,,,0.64,,,0.46,0.25,28.57,0.28,0,0
L. Kvarekvål,Grorud,Grorud,GK,25,0,,26,2526,0,0,0,0,0.93,88.46,Norway,Norway,,0,0,no,1.43,0.07,50,0.43,100,0,0,0,1.39,1.81,0.04,2,0.07,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.18,100,0,0,0,15.11,0.14,0.32,29.39,87.15,14.25,75.25,0.07,100,14.14,98.24,20.52,98.26,8.87,61.45,30.29,47.51,0,0,0.04,0,0,0,0,1.89,47.17,0.07,0,0.11,66.67,0,0,6.81,68.59,36,1.28,101,3.6,6,64.36,30.88,1.1,-5.12,-0.182,0.04,1.78,0.43,,,,0,0,0
S. Østby,Pors Grenland,Pors Grenland,RCB,20,0,2025-12-31,26,2523,4,3.22,0,0.21,13.88,63.24,Norway,Norway,,0,0,no,9.95,5.03,74.47,4.64,59.23,0.25,0.28,1.21,5.96,6.62,0.68,3,0.11,0,0,0.36,0.14,4,0.14,0.11,4,0.14,12,0.43,66.67,33.333,0,0.04,100,0,0,0.04,100,0,0.04,100,1.64,52.17,0.86,1.82,0.04,29.75,0.32,0.61,42.27,88.44,15.3,76.46,2.96,96.39,21.3,95.64,37.88,92.75,4.35,50.82,21.9,40.22,0.01,0.14,0,0.04,0,0,0.04,5.56,69.23,0.71,35,0.39,18.18,0.21,0.04,7.24,71.92,0,,0,,0,0,0,0,,,2.35,,,0,0,0,0,0,0
P. Hagen,Pors Grenland,Pors Grenland,GK,24,0,,26,2523,0,0,0,0.36,1.32,83.78,Norway,Norway,,0,0,no,2.07,0.11,66.67,0.93,84.62,0,0,0,2,2.22,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,50,0.21,83.33,0,0,0,24.04,0.36,0.36,39.63,75.52,27.25,65.71,0,0,11.45,97.82,19.66,96.91,19.83,54.86,36.78,50.3,0.01,0.07,0.04,0,0,0,0.04,8.85,42.74,1.11,16.13,1.36,23.68,0.18,0,12.66,73.8,48,1.71,158,5.64,4,69.62,44.13,1.57,-3.87,-0.138,0,2.35,0.93,,,,0,0,0
S. Strand,Vard,Vard,GK,23,0,2026-12-31,26,2523,1,0.51,0,0.01,0.86,62.5,Norway,Norway,,0,0,no,3.03,0.07,50,0.54,73.33,0.04,0.04,0,2.96,3.52,0,2,0.07,0,0,0.04,0.04,1,0.04,0.02,0,0,2,0.07,50,50,0,0,0,0,0,0,0,0,0,0,0.14,25,0.07,0,0,9.63,0.14,0.11,22.58,86.73,13.02,79.73,0.07,50,8.78,97.15,14.95,95.47,7.63,69.63,33.79,50.24,0,0.04,0,0,0,0,0.04,2.82,63.29,0.25,14.29,0.11,66.67,0.04,0,6.81,78.53,46,1.64,146,5.21,1,68.49,39.16,1.4,-6.84,-0.244,0,1.89,0.54,,,,0,0,0
S. Vits,Strømmen,Strømmen,GK,29,0,2025-12-31,26,2517,0,0,0,0,1.04,89.66,Belgium,Belgium,right,188,80,no,1.75,0.04,0,0.64,88.89,0,0,0,1.75,2.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,100,0,0,0.04,10.66,0.39,0.36,20.6,67.53,16.02,60.27,0,0,4.36,95.08,6.87,95.31,13.59,53.95,49.67,60.32,0,0,0,0,0,0,0,8.19,46.29,0.57,25,0.39,18.18,0.25,0,9.58,78.73,24,0.86,87,3.11,9,72.41,22.3,0.8,-1.7,-0.061,0,2.43,0.64,,,,0,0,0
M. Grasmo,Sotra,Sotra,GK,30,0,,26,2511,0,0,0,0,0.57,75,Norway,Norway,,0,0,no,1.51,0.04,100,0.36,100,0,0,0,1.47,1.71,0,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.07,50,0,0,0,9.82,0.11,0.04,17.46,72.9,13.26,66.49,0,0,3.87,93.52,7.46,95.19,9.96,56.47,38.51,50.5,0,0,0,0,0,0,0,3.73,44.23,0.25,0,0.22,16.67,0,0,7.46,72.12,26,0.93,92,3.3,10,71.74,26.46,0.95,0.46,0.016,0,1.22,0.36,,,,0,0,0
J. Skille,Ullensaker / Kisa,Ullensaker / Kisa,CF,24,0,,26,2509,20,16.6,3,2.31,14.85,37.2,Norway,Norway,right,192,0,no,2.83,2.3,57.81,4.52,38.1,0,0,0.11,1.51,1.97,0.83,2,0.07,0,0,1.97,0.72,18,0.65,0.6,2,0.07,74,2.65,51.35,27.027,0.11,0.39,45.45,0.14,50,0.25,42.86,0.04,0.83,47.83,5.67,30.38,4.13,0.61,0.29,10.83,3.05,1,15.75,72.44,2.87,45,5.67,93.67,4.23,72.88,14.74,74.7,0.61,35.29,16.08,16.52,0.08,0.57,0.04,0,0.11,33.33,0.36,1.18,51.52,1.08,43.33,0.07,0,0.61,0.18,1.33,43.24,0,,0,,0,0,0,0,,,0.11,,,0.11,0.11,33.33,0,2,100
L. Kilen,Sotra,Sotra,"LW, CF",28,0,,26,2508,16,8.56,8,6.63,21.82,41.61,Norway,Norway,,185,72,no,2.87,3.59,51,0.65,44.44,0.07,0.08,0,0.97,1.13,0.83,1,0.04,0,0,6.53,0.57,14,0.5,0.31,0,0,116,4.16,37.07,13.793,0.29,2.87,40,2.19,44.26,0.47,23.08,0.36,6.6,55.98,15.86,41.4,3.55,3.12,0.32,23.79,2.44,1.97,30.32,74.67,8.58,62.34,6.6,92.39,10.51,75.09,24.55,82.16,3.05,44.71,19.33,31.93,0.24,1.9,0.22,0,0.32,44.44,0.68,3.34,59.14,4.34,57.02,0.61,29.41,2.26,1.26,5.38,74.67,0,,0,,0,0,0,0,,,0.18,,,1.04,0.39,27.27,4.77,3,66.667
S. Saugestad,Sandnes Ulf,Sandnes Ulf,"RCMF, LCMF",24,175000,,26,2507,5,1.8,10,5.91,12.03,45.07,Norway,Norway,right,172,66,no,5.89,4.2,65.81,2.19,34.43,0.11,0.13,0.22,3.02,3.76,0.54,3,0.11,0,0,1.26,0.18,5,0.18,0.06,0,0,26,0.93,38.46,19.231,0.36,1.97,27.27,0.32,33.33,1.65,26.09,0.36,0.9,32,3.7,33.98,1.58,1.33,0.11,26.6,0.61,0.83,38.23,81.88,11.99,65.57,9.01,98.8,11.13,86.13,32.27,90.21,3.98,41.44,19.05,34.9,0.21,1.65,0.22,0.04,0.11,66.67,0.68,6.1,61.76,2.8,48.72,0.75,28.57,0.97,0.65,5.71,78.62,0,,0,,0,0,0,0,,,0.43,,,1.22,0.04,100,4.7,0,0
H. Meinseth,Kjelsås,Kjelsås,"LB, RB",26,100000,,26,2500,3,0.52,1,2.89,13.86,56.1,Norway,Norway,right,184,0,no,7.85,6.95,64.77,1.69,38.3,0.11,0.12,0.07,3.24,3.45,0.47,3,0.11,0,0,2.56,0.11,3,0.11,0.02,0,0,9,0.32,44.44,33.333,0.04,2.92,41.98,1.98,41.82,0.94,42.31,0.47,1.91,62.26,4.03,47.32,1.55,1.58,0.22,24.88,1.69,0.9,35.5,79.01,12.46,65.61,7.99,96.85,10.76,79.26,27.29,86.54,5.36,61.07,21.51,39.43,0.1,1.37,0.07,0.04,0,0,0.36,4.32,67.5,2.81,50,0.25,28.57,0.58,1.26,8.35,73.71,0,,0,,0,0,0,0,,,0.58,,,0.4,0,0,1.15,0,0
C. Kjensteberg,Ullensaker / Kisa,Ullensaker / Kisa,"LCMF, AMF",20,0,2026-12-31,26,2498,3,4.22,3,3.88,16.32,51.66,Norway,Norway,unknown,0,0,no,6.34,6.05,57.74,1.19,48.48,0.14,0.19,0.18,2.7,3.53,1.15,3,0.11,0,0,2.13,0.11,3,0.11,0.15,0,0,34,1.22,29.41,8.824,0.11,1.12,29.03,1.04,31.03,0.04,0,0.11,2.38,56.06,7.13,45.45,2.2,2.41,0.25,28.17,1.01,1.73,37.33,84.56,8.5,69.07,8.14,94.25,14.34,90.2,34.73,87.45,1.48,58.54,17.67,31.09,0.14,1.19,0.18,0.04,0.29,37.5,0.29,3.82,75.47,2.2,49.18,0.29,37.5,1.12,0.32,4.36,66.12,0,,0,,0,0,0,0,,,0.14,,,0.04,0,0,0.54,0,0
