Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Ismaheel,Lech Pozna?,Lech Pozna?,"RW, RWF, LWF",25,600000,2027-06-30,16,1093,0,2.19,2,1.52,15.15,47.28,Nigeria,Nigeria,right,170,65,yes,4.12,2.88,51.43,1.65,30,0.25,0.34,0.08,2.39,3.26,0.74,2,0.16,0,0,4.28,0,0,0,0.18,0,0,34,2.8,29.41,0,0.16,2.55,29.03,0.58,57.14,1.98,20.83,0.58,4.36,58.49,8.98,50.46,4.12,2.96,0.66,21.82,2.22,1.81,28.9,79.2,7.99,71.13,5.76,95.71,9.88,73.33,25.28,84.69,1.24,60,16.6,28.04,0.13,1.24,0,0,0.41,40,0.74,2.22,77.78,3.62,50,0.49,50,1.81,0.91,3.71,80,,0,0,0,0,0,0
A. Tapsoba,Radomiak Radom,Radomiak Radom,"RAMF, CF, LW",24,500000,2027-06-30,15,759,1,2.75,0,0.55,23,40.72,Burkina Faso,Burkina Faso,right,180,70,no,6.17,7,49.15,4.74,50,0.36,0.56,0.12,2.37,3.7,3.32,4,0.47,0,0,2.02,0.12,1,0.12,0.33,0,0,16,1.9,25,6.25,0,1.66,7.14,0.24,0,1.42,8.33,0.24,2.85,50,7.94,34.33,2.13,1.19,0.24,8.54,0.59,2.25,13.28,63.39,3.44,48.28,3.08,92.31,4.27,58.33,10.43,72.73,1.3,54.55,22.69,21.5,0.06,0.36,0,0,0,0,0.36,0.71,33.33,1.54,30.77,0.24,50,0.47,0.24,2.25,42.11,,0,0,0,0,0,0
F. Majchrowicz,Radomiak Radom,Radomiak Radom,GK,25,400000,,15,1459,0,0,0,0,0.86,85.71,Poland,Poland,right,194,99,no,1.54,0.06,100,0.62,90,0,0,0,1.48,2.11,0.06,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,8.33,0.25,0.31,13.94,90.27,5.61,80.22,0,0,7.65,97.58,10.42,97.63,3.45,69.64,28,51.47,0,0,0,0.06,0,0,0,1.6,65.38,0.12,0,0.06,0,0,0,2.78,77.78,0.62,,,,0,0,0
R. Wolski,Radomiak Radom,Radomiak Radom,"AMF, CF, LCMF",32,450000,,15,1081,1,1.15,4,1.58,16.07,45.08,Poland,Poland,right,180,70,no,4.33,4.5,55.56,1.67,30,0.17,0.24,0,1.67,2.36,1.75,3,0.25,0,0,2.5,0.08,1,0.08,0.1,0,0,16,1.33,31.25,6.25,0.33,1.75,28.57,1.5,27.78,0.25,33.33,0.08,2.5,60,7.83,45.74,2.08,1.58,0.25,19.32,0.92,2.16,28.06,77.15,7.33,68.18,6.33,97.37,8.66,73.08,24.56,81.36,1.75,66.67,16.55,21.85,0.13,1.33,0.08,0.17,0.17,50,0.33,4,68.75,1.91,56.52,0.42,40,0.75,0.58,4.33,73.08,,1.58,0,0,1.83,0,0
Maurides,Radomiak Radom,Radomiak Radom,CF,31,300000,2026-06-30,15,1139,5,4.36,2,0.92,21.97,42.09,Brazil,Brazil,left,189,93,no,1.82,1.19,40,12.25,54.19,0,0,0.16,1.34,1.91,0.79,0,0,0,0,1.42,0.4,5,0.4,0.34,4,0.32,27,2.13,48.15,18.519,0.16,0.24,33.33,0.16,0,0.08,100,0,0.55,57.14,4.42,23.21,3.32,0.24,0.08,9.24,1.58,0.47,14.3,75.14,3.32,57.14,3.16,90,4.82,83.61,12.88,76.69,1.19,66.67,16.2,22.91,0.07,0.55,0.08,0,0.08,0,0.32,1.34,70.59,0.4,60,0.08,0,0.79,0,1.5,52.63,,0.16,0.16,0,0,0,0
J. Grzesik,Radomiak Radom,Radomiak Radom,"LB, RB",31,300000,,15,1459,6,1.1,4,2.92,13.82,51.34,Poland,Poland,right,178,70,no,7.65,5.43,47.73,3.33,64.81,0.25,0.35,0.25,4.81,6.84,0.93,1,0.06,0,0,1.79,0.37,6,0.37,0.07,1,0.06,10,0.62,70,60,0.25,2.34,34.21,1.23,40,1.11,27.78,0.25,1.05,47.06,3.15,50.98,2.16,1.73,0.31,20.97,2.22,1.05,29.24,77.22,11.23,70.33,5.12,96.39,7.4,75,24.06,83.85,2.9,57.45,17.34,31.23,0.18,1.11,0.19,0.06,0.25,25,0.56,2.84,65.22,1.97,53.13,0.43,28.57,0.62,0.74,6.29,64.71,,0,0,0,0,0,0
M. W?drychowski,Katowice,Katowice,RWF,23,300000,2026-06-30,15,569,0,1.26,1,2.06,24.52,48.39,Poland,Poland,both,171,69,no,5.54,7.59,58.33,1.27,50,0.16,0.23,0,0.95,1.35,1.27,1,0.16,0,0,5.06,0,0,0,0.2,0,0,12,1.9,50,0,0.16,2.53,56.25,0,0,2.53,56.25,0,4.9,54.84,13.6,44.19,2.06,4.27,1.27,17.87,0.79,2.21,28.47,78.89,6.49,60.98,6.17,94.87,9.49,83.33,24.67,84.62,1.27,12.5,14.59,14.64,0.33,1.9,0.32,0,0,0,1.42,2.21,71.43,3.64,47.83,0.32,0,0.95,1.42,3.95,60,,0,0,0,0,0,0
A. J?drych,Katowice,Katowice,CB,33,300000,2026-06-30,15,1491,2,1.36,0,0.07,10.99,60.44,Poland,Poland,right,193,90,no,6.64,3.44,73.68,5.37,53.93,0.06,0.09,1.27,4.04,5.84,0.54,2,0.12,0,0,0.3,0.12,2,0.12,0.08,1,0.06,8,0.48,50,25,0,0.12,0,0.12,0,0,0,0,0.06,100,0.48,62.5,0.91,0.18,0.06,29.82,0.24,0.42,45.88,87.89,16.6,71.64,1.15,89.47,24.69,98.29,38.33,94.65,7.42,54.47,23.4,42.5,0,0.06,0,0,0,0,0,5.31,62.5,0.3,20,0.36,33.33,0.12,0,7.36,69.67,,0,0,0,0,0,0
Borja Galán,Katowice,Katowice,LWB,32,300000,2026-06-30,15,1460,1,3.37,1,0.82,23.55,47.12,Spain,Spain,right,182,76,no,7.15,5.49,52.81,5.61,51.65,0.12,0.18,0.31,4.13,5.98,1.05,3,0.18,0,0,3.08,0.06,1,0.06,0.21,1,0.06,24,1.48,33.33,4.167,0.06,2.84,32.61,2.59,30.95,0.12,50,0.68,3.27,50.94,9.92,42.24,2.22,2.28,0.43,22.01,1.48,1.79,32.92,74.53,9.68,61.78,6.23,92.08,12.08,76.02,25.15,83.58,4.93,52.5,20.34,34.97,0.05,0.68,0.06,0,0.18,0,0.25,2.53,56.1,3.76,44.26,0.55,11.11,0.92,0.99,6.35,63.11,,0,0,0,0.06,0,0
B. Nowak,Katowice,Katowice,"LWF, LCMF",32,600000,2027-06-30,15,1433,4,3.58,5,4.65,11.05,38.07,Poland,Poland,right,180,73,no,3.83,2.83,55.56,0.63,40,0.19,0.27,0.13,2.07,2.99,0.44,1,0.06,0,0,2.95,0.25,4,0.25,0.22,0,0,30,1.88,63.33,13.333,0.31,1.63,34.62,0.94,40,0.57,22.22,0.38,2.2,48.57,6.03,30.21,2.32,1.82,0.13,19.53,1.63,0.57,25.94,75.06,8.42,66.42,4.21,88.06,7.98,80.31,21.73,80.64,2.64,54.76,17.81,41.09,0.29,2.07,0,0.13,0.31,40,0.57,4.08,69.23,3.2,52.94,1.07,41.18,1.63,0.63,5.72,70.33,,2.83,0.5,62.5,4.96,0,0
