Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Bednarczyk,Górnik ??czna,Górnik ??czna,RB,26,200000,,18,1764,2,2.27,2,2.57,18.52,53.99,Poland,"Poland, Germany",right,184,68,no,10.66,6.84,61.94,2.96,41.38,0.26,0.38,0.36,6.17,9.17,0.87,3,0.15,0,0,3.88,0.1,0,0,0.12,0,0,32,1.63,15.63,6.25,0.1,5,29.59,0.26,60,4.64,27.47,0.41,3.57,60,6.99,52.55,1.02,3.06,0.41,25.92,1.53,1.84,37.4,71.76,12.19,56.07,7.24,95.77,12.55,73.17,27.5,84.23,5,43.88,21.84,39.62,0.13,1.12,0,0.05,0.05,0,0.66,5.26,55.34,4.69,36.96,0.46,22.22,0.41,1.68,8.32,73.01,0,,0,,0,0,0,0,,,0.87,,,0.31,0.05,0,0.71,2,100
D. Arndt,Chrobry G?ogów,Chrobry G?ogów,GK,24,200000,2026-06-30,18,1758,0,0,0,0,0.61,100,Poland,Poland,right,187,80,no,1.23,0,0,0.36,100,0,0,0,1.23,1.78,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,100,0,0,0.05,13.11,0.1,0.26,21.25,87.23,11.26,77.73,0,0,9.47,97.84,13.26,97.68,7.99,69.87,31.9,49.51,0,0,0,0,0,0,0,2.46,64.58,0.1,0,0.1,50,0,0,6.71,77.86,16,0.82,66,3.38,7,75.76,20.33,1.04,4.33,0.222,0,1.95,0.36,,,,0,0,0
M. Mazur,Chrobry G?ogów,Chrobry G?ogów,LCB,27,200000,,18,1758,5,4.76,0,1.09,12.75,55.82,Ukraine,Ukraine,left,194,88,no,8.7,3.99,56.41,5.02,57.14,0.36,0.52,0.82,6.09,8.81,0.61,2,0.1,0,0,1.23,0.26,3,0.15,0.24,1,0.05,22,1.13,40.91,22.727,0,0.97,57.89,0.77,53.33,0.15,66.67,0,0.36,57.14,1.84,44.44,1.28,1.23,0.05,35.84,0.51,0.97,50.12,82.12,25.75,75.15,2.82,94.55,17.3,91.42,37.17,90.77,12.03,57.02,24.36,41.18,0.06,0.36,0,0,0,0,0.31,10.39,68.47,2.76,57.41,1.38,55.56,0.92,0.56,13.67,74.91,0,,0,,0,0,0,0,,,1.64,,,0.26,0.15,66.67,0,4,50
J. Keiblinger,Tychy 71,Tychy 71,"RWB, RB",24,300000,2026-06-30,18,1719,3,0.93,2,3.76,13.3,44.09,Austria,Austria,right,176,69,no,7.59,5.55,44.34,1.57,33.33,0.31,0.44,0.31,4.82,6.72,0.79,2,0.1,0,0,2.25,0.16,3,0.16,0.05,0,0,13,0.68,30.77,23.077,0.1,3.3,42.86,0.37,42.86,2.88,41.82,0.68,1.62,35.48,4.92,45.74,1.41,1.62,0.05,28.74,1.83,0.89,39.11,82.73,9.32,73.6,9.58,95.08,13.72,82.44,33.77,89.3,2.15,39.02,17.83,36.5,0.2,1.94,0,0.05,0.05,100,0.58,2.83,77.78,3.4,52.31,0.16,66.67,0.99,1.47,6.44,66.67,0,,0,,0,0,0,0,,,0.79,,,1.1,0,0,2.09,0,0
B. Pindroch,Górnik ??czna,Górnik ??czna,GK,34,50000,2026-06-30,17,1671,0,0,0,0,0.54,70,Slovakia,Slovakia,right,194,90,no,1.18,0.16,66.67,0.11,50,0.11,0.16,0,0.97,1.45,0.05,3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,100,0,0,0,12.33,0.11,0.27,21.49,87.97,10.02,76.88,0,0,10.61,97.97,15.83,97.62,5.6,61.54,26.67,46.02,0,0,0,0,0,0,0,1.45,37.04,0.16,0,0.11,50,0,0,3.66,69.12,35,1.89,94,5.06,1,62.77,26.5,1.43,-8.5,-0.458,0,1.18,0.11,,,,0,0,0
M. Konczkowski,Ruch Chorzów,Ruch Chorzów,RB,32,300000,2026-06-30,17,1668,0,0.09,0,3.01,11.44,55.66,Poland,Poland,right,181,78,no,7.5,5.45,66.34,2.48,52.17,0.16,0.24,0.05,3.72,5.46,0.54,1,0.05,0,0,2.1,0,0,0,0,0,0,6,0.32,0,0,0,3.45,53.13,0.05,0,3.35,53.23,0.32,0.7,38.46,2.16,37.5,0.97,0.92,0.16,30.59,2.1,0.7,42.84,81.11,17.91,74.4,7.12,96.21,11.98,87.39,35.18,85.58,4.26,67.09,19.48,28.51,0.16,1.19,0.05,0,0,0,0.65,6.42,77.31,3.51,64.62,0.11,100,0.65,1.83,11.82,78.08,0,,0,,0,0,0,0,,,1.19,,,0,0,0,0,0,0
J. Gri?,Chrobry G?ogów,Chrobry G?ogów,RCB,29,250000,,17,1663,2,1.44,0,0.02,10.5,62.89,Slovakia,Slovakia,right,181,78,no,8.17,4.87,68.89,2.38,54.55,0.16,0.23,0.87,4.65,6.67,1.03,5,0.27,0,0,0.76,0.11,2,0.11,0.08,1,0.05,14,0.76,42.86,14.286,0,0.54,50,0.05,100,0.49,44.44,0.05,0.27,60,0.92,47.06,0.87,1.41,0.05,29.82,0.22,0.76,45.3,89.96,13.53,77.6,3.03,96.43,26.03,96.88,40.86,94.17,3.95,52.05,21.13,35.04,0,0.22,0,0,0,0,0.05,4.92,74.73,0.87,62.5,0.32,16.67,0.43,0.27,5.95,66.36,0,,0,,0,0,0,0,,,2.33,,,0,0,0,0,0,0
R. Mandrysz,Chrobry G?ogów,Chrobry G?ogów,"LDMF, DMF, LCMF",34,100000,2026-06-30,17,1660,4,2.84,2,0.92,10.03,51.89,Poland,Poland,right,180,72,no,7.43,4.01,62.16,2.49,50,0.11,0.16,0.54,4.83,7.04,1.08,5,0.27,0,0,1.14,0.22,4,0.22,0.15,0,0,27,1.46,40.74,14.815,0.11,0.6,36.36,0.22,25,0.38,42.86,0.11,0.33,66.67,1.84,38.24,1.3,0.65,0,36.27,0.43,0.65,48.96,89.37,15.99,75.93,6.51,97.5,20.55,95.78,44.73,93.45,3.63,47.76,18.94,40.56,0.05,0.6,0.05,0,0.11,100,0.33,8.08,73.15,1.63,50,0.65,33.33,0.87,0.22,6.67,84.55,0,,0,,0,0,0,0,,,0.76,,,0,0,0,0,0,0
J. Lemanowicz,Pogo? Siedlce,Pogo? Siedlce,GK,26,150000,,17,1659,0,0,0,0,0.65,100,Poland,Poland,right,190,0,no,0.98,0,0,0.6,100,0,0,0,0.98,1.22,0,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,5.97,0.22,0.05,12.31,79.74,7.16,66.67,0.05,100,4.88,98.89,7.27,94.78,5.05,58.06,32.79,46.11,0,0,0,0,0,0,0,1.08,50,0.05,0,0,0,0,0,4.39,64.2,17,0.92,75,4.07,6,77.33,19.66,1.07,2.66,0.144,0.05,2.44,0.6,,,,0,0,0
Marc Llinares,?l?sk Wroc?aw,?l?sk Wroc?aw,LB,26,450000,2026-06-30,17,1655,1,1.46,1,0.93,13.76,46.64,Spain,Spain,left,180,75,no,7.45,5.93,52.29,1.79,36.36,0,0,0.16,4.35,6.67,1.25,2,0.11,0,0,1.69,0.05,1,0.05,0.08,0,0,14,0.76,21.43,7.143,0.05,2.45,35.56,2.34,34.88,0.05,0,0.38,1.14,52.38,4.13,43.42,1.47,1.85,0.49,34.21,1.09,1.2,44.97,82.1,16.42,71.19,9.35,95.35,11.64,85.51,38.45,89.39,4.3,41.77,17.67,38.08,0.05,0.65,0.05,0,0.11,50,0.16,5.55,68.63,2.66,46.94,0.27,60,0.6,0.82,7.23,70.68,0,,0,,0,0,0,0,,,0.65,,,0,0,0,0,0,0
