Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Ondoa,UD Oliveirense,UD Oliveirense,"LCMF, RCMF",19,0,2028-06-30,11,325,1,0.23,0,0,19.38,44.29,France,France,right,183,0,yes,8.58,6.92,72,3.05,27.27,0,0,0,3.6,5.74,2.22,2,0.55,0,0,1.38,0.28,1,0.28,0.06,0,0,5,1.38,40,20,0,0.28,0,0.28,0,0,0,0,2.22,37.5,7.48,25.93,1.38,0.28,0,11.35,0.55,0.55,24.37,84.09,7.2,69.23,6.37,95.65,6.65,79.17,21.88,88.61,2.49,44.44,15.25,20.14,0,0,0,0,0,0,0,3.05,45.45,0.55,0,0.28,0,0,0.28,3.05,54.55,,0,0,0,0.28,0,0
Bruno Silva,UD Oliveirense,UD Oliveirense,LWF,27,275000,,11,869,3,1.19,1,0.71,14.4,37.41,Portugal,Portugal,right,173,64,no,3,2.69,50,1.97,26.32,0.1,0.14,0,1.55,2.04,0.62,2,0.21,0,0,1.76,0.31,3,0.31,0.12,0,0,10,1.04,60,30,0.1,1.04,30,0.52,60,0.52,0,0.1,1.86,38.89,8.39,35.8,1.35,1.86,0.62,15.22,1.76,2.07,18.54,70.39,5.18,56,4.76,95.65,4.56,65.91,15.85,75.82,1.86,38.89,18.28,35.96,0.07,0.93,0,0,0.1,100,0.21,2.28,45.45,1.45,50,0.21,50,0.62,0.1,2.49,62.5,,1.86,0.1,0,1.35,0,0
João Silva,UD Oliveirense,UD Oliveirense,"RWF, RWB, CF",26,100000,,11,919,2,1.58,1,0.51,19.1,40,Portugal,Portugal,right,176,63,no,7.25,7.83,50,2.64,29.63,0.59,0.76,0,2.74,3.54,1.76,4,0.39,0,0,2.55,0.2,2,0.2,0.15,1,0.1,19,1.86,42.11,10.526,0.1,2.25,30.43,0.1,0,2.15,31.82,0.2,2.45,44,7.54,35.06,2.94,1.57,0.2,16.16,2.94,0.98,21.64,72.85,5.39,67.27,5.19,94.34,6.86,65.71,18.31,80.75,1.27,30.77,16.36,34.52,0.05,0.59,0,0,0,0,0.2,2.15,59.09,2.06,47.62,0.1,0,0.88,0.59,3.13,68.75,,0.59,0.1,0,0.29,0,0
Bura,UD Oliveirense,UD Oliveirense,CB,36,50000,,11,1020,2,1.27,0,0.15,10.15,60,Portugal,Portugal,right,193,95,no,8.82,2.74,67.74,5.56,61.9,0.09,0.12,1.15,6.88,9.11,0.35,3,0.26,0,0,0.44,0.18,1,0.09,0.11,1,0.09,12,1.06,33.33,16.667,0,0,0,0,0,0,0,0,0.09,100,0.53,50,1.24,0.53,0,20.56,0.26,0.35,34.24,80.15,17.21,68.72,1.59,88.89,14.03,93.08,26.21,87.54,8.03,56.04,26.09,42.25,0.01,0.09,0,0,0,0,0.09,5.82,63.64,0.71,37.5,0.53,16.67,0.18,0,9.79,67.57,,0.18,0.18,0,0,1,100
Ricardo Ribeiro,UD Oliveirense,UD Oliveirense,GK,35,50000,2026-06-30,11,1087,0,0,0,0,0.5,100,Portugal,Portugal,right,184,75,no,2.07,0.08,100,0.33,100,0,0,0,1.99,2.62,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,0,10.18,0.08,0.17,15.81,81.15,9.27,67.86,0,0,5.96,100,8.86,99.07,6.95,58.33,35.96,52.04,0,0,0,0,0,0,0,2.48,46.67,0.17,0,0,0,0,0,4.89,74.58,0.33,,,,0,0,0
Diogo Pereira,UD Oliveirense,UD Oliveirense,RCMF,29,0,2026-06-30,11,928,0,0.05,0,0.29,10.57,55.96,Portugal,Portugal,right,176,72,no,5.53,5.43,55.36,1.16,83.33,0.19,0.26,0,2.33,3.06,1.16,4,0.39,0,0,1.07,0,0,0,0,0,0,3,0.29,33.33,0,0,1.16,25,0.1,0,1.07,27.27,0,1.07,63.64,3.1,43.75,0.39,0.87,0.1,21.05,0.78,0.87,36.56,83.02,12.8,75,7.95,96.34,10.57,84.4,32.97,87.94,2.52,42.31,18.44,40.27,0.03,0.39,0,0.1,0,0,0.1,4.46,71.74,1.55,50,0.29,33.33,0.29,0.29,6.01,69.35,,0,0,0,0,0,0
Frederico Namora,UD Oliveirense,UD Oliveirense,"LCB, RCB",27,0,,11,1087,0,0.3,1,0.07,10.52,59.06,Portugal,Portugal,left,178,73,no,8.94,4.47,74.07,3.06,37.84,0.17,0.22,0.41,5.46,7.2,0.25,1,0.08,0,0,0.66,0,0,0,0.02,0,0,4,0.33,25,0,0.08,0.25,66.67,0.17,50,0,0,0,0.33,100,1.24,60,0.25,0.5,0.17,22.36,0.25,0.66,39.99,80.95,20.78,69.72,3.39,90.24,13.16,94.97,32.54,86.77,7.2,55.17,24.37,41.66,0.01,0.17,0.08,0,0.08,100,0.08,6.38,58.44,1.08,46.15,0.66,25,0.33,0.17,10.27,69.35,,0,0,0,0,0,0
Pedro Martelo,UD Oliveirense,UD Oliveirense,CF,26,0,,11,685,1,1.63,2,0.53,20.23,35.71,Portugal,Portugal,right,190,84,no,1.84,1.84,35.71,6.31,43.75,0.13,0.18,0,1.05,1.41,1.05,1,0.13,0,0,1.18,0.13,1,0.13,0.21,0,0,8,1.05,50,12.5,0.26,0.39,0,0,0,0.39,0,0.13,0.92,28.57,8.67,33.33,1.84,0.39,0,9.59,1.45,2.63,14.06,72.9,3.02,60.87,4.07,93.55,3.55,70.37,13.4,76.47,0.26,0,15.09,9.86,0.07,0.53,0,0,0.39,100,0.39,2.1,62.5,1.18,44.44,0.39,100,0.53,0,1.71,69.23,,0,0,0,0,0,0
Antonio Gomís,Vizela,Vizela,GK,22,0,,11,1123,0,0,0,0.17,0.8,100,Spain,Spain,left,186,80,no,1.84,0.08,100,0.48,100,0,0,0,1.76,2.97,0,2,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0.32,0.24,18.67,85.41,10.18,73.23,0,0,7.45,100,13.3,98.8,5.37,52.24,28.87,50.96,0.01,0.08,0,0,0,0,0.08,1.6,25,0.16,0,0.16,50,0,0,3.45,65.12,0.48,,,,0,0,0
N. Thio,Vizela,Vizela,"RWB, LB, LW",26,350000,2026-06-30,11,1044,2,0.99,1,0.35,14.22,51.52,France,"France, Côte d'Ivoire",left,185,71,no,5,3.97,58.7,1.03,25,0.17,0.29,0,2.5,4.24,0.86,2,0.17,0,0,4.66,0.17,2,0.17,0.09,0,0,22,1.9,50,9.091,0.09,3.28,36.84,1.29,26.67,1.98,43.48,0.43,4.22,57.14,8.36,53.61,1.21,1.98,0.52,15.86,0.78,0.6,22.76,76.52,6.9,71.25,4.31,92,7.67,77.53,18.62,86.57,0.95,18.18,18.43,22.3,0.03,0.26,0.09,0,0.09,100,0.09,1.9,63.64,2.24,46.15,0.09,0,0.26,1.03,5.52,73.44,,0.43,0.17,50,1.55,0,0
