Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
João Ferreira,Saint-Étienne,Sporting Braga II,RCB,24,2000000,2027-06-30,1,97,0,0,0,0,12.06,61.54,Portugal,Portugal,right,185,79,no,3.71,4.64,40,6.49,71.43,0,0,0,1.86,3,2.78,1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,19.48,0,0.93,38.04,75.61,19.48,57.14,4.64,100,13.92,93.33,29.69,84.38,8.35,44.44,25.89,46.26,0,0,0,0,0,0,0,3.71,25,0,0,0,0,0.93,0,6.49,57.14,0,,0,,0,0,0,0,,,3.71,,,0,0,0,0,0,0
Théo Fonseca,Fafe,Fafe,"CF, LW, LWF",25,600000,,10,588,1,1.79,0,0.37,16.84,36.36,France,"France, Portugal",right,178,75,no,2.3,2.3,40,3.83,48,0,0,0,1.38,2.67,1.38,0,0,0,0,1.38,0.15,1,0.15,0.27,1,0.15,13,1.99,30.77,7.692,0,1.22,12.5,0.92,16.67,0.31,0,0,0.77,80,7.96,30.77,2.76,0.31,0,14.54,1.84,1.99,18.06,73.73,4.44,65.52,4.29,92.86,4.74,70.97,15.15,78.79,1.68,72.73,15,23.69,0.06,0.77,0,0,0,0,0.31,2.45,62.5,2.14,50,0.15,0,1.22,0.31,2.6,76.47,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
Gonçalo Teixeira,Varzim,Varzim,"RWF, LWF, LCMF",25,500000,,3,108,0,0.16,1,0.05,14.17,35.29,Portugal,Portugal,right,179,66,no,4.17,3.33,50,0.83,0,0,0,0,2.5,4.29,0.83,0,0,0,0,0.83,0,0,0,0.14,0,0,1,0.83,0,0,0.83,2.5,0,0.83,0,1.67,0,1.67,1.67,50,7.5,33.33,2.5,0.83,0,16.67,5,0.83,20.83,76,5,83.33,5,100,5.83,42.86,15.83,100,2.5,0,17.36,12.24,0.04,0.83,0,0,0,0,0.83,1.67,100,4.17,20,1.67,0,1.67,0,1.67,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0.83,0,0
Pedro Silva,Mafra,Mafra,GK,28,500000,,10,989,0,0,0,0,0.55,66.67,Portugal,Portugal,right,189,76,no,1.18,0.09,0,0.09,100,0,0,0,1.18,1.72,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,0.09,5.46,0.18,0.27,11.38,84,5.73,69.84,0,0,4.82,98.11,8.37,95.65,3,51.52,28.92,49.31,0,0,0,0,0,0,0,0.64,14.29,0.27,0,0,0,0,0,2.37,53.85,10,0.91,34,3.09,4,70.59,9.09,0.83,-0.91,-0.083,0,0.64,0.09,,,,0,0,0
Lucas Gabriel,Mafra,Mafra,"AMF, LAMF",24,450000,2028-06-30,8,392,0,0.64,0,0.1,17.91,42.31,Brazil,"Brazil, Portugal",right,182,76,no,2.76,2.07,77.78,3.44,40,0.23,0.33,0,0.92,1.32,0.23,0,0,0,0,2.76,0,0,0,0.15,0,0,13,2.98,0,0,0,1.38,50,0.92,50,0.23,0,0,2.76,75,9.41,36.59,1.15,0.69,0,17.68,1.15,1.84,25.48,74.77,8.27,63.89,6.89,83.33,6.2,81.48,22.5,75.51,1.61,85.71,19.15,23.7,0.02,0.92,0,0,0.23,0,0,5.05,77.27,1.84,62.5,0.23,0,0.46,0.69,4.13,66.67,0,,0,,0,0,0,0,,,0,,,0.46,0,0,2.07,0,0
Braima Sambú,Mafra,Mafra,"LDMF, RDMF, DMF",24,450000,2026-06-30,7,652,0,0.28,0,0.18,12.84,49.46,Guinea-Bissau,"Guinea-Bissau, Portugal",right,181,74,no,5.25,4.42,46.88,2.62,57.89,0.14,0.19,0.14,3.04,4.18,1.38,1,0.14,0,0,0.55,0,0,0,0.04,0,0,3,0.41,66.67,0,0,0.41,33.33,0,0,0.41,33.33,0,0.14,100,4.14,46.67,0.14,0,0,17.12,0.14,1.38,30.64,83.78,9.25,67.16,3.17,91.3,14.08,92.16,26.5,88.02,3.73,59.26,19.63,28.85,0.03,0.41,0,0,0,0,0.14,4.83,68.57,0.97,42.86,0,0,0.28,0.14,4.28,74.19,0,,0,,0,0,0,0,,,0.41,,,0,0,0,0,0,0
Celso Raposo,Mafra,Mafra,"RB, RW",29,450000,,9,626,0,0.17,0,0.42,14.81,61.17,Portugal,Portugal,right,180,68,no,8.48,6.33,72.73,2.59,55.56,0.58,0.82,0,3.31,4.73,1.01,4,0.58,0,0,2.3,0,0,0,0.03,0,0,2,0.29,50,0,0,3.59,24,0,0,3.59,24,0.43,1.58,72.73,4.03,50,0.43,1.29,0,22.72,1.58,0.86,35.37,67.48,15.24,56.6,4.17,93.1,12.22,75.29,23.72,84.24,8.48,35.59,22.42,23.71,0.06,0.72,0,0,0.14,100,0.43,8.48,55.93,4.6,43.75,0.58,100,1.15,1.15,9.63,77.61,0,,0,,0,0,0,0,,,0.29,,,0,0,0,0.29,0,0
Nuno Reis,União Santarém,União Santarém,"RCB, LCB",34,350000,,5,435,0,0.14,0,0,11.59,48.21,Switzerland,"Switzerland, Portugal",right,178,73,no,8.07,4.97,58.33,4.55,36.36,0.41,0.55,0.83,4.76,6.27,0.83,1,0.21,0,0,0.41,0,0,0,0.03,0,0,2,0.41,100,0,0,0.21,0,0,0,0.21,0,0,0,0,0,0,1.03,1.03,0.21,28.34,0.41,0,43.86,84.43,19.66,74.74,1.03,100,21.31,95.15,34.76,92.26,8.9,55.81,24.59,37.85,0,0,0,0,0,0,0,6.21,76.67,0.62,0,0.21,100,0,0,9.93,70.83,0,,0,,0,0,0,0,,,0.83,,,0,0,0,0,0,0
Miguel Bandarra,CF Os Belenenses,CF Os Belenenses,"RB, LB, RWB",29,350000,,10,829,0,0.21,0,1.22,17.04,50.32,Portugal,Portugal,right,182,76,no,8.14,6.41,59.32,3.15,51.72,0.22,0.33,0.11,4.13,6.2,1.41,3,0.33,0,0,2.93,0,0,0,0.02,0,0,9,0.98,33.33,0,0,4.99,23.91,0.33,33.33,4.67,23.26,0.54,2.06,63.16,5.54,49.02,0.76,1.95,0.11,32.79,1.95,0.76,46.47,73.36,20.63,69.47,5.75,94.34,14.87,73.72,34.96,85.09,6.62,49.18,22.2,41.1,0.13,1.3,0,0,0.22,50,0.33,11.29,72.12,4.99,39.13,0.98,55.56,0.98,1.09,13.79,83.46,0,,0,,0,0,0,0,,,0.33,,,1.09,0.22,0,1.95,0,0
Rúben Fonseca,Paredes,Paredes,CF,25,350000,,9,521,0,1.18,1,0.56,14.34,54.22,Portugal,Portugal,right,188,82,no,3.45,4.15,50,3.97,69.57,0.17,0.2,0.17,1.21,1.43,1.21,2,0.35,0,0,0.35,0,0,0,0.2,0,0,11,1.9,9.09,0,0.17,0,0,0,0,0,0,0,0.17,100,4.32,44,2.94,0.35,0,11.57,2.25,1.9,17.27,80,3.8,72.73,4.49,92.31,5.53,78.13,16.58,80.21,0.69,75,14.97,12.31,0.1,0.69,0,0,0,0,0.52,2.25,84.62,0.35,0,0,0,0.69,0,2.07,58.33,0,,0,,0,0,0,0,,,0.17,,,0,0,0,0,0,0
