Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Caio Amaral,Torreense U23,Torreense U23,CB,22,0,,12,1194,2,1.89,0,0.17,13.12,67.82,Brazil,Brazil,,0,0,no,8.07,5.35,77.46,3.62,70.83,0.23,0.32,0.75,3.69,5.18,1.43,3,0.23,1,0.08,0.45,0.15,2,0.15,0.14,1,0.08,8,0.6,50,25,0,0,0,0,0,0,0,0,0.3,50,1.43,47.37,0.9,0.23,0,20.05,0,0.45,36.26,86.69,14.62,75.77,2.34,96.77,17.11,94.27,31.96,91.98,4.3,47.37,23.18,43.04,0.01,0.15,0,0,0,0,0.08,3.47,52.17,0.15,0,0.23,33.33,0.08,0,6.41,58.82,0,,0,,0,0,0,0,,,1.73,,,0,0,0,0,0,0
Rodrigo Guerreiro,Torreense U23,Torreense U23,"LB, LWB",19,0,,12,1180,1,0.76,3,2.11,16.7,49.77,Portugal,Portugal,left,180,76,no,7.17,6.48,63.53,1.68,45.45,0.23,0.32,0,2.82,3.92,1.3,2,0.15,0,0,1.07,0.08,1,0.08,0.06,0,0,10,0.76,20,10,0.23,1.45,42.11,1.37,44.44,0.08,0,0.46,1.3,23.53,6.64,39.08,1.22,1.37,0.15,22.35,1.6,2.14,31.42,74.76,13.58,65.73,5.49,90.28,7.7,79.21,26.54,80.75,3.43,42.22,18.95,33.87,0.16,1.37,0,0,0,0,0.69,5.49,54.17,2.14,42.86,0.38,0,0.46,0.76,7.63,68,0,,0,,0,0,0,0,,,0.38,,,0.38,0.08,0,0.23,0,0
Xavier Cavaco,UD Leiria U23,UD Leiria U23,"LCMF, RCMF, CF",19,0,,12,1171,3,0.62,0,0.82,17.29,58.22,Portugal,Portugal,both,179,65,no,11.53,7.99,68.27,2.92,47.37,1.08,1.43,0.31,5,6.63,1.46,1,0.08,0,0,0.77,0.23,3,0.23,0.05,0,0,7,0.54,42.86,42.857,0,0.23,33.33,0.08,100,0.15,0,0,1.08,35.71,3.84,54,0.69,0.61,0.08,18.06,0.69,1.84,30.67,83.46,9.38,69.67,5.61,93.15,10.91,92.25,28.51,85.44,1.92,60,17.77,31.04,0.06,0.38,0,0,0.31,25,0.23,3.38,72.73,0.92,33.33,0.46,16.67,0.31,0.15,4.53,54.24,0,,0,,0,0,0,0,,,0.31,,,0,0,0,0,0,0
Sebastião Leandro,UD Leiria U23,UD Leiria U23,"RB, LB, LWB",19,0,,12,1154,1,1.32,0,0.18,19.81,51.57,Portugal,Portugal,unknown,0,0,no,10.53,9.05,63.79,2.42,35.48,0.55,0.73,0.23,4.21,5.63,1.17,1,0.08,0,0,1.56,0.08,1,0.08,0.1,0,0,10,0.78,40,10,0,1.17,33.33,0.78,40,0.39,20,0.39,2.42,35.48,6.24,37.5,1.33,1.4,0.08,18.09,1.33,1.33,28.08,75.56,12.79,67.68,5.07,93.85,6.71,80.23,24.33,81.41,2.65,41.18,17.74,28.14,0.01,0.23,0,0.16,0.08,0,0.08,3.67,61.7,1.4,38.89,0.39,20,0.23,0.31,6.16,58.23,0,,0,,0,0,0,0,,,0.23,,,0.23,0,0,0.39,0,0
R. Barrett,UD Leiria U23,UD Leiria U23,LCB,19,0,,12,1099,0,0.46,0,0.52,8.43,55.34,Jamaica,Jamaica,unknown,0,0,no,6.88,3.19,82.05,1.72,42.86,0,0,0.9,4.26,5.63,0.25,0,0,0,0,0.25,0,0,0,0.04,0,0,5,0.41,0,0,0,0.16,0,0.16,0,0,0,0,0.33,75,2.13,19.23,0.74,1.23,0,28.74,0.25,0.08,45.04,83.82,19.49,69.33,2.95,91.67,19.82,96.69,37.92,90.93,6.96,47.06,23.36,39.98,0.04,0.16,0,0.08,0.08,0,0.08,5.49,47.76,0.98,33.33,0.57,28.57,0.33,0,9.25,57.52,0,,0,,0,0,0,0,,,2.13,,,0,0,0,0,0,0
Italo Cabelinho,Santa Clara U23,Santa Clara U23,"RCB, LCB",21,0,,11,1096,1,0.16,0,0.08,11.17,63.24,Brazil,Brazil,,0,0,no,7.55,4.93,78.33,3.04,62.16,0.33,0.48,0.74,3.37,4.96,1.07,5,0.41,0,0,0.41,0.08,1,0.08,0.01,1,0.08,2,0.16,50,50,0,0.41,40,0.08,0,0.33,50,0.08,0.33,50,1.31,37.5,0.9,0.16,0,32.52,0.08,0.33,45.08,87.8,18.48,77.33,1.81,90.91,21.6,97.34,38.43,93.59,6.24,55.26,22.11,39.88,0.01,0.25,0,0,0,0,0.08,4.11,68,0.57,57.14,0.33,50,0.41,0.16,7.23,73.86,0,,0,,0,0,0,0,,,0.9,,,0,0,0,0,0,0
João Casimiro,Portimonense,Portimonense U23,"RCMF, AMF",20,0,,11,1095,1,1.88,1,0.99,12.99,55.7,Portugal,Portugal,,0,0,no,6.33,5.67,57.97,1.15,21.43,0.25,0.36,0,2.79,4.1,1.48,6,0.49,0,0,1.81,0.08,0,0,0.15,0,0,18,1.48,33.33,5.556,0.08,1.07,30.77,0.33,25,0.74,33.33,0.41,1.48,66.67,4.52,65.45,0.66,0.74,0.08,20.88,0.16,2.05,30.49,81.94,9.62,72.65,4.52,87.27,11.67,87.32,26.38,85.98,3.12,63.16,19.33,35.25,0.08,0.99,0,0,0.16,0,0.33,6.08,72.97,1.89,65.22,0.41,80,0.9,0.33,6.41,82.05,0,,0,,0,0,0,0,,,0.25,,,1.48,0.25,0,1.64,2,50
Q. Candundu,UD Leiria U23,UD Leiria U23,"RCB, CB",19,0,,11,1089,0,0.27,0,0.17,10.66,65.89,Angola,Angola,,196,78,no,8.18,5.21,66.67,2.73,69.7,0.08,0.11,0.99,4.63,6.2,0.74,4,0.33,0,0,0.25,0,0,0,0.02,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,0.33,75,1.24,73.33,0.25,0.08,0,25.29,0.5,0.58,38.76,85.29,16.53,74.5,1.16,100,18.76,95.59,31.07,93.09,7.69,53.76,24.78,40.29,0.01,0.08,0,0,0,0,0.08,2.81,50,0.5,16.67,0.33,25,0.08,0,7.11,58.14,0,,0,,0,0,0,0,,,0.74,,,0,0,0,0,0,0
Rodrigo Marquês,Torreense U23,Torreense U23,"RW, CF, RWF",22,0,,13,1069,7,5.33,2,1.48,18.77,43.05,Portugal,Portugal,left,180,74,no,5.3,4.13,69.39,2.19,34.62,0.17,0.24,0.17,2.27,3.29,1.52,2,0.17,0,0,3.03,0.59,7,0.59,0.45,2,0.17,26,2.19,50,26.923,0.17,0.84,40,0.17,0,0.67,50,0.08,3.54,42.86,10.19,35.54,2.86,1.26,0.08,13.47,1.43,1.94,18.35,76.61,4.13,57.14,5.3,93.65,4.97,77.97,16.25,81.35,1.35,37.5,15.79,27,0.12,1.09,0,0,0.08,100,0.17,2.69,59.38,1.18,42.86,0.17,0,0.67,0.34,3.12,51.35,0,,0,,0,0,0,0,,,0.08,,,1.18,0.25,0,2.27,1,0
Léo Santos,Estoril U23,Estoril U23,LB,22,0,,12,1045,2,1.94,0,0.53,12.57,64.38,Brazil,Brazil,,175,58,no,7.49,5.51,73.44,1.21,42.86,0.69,1.05,0.09,2.76,4.21,0.78,3,0.26,0,0,1.46,0.17,0,0,0.17,0,0,8,0.69,25,25,0,1.29,13.33,1.21,14.29,0,0,0.17,1.64,68.42,4.48,65.38,0.6,1.46,0.26,21.62,0.69,1.12,34.11,79.04,11.8,67.88,6.2,91.67,11.97,84.89,29.2,84.66,3.7,55.81,20.61,34.73,0.05,1.12,0,0,0.09,0,0.26,4.13,60.42,1.89,31.82,0.34,0,0.26,0.17,5.43,73.02,0,,0,,0,0,0,0,,,0.69,,,1.29,0,0,1.29,2,100
