Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Fahad Waad,Al Wakrah,Al Wakrah,LB,26,175000,10,1045,9.9,50.43,right,0,6.72,6.2,55.56,0.6,71.43,0.26,0.17,3.01,5.12,0.78,2.15,0,0,0.01,0,0.17,50,0,0.09,2.76,62.5,0.6,57.14,1.72,35,0.52,0.95,0.17,20.93,2.07,0.26,28.85,79.1,8.27,65.63,83.64,2.67,51.61,0.16,1.12,0,0.09,0.09,0.78,2.93,55.88,3.44,62.5,0.26,33.33,0.95,1.46,7.49,70.11,0.43,0.09,0,0.43,0,0
Khalifa Ababacar,Al Gharafa,Al Gharafa,GK,36,100000,10,1040,0.43,80,right,203,1.9,0.09,0,0.26,100,0,0,1.9,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0.09,0.17,12.46,88.19,7.1,80.49,95.88,4.07,72.34,0,0,0,0,0,0,1.04,66.67,0,0,0.09,0,0,0,2.94,70.59,,,,0,0,0
Róger Guedes,Al Rayyan,Al Rayyan,"AMF, CF, LAMF",29,10000000,10,1039,10.83,43.2,right,182,1.65,0.61,42.86,1.73,40,0,0.09,1.39,2.11,0.69,3.81,1.04,0.69,0.72,0.09,3.46,60,30,0.09,0.87,40,2.43,57.14,7.02,48.15,3.72,2.69,0.35,19.66,0.95,1.47,24.69,80.7,9.18,73.58,84.55,2.51,62.07,0.05,0.61,0,0,0,0.26,4.5,71.15,1.3,80,0.17,0,0.87,0.26,3.98,80.43,0.43,0.26,33.33,0.87,4,100
Ali Nader,Qatar SC,Qatar SC,GK,21,0,10,1037,0.78,88.89,right,0,2.52,0.17,50,0.43,100,0,0,2.43,3.65,0,0.09,0,0,0,0,0,0,0,0,0,0,0.09,100,0.09,100,0,0,0,8.16,0.43,0.35,13.54,85.9,7.2,75.9,98.02,4.77,63.64,0,0,0,0,0,0,0.78,22.22,0.09,0,0,0,0,0,3.47,72.5,,,,0,0,0
João Pedro,Qatar SC,Qatar SC,CF,32,5500000,10,1037,22.57,36.15,right,182,3.04,2.17,60,4.17,29.17,0.09,0.09,1.65,2.48,1.3,3.04,0.61,0.43,0.45,0,3.04,45.71,20,0,0.52,0,2.95,55.88,12.93,36.91,3.3,1.3,0.26,12.15,1.65,2.17,18.31,73.93,3.47,57.5,76.65,0.69,62.5,0.02,0.43,0,0,0.09,0.17,1.48,64.71,1.04,58.33,0.09,0,0.61,0,2.08,70.83,0.09,0.09,0,0,2,100
O. Tannane,Umm Salal,Umm Salal,"AMF, CF, RCMF",31,1700000,10,1027,20.51,42.31,left,178,4.12,5.08,51.72,1.67,10.53,0.26,0.09,1.23,1.49,2.1,3.15,0.53,0.44,0.2,0,2.8,40.63,18.75,0.35,0.96,18.18,3.86,43.18,11.92,43.38,1.23,2.19,0.53,23.31,1.05,2.98,29.97,77.19,10.25,74.36,81.08,3.07,62.86,0.23,2.02,0,0,0.18,0.53,5,73.68,2.28,46.15,0.35,50,0.79,0.18,4.56,75,3.33,1.05,50,3.24,1,100
Akram Afif,Al Sadd,Al Sadd,"LAMF, LW, CF",29,6000000,10,1027,9.9,53.1,right,177,2.02,1.23,64.29,0.44,40,0.26,0,0.96,1.62,0.18,5,0.53,0.53,0.27,0,1.93,50,27.273,0.53,2.54,58.62,4.03,58.7,7.01,55,4.82,4.56,0.61,30.5,2.8,1.4,37.16,80.66,9.73,79.28,83.06,2.72,74.19,0.48,3.59,0.18,0.18,0.35,1.58,4.38,70,4.21,70.83,0.09,100,2.98,1.23,6.92,91.14,0.61,0.09,0,4.03,0,0
Y. Brahimi,Al Gharafa,Al Gharafa,"LW, LWF, LAMF",35,2800000,10,1027,26.64,49.67,right,175,2.98,2.54,65.52,0.53,33.33,0.09,0.09,1.23,1.86,0.53,8.06,0.44,0.18,0.45,0,2.45,50,17.857,0.53,2.98,26.47,9.64,61.82,22.17,49.41,3.15,7.45,0.18,22.78,1.75,2.45,31.11,78.87,8.59,72.45,85.62,2.02,69.57,0.23,1.67,0.09,0,0.26,0.09,5.35,73.77,3.07,51.43,0.26,33.33,1.14,0.79,5.52,82.54,2.19,0.44,60,3.51,3,100
Diogo Amaro,Al Sailiya,Al Sailiya,"RDMF, RCMF",21,0,10,1024,10.72,59.02,right,186,9.32,4.83,58.18,2.46,64.29,0.26,0.62,6.24,7.17,0.97,0.62,0.18,0.18,0.08,0.09,0.26,66.67,66.667,0.09,0.18,100,0.35,50,2.64,60,0.44,0.88,0,16.88,0.62,1.05,32.08,84.38,12.74,72.41,86.45,2.72,61.29,0.06,0.26,0.09,0,0.18,0.18,5.27,71.67,0.35,100,0.44,20,0.26,0.18,6.15,74.29,0,0,0,0,0,0
Fahad Younis,Al Sailiya,Al Sailiya,GK,31,500000,10,1024,0.53,100,right,181,1.41,0.09,100,0.44,100,0,0.09,1.32,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0.09,0.09,8,71.43,4.83,52.73,93.33,4.04,50,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,2.99,55.88,,,,0,0,0
