Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Doyle-Hayes,Exeter City,Sligo Rovers,"RDMF, DMF, LDMF",26,450000,,18,1623,0,0.41,2,0.76,17.19,55.48,Republic of Ireland,Republic of Ireland,right,175,68,no,11.76,7.71,67.63,4.27,49.35,0.28,0.37,0.5,6.27,8.27,1.55,10,0.55,1,0.06,0.55,0,0,0,0.02,0,0,7,0.39,42.86,0,0.11,0.83,33.33,0.55,40,0.22,0,0.06,0.44,25,2.33,40.48,0.17,0.61,0.06,24.84,0.39,0.55,43.42,80.46,19.13,69.57,4.77,91.86,14.53,88.55,36.1,87.25,6.49,48.72,19.48,34.41,0.04,0.61,0.06,0.06,0.06,0,0.11,9.82,72.32,1.55,46.43,0.83,40,0.67,0.28,9.82,72.88,0,,0,,0,0,0,0,,,0.61,,,1.33,0.17,33.33,1.66,0,0
N. Bakboord,Waterford FC,Waterford FC,"RB, RWB",26,450000,,12,894,0,0.31,0,0.18,16.61,50.3,Netherlands,"Netherlands, Suriname",right,177,74,no,9.66,7.95,69.62,2.82,39.29,0.3,0.38,0,3.83,4.77,1.01,2,0.2,0,0,0.4,0,0,0,0.03,0,0,3,0.3,0,0,0,1.91,5.26,0,0,1.91,5.26,0.6,0.6,50,3.52,25.71,0.6,0.6,0,16.91,1.01,0.7,25.97,67.83,10.07,52,4.23,92.86,6.44,75,20.64,78.05,3.42,41.18,19.32,36.2,0.02,0.2,0,0.1,0,0,0,3.93,33.33,2.21,22.73,0.5,40,0.5,0.1,5.94,50.85,0,,0,,0,0,0,0,,,0.5,,,0,0,0,0,0,0
R. Palmer,St. Patrick's Ath.,St. Patrick's Ath.,"RDMF, LDMF, AMF",27,450000,2026-11-30,4,161,0,0.65,0,0,23.48,40.48,England,England,right,181,70,no,8.39,8.39,60,3.91,14.29,0,0,0,3.35,6.92,1.68,1,0.56,0,0,1.12,0,0,0,0.36,0,0,5,2.8,20,0,0,0,0,0,0,0,0,0,1.12,50,8.39,40,3.35,0.56,0,19.57,0.56,1.68,33.54,88.33,10.06,66.67,4.47,100,10.06,94.44,31.86,91.23,1.68,33.33,16.65,18.15,0,0,0,0,0,0,0,5.03,88.89,0.56,0,0.56,0,1.12,0,4.47,62.5,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
G. Whyte,Derry City,Derry City,"CF, RW, RWF",29,450000,2026-06-30,30,1734,4,2.86,5,2.96,19,42.9,Northern Ireland,Northern Ireland,right,170,67,no,4.36,4.62,65.17,1.97,21.05,0.05,0.08,0.1,1.3,1.98,0.83,2,0.1,0,0,4.36,0.21,4,0.21,0.15,0,0,29,1.51,34.48,13.793,0.26,3.27,41.27,0.83,68.75,2.39,32.61,0.36,4.31,56.63,9.76,40.96,2.54,1.97,0.52,27.56,1.14,1.04,39.71,83.92,7.32,68.09,11.89,95.2,11.78,84.58,34.72,89.69,1.82,48.57,16.64,22.75,0.15,1.09,0.05,0.05,0.16,33.33,0.83,2.96,68.42,2.91,58.93,0.31,66.67,1.04,1.35,4.05,78.21,0,,0,,0,0,0,0,,,0.42,,,0.16,0,0,0.1,0,0
P. McMullan,Raith Rovers,Derry City,"RW, RWF, CF",29,450000,2027-05-31,17,646,0,0.19,2,0.66,14.77,44.34,Scotland,Scotland,right,181,70,no,6.55,4.46,65.63,1.39,20,0.14,0.18,0.56,3.48,4.52,1.11,3,0.42,0,0,2.65,0,0,0,0.03,0,0,5,0.7,20,0,0.28,2.65,31.58,0.56,25,1.95,28.57,0.28,2.37,70.59,6.69,41.67,1.95,2.65,0.14,19.23,1.11,0.7,30.37,70.64,10.87,60.26,4.6,90.91,8.22,69.49,25.36,76.92,2.37,47.06,16.15,17.54,0.09,0.7,0,0,0.42,0,0.98,3.9,64.29,2.93,33.33,0.7,20,0.84,0.7,5.02,63.89,0,,0,,0,0,0,0,,,0.42,,,0.14,0,0,0.28,0,0
J. Byrne,Irish,Shamrock Rovers,"RCMF, LCMF",29,450000,2026-11-30,21,1268,2,1.48,7,5.16,12.63,43.82,Republic of Ireland,Republic of Ireland,right,170,67,yes,3.76,2.77,61.54,1.56,31.82,0.14,0.22,0.14,1.92,2.95,0.28,6,0.43,0,0,2.7,0.14,2,0.14,0.1,0,0,15,1.06,33.33,13.333,0.5,2.34,36.36,0.64,44.44,1.63,34.78,0.71,2.2,64.52,7.31,39.81,1.14,1.35,0.21,63.67,1.99,0.99,77.65,85.47,27.04,72.18,15.12,98.59,23.42,89.7,64.73,92,10.79,55.26,20.34,41.04,0.37,2.77,0.21,0.07,0.64,11.11,0.71,15.19,68.69,5.75,51.85,1.7,20.83,1.92,0.78,13.63,84.9,0,,0,,0,0,0,0,,,0.43,,,1.99,0.07,0,4.4,0,0
J. Mulraney,St. Patrick's Ath.,St. Patrick's Ath.,"RAMF, LAMF, LWF",29,450000,2025-11-30,31,1616,1,3.73,2,0.94,15.76,48.76,Republic of Ireland,Republic of Ireland,left,172,64,no,3.4,3.62,56.92,1.67,33.33,0.17,0.25,0,1.17,1.72,1.28,6,0.33,0,0,5.18,0.06,1,0.06,0.21,0,0,37,2.06,24.32,2.703,0.11,5.01,16.67,2.28,14.63,2.67,18.75,1.34,6.18,61.26,9.47,50.59,2.78,2.95,0.45,20.22,2.17,0.78,25.73,69.91,4.96,55.06,7.02,93.65,9.52,60.23,19.21,83.48,1.78,65.63,19.32,20.28,0.05,0.56,0,0,0.11,50,0.56,1.67,56.67,3.9,20,0.33,33.33,0.28,0.78,3.17,63.16,0,,0,,0,0,0,0,,,0.17,,,0.61,0.33,0,0.5,0,0
T. Coyle,Waterford FC,Waterford FC,"LAMF, CF, LW",24,400000,,16,534,0,0.68,1,0.61,26.8,39.62,England,England,right,177,68,no,6.74,6.91,56.1,4.55,29.63,0.34,0.48,0,2.53,3.6,1.52,1,0.17,0,0,3.54,0,0,0,0.11,0,0,10,1.69,30,0,0.17,2.87,29.41,1.85,36.36,1.01,16.67,0.84,5.39,37.5,12.64,34.67,1.52,1.85,0.34,13.31,1.69,1.52,22.75,68.15,6.57,69.23,5.9,77.14,6.4,71.05,18.2,76.85,1.69,40,18.82,19.69,0.1,1.01,0,0,0.17,100,0.51,2.36,42.86,3.2,47.37,0,0,0.67,1.18,4.04,62.5,0,,0,,0,0,0,0,,,0.17,,,0.84,0.17,100,0.67,0,0
L. Mousset,,Bohemians,CF,29,350000,,9,366,1,1.19,0,0.32,19.67,26.25,France,"France, Senegal",right,186,80,no,3.44,3.69,46.67,6.64,29.63,0,0,0,1.72,2.66,2.21,1,0.25,0,0,0.74,0.25,1,0.25,0.29,0,0,6,1.48,33.33,16.667,0,0,0,0,0,0,0,0,1.72,14.29,7.13,13.79,2.95,0.74,0,11.31,1.48,0.74,16.72,77.94,3.69,60,4.92,85,2.21,77.78,15.98,80,0.74,33.33,14.3,8.77,0.08,0.49,0,0,0,0,0.25,2.46,70,0.74,33.33,0,0,0.98,0,1.23,60,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
D. Mandroiu,Shamrock Rovers,Shamrock Rovers,"LCMF, RCMF, CF",27,350000,,19,1161,1,2.4,3,2.47,15.66,40.59,Republic of Ireland,"Republic of Ireland, Romania",right,180,73,no,4.57,3.72,52.08,1.86,33.33,0.39,0.63,0,2.25,3.63,1.01,1,0.08,0,0,3.1,0.08,1,0.08,0.19,0,0,35,2.71,40,2.857,0.23,1.63,52.38,0.54,57.14,1.01,46.15,0.31,1.78,52.17,8.45,35.78,2.33,2.02,0.47,48.53,1.24,2.02,57.13,89.01,13.18,77.65,18.84,96.71,13.49,90.23,52.71,92.5,2.95,44.74,15.66,35.47,0.19,1.4,0.16,0,0.39,60,0.85,8.22,77.36,3.18,48.78,1.09,35.71,0.7,0.78,6.59,84.71,0,,0,,0,0,0,0,,,0.54,,,0.23,0.23,33.33,0,0,0
