Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Chipciu,Universitatea Cluj,Universitatea Cluj,"LB, RB",36,450000,,16,1532,0,1.1,0,1.37,14.33,50.41,Romania,Romania,right,177,71,no,8.17,6.99,59.66,1.29,31.82,0.29,0.43,0.23,3.7,5.38,1.53,3,0.18,0,0,2.41,0,0,0,0.06,0,0,12,0.7,25,0,0,2.35,37.5,1.59,33.33,0.76,46.15,0.35,2.29,53.85,4.17,45.07,0.88,2.7,0.23,39.01,1.53,0.18,51.76,82.75,23.26,74.49,5.23,93.26,14.8,88.49,41.65,89.7,7.87,58.96,20.06,35.39,0.08,0.53,0.06,0,0.12,100,0.41,9.46,69.57,3.23,50.91,0.76,61.54,1.17,0.88,12.4,81.04,,0.18,0.06,0,0.18,0,0
R. T?nas?,Farul Constan?a,Farul Constan?a,"LWF, LW, LAMF",22,0,2027-06-30,16,1447,4,4.17,0,1.23,20.77,55.69,Romania,Romania,right,0,0,no,8.89,8.46,63.24,1.31,52.38,0.12,0.19,0,3.42,5.27,1.68,2,0.12,0,0,3.17,0.25,4,0.25,0.26,0,0,33,2.05,30.3,12.121,0,1.55,44,1.12,33.33,0.44,71.43,0.31,3.05,61.22,8.15,51.91,3.55,1.06,0,17.1,1.68,2.55,22.76,70.49,6.59,57.55,5.29,88.24,6.22,68,18.29,78.23,2.99,35.42,17.59,32.83,0.08,0.81,0.06,0,0.06,0,0.25,2.99,50,2.05,60.61,0.5,25,0.93,0.68,4.29,71.01,,0.06,0.06,0,0.68,0,0
Z. Mitrov,Boto?ani,Boto?ani,"LAMF, RAMF, RW",23,0,2027-06-30,16,874,4,3.7,3,3.65,20.39,41.41,Romania,Romania,right,179,0,no,4.53,5.05,53.06,2.47,33.33,0.41,0.61,0.1,1.44,2.14,1.13,0,0,0,0,3.5,0.41,2,0.21,0.38,0,0,21,2.16,47.62,19.048,0.31,1.34,15.38,0.41,0,0.93,22.22,0.1,4.53,47.73,10.09,40.82,3.19,1.75,0.21,11.22,1.65,1.65,16.48,67.5,5.05,63.27,2.47,66.67,2.99,62.07,14.42,75,0.72,14.29,14.28,8.11,0.38,1.85,0,0.1,0.31,33.33,0.51,1.24,58.33,1.75,82.35,0.31,0,1.65,0.31,2.47,70.83,,0.82,0.41,25,2.06,3,66.667
E. R?d?sl?vescu,Farul Constan?a,Farul Constan?a,"LCMF, RDMF",21,0,2027-06-30,16,1193,1,1.96,2,1.07,11.92,38.61,Romania,Romania,right,180,72,no,3.02,2.79,48.65,0.91,33.33,0.23,0.35,0.15,1.43,2.19,0.38,1,0.08,0,0,2.41,0.08,1,0.08,0.15,0,0,28,2.11,17.86,3.571,0.15,1.28,41.18,0.75,40,0.53,42.86,0.08,2.34,64.52,6.26,36.14,2.56,2.04,0.6,21.8,0.98,0.38,30.93,80.24,8.37,69.37,6.41,92.94,10.03,85.71,27.61,83.06,2.04,66.67,16.56,32.67,0.08,1.06,0,0,0.08,0,0.15,4.53,81.67,1.43,68.42,0.23,33.33,0.83,0.3,4.68,67.74,,0.53,0.23,0,1.51,0,0
A. I?fan,Farul Constan?a,Farul Constan?a,CF,25,300000,2028-06-30,16,1332,5,4.56,1,1.2,19.86,32.65,Romania,Romania,right,188,77,no,2.7,2.16,50,4.46,30.3,0.14,0.2,0.07,1.49,2.23,1.76,3,0.2,0,0,2.5,0.34,4,0.27,0.31,0,0,33,2.23,36.36,15.152,0.07,0.95,42.86,0.41,33.33,0.54,50,0.14,2.09,61.29,8.51,31.75,4.12,1.62,0.47,13.65,3.58,1.01,18.92,71.43,4.59,60.29,3.92,91.38,5.14,69.74,16.69,75.3,1.28,42.11,15.14,22.89,0.08,1.08,0.07,0,0.07,0,0.27,2.16,53.13,1.49,59.09,0,0,1.22,0.41,1.76,76.92,,0.27,0.2,0,0.14,1,100
I. Larie,Farul Constan?a,Farul Constan?a,RCB,38,400000,,16,1597,3,3.51,0,0.53,10.43,53.51,Romania,Romania,right,191,85,no,6.88,3.72,60.61,4.68,56.63,0.23,0.34,0.39,4.4,6.67,0.68,3,0.17,0,0,0.62,0.17,0,0,0.2,0,0,10,0.56,80,30,0,0.17,66.67,0,0,0.17,66.67,0,0.06,0,0.79,28.57,0.68,1.69,0,36.57,0.56,0.39,55.45,88.41,24.46,79.72,4.51,97.5,22.71,96.03,46.44,93.08,8.85,64.33,24.62,44.74,0.03,0.23,0,0,0.06,100,0,9.19,73.62,1.01,44.44,0.56,40,0.56,0.11,12.45,80.54,,0,0,0,0,4,75
A. Buzbuchi,Farul Constan?a,Farul Constan?a,GK,32,500000,,16,1606,0,0,0,0,0.67,66.67,Romania,Romania,right,190,84,no,1.4,0.22,50,0.39,85.71,0,0,0,1.29,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0.22,0.17,22.42,86,10.54,73.4,0,0,10.87,97.42,15.19,98.89,7.17,59.38,29.19,45.4,0,0,0,0,0,0,0,0.73,38.46,0.06,0,0,0,0,0,5.72,58.82,0.39,,,,0,0,0
I. Vîn?,Farul Constan?a,Farul Constan?a,"RCMF, RB",30,800000,2027-06-30,16,1498,3,2.44,1,2.62,15.02,49.2,Romania,Romania,left,180,73,no,5.83,5.05,63.1,1.62,48.15,0.06,0.09,0,2.58,3.89,1.32,0,0,0,0,3.18,0.18,3,0.18,0.15,0,0,35,2.1,31.43,8.571,0.06,1.68,39.29,0.24,25,1.32,45.45,0.3,2.7,62.22,6.31,44.76,1.68,1.68,0.06,29.14,0.78,0.72,42.42,82.15,14.84,73.68,9.61,95.63,11.3,81.38,36.89,86.16,3.85,62.5,17.64,35.23,0.16,1.32,0.06,0.06,0.18,100,0.66,5.77,75,2.94,53.06,0.78,53.85,1.26,0.78,7.27,76.86,,0.66,0.12,100,2.22,0,0
C. Ganea,Farul Constan?a,Farul Constan?a,LB,33,400000,,16,1606,0,0.41,2,2.04,12.67,53.98,Romania,"Romania, Spain",left,176,72,no,8.07,4.65,67.47,2.63,55.32,1.12,1.7,0.06,3.81,5.8,0.56,1,0.06,0,0,2.02,0,0,0,0.02,0,0,14,0.78,14.29,0,0.11,3.31,30.51,3.31,30.51,0,0,0.62,1.51,55.56,3.81,39.71,1.12,2.02,0.17,32.33,2.35,0.62,46.85,73.56,20.34,64.19,6.56,89.74,15.02,78.73,32.84,83.45,10.98,56.12,23.79,39.39,0.11,1.18,0.06,0,0.17,33.33,0.45,8.69,58.71,4.88,45.98,1.91,50,1.57,1.06,12.72,72.25,,0.39,0.11,0,0.11,0,0
A. Chi?u,Hermannstadt,Hermannstadt,CF,34,450000,2026-06-30,16,830,3,3.79,0,0.52,25.05,35.5,Romania,Romania,left,183,71,no,2.49,2.28,47.62,7.7,40.85,0.11,0.13,0,1.3,1.54,0.98,0,0,0,0,2.6,0.33,3,0.33,0.41,0,0,17,1.84,52.94,17.647,0,0.98,44.44,0.54,40,0.22,0,0.11,2.28,52.38,10.95,27.72,4.77,1.63,0.43,20.06,1.08,1.3,27.33,80.95,6.07,69.64,8.78,93.83,5.42,84,25.81,82.77,0.54,60,13.84,10.41,0.06,0.54,0,0,0,0,0.11,1.63,80,1.73,43.75,0.22,0,0.54,0.33,2.49,69.57,,0,0,0,0,0,0
