Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Pedro,Zenit,Zenit,"AMF, LCMF, LAMF",19,0,2028-12-31,15,1375,2,0.99,1,1.35,14.86,48.9,Brazil,Brazil,right,171,65,no,4.25,3.6,58.18,1.7,34.62,0.26,0.47,0.26,1.9,3.44,0.85,4,0.26,0,0,3.86,0.13,2,0.13,0.06,0,0,15,0.98,33.33,13.333,0.07,2.55,38.46,1.51,47.83,1.05,25,0.39,3.73,63.16,8.12,50.81,1.7,1.9,0.2,27.56,1.44,1.44,36.33,82.16,9.69,67.57,9.16,96.43,10.41,86.16,31.94,87.7,1.9,48.28,17.51,25,0.09,0.85,0,0,0.33,60,0.33,4.06,79.03,3.14,52.08,0.33,60,0.98,0.85,4.97,84.21,,1.57,0.2,0,2.75,0,0
Gustavo Mantuan,Zenit,Zenit,"RB, RWB",24,2500000,2030-06-30,15,1324,3,2.42,0,1.06,15.23,60.27,Brazil,"Brazil, Italy",right,174,66,no,6.25,5.17,63.16,1.43,38.1,0.07,0.12,0.2,2.92,5.27,0.82,3,0.2,0,0,4.69,0.2,2,0.14,0.16,0,0,15,1.02,46.67,20,0,4.62,36.76,0.34,20,4.28,38.1,0.61,3.4,74,6.93,65.69,1.97,2.18,0.41,26.65,1.56,2.52,37.45,76.95,12.37,65.38,9.04,96.24,11.15,75.61,29.3,85.61,3.94,58.62,19.82,37.12,0.07,0.61,0,0.07,0,0,0.61,3.26,68.75,3.74,49.09,0.2,33.33,0.75,1.5,8.5,68.8,,0,0,0,0.07,1,100
A. Siljanov,Lokomotiv Moskva,Lokomotiv Moskva,"RB, LB",24,4500000,2026-06-30,15,1457,1,0.58,1,0.45,11.98,57.22,Russia,Russia,right,186,85,no,9.51,4.63,66.67,3.34,61.11,0.49,0.69,0.31,5.93,8.23,0.62,0,0,0,0,1.54,0.06,1,0.06,0.04,1,0.06,7,0.43,42.86,14.286,0.06,1.67,40.74,0.56,22.22,1.11,50,0.31,1.05,58.82,2.59,42.86,1.36,1.73,0.31,24.77,0.99,0.56,36.57,78.21,13.22,71.03,5.81,93.62,10.62,80.23,30.51,84.21,4.57,51.35,19.29,38.26,0.03,0.56,0,0,0.06,100,0.12,5.13,69.88,2.47,55,0.25,25,0.93,0.68,8.15,71.97,,0,0,0,0,0,0
W. Barrios,Zenit,Zenit,"RDMF, DMF, LDMF",32,0,2027-06-30,15,1439,0,0.06,0,0.5,12.95,63.77,Colombia,Colombia,right,178,74,no,8.57,5.63,71.11,2.44,58.97,0.75,1.36,0.31,3.82,6.93,0.81,2,0.13,0,0,0.56,0,0,0,0,0,0,1,0.06,0,0,0,0.44,42.86,0.06,0,0.25,50,0,0.38,66.67,2.13,70.59,0.13,0.31,0,30.83,0.13,2,44.16,90.23,15.82,83.79,5.94,95.79,15.89,93.7,40.78,92.48,3,64.58,16.69,27.45,0.03,0.31,0,0,0.13,100,0.19,6.44,93.2,1,68.75,0.25,100,0.56,0.19,6.69,71.03,,0,0,0,0,0,0
D. Barinov,Lokomotiv Moskva,Lokomotiv Moskva,"RDMF, LCMF, LDMF",29,0,,15,1492,2,2.25,1,0.99,10.86,54.44,Russia,Russia,right,181,81,no,8.26,4.28,61.97,2.35,53.85,0.66,0.92,0.3,4.95,6.89,0.9,4,0.24,0,0,1.09,0.12,2,0.12,0.14,0,0,25,1.51,32,8,0.06,0.97,43.75,0.42,28.57,0.48,50,0.06,0.18,100,1.63,48.15,1.63,0.72,0.06,22.86,0.48,0.72,33.54,81.29,11.7,68.56,5.13,91.76,9.41,85.9,29.26,84.95,3.32,60,16.16,28.65,0.06,0.72,0.06,0,0,0,0.12,3.68,65.57,1.87,67.74,0.18,33.33,1.09,0.42,5.19,63.95,,0.48,0.48,37.5,0,0,0
V. Drkuši?,Zenit,Zenit,RCB,26,3500000,2029-06-30,15,989,0,0.43,0,0.01,13.29,66.44,Slovenia,Slovenia,right,186,82,no,6.1,4,72.73,6.01,68.18,0.27,0.5,0.82,2.91,5.36,0.82,2,0.18,0,0,0.09,0,0,0,0.04,0,0,2,0.18,0,0,0,0.27,33.33,0.18,50,0.09,0,0,0,0,1.27,42.86,0.36,0.91,0,32.21,0.64,0.82,43.68,89.38,15.83,76.44,5.19,98.25,18.56,97.55,36.95,94.83,6.46,60.56,20,31.75,0,0.09,0,0,0,0,0,5.37,79.66,1.18,46.15,1.09,41.67,0.36,0.09,6.83,70.67,,0,0,0,0,0,0
A. Rudenko,Lokomotiv Moskva,Lokomotiv Moskva,"LW, LAMF, LWF",26,1000000,2027-06-30,15,1218,2,3.34,2,1.73,16.18,42.92,Russia,Russia,left,173,71,no,5.99,5.25,61.97,3.62,40.82,0.15,0.21,0.15,2.59,3.6,2.22,3,0.22,0,0,2.07,0.15,2,0.15,0.25,1,0.07,20,1.48,15,10,0.15,3.4,32.61,2.51,26.47,0.81,45.45,0.37,1.63,45.45,4.36,32.2,3.77,1.03,0,16.4,1.85,1.03,22.39,67.66,4.88,54.55,4.51,90.16,7.54,61.76,16.55,77.23,2.59,48.57,18.76,32.69,0.13,0.67,0.07,0,0,0,0.52,1.92,57.69,2.59,31.43,0.52,14.29,0.74,1.11,3.69,56,,0,0,0,0,0,0
Mohammadjavad Hosseinnejad,Dynamo Makhachkala,Dynamo Makhachkala,"RCMF, AMF, CF",22,0,2027-06-30,15,1040,2,1.47,1,1.71,24.49,47.35,Iran,Iran,,180,73,no,6.75,5.37,67.74,4.76,36.36,0.17,0.26,0.09,2.94,4.36,0.69,3,0.26,0,0,3.2,0.17,2,0.17,0.13,0,0,21,1.82,33.33,9.524,0.09,0.78,22.22,0.26,33.33,0.52,16.67,0,3.98,58.7,10.47,41.32,1.73,1.04,0.17,13.33,1.04,2.68,20.68,70.29,6.92,50,3.81,90.91,4.76,76.36,17.74,76.59,2.16,36,16.33,24.88,0.15,1.56,0,0.09,0.26,33.33,0.17,3.55,51.22,2.51,37.93,0.78,11.11,0.78,0.17,3.03,71.43,,2.25,0.43,40,3.72,0,0
B. Ovsyannikov,Orenburg,Orenburg,GK,26,600000,,15,1496,0,0,0,0,1.14,89.47,Russia,Russia,left,189,81,no,1.38,0,0,0.6,90,0,0,0,1.38,2.07,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,100,0,0,0,12.03,0.42,0.48,18.83,83.39,11.85,75.13,0.12,0,6.56,98.17,10.59,93.75,8.24,70.07,36.44,50.93,0,0,0,0,0,0,0,3.49,74.14,0,0,0.06,100,0,0,7.58,80.95,0.6,,,,0,0,0
P. Solari,Spartak Moskva,Spartak Moskva,"RWF, RW, LW",24,0,2029-06-30,15,1035,4,3.71,1,2.98,21.57,42.34,Argentina,Argentina,right,178,78,no,6.87,5.65,58.46,2.35,33.33,0.35,0.71,0.17,3.22,6.61,2,4,0.35,0,0,6.09,0.35,4,0.35,0.32,2,0.17,32,2.78,40.63,12.5,0.09,5.48,30.16,0.96,36.36,4.43,27.45,0.43,6,50.72,11.39,39.69,4.52,2.43,0.26,24.7,2.43,1.48,34.17,70.74,8.26,65.26,7.83,90,10,62.61,28,79.5,1.04,33.33,17.89,23.83,0.26,1.74,0.17,0,0.35,75,0.96,2.09,66.67,4.43,50.98,0.17,100,1.57,1.74,6.52,66.67,,0.17,0,0,2,0,0
M. Samorodov,Akhmat Grozny,Akhmat Grozny,"RAMF, LAMF, RW",23,1200000,2028-06-30,15,1033,2,2.07,1,1.11,18.12,47.12,Kazakhstan,Kazakhstan,right,178,63,no,5.58,5.58,59.38,1.92,22.73,0.17,0.24,0,2.09,2.89,1.57,1,0.09,0,0,3.31,0.17,2,0.17,0.18,0,0,18,1.57,33.33,11.111,0.09,2.09,25,0.78,22.22,1.31,26.67,0.35,4.01,56.52,9.15,47.62,2.79,2,0.09,10.72,1.22,1.39,17.08,66.84,4.62,62.26,3.4,89.74,4.88,55.36,13.77,75.32,1.39,43.75,17.76,26.51,0.1,0.78,0,0,0,0,0.61,1.05,58.33,2.27,50,0.09,0,1.22,0.52,3.05,57.14,,0.26,0.09,0,0.35,0,0
L. Sadulaev,Akhmat Grozny,Akhmat Grozny,"LAMF, LW, RAMF",25,2500000,,15,1211,0,2.37,1,2.5,20.81,47.86,Russia,Russia,left,179,65,no,5.2,3.79,58.82,2.53,44.12,0.74,1.04,0.07,2.23,3.13,1.26,2,0.15,1,0.07,4.01,0,0,0,0.18,0,0,23,1.71,13.04,0,0.07,2.53,29.41,1.86,28,0.67,33.33,0.15,5.28,56.34,13.15,46.33,2.53,3.72,0.37,15.9,1.71,2.38,24.3,73.7,6.76,63.74,4.68,92.06,7.21,75.26,20.44,81.09,1.34,44.44,16.26,16.95,0.19,1.71,0.07,0,0.15,50,0.45,2.01,77.78,3.27,47.73,0.22,33.33,1.41,0.82,3.86,76.92,,2.45,0.22,33.33,3.49,1,0
Ismael Silva,Akhmat Grozny,Akhmat Grozny,"LDMF, RDMF, RCMF",30,500000,,15,1430,1,0.55,0,0.53,11.39,56.35,Brazil,Brazil,right,169,68,no,6.1,4.59,61.64,1.51,70.83,0.5,0.7,0.13,2.77,3.86,0.82,3,0.19,0,0,0.76,0.06,1,0.06,0.03,0,0,17,1.07,11.76,5.882,0,0.63,50,0.19,33.33,0.44,57.14,0,0.38,83.33,2.58,48.78,0.06,0.38,0.13,29.2,0.25,1.07,43.43,84.49,16.68,72.45,5.79,96.74,15.23,92.15,36.38,89.62,6.48,58.25,18.78,32.89,0.03,0.44,0.06,0,0,0,0.19,8.12,74.42,2.01,43.75,0.38,50,0.5,0.31,8.18,73.08,,1.07,0.19,0,0.57,0,0
N. Ghandri,Akhmat Grozny,Akhmat Grozny,"LCB, RCB",30,1000000,,15,1442,0,0.63,0,0.73,8.99,60.42,France,"France, Tunisia",right,197,94,no,7.86,2.93,70.21,3.25,61.54,0.19,0.26,0.87,5.62,7.74,0.69,3,0.19,0,0,0.25,0,0,0,0.04,0,0,7,0.44,28.57,0,0,0.19,0,0.19,0,0,0,0,0.12,100,0.81,38.46,0.81,0.25,0,18.35,0.37,0.69,32.14,86.6,15.35,77.64,3.25,100,10.36,94.58,27.34,91.32,4.74,60.53,20.64,41.13,0.05,0.12,0,0,0,0,0,4.12,68.18,0.5,25,0.19,33.33,0.31,0,6.05,76.29,,0,0,0,0,0,0
