Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Mendy,Al Ahli,Al Ahli,GK,33,8000000,2026-06-30,9,934,0,0,0,0,0.29,100,France,"France, Senegal",right,194,86,no,0.77,0,0,0.19,100,0,0,0,0.77,1.28,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,10.12,0.19,0,16.09,87.43,8.67,78.89,0,0,6.55,97.06,11.37,98.31,4.72,61.22,28.51,52.01,0,0,0,0,0,0,0,1.93,55,0.19,0,0.19,0,0,0,3.18,78.79,6,0.58,23,2.22,5,73.91,8.11,0.78,2.11,0.203,0,0.58,0.19,,,,0,0,0
F. Kessié,Al Ahli,Al Ahli,"LDMF, RDMF, LCMF",28,18000000,2026-06-30,9,924,1,1.7,0,0.17,8.38,47.67,Côte d'Ivoire,"Côte d'Ivoire, Italy",right,183,74,no,3.9,2.73,57.14,0.78,25,0,0,0.1,2.34,3.87,1.56,0,0,0,0,1.27,0.1,1,0.1,0.17,0,0,13,1.27,46.15,7.692,0,0.88,22.22,0.19,0,0.68,28.57,0.19,0.68,71.43,3.12,46.88,2.44,0.49,0,29.9,0.78,0.49,37.6,84.97,11.98,71.54,5.26,94.44,15.78,90.12,31.95,90.55,4.87,58,18.73,32.88,0.02,0.49,0.1,0,0.19,0,0.19,7.89,74.07,3.21,45.45,1.17,8.33,1.36,0.1,5.45,82.14,0,,0,,0,0,0,0,,,0.1,,,0,0,0,0,0,0
C. Smalling,Al Feiha,Al Feiha,"RCB, CB, LCB",36,2500000,2026-06-30,9,921,1,1.18,0,0,8.7,65.17,England,England,right,194,81,no,7.72,4.3,63.64,2.44,80,0.2,0.25,0.78,4.79,6.02,0.68,0,0,0,0,0.2,0.1,1,0.1,0.12,0,0,5,0.49,40,20,0,0,0,0,0,0,0,0,0.1,0,0.68,42.86,0.78,0.49,0,26.48,0.29,0.29,36.94,91.01,10.55,74.07,1.86,100,22.18,97.8,32.44,96.08,4.5,54.35,21.96,38.45,0,0,0,0,0,0,0,3.03,61.29,0.39,25,0.1,0,0.2,0,4.79,63.27,0,,0,,0,0,0,0,,,1.76,,,0,0,0,0,0,0
O. Mosquera,Al Feiha,Al Feiha,GK,30,300000,2026-06-30,9,921,0,0,0,0,0.49,80,Panama,Panama,right,191,79,no,1.47,0,0,0.2,100,0.1,0.12,0,1.37,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,15.05,0.29,0.2,21.79,87.44,11.24,76.52,0,0,9.67,98.99,14.17,98.62,7.62,66.67,33.28,51.29,0,0,0,0.1,0,0,0,2.93,40,0.2,50,0.1,0,0,0,5.18,84.91,13,1.27,39,3.81,2,66.67,13.48,1.32,0.48,0.047,0,0.88,0.2,,,,0,0,0
F. Sakala,Al Feiha,Al Feiha,"LW, LWF, CF",28,6000000,2026-06-30,9,921,2,1.88,1,1.92,18.96,35.05,Zambia,Zambia,right,178,74,no,2.05,2.54,38.46,1.17,8.33,0.1,0.12,0,0.98,1.23,0.68,1,0.1,0,0,5.08,0.2,2,0.2,0.18,1,0.1,19,1.86,36.84,10.526,0.1,2.93,23.33,2.74,25,0.2,0,0.68,7.72,48.1,13,36.84,4.01,5.37,0.39,21.21,4.89,0.88,23.65,73.55,2.93,66.67,6.64,88.24,7.52,70.13,20.42,81.34,0.49,40,15.74,24.05,0.19,1.07,0,0,0,0,0.29,0.88,77.78,2.44,56,0,0,1.47,0.59,3.81,76.92,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0
W. Hoedt,Al Shabab,Al Shabab,LCB,31,2200000,,9,919,0,0.46,0,0.08,7.83,70,Netherlands,Netherlands,left,188,77,no,6.27,2.55,57.69,3.13,75,0.29,0.44,0.29,4.5,6.73,0.69,2,0.2,0,0,0.69,0,0,0,0.04,0,0,7,0.69,28.57,0,0,0.59,50,0.59,50,0,0,0,0.2,100,0.39,75,0.78,1.47,0,33.98,0,0.69,46.91,88.52,20.86,82.16,2.06,95.24,21.35,95.41,38.88,94.21,7.54,61.04,25.13,43.81,0.01,0.1,0,0.1,0.1,0,0,9.6,74.49,1.08,54.55,0.39,25,0.29,0.29,12.05,85.37,0,,0,,0,0,0,0,,,1.47,,,0,0,0,0,0,0
M. Borjan,Al Riyadh,Al Riyadh,GK,38,400000,2026-06-30,9,913,0,0,0,0,0.89,77.78,Serbia,"Serbia, Canada",right,196,85,no,1.68,0.2,0,0.69,100,0,0,0,1.68,1.98,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,10.25,0.1,0,16.96,77.33,11.14,66.37,0,0,5.42,100,8.18,96.39,8.58,60.92,38.55,52.43,0,0,0,0,0,0,0,3.06,48.39,0.49,20,0.2,50,0.1,0,5.82,74.58,19,1.87,51,5.03,1,62.75,17.49,1.72,-1.51,-0.149,0,1.87,0.69,,,,0,0,0
Y. Barbet,Al Riyadh,Al Riyadh,LCB,32,1500000,2026-06-30,9,913,0,0.32,0,0.05,5.91,51.67,France,France,left,187,80,no,7.49,1.87,73.68,1.97,35,0.2,0.23,0.39,5.91,6.98,0.3,0,0,0,0,0.59,0,0,0,0.03,0,0,7,0.69,42.86,0,0,0.39,25,0.39,25,0,0,0.1,0.39,50,0.99,40,0.39,0.79,0,22.18,0.3,0.3,34.6,84.33,15.58,71.52,2.07,100,15.38,94.87,27.7,91.1,6.51,59.09,24.44,40.43,0.01,0.2,0,0,0,0,0.2,6.41,66.15,0.79,37.5,0.3,0,0.2,0.2,9.27,72.34,0,,0,,0,0,0,0,,,1.68,,,0.3,0.2,0,0,0,0
Y. Bounou,Al Hilal,Al Hilal,GK,34,9000000,2028-06-30,9,909,0,0,0,0,0.5,100,Canada,"Canada, Morocco",left,195,78,no,1.29,0.2,100,0.3,100,0.1,0.16,0,0.99,1.65,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0.1,0.1,11.78,91.6,6.44,86.15,0,0,5.05,100,9.7,97.96,2.08,61.9,26.87,36.71,0,0,0,0,0,0,0,0.89,44.44,0,0,0,0,0,0,1.88,68.42,9,0.89,25,2.48,4,64,5.71,0.57,-3.29,-0.326,0,1.19,0.3,,,,0,0,0
Alfa Semedo,Al Feiha,Al Feiha,"DMF, RCMF",28,1600000,2026-06-30,9,909,2,1.85,1,1,12.38,49.6,Guinea-Bissau,"Guinea-Bissau, Portugal",right,189,82,no,6.04,4.65,59.57,1.98,45,0.1,0.12,0.1,3.17,3.98,0.99,2,0.2,0,0,1.88,0.2,2,0.2,0.18,1,0.1,15,1.49,20,13.333,0.1,0.89,66.67,0.4,75,0.5,60,0.1,1.58,62.5,4.55,41.3,0.4,1.09,0.1,27.92,0,0.3,40.4,85.54,12.97,74.81,4.75,93.75,17.23,92.53,34.16,90.72,5.35,55.56,20.21,33.61,0.1,0.59,0,0.1,0,0,0.2,8.42,82.35,1.29,61.54,0.2,0,0.5,0.5,8.32,77.38,0,,0,,0,0,0,0,,,1.19,,,0,0,0,0,0,0
