Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Mulligan,Hibernian,Hibernian,"RCMF, RWB",22,350000,,12,1043,1,0.96,2,0.78,16.22,46.81,Scotland,Scotland,right,175,64,no,6.39,5.87,60.29,1.98,43.48,0,0,0.26,2.85,3.75,1.12,3,0.26,0,0,1.73,0.09,1,0.09,0.08,0,0,13,1.12,23.08,7.692,0.17,1.12,15.38,0.09,0,1.04,16.67,0,2.07,58.33,7.42,40.7,2.07,2.07,0.95,22.87,1.04,0.78,32.96,80.1,10.53,68.85,6.64,94.81,9.58,86.49,29.42,85.92,2.5,37.93,17.62,34.24,0.07,0.43,0,0,0.26,33.33,0.26,4.4,58.82,1.73,55,0.43,40,1.38,0.26,5.87,64.71,,0,0,0,0,0,0
K. Bowie,Hibernian,Hibernian,CF,23,250000,2028-05-31,12,886,3,4.09,2,1.24,29.86,30.61,Scotland,Scotland,left,187,84,no,2.95,4.27,40.48,6.2,21.31,0,0,0,1.22,1.61,2.84,1,0.1,0,0,2.84,0.3,3,0.3,0.42,0,0,28,2.84,46.43,10.714,0.2,0.71,14.29,0.51,0,0.2,50,0.1,2.74,51.85,12.39,32.79,4.67,0.61,0.1,10.87,0.91,2.03,16.76,69.7,4.06,45,3.66,80.56,5.59,78.18,15.03,72.3,1.12,63.64,16.92,25.45,0.13,0.51,0,0,0,0,0.51,2.44,41.67,0.91,55.56,0.1,100,1.02,0.1,1.93,73.68,,0,0,0,0,0,0
M. Boyle,Hibernian,Hibernian,"CF, RW",32,1300000,2026-05-31,12,726,2,2.74,0,1.14,13.02,34.29,Scotland,"Scotland, Australia",right,172,70,no,1.86,2.48,50,1.12,0,0,0,0.12,0.62,0.82,0.25,0,0,0,0,3.97,0.25,1,0.12,0.34,0,0,22,2.73,40.91,9.091,0,2.11,52.94,0.74,66.67,1.36,45.45,0.25,3.72,46.67,8.55,36.23,4.96,2.36,0.37,9.92,2.11,1.36,12.27,68.69,2.23,61.11,3.22,84.62,3.35,74.07,9.79,72.15,0.37,66.67,16.71,6.64,0.14,0.87,0,0,0,0,0.74,0.99,50,1.24,80,0,0,0.74,1.12,2.23,77.78,,0,0,0,0.12,1,100
J. McGrath,Hibernian,Hibernian,"LCMF, AMF",29,900000,,12,769,4,3,2,2.22,14.51,41.94,Republic of Ireland,Republic of Ireland,right,175,70,no,4.21,3.75,43.75,1.76,33.33,0.35,0.48,0.35,2.22,3.05,1.17,0,0,0,0,2.57,0.47,2,0.23,0.35,0,0,14,1.64,71.43,28.571,0.23,0.94,50,0.59,60,0.35,33.33,0.12,1.64,57.14,6.32,50,1.17,1.52,0.12,23.06,1.05,1.76,33.36,85.26,10.3,76.14,9.25,93.67,9.13,89.74,30.66,87.79,1.76,60,16,24.73,0.26,2.69,0,0,0,0,0.35,4.45,84.21,2.93,68,0.23,50,1.4,0.47,4.92,80.95,,1.4,0.23,0,2.69,3,66.667
A. Kyziridis,Hearts,Hearts,"LW, RW",25,200000,,12,837,3,1.63,4,2.39,19.78,47.83,Greece,Greece,right,179,72,no,4.09,3.23,73.33,1.18,27.27,0,0,0,1.72,2.68,0.54,3,0.32,0,0,7.85,0.32,3,0.32,0.17,0,0,25,2.69,44,12,0.43,5.38,32,4.09,31.58,1.29,33.33,0.75,8.17,56.58,12.69,45.76,4.19,4.52,0.11,27.42,1.83,0.86,37.2,76.01,7.2,76.12,7.42,92.75,13.98,70,28.82,85.45,3.23,63.33,19.18,31.16,0.26,1.94,0,0.11,0.43,75,0.97,3.76,82.86,5.38,54,0.75,57.14,2.26,1.4,6.99,80,,1.18,0.11,100,1.94,0,0
Cláudio Braga,Hearts,Hearts,CF,26,325000,2026-12-31,12,936,6,6.31,1,1.11,32.6,36.58,Portugal,Portugal,right,180,70,no,5,5.96,54.84,7.6,30.38,0.38,0.58,0.1,1.35,2.02,2.4,1,0.1,0,0,3.94,0.58,6,0.58,0.61,2,0.19,34,3.27,52.94,17.647,0.1,1.63,17.65,1.25,15.38,0.29,33.33,0.29,4.23,45.45,14.04,34.25,5.96,2.31,0.77,15.58,2.98,1.83,21.83,73.57,4.62,62.5,6.35,83.33,5.29,76.36,20,78.37,0.19,50,14.08,8.43,0.11,0.87,0.1,0,0.19,0,0.38,1.63,52.94,1.73,66.67,0.1,0,1.63,0.29,2.02,71.43,,0,0,0,0,0,0
S. Findlay,Hearts,Hearts,LCB,30,600000,2026-06-30,12,1176,3,1.14,0,0.19,12.78,65.87,Scotland,Scotland,left,191,82,yes,5.74,2.91,73.68,6.2,61.73,0.15,0.23,0.38,3.44,5.19,0.23,3,0.23,0,0,0.99,0.23,3,0.23,0.09,3,0.23,10,0.77,60,30,0,0.46,50,0.31,50,0.15,50,0.23,0.38,60,1.53,65,1.15,1.22,0,26.25,0.08,0.99,39.41,88.74,15,79.59,3.06,100,18.75,93.88,33.14,94.46,5.82,59.21,23.36,41.98,0.01,0.23,0,0,0.08,100,0.15,5.89,64.94,0.84,45.45,0.23,33.33,0.23,0.23,7.04,81.52,,0,0,0,0,0,0
L. Shankland,Hearts,Hearts,CF,30,4000000,2028-05-31,12,1148,7,5.15,1,0.82,17.8,35.68,Scotland,Scotland,right,185,75,no,3.45,2.2,67.86,4.86,40.32,0,0,0.16,1.96,2.96,0.71,0,0,0,0,1.96,0.55,5,0.39,0.4,0,0,27,2.12,51.85,25.926,0.08,1.1,7.14,0.47,0,0.63,12.5,0.24,1.1,57.14,7.13,26.37,3.14,0.63,0.08,18.34,0.78,0.94,25.64,70.64,7.92,54.46,5.49,88.57,6.98,71.91,22.81,74.23,1.72,63.64,15.69,29.7,0.06,0.63,0,0,0.24,66.67,0.39,2.9,59.46,1.88,45.83,0.55,57.14,1.02,0.16,2.98,68.42,,0,0,0,0,3,66.667
H. Milne,Hearts,Hearts,"RW, LB, LWB",29,250000,2026-06-30,12,1114,1,1.59,4,2.47,19.96,57.89,Scotland,Scotland,,0,0,no,8.08,6.62,67.07,5.01,69.35,0.81,1.2,0.16,2.83,4.2,1.29,5,0.4,0,0,2.67,0.08,1,0.08,0.13,0,0,19,1.54,15.79,5.263,0.32,3.23,32.5,2.1,30.77,1.05,38.46,0.89,2.26,57.14,6.06,45.33,2.26,1.62,0,24.56,2.02,1.78,36.36,76.44,11.47,64.08,6.38,96.2,12.2,76.82,30.62,83.38,2.5,48.39,18.87,41.74,0.2,1.7,0.08,0,0.16,50,0.48,4.93,63.93,2.99,48.65,0.08,0,0.73,1.05,7.92,76.53,,1.13,0,0,3.15,0,0
O. McEntee,Hearts,Hearts,"RB, RCMF",24,225000,,12,1014,0,0.65,1,0.58,23.17,60.15,United States,"United States, Republic of Ireland",right,190,78,no,11.01,8.34,73.4,8.61,53.61,0.09,0.14,0.62,4.79,7.3,1.24,2,0.18,0,0,1.69,0,0,0,0.06,0,0,4,0.36,50,0,0.09,2.66,33.33,0.18,0,2.4,33.33,0.27,1.07,58.33,3.02,50,1.07,1.07,0.09,23.7,1.51,0.98,36.83,69.88,16.86,57.37,5.41,90.16,9.14,81.55,27.43,78.96,7.01,49.37,23.2,39.01,0.05,0.44,0,0,0,0,0.18,7.54,49.41,1.95,27.27,0.18,0,0.27,0.53,9.85,71.17,,0,0,0,0,0,0
