Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Storer,Greenock Morton,Greenock Morton,GK,21,0,2026-05-31,16,1535,0,0,0,0,0.41,85.71,England,"England, Republic of Ireland",right,196,82,no,0.82,0,0,0.41,85.71,0,0,0,0.82,1.13,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,20.05,0.18,0.06,29.73,78.9,17.94,66.34,0,0,11.43,97.95,14.31,97.95,15.3,61.69,37.38,51.97,0,0,0,0.06,0,0,0,6.33,51.85,0.35,16.67,0.12,0,0.06,0,10.91,77.42,17,1,77,4.51,4,77.92,23.51,1.38,6.51,0.382,0,1.17,0.41,,,,0,0,0
A. Mcadams,Arbroath,Arbroath,GK,26,10000,,16,1531,0,0,0,0,0.59,100,Scotland,Scotland,right,190,0,no,0.76,0,0,0.47,100,0,0,0,0.76,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,12.52,0.29,0.06,19.69,74.03,13.17,66.07,0,0,6.11,91.35,6.47,94.55,13.17,64.29,40.98,48.66,0,0,0,0,0,0,0,3.7,53.97,0.18,33.33,0.29,40,0,0,9.52,74.69,21,1.23,67,3.94,3,68.66,20.44,1.2,-0.56,-0.033,0,1.23,0.47,,,,0,0,0
T. Steward,St. Johnstone,St. Johnstone,GK,20,0,2026-06-30,16,1530,0,0,0,0,0.71,83.33,England,England,,193,83,yes,1.71,0.12,50,0.47,87.5,0,0,0,1.65,2.85,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0.41,0.24,26,89.59,12.35,80,0,0,11.65,98.48,18.53,98.1,7.41,69.05,27.26,44.62,0,0,0,0,0,0,0,1.12,31.58,0.12,50,0.06,0,0.06,0,5.82,74.75,15,0.88,46,2.71,7,67.39,15.92,0.94,0.92,0.054,0,1.29,0.47,,,,0,0,0
R. McAlear,St. Johnstone,St. Johnstone,"LDMF, RDMF, DMF",23,150000,,16,1524,1,0.78,4,2.19,12.11,49.76,Scotland,Scotland,right,189,75,no,6.97,4.72,61.25,2.07,45.71,0.47,0.82,0.12,3.6,6.22,1.18,3,0.18,0,0,1.42,0.06,1,0.06,0.05,0,0,21,1.24,38.1,4.762,0.24,0.94,56.25,0.41,71.43,0.47,37.5,0.24,0.83,50,3.84,41.54,0.94,1.18,0,38.86,0.24,1.06,55.28,85.26,16.24,66.55,9.63,96.32,21.67,95.37,48.31,89.49,6.08,56.31,19.63,41.23,0.13,1.12,0.06,0,0.12,0,0.65,9.09,66.88,2.07,57.14,0.41,28.57,1.06,0.47,7.68,76.92,0,,0,,0,0,0,0,,,1.89,,,1,0.12,100,2.13,0,0
D. O'Reilly,Partick Thistle,Partick Thistle,LCB,30,200000,2026-05-31,15,1452,2,1.7,0,0.43,16.49,67.29,Republic of Ireland,Republic of Ireland,,179,70,no,10.04,5.33,72.09,7.69,68.55,0.5,0.73,0.62,5.7,8.41,1.18,6,0.37,0,0,0.37,0.12,2,0.12,0.11,1,0.06,18,1.12,16.67,11.111,0,0.19,33.33,0.19,33.33,0,0,0.06,0.31,40,1.49,62.5,1.36,1.3,0.06,40.1,0.99,1.12,60,85.23,29.63,75.52,4.28,95.65,22.75,96.19,50.02,91.7,9.79,53.16,23.22,40.9,0.03,0.31,0.06,0,0,0,0.06,9.36,63.58,0.87,21.43,0.19,33.33,0.31,0.06,12.71,71.22,0,,0,,0,0,0,0,,,3.41,,,0.06,0.06,0,0,0,0
J. Wilkie,Arbroath,Arbroath,LB,22,0,2026-05-31,16,1449,1,0.9,1,1.42,14.22,55.02,Scotland,Scotland,right,188,66,no,8.7,5.16,63.86,4.97,55,0.12,0.15,0.56,5.28,6.57,0.5,2,0.12,0,0,1.61,0.06,1,0.06,0.06,0,0,13,0.81,15.38,7.692,0.06,2.67,30.23,2.61,30.95,0.06,0,0.43,1.18,57.89,2.86,45.65,0.56,0.99,0.06,25.4,1.3,0.56,37.52,71.52,19.5,68.79,4.6,93.24,9.44,67.76,25.59,83.98,9.5,47.71,22.2,36.87,0.09,0.56,0.12,0.06,0,0,0.12,9.01,64.83,3.11,38,0.31,20,0.43,1.06,12.86,75.36,0,,0,,0,0,0,0,,,0.25,,,1.3,0.25,25,0.56,0,0
J. Longridge,Greenock Morton,Greenock Morton,LCB,30,50000,,15,1442,2,0.73,0,0,19.79,61.2,Scotland,Scotland,left,183,79,no,11.48,8.36,72.39,5.37,56.98,0.5,0.68,0.75,4.93,6.71,1.44,4,0.25,0,0,0.44,0.12,2,0.12,0.05,1,0.06,7,0.44,42.86,28.571,0,0.12,100,0.12,100,0,0,0,0.25,50,1.93,41.94,0.5,1.37,0.06,26.15,0.19,1,46.06,78.59,23.53,65.25,3,91.67,16.04,94.16,38.07,86.89,7.86,38.1,22.59,40.29,0,0,0,0.06,0,0,0,6.37,47.06,0.44,71.43,0.06,0,0.06,0.12,10.86,54.6,0,,0,,0,0,0,0,,,2.37,,,0,0,0,0,0,0
A. Wright,Ross County,Ross County,"RCB, RB",29,200000,2027-06-30,15,1438,2,1.65,0,0.19,17.52,64.29,England,"England, Jamaica",right,183,73,no,11.33,6.13,68.37,5.07,71.6,0.88,1.17,0.69,6.26,8.38,0.81,1,0.06,0,0,1.5,0.13,2,0.13,0.1,2,0.13,13,0.81,30.77,15.385,0,1.13,33.33,0.06,100,1.06,29.41,0,1.06,82.35,3.57,59.65,1.13,1.38,0.13,21.97,0.75,1,37.43,80.94,14.96,69.04,5.45,91.95,11.45,89.62,33.42,86.33,3,35.42,19.31,39.08,0.01,0.25,0.06,0.06,0,0,0,4.13,66.67,1,50,0,0,0.25,0.38,6.7,58.88,0,,0,,0,0,0,0,,,2.32,,,0.06,0,0,0,0,0
C. Ferrie,Queen's Park,Queen's Park,GK,27,275000,2027-05-31,15,1436,0,0,0,0,0.69,63.64,England,England,,0,0,no,1.63,0,0,0.56,66.67,0,0,0.06,1.63,1.86,0.13,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,11.47,0.19,0.06,19.05,77.3,12.22,66.67,0,0,6.08,97.94,7.52,97.5,11.47,64.48,39.36,49.48,0,0,0,0,0,0,0,2.88,45.65,0,0,0,0,0,0,8.21,77.86,24,1.5,77,4.83,4,68.83,21.72,1.36,-2.28,-0.143,0,1.44,0.56,,,,0,0,0
C. Diabaté,St. Johnstone,St. Johnstone,"LCB, RCB",23,0,,15,1434,2,1.56,0,0.03,14.69,67.95,England,"England, France",right,186,78,no,6.28,2.95,82.98,7.15,70.18,0.44,0.76,0.38,3.39,5.87,0.82,2,0.13,1,0.06,0.69,0.13,2,0.13,0.1,2,0.13,12,0.75,33.33,16.667,0,0.13,0,0,0,0.13,0,0.06,0.5,87.5,1.95,51.61,0.82,1.38,0,44.12,0.5,0.69,63.7,89.85,25.36,79.7,3.89,100,28.37,96.9,59,93.72,4.58,42.47,20.21,36.65,0,0.06,0,0,0,0,0.06,6.78,73.15,0.69,36.36,0.06,0,0.25,0,8.41,70.15,0,,0,,0,0,0,0,,,2.26,,,0,0,0,0,0,0
