Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Bukinac,Vojvodina,Vojvodina,LB,20,0,2027-06-30,15,1393,0,0.15,2,1.4,13.7,51.89,Serbia,Serbia,left,183,72,no,7.17,6.14,66.32,1.94,46.67,0.45,0.63,0.13,2.65,3.68,0.78,2,0.13,0,0,2,0,0,0,0.01,0,0,4,0.26,75,0,0.13,3.1,31.25,3.1,31.25,0,0,0.65,1.29,65,4.13,42.19,0.52,2.58,0.45,28.3,1.36,0.78,38.89,79.73,16.73,72.97,6.2,94.79,9.89,77.78,31.79,89.63,4.07,38.1,18.46,33.33,0.09,0.78,0,0.06,0,0,0.52,6.85,68.87,3.36,34.62,0.32,40,0.32,0.97,8.01,75.81,,0,0,0,0.06,0,0
V. Ili?,Radni?ki Niš,Radni?ki Niš,"AMF, RCMF",26,500000,2026-12-31,15,1092,1,1.29,1,1.76,19.04,45.89,Serbia,Serbia,left,178,74,no,5.19,5.85,53.52,0.91,18.18,0.49,0.74,0.08,1.57,2.34,1.48,3,0.25,0,0,2.39,0.08,1,0.08,0.11,0,0,25,2.06,36,4,0.08,1.81,22.73,0.74,33.33,1.07,15.38,0.08,2.06,56,9.23,43.75,1.98,0.99,0.16,25.05,0.82,2.14,37.75,82.1,9.97,71.07,10.63,95.35,9.97,81.82,33.46,86.95,2.47,60,16.22,22.58,0.14,1.07,0,0,0.16,50,0.41,3.96,79.17,2.06,68,0.33,75,1.24,0.41,5.11,82.26,,0.58,0.08,100,0.99,0,0
L. Nikoli?,Vojvodina,Vojvodina,RB,26,500000,,15,1504,1,0.13,1,1.89,15.02,56.57,Serbia,Serbia,right,177,71,no,8.62,8.2,61.31,1.56,53.85,0.36,0.5,0.36,3.23,4.5,1.14,3,0.18,0,0,2.75,0.06,1,0.06,0.01,0,0,7,0.42,14.29,14.286,0.06,2.93,40.82,0.06,0,2.87,41.67,0.36,1.8,80,3.95,54.55,0.36,2.27,0.06,28.13,1.91,0.78,39.73,77.71,18.43,69.81,4.73,94.94,11.61,81.96,29.92,87,7,53.85,20.71,35.15,0.11,0.96,0.06,0,0.12,50,0.36,6.82,71.05,4.01,53.73,0.3,60,0.96,1.14,10.89,76.37,,0.18,0,0,0.06,0,0
D. Rosi?,Vojvodina,Vojvodina,GK,29,0,2026-12-31,15,1504,0,0,0,0,0.18,66.67,Serbia,Serbia,left,194,86,no,1.08,0,0,0.12,100,0,0,0,1.08,1.5,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,6.64,0.12,0,13.22,82.35,8.2,72.26,0.06,100,4.49,98.67,7,98.29,6.22,64.42,34.99,48.52,0,0,0,0.06,0,0,0,1.68,50,0.18,0,0.06,0,0,0,4.25,81.69,0.12,,,,0,0,0
S. Tomovi?,Spartak Subotica,Spartak Subotica,"AMF, LCMF, LAMF",24,800000,2027-06-30,15,1421,6,5.29,3,3.55,12.54,51.01,Serbia,Serbia,both,184,75,no,2.72,2.47,64.1,0.44,28.57,0,0,0,1.14,1.51,0.38,2,0.13,0,0,3.36,0.38,3,0.19,0.33,0,0,28,1.77,53.57,21.429,0.19,1.52,33.33,1.01,37.5,0.44,28.57,0.38,3.17,56,8.74,47.1,2.53,2.66,0.38,30.72,1.77,1.9,41.1,81.82,12.92,67.16,8.42,95.49,12.35,84.62,35.91,86.24,3.8,56.67,17.62,40.64,0.22,1.71,0,0,0.25,50,0.82,6.59,70.19,2.91,50,0.95,40,1.71,0.51,6.9,84.4,,1.39,0.32,40,2.6,4,75
L. Suboti?,Spartak Subotica,Spartak Subotica,"RCB, LCB, CB",22,0,2028-06-30,15,1330,2,0.2,0,0.07,14.89,60.91,Serbia,Serbia,right,190,83,no,12.18,6.97,63.11,3.99,64.41,1.02,1.34,0.68,6.77,8.93,1.76,1,0.07,0,0,0.2,0.14,2,0.14,0.01,2,0.14,2,0.14,100,100,0,0.2,33.33,0,0,0.14,0,0.07,0.14,0,1.22,55.56,0.47,0.34,0,24.02,0.34,0.88,39.25,82.41,17.46,69.77,2.1,93.55,16.04,92.83,32.48,89.79,6.56,47.42,21.78,36.36,0,0.07,0,0,0,0,0.07,4.2,50,0.61,22.22,0.27,25,0.14,0.07,7.71,62.28,,0,0,0,0,0,0
A. Stancic,Ba?ka Topola,Ba?ka Topola,"LCMF, RDMF, RCMF",19,0,,15,999,0,0.41,0,0.22,16.22,50,Serbia,Serbia,unknown,0,0,no,6.85,7.39,51.22,0.99,18.18,0.9,1.44,0.09,2.16,3.46,2.79,3,0.27,0,0,0.9,0,0,0,0.04,0,0,6,0.54,33.33,0,0,0.27,33.33,0.09,100,0.18,0,0.09,1.08,50,4.68,44.23,0.45,1.26,0.09,24.59,0.9,1.62,35.23,85.17,8.92,68.69,7.66,97.65,13.33,88.51,32.79,87.36,2.16,58.33,17.14,35.51,0.02,0.45,0,0,0.18,50,0.09,5.23,74.14,1.26,50,0.54,66.67,0.45,0.09,4.59,70.59,,0,0,0,0.09,0,0
D. Savi?,Ba?ka Topola,Ba?ka Topola,"LW, LAMF, RW",24,325000,2026-06-30,15,1014,2,1.73,0,1.32,17.66,40.7,Serbia,Serbia,right,173,69,no,3.91,3.64,63.41,1.78,20,0,0,0,1.6,2.38,0.8,3,0.27,0,0,3.82,0.18,2,0.18,0.15,0,0,17,1.51,23.53,11.765,0,3.2,25,2.13,16.67,0.98,45.45,0.36,5.15,51.72,11.27,38.58,2.22,2.13,0.53,22.63,1.78,1.15,30.18,73.82,8.17,64.13,7.9,92.13,8.08,74.73,25.83,80.76,1.33,53.33,16.73,13.82,0.12,0.98,0,0,0.09,0,0.53,2.4,66.67,3.02,52.94,0.09,0,1.07,0.71,4.17,87.23,,0,0,0,0.09,0,0
A. Hadzimujovi?,Novi Pazar,Novi Pazar,"LCB, RCB",18,0,,15,1461,0,0.59,0,0.17,12.75,64.25,Serbia,Serbia,,0,0,no,9.18,6.28,73.53,4.5,57.53,0.25,0.33,0.62,4.31,5.85,0.92,2,0.12,0,0,0.18,0,0,0,0.04,0,0,4,0.25,0,0,0,0.06,0,0.06,0,0,0,0,0.25,50,0.8,53.85,0.37,0.55,0,22.42,0.12,0.55,36.53,81.28,16.26,68.56,2.16,91.43,15.4,93.6,29.63,88.77,6.84,49.55,23.3,37.47,0.01,0.37,0,0,0.12,50,0.06,4.74,58.44,0.74,50,0.37,33.33,0.37,0,7.82,59.84,,0,0,0,0,0,0
I. Davidovi?,Novi Pazar,Novi Pazar,"AMF, RDMF, LDMF",29,0,2027-06-30,15,1329,2,2.04,0,0.61,19.16,47,Serbia,Serbia,right,180,0,no,6.09,5.96,53.41,4,38.98,0.47,0.63,0.41,2.44,3.24,1.76,0,0,0,0,2.1,0.14,2,0.14,0.14,0,0,27,1.83,33.33,7.407,0,1.96,24.14,1.15,17.65,0.81,33.33,0.2,1.63,62.5,7.11,43.81,2.78,0.54,0,15.91,0.68,2.3,24.51,80.39,6.57,70.1,5.28,93.59,7.86,83.62,21.13,87.18,1.69,56,17.58,33.25,0.04,0.2,0.2,0,0,0,0.2,2.1,64.52,1.29,36.84,0,0,0.07,0.34,2.3,64.71,,0,0,0,0.07,0,0
S. Ali?,Novi Pazar,Novi Pazar,"AMF, CF, RDMF",21,0,,15,579,1,0.84,0,0.26,13.52,47.13,Serbia,Serbia,right,187,77,no,6.06,6.22,65,3.11,35,0,0,0,2.02,3,0.78,1,0.16,0,0,0.78,0.16,1,0.16,0.13,0,0,11,1.71,9.09,9.091,0,0.31,100,0,0,0.31,100,0,0.93,33.33,2.95,21.05,1.4,0.93,0,12.59,0.47,0.31,18.5,84.03,7.77,70,2.95,100,4.35,96.43,17.1,85.45,1.09,57.14,16.06,12.3,0.04,0.62,0,0,0,0,0.16,3.73,70.83,0.93,50,0.16,0,0.62,0.16,2.8,72.22,,0,0,0,0,0,0
M. Petkovi?,Novi Pazar,Novi Pazar,"LAMF, LW, LWF",21,0,2027-06-30,15,1033,1,1.06,0,0.73,19.52,38.84,Serbia,Serbia,right,182,79,no,4.79,5.31,59.02,2.35,22.22,0.17,0.23,0.09,1.48,1.95,1.22,2,0.17,0,0,3.66,0.09,1,0.09,0.09,0,0,22,1.92,36.36,4.545,0,1.83,52.38,1.57,50,0.26,66.67,0.17,3.92,48.89,10.11,35.34,1.92,2.79,0.26,15.94,1.05,0.96,23.79,67.4,8.97,58.25,4.18,85.42,5.4,70.97,18.82,71.3,3.14,52.78,18.27,28.26,0.06,0.7,0,0,0.09,100,0.44,4.44,58.82,2.88,60.61,0.44,20,1.05,0.78,6.36,65.75,,0,0,0,0,0,0
M. Jevti?,IMT Novi Beograd,IMT Novi Beograd,LCB,29,300000,2026-06-30,15,1290,1,0.6,0,0.01,10.26,57.82,Serbia,Serbia,left,192,79,no,8.02,3.7,67.92,3.7,60.38,0.35,0.43,0.98,5.16,6.43,0.42,1,0.07,0,0,0.14,0.07,1,0.07,0.04,1,0.07,3,0.21,33.33,33.333,0,0,0,0,0,0,0,0,0.14,50,1.53,36.36,0.28,0.77,0.07,22.67,0.35,0.42,38.44,87.11,19.05,80.22,2.58,100,14.51,93.75,33.84,90.93,4.6,59.09,21.27,26.22,0,0.07,0,0,0,0,0,3.21,80.43,0.07,0,0.07,0,0.07,0,8.23,66.1,,0,0,0,0,0,0
A. Kosti?,Partizan,Partizan,CF,18,0,,15,507,7,5.39,0,0.37,15.44,32.18,Montenegro,Montenegro,,0,0,no,3.02,2.84,56.25,2.31,30.77,0,0,0.18,1.42,2.35,1.6,2,0.36,0,0,3.2,1.24,7,1.24,0.96,2,0.36,28,4.97,46.43,25,0,0.18,100,0,0,0.18,100,0,2.84,25,6.92,17.95,5.86,1.42,0.18,15.44,1.07,0.36,18.99,76.64,3.55,55,5.5,96.77,5.15,72.41,17.57,77.78,1.24,57.14,11.66,12.59,0.07,0.89,0.18,0,0,0,0.18,1.95,72.73,0.71,50,0.36,50,0.89,0.18,1.6,77.78,,0,0,0,0,0,0
O. Ugresic,Partizan,Partizan,"RCMF, RDMF, AMF",19,0,2026-06-30,15,676,1,2.31,1,0.22,15.98,52.5,Serbia,Serbia,unknown,0,0,no,6.26,5.99,66.67,2.13,62.5,0.27,0.47,0.27,2,3.49,1.33,2,0.27,0,0,2,0.13,1,0.13,0.31,0,0,19,2.53,52.63,5.263,0.13,0.93,14.29,0.13,0,0.8,16.67,0.13,0.8,33.33,6.12,34.78,2.93,2.26,0.4,23.3,0.4,1.6,29.16,84.02,7.72,70.69,7.86,96.61,9.19,89.86,26.23,88.83,2,53.33,16.31,24.31,0.03,0.13,0.13,0,0.27,100,0.27,5.06,89.47,2.13,62.5,0.4,33.33,0.53,0.13,4.13,83.87,,0,0,0,0,0,0
