Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Petrovic,Loznica,Loznica,"RCB, LCB",25,0,,20,1939,0,0.25,0,0,8.49,65.57,Serbia,Serbia,,189,0,no,7.29,2.83,68.85,3.76,69.14,0.05,0.06,0.28,5.29,6.84,0.6,1,0.05,0,0,0.09,0,0,0,0.01,0,0,3,0.14,0,0,0,0,0,0,0,0,0,0,0.09,100,0.84,50,0.28,0.46,0.05,21.4,0.23,0.23,36.71,87.1,12.9,71.58,3.11,98.51,17.92,96.11,33.28,92.05,3.43,39.19,22.05,37.02,0,0,0,0,0,0,0,2.14,50,0.14,0,0.09,50,0.05,0,4.92,45.28,0,,0,,0,0,0,0,,,2.78,,,0,0,0,0,0,0
P. Popadic,Dinamo,Dinamo,LCB,25,0,,19,1861,1,0.92,0,0.05,12.48,59.69,Serbia,Serbia,unknown,0,0,no,7.16,4.3,64.04,4.01,62.65,0.39,0.59,0.48,4.01,6.1,1.16,3,0.15,0,0,0.39,0.05,1,0.05,0.04,0,0,7,0.34,42.86,14.286,0,0.15,33.33,0.1,50,0.05,0,0.05,0.34,57.14,1.98,56.1,0.34,0.19,0.05,14.61,0.19,1.31,30.08,79.42,14.8,69.61,1.84,94.74,10.69,89.59,23.5,86.21,6.43,55.64,23.47,36.06,0,0.15,0,0,0,0,0.05,4.59,56.84,0.48,30,0.19,25,0.1,0.05,7.3,68.87,0,,0,,0,0,0,0,,,1.4,,,0.1,0.05,100,0,0,0
D. Stanojevi?,Loznica,Loznica,"LCB, LB",28,0,,19,1841,1,0.93,0,0.55,9.19,57.45,Serbia,"Serbia, Australia",left,187,77,no,7.09,3.37,69.57,1.96,50,0.34,0.45,0.54,4.4,5.74,0.93,4,0.2,0,0,1.22,0.05,1,0.05,0.05,0,0,5,0.24,40,20,0,1.76,27.78,1.76,27.78,0,0,0.15,0.98,65,2.35,60.42,0.49,0.98,0.05,21.36,0.78,0.78,34.12,74.79,17.79,68.96,2.44,98,10.32,81.04,25.13,85.8,7.53,47.4,22.92,42.19,0.03,0.44,0,0,0,0,0.1,6.31,60.47,1.91,25.64,0.1,0,0.2,0.59,8.8,68.89,0,,0,,0,0,0,0,,,0.98,,,0,0,0,0,0,0
A. Stankovi?,Smederevo 1924,Smederevo 1924,GK,27,50000,,19,1839,0,0,0,0,0.24,100,Serbia,Serbia,right,191,80,no,1.47,0.05,100,0.2,100,0,0,0.05,1.42,2.18,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,0.24,0,26.08,88.93,14.09,82.29,0.15,100,10.86,96.85,17.32,98.59,8.71,69.66,30.65,46.78,0,0,0,0,0,0,0,1.96,47.5,0.05,0,0.05,0,0,0,6.17,80.95,17,0.83,61,2.99,8,72.13,19.17,0.94,2.17,0.106,0.15,1.17,0.2,,,,0,0,0
F. Samurovi?,Tekstilac Odžaci,Tekstilac Odžaci,GK,23,450000,,19,1836,0,0,0,0,0.78,87.5,Serbia,Serbia,right,193,73,no,2.01,0.25,100,0.25,100,0,0,0,1.76,2.4,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,0,9.51,0.15,0.2,17.94,80.05,11.18,70.18,0,0,5.93,95.87,9.12,98.39,8.82,61.11,34.92,48.64,0,0,0,0,0,0,0,2.6,45.28,0.15,0,0.25,60,0.05,0,6.32,73.64,31,1.52,67,3.28,5,53.73,20.97,1.03,-10.03,-0.492,0,1.42,0.25,,,,0,0,0
A. Simic,Trayal Kruševac,Trayal Kruševac,GK,24,0,,19,1825,0,0,0,0,0.94,84.21,Serbia,"Serbia, Bosnia and Herzegovina",right,193,0,no,1.78,0.15,66.67,0.59,100,0,0,0,1.68,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,50,0,0,0,21.35,0.2,0.25,31.02,86.65,17.8,79.22,0,0,12.72,96.9,20.32,98.3,10.7,64.52,31.29,49.5,0,0,0,0,0,0,0,2.71,47.27,0.3,0,0.05,100,0,0,7.74,73.89,23,1.13,70,3.45,4,67.14,21.44,1.06,-1.56,-0.077,0,1.92,0.59,,,,0,0,0
S. Mitrovi?,Loznica,Loznica,"RB, RAMF, RW",23,0,2028-12-31,20,1815,0,0.97,3,2.26,16.17,54.6,Serbia,Serbia,right,170,61,yes,9.02,6.6,70.68,2.63,41.51,0.45,0.57,0.2,3.92,4.97,1.09,4,0.2,0,0,1.29,0,0,0,0.05,0,0,11,0.55,36.36,0,0.15,1.98,32.5,0.05,0,1.93,33.33,0.3,0.94,47.37,4.91,46.46,1.34,0.89,0.2,17.55,2.13,1.44,25.44,72.51,11.95,65.56,3.72,94.67,5.9,69.75,20.33,80.98,3.27,42.42,18.79,27.22,0.11,0.64,0,0,0,0,0.4,3.82,61.04,1.88,47.37,0.1,50,0.55,0.69,6.64,67.16,0,,0,,0,0,0,0,,,0.1,,,0.05,0,0,0,0,0
B. Blagojevic,Smederevo 1924,Smederevo 1924,"LCB, RCB",23,0,2026-06-30,19,1811,0,0.21,1,0.32,8.5,56.73,Serbia,Serbia,left,188,0,yes,7.16,3.83,59.74,2.68,59.26,0.1,0.15,0.8,4.77,7.29,1.04,2,0.1,0,0,0,0,0,0,0.01,0,0,3,0.15,0,0,0.05,0.05,0,0,0,0.05,0,0.05,0.05,0,0.65,53.85,0.2,0.6,0,30.96,0.45,0.7,46.81,83.23,20.23,67.32,1.94,100,22.02,95.49,38.42,92.11,8.35,42.86,24.54,42.17,0.02,0.2,0.05,0,0.05,0,0.05,6.76,55.15,0.5,40,0.55,9.09,0.25,0,9.34,63.83,0,,0,,0,0,0,0,,,1.14,,,0,0,0,0,0,0
F. Stamenkovic,Dinamo,Dinamo,"RCB, CB",27,175000,,18,1763,0,0.24,0,0.33,10.21,65,Serbia,Serbia,right,192,79,no,6.28,2.6,70.59,5.1,74,0.15,0.23,0.36,4.29,6.55,1.07,6,0.31,0,0,0.05,0,0,0,0.01,0,0,3,0.15,33.33,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0.71,35.71,0.36,0.1,0,9.19,0.31,0.66,21.29,75.06,10.72,60.95,1.28,100,7.86,87.66,16.8,84.5,4.44,40.23,23.94,39.35,0.02,0.15,0,0,0,0,0,4.03,44.3,0.46,22.22,0.2,0,0.15,0,5.51,59.26,0,,0,,0,0,0,0,,,0.97,,,0,0,0,0,0,0
J. Mitrovi?,Smederevo 1924,Smederevo 1924,"RCB, LCB",24,0,2026-06-30,18,1742,2,0.74,0,0.2,14.72,55.79,Serbia,Serbia,,0,0,no,8.68,5.94,61.74,5.22,57.43,0.1,0.16,0.83,4.91,7.5,1.45,5,0.26,0,0,0.41,0.1,2,0.1,0.04,2,0.1,10,0.52,40,20,0,0.26,40,0.1,50,0.15,33.33,0.05,0.15,66.67,1.5,48.28,0.72,1.14,0,35.65,0.46,1.03,53.52,83.3,25.16,72.48,3.82,95.95,21.08,93.38,44.38,91.15,8.89,45.35,23.69,43.96,0.01,0.15,0,0,0,0,0,8.01,51.61,1.19,17.39,0.93,16.67,0.21,0.1,10.85,69.05,0,,0,,0,0,0,0,,,3.41,,,0,0,0,0,0,0
