Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
U. Korun,Tabor Sežana,Tabor Sežana,"RCB, LCB",38,50000,2026-06-30,16,1528,4,2.47,1,0.48,7.33,61.54,Slovenia,Slovenia,right,188,79,no,4.2,1.94,51.61,3.45,72.73,0.06,0.1,0.31,3.13,4.78,0.38,1,0.06,0,0,0.69,0.24,2,0.13,0.15,1,0.06,14,0.88,28.57,28.571,0.06,0.44,42.86,0,0,0.44,42.86,0,0.38,66.67,1.07,64.71,0.63,0.56,0,37.98,0.19,0.56,57.1,88.91,24.82,79.55,3.13,98,25.32,97.03,46.07,94.56,10.65,66.47,23.55,40.08,0.03,0.13,0,0,0,0,0.06,9.84,69.43,1.63,46.15,0.81,46.15,0.5,0.19,12.22,84.1,0,,0,,0,0,0,0,,,2.26,,,0.31,0.31,20,0,2,100
S. Mo?i?,Beltinci,Beltinci,GK,24,50000,,16,1517,0,0,0,0,0.53,88.89,Slovenia,Slovenia,right,183,78,no,1.72,0.12,50,0.18,100,0,0,0,1.66,2.65,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0,12.1,0.3,0.18,20.29,88.3,10.38,77.71,0,0,8.9,99.33,14.18,98.74,6.11,64.08,30.16,49.52,0,0,0.06,0,0,0,0,1.07,55.56,0.12,0,0.12,50,0,0,4.63,70.51,14,0.83,46,2.73,8,69.57,11.7,0.69,-2.3,-0.136,0,1.42,0.18,,,,0,0,0
L. ?adež,Krka,Krka,GK,25,100000,,16,1516,0,0,0,0,0.95,86.67,Slovenia,Slovenia,right,186,75,no,1.77,0.06,100,0.51,100,0,0,0,1.71,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,9.04,0.13,0.19,18.77,79.8,11.38,69.44,0,0,6.51,97.09,10.18,95.65,8.6,61.03,34.83,48.99,0,0,0,0.06,0,0,0,2.34,40.54,0.13,0,0.13,50,0,0,5.88,74.19,25,1.58,76,4.8,4,67.11,25.82,1.63,0.82,0.052,0,2.21,0.51,,,,0,0,0
M. Magdi?,Triglav,Triglav,"RCB, CB, LCB",26,100000,,16,1516,6,2.63,0,0,11.4,71.35,Croatia,"Croatia, Bosnia and Herzegovina",right,187,80,no,8.61,3.5,79.66,4.69,69.62,0,0,1.01,5.82,9.48,0.3,1,0.06,0,0,0.71,0.36,6,0.36,0.16,4,0.24,14,0.83,64.29,42.857,0,0.18,0,0.12,0,0.06,0,0.06,0.3,60,1.42,58.33,0.89,0.89,0,42.21,0.71,1.01,62.04,89.57,23.63,82.41,3.21,100,30.22,94.89,55.21,93.66,6.65,58.04,21.31,38.45,0,0.06,0,0.06,0,0,0,5.28,67.42,0.42,0,0.12,0,0.06,0.06,9.74,67.07,0,,0,,0,0,0,0,,,2.43,,,0.06,0.06,0,0,0,0
A. Kozina,Rudar,Rudar,"RCB, LCB",23,0,,16,1515,1,0.57,1,0.21,14.38,61.57,Croatia,Croatia,,0,0,no,8.26,4.63,70.51,5.58,58.51,0.18,0.25,0.3,4.81,6.79,1.13,3,0.18,0,0,0.36,0.06,1,0.06,0.03,1,0.06,6,0.36,33.33,16.667,0.06,0.06,0,0,0,0.06,0,0,0.42,57.14,1.43,54.17,0.65,0.83,0.06,29.05,0.24,1.78,45.15,88.95,21.15,82.3,1.37,95.65,18.36,95.79,41.17,93.07,3.92,46.97,18.95,33.88,0.01,0.24,0,0,0,0,0.12,3.86,61.54,0.59,30,0.06,100,0.36,0,6.24,70.48,0,,0,,0,0,0,0,,,0.83,,,0,0,0,0,0,0
M. Zalokar,Krško,Krško,GK,35,50000,,16,1512,0,0,0,0,0.83,71.43,Slovenia,Slovenia,right,190,82,no,2.02,0.06,0,0.42,85.71,0,0,0,2.02,2.19,0.06,2,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,50,0,0,0,10.24,0.24,0.3,22.5,87.83,11.79,78.79,0,0,9.82,98.18,15.06,98.02,7.44,67.2,31.57,43.77,0,0.06,0,0,0,0,0,1.49,52,0,0,0,0,0.06,0,5.48,72.83,36,2.14,116,6.9,1,68.97,38.05,2.27,2.05,0.122,0,1.61,0.42,,,,0.06,0,0
L. Erjavšek,Nafta,Nafta,GK,21,0,2027-06-30,16,1511,0,0,0,0,0.66,90.91,Slovenia,Slovenia,right,188,77,no,2.2,0,0,0.48,100,0,0,0,2.2,2.86,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,50,0,0,0,8.16,0.18,0.12,15.72,81.06,8.82,69.59,0,0,5.66,97.89,10.36,98.85,5.18,48.28,28.78,46.48,0,0,0,0,0,0,0,1.61,37.04,0.12,0,0.06,0,0,0,3.63,55.74,13,0.77,52,3.1,7,75,15.02,0.89,2.02,0.12,0,2.5,0.48,,,,0,0,0
M. Matko,Brinje-Grosuplje,Brinje-Grosuplje,"RCB, LCB",24,150000,,16,1510,0,0.35,0,1.4,10.31,63.01,Slovenia,Slovenia,right,181,74,no,8.7,4.95,66.27,3.04,68.63,0.3,0.5,0.42,5.13,8.63,0.89,4,0.24,0,0,0.66,0,0,0,0.02,0,0,5,0.3,20,0,0,1.25,38.1,0.06,0,1.13,42.11,0.3,0.18,66.67,1.13,42.11,0.3,1.25,0.06,47.26,0.6,0.48,65.68,85.93,31.05,77.54,4.89,98.78,24.56,93.45,54.3,92.1,10.19,58.48,21.88,37.97,0.08,0.77,0,0,0.06,0,0.24,13.35,73.21,2.15,33.33,1.01,41.18,0.48,0.48,15.56,82.38,0,,0,,0,0,0,0,,,2.26,,,0.12,0,0,0,0,0
A. Mulali?,Triglav,Triglav,GK,31,100000,2027-06-30,16,1503,0,0,0,0,0.36,100,Bosnia and Herzegovina,"Bosnia and Herzegovina, Slovenia",right,187,85,no,1.44,0.12,100,0.12,100,0.06,0.1,0,1.26,2.06,0,2,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0.06,11.98,0.12,0.06,20.48,80.99,11.08,71.35,0.06,0,8.44,93.62,13.05,96.79,7.31,54.1,30.6,46.17,0,0,0.06,0,0,0,0,2.34,43.59,0.18,0,0.24,25,0.12,0,5.75,64.58,19,1.14,68,4.07,6,72.06,18.96,1.14,-0.04,-0.002,0,0.84,0.12,,,,0,0,0
N. Pušnik,Brinje-Grosuplje,Brinje-Grosuplje,"CB, LCB",27,125000,,16,1498,2,3.17,1,0.57,11.05,60.87,Slovenia,Slovenia,right,185,0,no,8.17,4.75,70.89,3.18,56.6,0.18,0.3,0.66,4.63,7.8,1.08,3,0.18,0,0,0.3,0.12,2,0.12,0.19,1,0.06,10,0.6,40,20,0.06,0.12,0,0.06,0,0.06,0,0,0.06,100,0.9,46.67,1.26,1.14,0.06,48.36,0.12,0.6,65.85,90.6,20.73,80.87,3.85,96.88,35.21,96.59,61.22,93.33,4.51,56,19.79,32.94,0.03,0.3,0,0,0,0,0.06,6.49,78.7,0.12,0,0.18,0,0.18,0,9.49,71.52,0,,0,,0,0,0,0,,,2.04,,,0,0,0,0,0,0
