Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Javi Villar,Albacete,Albacete,"RCMF, LCMF, LCB",22,0,2027-06-30,13,791,0,0.54,1,0.06,16.61,43.15,Spain,Spain,right,187,79,no,7.62,6.03,52.83,3.19,46.43,0.23,0.32,0.57,4.21,5.94,2.16,2,0.23,0,0,1.14,0,0,0,0.06,0,0,8,0.91,25,0,0.11,0.34,66.67,0.11,100,0.23,50,0,1.25,54.55,3.87,29.41,0.34,0.91,0,19.8,0.23,0.57,34.13,86.67,9.33,74.39,5.35,91.49,15.02,90.91,30.27,90.6,3.53,54.84,20.07,30.9,0.01,0.23,0,0.11,0,0,0.23,4.89,74.42,0.46,75,0,0,0.11,0.23,3.41,66.67,,0,0,0,0.11,0,0
Jon Magunazelaia,Eibar,Eibar,"AMF, CF",24,0,2026-06-30,13,829,1,0.68,0,0.45,18.13,32.34,Spain,Spain,right,181,75,no,5.1,6.08,33.93,3.04,14.29,0.11,0.14,0.11,2.93,3.8,1.85,1,0.11,0,0,1.41,0.11,1,0.11,0.07,0,0,8,0.87,50,12.5,0,1.3,33.33,0.76,42.86,0.54,20,0.22,1.3,41.67,7.71,35.21,1.74,1.74,0.22,21.5,0.65,1.85,29.86,81.82,7.82,70.83,7.6,91.43,7.6,85.71,27.25,85.66,1.52,57.14,16.46,30.12,0.05,0.65,0,0,0.11,0,0.11,3.47,71.88,1.85,47.06,0.33,33.33,0.54,0.22,2.93,74.07,,0,0,0,0,0,0
Jon Morcillo,Albacete,Albacete,"LW, LAMF",27,1000000,2026-06-30,13,1004,3,2.3,3,2.26,13.36,53.02,Spain,Spain,left,183,72,no,3.59,3.59,55,0.36,50,0.09,0.12,0,1.52,2.02,0.36,1,0.09,0,0,7.08,0.27,3,0.27,0.21,0,0,30,2.69,40,13.333,0.27,5.83,38.46,5.11,42.11,0.72,12.5,0.99,5.29,71.19,8.34,54.84,2.15,2.15,0.54,18.2,2.87,0.72,25.46,65.14,4.93,45.45,4.66,90.38,10.76,62.5,17.39,78.87,2.6,37.93,22.03,29.68,0.2,1.43,0.18,0.09,0.18,0,1.08,1.97,54.55,4.84,38.89,0.27,33.33,0.36,2.15,4.66,76.92,,0.99,0.27,100,2.87,1,100
Agus Medina,Albacete,Albacete,"CF, RW",31,1000000,2026-06-30,13,1302,7,3.96,0,1.61,16.94,38.37,Spain,Spain,right,176,71,no,4.7,5.39,53.85,4.08,27.12,0.07,0.09,0,1.73,2.31,1.18,1,0.07,0,0,2.14,0.48,6,0.41,0.27,2,0.14,27,1.87,55.56,22.222,0,1.24,44.44,0.14,50,1.11,43.75,0,0.9,53.85,5.05,36.99,2.56,1.04,0.35,17.56,1.24,1.18,25.85,77.01,8.78,66.93,3.73,94.44,8.36,83.47,21.15,81.37,3.53,60.78,19.6,38.71,0.11,1.11,0.14,0.14,0.14,50,0.28,4.35,71.43,2,65.52,0.35,20,1.04,0.55,4.84,82.86,,0.9,0.07,0,1.38,0,0
José Carlos Lazo,Albacete,Albacete,"RW, LW",29,1500000,2026-06-30,13,591,1,0.87,1,0.63,16.14,35.85,Spain,Spain,right,178,71,no,6.55,5.63,54.05,1.68,9.09,0.46,0.6,0,3.05,4.03,1.52,1,0.15,0,0,2.13,0.15,1,0.15,0.13,0,0,18,2.74,27.78,5.556,0.15,2.28,20,0.46,0,1.83,25,0.46,1.98,38.46,6.24,29.27,2.74,1.52,0,17.51,0.61,1.07,22.69,65.77,6.85,55.56,3.5,86.96,6.55,67.44,18.27,74.17,2.13,42.86,18.85,20.36,0.1,0.61,0,0,0.15,100,0.46,2.74,55.56,2.59,29.41,0.15,100,0.61,0.46,4.11,55.56,,0.91,0.15,0,1.07,0,0
Fran Gámez,Albacete,Albacete,RB,34,400000,2026-06-30,13,1092,0,0.24,2,2.83,14.51,57.39,Spain,Spain,right,174,72,no,11.21,6.92,73.81,1.98,45.83,0.91,1.18,0.33,5.19,6.77,0.58,3,0.25,0,0,2.97,0,0,0,0.02,0,0,5,0.41,0,0,0.16,5.27,32.81,0,0,5.27,32.81,0.74,1.57,73.68,3.87,44.68,1.4,2.8,0.58,22.42,4.45,0.25,35.27,66.12,14.75,58.1,4.86,94.92,9.56,62.93,23.65,81.88,6.51,36.71,23.19,36.25,0.23,1.65,0.16,0.08,0.08,100,1.07,5.93,47.22,5.52,49.25,0.49,50,1.57,1.48,9.23,79.46,,0,0,0,0,0,0
Jon Mikel,Eibar,Eibar,GK,25,600000,2026-06-30,13,1288,0,0,0,0,0.35,80,Spain,Spain,right,183,78,no,1.75,0.14,50,0.21,100,0,0,0,1.68,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.49,0.42,0,24.53,88.03,11.88,79.41,0,0,11.32,95.68,16.7,99.16,7.76,64.86,27.82,47.39,0,0,0,0,0,0,0,1.61,47.83,0.21,0,0.07,100,0.07,0,5.17,71.62,0.21,,,,0,0,0
Marco Moreno,Eibar,Eibar,RCB,24,400000,2027-06-30,13,1181,0,0.08,0,0,11.13,58.9,Spain,Spain,right,191,78,no,8,4.5,62.71,4.19,58.18,0.23,0.31,0.15,4.95,6.66,1.3,2,0.15,0,0,0.23,0,0,0,0.01,0,0,2,0.15,0,0,0,0.08,100,0,0,0,0,0,0.23,66.67,0.84,36.36,0.15,0.23,0,35.74,0.23,0.76,51.13,88.97,19.97,80.15,3.89,98.04,21.57,93.99,45.27,94.28,5.79,47.37,19.8,41.9,0,0,0,0,0,0,0,4.19,54.55,0.3,0,0.38,0,0,0,6.17,66.67,,0,0,0,0,0,0
Rafa Rodríguez,Málaga,Málaga,"CF, AMF, RCMF",22,0,,13,590,4,1.28,1,0.23,25.17,47.88,Spain,Spain,,180,79,no,7.63,8.08,60.38,2.44,43.75,0.46,0.63,0,2.29,3.17,2.59,1,0.15,0,0,2.29,0.61,5,0.76,0.2,0,0,20,3.05,40,25,0.15,0.92,0,0.31,0,0.61,0,0,2.14,42.86,9.61,46.03,3.36,2.14,0.61,16.32,0.61,2.29,22.27,79.45,6.86,62.22,2.9,89.47,8.69,89.47,19.37,85.83,2.14,50,22.44,35.4,0.04,0.61,0,0,0.46,33.33,0.61,4.12,81.48,1.22,62.5,0.46,33.33,1.07,0,3.2,80.95,,0,0,0,0,0,0
David Larrubia,Málaga,Málaga,"RW, RAMF",23,400000,2027-06-30,13,1221,2,1.88,1,1.74,22.04,48.16,Spain,Spain,left,172,59,no,8.11,6.93,63.83,0.74,20,0.44,0.63,0,3.24,4.65,0.59,1,0.07,0,0,5.53,0.15,1,0.07,0.14,0,0,25,1.84,48,4,0.07,2.58,40,0.15,50,2.21,36.67,0.29,6.34,54.65,13.12,44.38,3.02,3.98,1.11,19.53,1.11,1.55,27.35,75.2,7.74,61.9,5.31,90.28,8.48,80.87,22.92,80.06,1.92,61.54,17.07,30.73,0.13,0.96,0,0,0.15,100,0.44,2.95,72.5,3.32,55.56,0.37,60,1.47,1.18,5.09,76.81,,0.07,0.07,0,0.15,0,0
