Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Silva Ferreira,Luzern,Luzern,"AMF, RW, LAMF",18,0,,13,788,4,2.19,1,0.42,22.96,36.32,Switzerland,Switzerland,unknown,0,0,no,7.99,9.02,49.37,4.11,19.44,0.23,0.32,0.11,3.31,4.63,1.94,1,0.11,0,0,1.71,0.46,4,0.46,0.25,0,0,17,1.94,29.41,23.529,0.11,0.57,40,0.23,50,0.34,33.33,0,2.17,42.11,7.31,29.69,1.83,1.14,0,18.85,1.6,0.8,25.36,81.08,8.22,70.83,4.23,100,7.88,81.16,23.07,83.17,1.83,62.5,17.19,21.93,0.05,0.91,0,0.11,0,0,0.57,4.11,66.67,1.14,70,0,0,0.91,0.23,4.57,70,,0,0,0,0,0,0
P. Loretz,Luzern,Luzern,GK,22,0,2026-06-30,13,1275,0,0,0,0,0.49,85.71,Switzerland,Switzerland,right,191,81,no,2.05,0.07,100,0.28,75,0,0,0,1.98,2.77,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0.35,0.21,34.24,89.07,15.39,80.28,0.07,100,17.65,97.2,23.72,97.92,10.45,69.59,29.61,45.2,0,0,0,0,0,0,0,2.82,57.5,0.14,0,0.42,66.67,0,0,7.76,75.45,0.28,,,,0,0,0
T. Abe,Luzern,Luzern,"DMF, LDMF, RCMF",21,150000,,13,988,0,0.44,0,0.1,14.03,55.84,Japan,Japan,left,175,65,no,8.93,7.74,56.47,1.46,62.5,0.18,0.26,0.09,4.37,6.15,1.46,4,0.36,1,0.09,0.55,0,0,0,0.04,0,0,5,0.46,0,0,0,0.27,66.67,0.09,0,0.09,100,0,0.55,66.67,3.46,55.26,0.18,0.46,0,24.69,0.27,1.18,39.08,89.28,11.2,78.05,5.83,98.44,17.03,95.19,36.8,91.34,2,54.55,19.3,26.83,0.01,0.36,0,0,0.09,0,0,4.1,77.78,0.73,62.5,0.27,33.33,0.46,0.18,5.28,79.31,,0.09,0,0,0.46,0,0
N. Palacio,Zürich,Zürich,"DMF, RCB",24,0,,13,1191,0,0.11,0,0.18,13.98,54.05,Colombia,Colombia,right,180,80,yes,9.9,6.57,62.07,1.96,53.85,0.53,0.87,0.68,5.29,8.68,1.13,2,0.15,0,0,0.45,0,0,0,0.01,0,0,6,0.45,16.67,0,0,0.15,50,0.08,100,0.08,0,0,0.53,57.14,3.78,42,0.08,0.3,0,23.5,0.15,0.98,39.6,86.83,11.49,75,5.97,97.47,17.98,91.6,34.08,91.35,5.37,59.15,21.02,42.7,0.01,0.23,0.15,0,0,0,0.08,7.41,77.55,0.3,25,0.08,0,0.15,0.08,6.88,67.03,,0.45,0,0,0,0,0
A. Bajrami,Luzern,Luzern,LCB,23,0,2028-06-30,13,1138,1,0.27,0,0.11,13.37,61.54,Switzerland,"Switzerland, Albania",left,188,78,no,10.12,5.85,64.86,4.75,58.33,0.24,0.32,1.19,6.09,8.31,0.71,2,0.16,0,0,0.24,0.08,1,0.08,0.02,1,0.08,3,0.24,33.33,33.333,0,0.08,0,0.08,0,0,0,0,0.16,100,1.5,57.89,0.16,0.71,0,25.23,0.32,0.87,37.88,85.59,17.24,73.39,1.27,87.5,16.92,96.26,32.58,91.5,5.22,50,22.15,41.98,0.01,0.08,0,0,0,0,0,4.51,64.91,0.47,0,0.4,40,0.08,0,7.43,63.83,,0,0,0,0,0,0
T. Owusu,Luzern,Luzern,"RDMF, RCMF, LW",22,100000,2029-06-30,13,1225,1,0.77,1,0.56,12.56,61.4,Switzerland,"Switzerland, Ghana",right,183,81,no,6.69,4.04,70.91,2.79,55.26,0.37,0.52,0.22,3.45,4.85,0.29,2,0.15,0,0,1.18,0.07,1,0.07,0.06,0,0,6,0.44,66.67,16.667,0.07,0.22,66.67,0.07,100,0.15,50,0.07,1.1,66.67,4.56,61.29,1.03,1.18,0.15,20.13,0.37,1.62,31,86.49,10.14,71.74,5.95,93.83,10.8,95.92,28.29,89.35,2.5,55.88,18.27,32.12,0.04,0.37,0,0.07,0.22,0,0.44,4.92,74.63,0.81,63.64,0.22,0,0.44,0.15,5.22,70.42,,0,0,0,0,0,0
Y. Brecher,Zürich,Zürich,GK,32,800000,2027-06-30,13,1264,0,0,0,0,0.28,50,Switzerland,Switzerland,right,196,88,no,2.06,0.14,50,0.07,100,0,0,0,1.99,3.26,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,24.92,0.28,0,36.53,85.19,18.37,71.32,0,0,17.02,99.16,22.93,98.76,13.46,62.96,31.65,47.87,0,0,0,0,0,0,0,4.7,56.06,0.28,25,0,0,0,0,9.33,74.05,0.07,,,,0,0,0
A. Grbi?,Luzern,Luzern,"CF, LWF",29,1200000,2027-06-30,13,951,5,5.42,0,0.15,17.51,41.08,Austria,"Austria, Croatia",right,188,82,no,2.18,1.99,61.9,8.23,40.23,0,0,0.28,0.95,1.35,1.04,2,0.19,0,0,1.23,0.47,3,0.28,0.51,0,0,30,2.84,26.67,16.667,0,0.66,0,0.38,0,0.28,0,0.19,0.95,50,4.07,25.58,2.65,0.76,0.09,6.53,0.85,0.47,11.74,67.74,1.89,50,3.6,89.47,2.65,60.71,10.88,72.17,0.19,50,14.25,7.58,0.01,0.38,0.09,0,0.09,0,0.09,1.04,63.64,0.95,40,0.09,0,0.47,0,0.95,30,,0.38,0.38,0,0,2,100
S. Kneževi?,Luzern,Luzern,RCB,29,600000,2029-06-30,13,1223,0,0.37,0,0.32,15.01,61.27,Switzerland,"Switzerland, Serbia",right,187,80,no,8.46,6.92,65.96,4.78,56.92,0.22,0.31,0.74,3.68,5.1,1.1,4,0.29,0,0,0.15,0,0,0,0.03,0,0,5,0.37,20,0,0,0.07,0,0,0,0.07,0,0,0.07,100,0.81,45.45,0.44,0.81,0.15,24.06,0.22,0.66,34.07,84.02,16.19,71.82,1.77,100,13.61,95.68,27.74,92.31,6.26,48.24,23.58,41.21,0.02,0.22,0,0,0,0,0,5.3,63.89,0.74,50,0.37,0,0.52,0,7.87,71.03,,0,0,0,0,0,0
L. Kamberi,Zürich,Zürich,"RB, RCB",26,1200000,2028-06-30,13,1001,0,2.37,0,0.18,11.87,59.09,Switzerland,"Switzerland, Kosovo",right,182,83,no,7.82,4.5,56,4.41,63.27,0.18,0.3,0.45,5.12,8.64,1.26,1,0.09,0,0,0.9,0,0,0,0.21,0,0,14,1.26,14.29,0,0,1.08,25,0,0,0.99,27.27,0,0.54,83.33,1.44,62.5,1.62,1.35,0.18,27.96,0.81,0.72,41.63,83.59,18.43,73.66,3.96,97.73,14.57,93.83,35.78,89.2,4.95,54.55,18.11,33.46,0.02,0.36,0.09,0,0,0,0.09,5.66,58.73,1.44,37.5,0.09,0,0.45,0.18,8.09,71.11,,0,0,0,0,0,0
