Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Muslija,Wil,Wil,GK,19,0,2028-06-30,15,1451,0,0,0,0,0.37,66.67,Switzerland,"Switzerland, Serbia",right,186,0,no,0.43,0.06,0,0.12,50,0,0,0,0.43,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,21.77,0.31,0.12,32.94,89.27,12.72,75.12,0,0,18.67,98.34,23.76,98.96,9.12,64.63,28.68,43.29,0,0,0,0.06,0,0,0,2.48,55,0.37,0,0.31,20,0.06,0,7.38,75.63,28,1.74,74,4.59,3,62.16,20.11,1.25,-7.89,-0.489,0,0.5,0.12,,,,0,0,0
M. Mastil,Stade Nyonnais,Stade Nyonnais,GK,25,100000,,15,1439,0,0,0,0.1,0.75,91.67,France,"France, Algeria",right,194,0,yes,2.25,0,0,0.56,88.89,0,0,0,2.25,2.48,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,100,0,0,0.06,17.95,0.25,0.31,27.39,84.7,12.01,67.71,0,0,14.57,97.85,17.89,98.95,9.51,57.89,33.19,51.09,0.01,0.06,0,0,0,0,0,2.88,43.48,0.25,0,0.38,16.67,0,0,6.82,67.89,22,1.38,96,6,3,77.08,28.67,1.79,6.67,0.417,0,1.38,0.56,,,,0,0,0
R. Correia,Stade Nyonnais,Stade Nyonnais,LB,25,50000,,15,1439,0,0.53,1,1.95,19.58,50.16,Switzerland,"Switzerland, Portugal",left,181,73,no,10.01,8.26,61.36,2.5,50,0.06,0.07,0.31,4.88,5.37,1,3,0.19,0,0,2.25,0,0,0,0.03,0,0,8,0.5,25,0,0.06,2.31,37.84,2.19,40,0.13,0,0.31,2.25,55.56,7.19,38.26,0.63,1.63,0.06,26.46,1.75,0.94,39.03,78.04,18.83,74.42,6.94,94.59,8.63,75.36,31.4,85.26,5.38,52.33,19.97,38.12,0.12,1,0.06,0.06,0.06,0,0.31,5.63,65.56,2.06,51.52,0.38,33.33,0.38,0.88,10.19,70.55,0,,0,,0,0,0,0,,,0.31,,,0.63,0,0,0.94,0,0
L. Schaffran,Vaduz,Vaduz,GK,27,200000,,15,1436,0,0,0,0,0.69,81.82,Germany,Germany,right,186,81,no,1.38,0,0,0.5,87.5,0,0,0,1.38,1.86,0,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,50,0,0,0,14.42,0.13,0.19,23.44,87.43,12.03,78.65,0,0,10.34,96.36,16.98,97.79,6.46,60.19,28.68,48.05,0,0,0,0,0,0,0,1.44,39.13,0,0,0.13,50,0.06,0,5.08,66.67,14,0.88,55,3.45,5,74.55,16.21,1.02,2.21,0.139,0,1.57,0.5,,,,0,0,0
D. Jacovi?,Wil,Wil,"DMF, RCB, LCB",24,150000,,15,1416,1,1.49,0,0.26,19.19,58.61,Switzerland,"Switzerland, Serbia",right,187,76,no,10.3,8.9,65.71,4.77,54.67,0.83,1.02,0.51,3.62,4.49,2.29,3,0.19,0,0,0.64,0.06,1,0.06,0.09,0,0,6,0.38,50,16.667,0,0.57,22.22,0.32,40,0.25,0,0.19,0.44,71.43,3.11,48.98,0.51,1.02,0.25,29.62,0.19,1.65,45.89,84.07,20.78,75.23,4.32,95.59,14.68,92.64,41.06,88.39,4.26,50.75,19.04,35.03,0.02,0.25,0.06,0,0,0,0.13,7.56,69.75,0.89,35.71,0.06,0,0.19,0.13,8.83,74.82,0,,0,,0,0,0,0,,,1.53,,,0,0,0,0,0,0
A. Sauthier,Yverdon Sport,Yverdon Sport,RB,34,100000,,14,1365,0,0.23,3,2.45,14.04,59.62,Switzerland,Switzerland,right,185,75,no,8.9,6.99,61.32,2.9,52.27,0.26,0.41,0.33,4.35,6.73,0.73,2,0.13,0,0,1.12,0,0,0,0.02,0,0,9,0.59,33.33,0,0.2,1.52,43.48,0.13,100,1.32,40,0.07,0.33,60,2.44,72.97,0.2,0.99,0,45.36,3.1,2.18,57.56,87.4,23.6,82.4,5.8,97.73,22.15,91.96,47.93,90.78,8.11,75.61,21.3,36.71,0.16,1.05,0,0,0.07,100,0.26,9.16,79.86,2.57,56.41,0.66,50,0.59,0.73,14.18,79.53,0,,0,,0,0,0,0,,,1.58,,,0.26,0,0,0.26,0,0
K. Martin,Yverdon Sport,Yverdon Sport,GK,30,300000,2026-06-30,14,1365,0,0,0,0,0.73,81.82,Switzerland,Switzerland,left,180,79,no,0.66,0,0,0.59,88.89,0,0,0,0.66,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,50,0,0,0,22.68,0.33,0.2,29.8,84.29,19.98,78.22,0,0,7.98,97.52,18.07,97.45,11.67,64.41,29.48,43.82,0,0,0,0,0,0,0,1.45,40.91,0.13,0,0.13,50,0,0,8.04,63.93,18,1.19,63,4.15,5,71.43,17.82,1.17,-0.18,-0.012,0,1.32,0.59,,,,0,0,0
M. Hübel,Aarau,Aarau,GK,22,400000,2027-06-30,14,1353,0,0,0,0.01,0.47,100,Switzerland,Switzerland,right,187,80,no,1,0,0,0.4,100,0,0,0,1,1.24,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23,0.2,0,27.21,86.55,16.43,78.95,0,0,10.18,98.69,15.23,97.38,11.97,72.78,35.5,47.32,0,0.07,0,0,0,0,0,5.32,68.75,0.27,0,0.2,33.33,0,0,9.25,87.77,17,1.13,58,3.86,5,70.69,21.13,1.41,4.13,0.275,0,1.46,0.4,,,,0,0,0
M. Thaler,Aarau,Aarau,LCB,31,150000,2026-06-30,14,1353,0,0.1,1,0.79,11.31,62.94,Switzerland,Switzerland,right,185,80,no,8.71,6.98,68.57,1.93,55.17,0.13,0.17,0.53,3.79,4.72,0.93,1,0.07,0,0,0.13,0,0,0,0.01,0,0,3,0.2,0,0,0.07,0.2,0,0.13,0,0.07,0,0,0.13,100,1.06,50,0.73,1.2,0.07,24.68,0.53,0.53,36.72,82.97,20.49,76.62,2.66,95,10.04,92.05,31.06,89.29,5.45,50,21.3,35.86,0.05,0.2,0,0.13,0.07,0,0.07,8.38,73.81,0.53,25,0.13,50,0.47,0,10.78,75.93,0,,0,,0,0,0,0,,,1.6,,,0,0,0,0,0,0
S. Müller,Aarau,Aarau,RCB,25,350000,2027-06-30,14,1353,2,1.27,0,0.64,12.57,53.97,Switzerland,Switzerland,right,186,75,no,8.91,6.25,59.57,3.39,52.94,0.33,0.41,0.8,4.86,6.05,0.73,1,0.07,0,0,0.8,0.13,2,0.13,0.08,2,0.13,11,0.73,27.27,18.182,0,0.93,50,0,0,0.86,46.15,0.07,0.2,66.67,1.66,36,0.8,1.8,0,25.74,0.4,0.47,38.45,84.43,17.23,74.13,3.53,94.34,13.84,94.71,31.8,89.75,5.72,60.47,21.27,36.03,0.04,0.33,0.07,0.07,0.07,0,0.27,7.05,73.58,2.2,60.61,0.33,20,0.73,0.47,10.31,74.19,0,,0,,0,0,0,0,,,1.4,,,0,0,0,0,0,0
