Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ali Khaseif,Al Jazira,Al Jazira,GK,38,100000,,8,828,0,0,0,0.01,1.41,100,United Arab Emirates,United Arab Emirates,right,187,94,no,0.98,0,0,1.2,100,0,0,0,0.98,1.78,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,8.37,0.11,0.33,16.74,89.61,11.09,84.31,0,0,4.78,100,10.33,97.89,6.41,76.27,30.11,45.06,0,0.11,0,0,0,0,0,0.65,83.33,0,0,0.11,100,0,0,5.87,77.78,5,0.54,20,2.17,5,75,3.93,0.43,-1.07,-0.116,0,2.28,1.2,,,,0,0,0
Rúben Amaral,Al Wahda,Al Wahda,LB,24,2000000,2027-06-30,8,825,1,0.33,0,1.31,12.44,47.37,Portugal,Portugal,left,168,0,no,5.78,5.24,56.25,1.75,37.5,0.22,0.34,0,2.62,4.11,0.55,1,0.11,0,0,2.95,0.11,1,0.11,0.04,0,0,5,0.55,20,20,0,4.15,36.84,4.15,36.84,0,0,0.76,2.29,57.14,4.58,45.24,1.53,3.05,0.22,29.89,1.31,0.76,38.62,82.77,12.44,78.95,7.09,95.38,12.22,80.36,31.75,91.75,2.73,48,18.46,35.64,0.14,1.31,0,0.11,0,0,0.55,3.82,82.86,3.93,44.44,0.22,0,0.55,1.64,7.09,80,0,,0,,0,0,0,0,,,0.65,,,0,0,0,0,0,0
Neto,Al Bataeh,Al Bataeh,"RCMF, LCMF, DMF",23,500000,,8,824,0,0.4,0,0.07,8.85,53.09,Brazil,Brazil,right,178,75,no,5.02,4.37,57.5,0.87,25,0,0,0.22,2.51,3.97,1.42,3,0.33,0,0,1.2,0,0,0,0.04,0,0,8,0.87,50,0,0,0.66,33.33,0,0,0.55,40,0,0.76,57.14,2.73,64,0.33,1.09,0.11,35.93,0.11,1.09,46.42,81.88,17.58,68.94,7.1,84.62,16.49,92.05,38.67,87.01,7.1,58.46,20.8,41.96,0.01,0.44,0,0.11,0.22,50,0.11,11.25,68.93,2.4,40.91,1.31,33.33,0.87,0.22,10.38,83.16,0,,0,,0,0,0,0,,,0.66,,,1.53,0.11,0,0,0,0
Diney Borges,Al Bataeh,Al Bataeh,"RCB, CB",30,1000000,,8,824,1,0.82,0,0,14.2,50.77,Cape Verde Islands,"Cape Verde Islands, Portugal",right,185,78,no,8.08,5.13,55.32,6.44,47.46,0.44,0.69,0.11,4.81,7.59,1.31,1,0.11,0,0,0.22,0.11,1,0.11,0.09,0,0,5,0.55,40,20,0,0,0,0,0,0,0,0,0,0,1.09,40,1.09,0.33,0.11,22.39,0.11,0.44,34.95,84.69,15.29,74.29,2.29,95.24,14.09,94.57,29.93,89.42,5.02,56.52,20.91,37.81,0,0,0,0.11,0.11,0,0,5.79,66.04,0.44,0,0.33,33.33,0.11,0,6.88,73.02,0,,0,,0,0,0,0,,,1.64,,,0,0,0,0,0,0
Sultan Al Mantheri,Al Ittihad Kalba,Al Ittihad Kalba,GK,30,10000,2026-06-30,8,816,0,0,0,0,0.66,83.33,United Arab Emirates,United Arab Emirates,right,195,70,no,1.43,0.11,0,0.33,100,0,0,0,1.43,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,100,0,0,0,7.5,0.11,0.44,12.68,76.52,7.94,70.83,0,0,3.86,88.57,7.06,92.19,5.51,58,36.64,44.29,0,0,0,0,0,0,0,1.88,29.41,0,0,0,0,0,0,4.08,64.86,10,1.1,31,3.42,3,67.74,8.55,0.94,-1.45,-0.16,0,0.99,0.33,,,,0,0,0
M. Blaži?,Al Ittihad Kalba,Al Ittihad Kalba,"RCB, CB",32,900000,,8,816,0,0.5,0,0,3.97,61.11,Slovenia,Slovenia,right,185,81,no,5.4,1.65,73.33,1.43,53.85,0.11,0.15,0.77,4.08,5.63,0.44,0,0,0,0,0.11,0,0,0,0.06,0,0,3,0.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.55,0.11,0,26.14,0.44,0.11,38.05,86.96,16.1,73.97,1.88,100,15.99,97.24,32.76,94.28,5.29,41.67,21.05,38.9,0,0,0,0,0.11,0,0,4.19,50,0.11,0,0.44,0,0,0,4.96,55.56,0,,0,,0,0,0,0,,,1.65,,,0,0,0,0,0,0
Ali Al Hosani,Ajman,Ajman,GK,37,75000,,8,813,0,0,0,0,1.88,64.71,United Arab Emirates,United Arab Emirates,right,172,68,no,1.33,0.11,100,0.89,75,0.22,0.32,0,1,1.46,0.11,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,50,0,0,0,7.64,0.33,0.44,12.07,77.98,7.08,64.06,0.11,100,4.65,97.62,7.08,98.44,4.87,50,35.43,50.28,0,0,0,0,0,0,0,1.33,25,0.11,0,0,0,0,0,3.43,58.06,8,0.89,31,3.43,4,74.19,9.62,1.06,1.62,0.179,0,1.77,0.89,,,,0,0,0
G. Zajkov,Ajman,Ajman,"RCB, LCB",30,750000,,8,813,0,0.5,0,0,7.31,69.7,North Macedonia,North Macedonia,right,187,79,no,5.65,3.43,80.65,2.55,52.17,0.11,0.16,0.66,2.77,4.05,0.44,2,0.22,0,0,0.22,0,0,0,0.06,0,0,3,0.33,33.33,0,0,0.11,0,0.11,0,0,0,0.11,0.11,100,0.44,75,0.55,0.22,0,18.82,0.11,0.22,28.45,87.16,12.51,78.76,1.44,92.31,11.85,96.26,26.01,91.06,2.32,47.62,20.96,42.77,0,0,0,0,0,0,0,2.44,63.64,0.22,0,0.11,0,0,0,4.65,64.29,0,,0,,0,0,0,0,,,1.22,,,0,0,0,0,0,0
H. Al Meqebaali,Shabab Al Ahli Dubai,Shabab Al Ahli Dubai,GK,22,0,,8,813,0,0,0,0,0.55,100,United Arab Emirates,United Arab Emirates,,187,0,no,1,0,0,0.55,100,0,0,0,1,1.72,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0.22,0.22,8.63,93.59,3.1,85.71,0,0,4.87,100,7.08,98.44,1.55,71.43,27.1,39.52,0,0,0,0,0,0,0,0.33,66.67,0,0,0,0,0,0,1.33,83.33,1,0.11,14,1.55,7,92.86,2.35,0.26,1.35,0.149,0,1.11,0.55,,,,0,0,0
Gláuber,Al Nasr,Al Nasr,LCB,25,4500000,2029-06-30,8,813,1,0.23,0,0,8.52,63.64,Brazil,Brazil,left,191,0,no,7.2,3.76,73.53,2.99,66.67,0,0,0.55,4.43,6.78,0.89,2,0.22,0,0,0.11,0.11,1,0.11,0.03,1,0.11,3,0.33,33.33,33.333,0,0.11,0,0.11,0,0,0,0.11,0,0,0.33,0,0.33,1,0,31.22,0.11,0.11,44.61,88.83,17.38,77.71,1.66,93.33,21.25,96.88,37.42,95.27,7.08,56.25,22.09,40.35,0,0,0,0,0,0,0,7.08,73.44,0.55,20,0.22,50,0.11,0,7.53,73.53,0,,0,,0,0,0,0,,,1.11,,,0,0,0,0,0,0
